#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
evt_CK2_209_desc_a;They declined our gift!;;;;;;;;;;;Îíè îòâåðãëè íàø ïîäàðîê!;;x
EVTDESC294;I appreciate your offer, but I do not need your meddling in my war.\n\n[From.GetTitledFirstName];;;;;;;;;;;ß öåíþ Âàøå ïðåäëîæåíèå, íî Âàøå âìåøàòåëüñòâî â âîéíó íå òðåáóåòñÿ.\n [From.GetTitledFirstName];;x
EVTDESC295;After careful consideration, I have decided to accept your suggestion. Together, we shall force the [Root.PrimaryTitle.GetAdjective] traders out of [From.PrimaryTitle.GetName]!\n\n[From.GetTitledFirstName];;;;;;;;;;;ß ïðèíèìàþ Âàøå ïðåäëîæåíèå. Âìåñòå ìû äîëæíû çàñòàâèòü [Root.PrimaryTitle.GetAdjective]ñêèõ òîðãîâöåâ óáðàòüñÿ. Ïóñòü [From.PrimaryTitle.GetName] î÷èñòèòñÿ îò íèõ!\n\n[From.GetTitledFirstName];;x
EVTDESC296;Honestly, I find your embargo suggestion against [Root.PrimaryTitle.GetName] rather ludicrous. Why should I favor one money-grubbing Republic over another?\n\n[From.GetTitledFirstName];;;;;;;;;;;×åñòíî ãîâîðÿ, ÿ íàõîæó ñìåøíûì Âàøå ïðåäëîæåíèå î ââåäåíèè ýìáàðãî ïðîòèâ ðåñïóáëèêè [Root.PrimaryTitle.GetName]. ×åì îäíè áàðûãè ëó÷øå äðóãèõ?\n\n[From.GetTitledFirstName];;x
EVTDESC297;I have decided to accept your suggestion to make [Root.GetTitledFirstName] into your concubine.;;;;;;;;;;;ß ïðèíèìàþ Âàøå ïðåäëîæåíèå. [Root.GetTitledFirstName] ñòàíåò Âàø[Root.GetEyIm] íàëîæíè[Root.GetTseyKom].;;x
EVTDESC298;I reject your insulting suggestion. [Root.GetTitledFirstName] will never become your concubine.;;;;;;;;;;;ß îòêàçûâàþñü ïðèíÿòü Âàøå îñêîðáèòåëüíîå ïðåäëîæåíèå. [Root.GetTitledFirstName] íèêîãäà íå ñòàíåò Âàø[Root.GetEyIm] íàëîæíè[Root.GetTseyKom].;;x
EVTDESC320;The great [Root.Religion.GetName] [Root.GetTitledFirstName] has decided to call a Jihad against the Kafirs in the [From.GetFullBaseName]. He urges all righteous [Root.Religion.GetName] Muslims to take up arms against the depraved [New.GetTitledName] for the glory of Islam.\n\n Allah is merciful!;;;;;;;;;;;Âåëèê[Root.GetAyaIy] [Root.GetTitledFirstName] ðåøèë[Root.GetEndA] ïðèçâàòü ê äæèõàäó ïðîòèâ íåâåðíûõ [From.GetAdjective]ñêîé çåìëè. [Root.GetSheHeCap] ïðèçûâàåò âñåõ ïðàâîâåðíûõ ìóñóëüìàí, èñïîâåäóþùèõ [Root.GetReligionFullName], ïîäíÿòü îðóæèå ïðîòèâ ðàçâðàùåííûõ èíîâåðöåâ âî ñëàâó Èñëàìà.\n Àëëàõ ìèëîñòèâ!;;x
EVTDESC321;The [crusade_title.GetFullBaseName] is afflicted with the scourge of Heresy. His Holiness, [Root.GetTitledFirstName], has decided that the impure [crusade_character.GetTitledName] and [crusade_character.GetPossPronoun] fallen followers must be Cleansed before this black stain spreads any further!;;;;;;;;;;;[From.GetAdjective]ñêàÿ çåìëÿ ïîðàæåíà åðåñüþ. [Root.GetHersHisCap] Ñâÿòåéøåñòâî, [Root.GetTitledFirstName], ðåøèë[Root.GetEndA], ÷òî [New.GetTitledFirstName] è [New.GetAbsPossPronoun] ïàäøèå ñòîðîííèêè äîëæíû ïðîéòè î÷èùåíèå äî òîãî, êàê ýòî íå÷åñòèâîå ïÿòíî ðàñïðîñòðàíèòñÿ ïîâñåìåñòíî!;;x
EVTDESC322;The [Root.Religion.GetName] [Root.GetTitledFirstName] has decided to declare Jihad on the depraved heathens in the [From.GetFullBaseName]. He urges all righteous [Root.Religion.GetName] Muslims to partake in the righteous struggle against [New.GetTitledName] for the glory of Islam.\n\n Allah is great!;;;;;;;;;;;[Root.GetTitledFirstName] ðåøèë[Root.GetEndA] îáúÿâèòü äæèõàä ðàçâðàù¸ííûì íåâåðíûì [From.GetAdjective]ñêîé çåìëè. [Root.GetSheHeCap] ïðèçûâàåò ïðàâîâåðíûõ, ïðèâåðæåííûõ [Root.GetRelAdj]ñêîé âåðå, ìóñóëüìàí ïðèíÿòü ó÷àñòèå â ïðàâåäíîé áîðüáå âî ñëàâó Èñëàìà.\nÀëëàõ âåëèê!;;x
EVTDESC323;The most righteous [Root.Religion.GetName] [Root.GetTitledFirstName] is deeply concerned with the straying people of the [From.GetFullBaseName], many of whom barely deserve being called Muslims. He urges all true ([Root.Religion.GetName]) Muslims to aid in the struggle against the heretic [New.GetTitledName] for the glory of Islam.\n\n Allah is merciful!;;;;;;;;;;;Íàèáîëåå ïðàâåäí[Root.GetAyaIy] [Root.GetTitledFirstName] ãëóáîêî îçàáî÷åí[Root.GetEndA] çàáëóæäåíèÿìè ëþäåé çåìëè, èçâåñòíîé êàê [From.GetFullBaseName], ìíîãèå èç êîòîðûõ åäâà ëè çàñëóæèâàþò ïðàâà íàçûâàòüñÿ ìóñóëüìàíàìè. [Root.GetSheHeCap] ïðèçûâàåò âñåõ èñòèííûõ ìóñóëüìàí-[Root.GetReligionAdherentsGENACC] ïîìî÷ü â áîðüáå ñ åðåñüþ âî ñëàâó Èñëàìà.\nÀëëàõ ìèëîñòèâ!;;x
EVTDESC324;The mighty [Root.GetTitledFirstName] has decided that it is time to teach [New.GetTitledName] and the believers in the dead crucified god another lesson in humility. All free [Root.Religion.GetName] men are invited to partake in the scouring of the [From.GetFullBaseName]!\n\n [Root.Religion.GetRandomGodNameCap] is with us!;;;;;;;;;;;[Root.GetTitledFirstName] ðåøèë[Root.GetEndA], ÷òî ïðèøëî âðåìÿ ïðåïîäíåñòè óðîê ïîâèíîâåíèÿ âåðóþùèì â ì¸ðòâîãî ðàñïÿòîãî áîãà. Âñå ñâîáîäíûå ìóæè, ïðèâåðæåííûå [Root.GetRelAdj]ñêîé âåðå, ïðèãëàøàþòñÿ ïðèíÿòü ó÷àñòèå â î÷èùåíèè îò [From.GetAdjective]ñêîé ñêâåðíû!\n[Root.Religion.GetRandomGodNameCap] ñ íàìè!;;x
EVTDESC325;[Root.GetTitledFirstName] has had a vision from [Root.Religion.GetRandomGodName], ordering [Root.GetObjectPronoun] to declare a great [Root.Religion.GetCrusadeName] on [New.GetTitledName] and the cawing followers of the mad Arab. All free [Root.Religion.GetName] men are invited to feast in their holy places!\n\n [Root.Religion.GetRandomGodNameCap] is mighty!;;;;;;;;;;;[Root.GetTitledFirstName] óçðåë[Root.GetEndA] âèäåíèå, êîòîðîå ïîñëàë[Root.GetHGodEndA] [Root.Religion.Religion.GetHighGodName], ïîâåëåâàþùåå [Root.GetHerHim] îáúÿâèòü, ÷òî íà÷èíàåòñÿ [Root.Religion.GetCrusadeName] ïðîòèâ êàðêàþùèõ ïîñëåäîâàòåëåé áåçóìíîãî àðàáà. Âñå ñâîáîäíûå [Root.GetRelAdj]ñêèå ìóæè ïðèãëàøàþòñÿ íà òîðæåñòâåííûé ïèð â ñâÿùåííûõ ìåñòàõ!\n[Root.Religion.GetHighGodName] ñ íàìè!;;x
EVTDESC326;The omens are clear - [Root.GetTitledFirstName] has declared [Root.Religion.GetCrusadeName] on [New.GetTitledName] and the followers of [New.Religion.GetRandomGodName] in the [From.GetFullBaseName]! All free [Root.Religion.GetName] men are encouraged to aid in the conquest of their holy places!\n\n [Root.Religion.GetRandomGodNameCap] will strike down their '[New.Religion.GetRandomGodName]'!;;;;;;;;;;;Çíàìåíèÿ ÿñíû - [Root.GetTitledFirstName] îáúÿâèë[Root.GetEndA] [Root.Religion.GetCrusadeName]. [New.GetTitledName] è ïðî÷èå [From.GetAdjective]ñêèå íå÷åñòèâöû âñòðåòÿò íàøè ìå÷è! Âñå ñâîáîäíûå [Root.GetRelAdj]ñêèå ìóæè äîëæíû ñîäåéñòâîâàòü îñâîáîæäåíèþ èõ ñâÿùåííûõ ìåñò!\n[Root.Religion.GetRandomGodNameCap] ñðàçèò èõ!;;x
EVTDESC327;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the adherents of '[New.Religion.GetHighGodName]' in the [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms in the name of [Root.Religion.GetHighGodName]!\n\nThe dark manifestations of [Root.Religion.GetRandomEvilGodName] must be cleansed in healing flames!;;;;;;;;;;;"[Root.GetTitledFirstName] îáúÿâèë[Root.GetEndA] [Root.Religion.GetCrusadeName] ïðîòèâ âåëèê[New.GetOyOgo] ãðåøíè[New.GetTsyKa], êî[New.GetEyIm] ÿâëÿåòñÿ [New.GetTitledName], è âñåõ ïîêëîííèêîâ èäîëà, èìåíóåìîãî ""[New.Religion.GetHighGodName]"", â çåìëÿõ, èçâåñòíûõ êàê [From.GetFullBaseName]! Âñå ìóæè, èñïîâåäóþùèå [Root.GetReligionFullName], äîëæíû âçÿòü îðóæèå è îòïðàâèòüñÿ íà âîéíó!\n[Root.Religion.GetHighGodName] ïîâåä¸ò íàñ!";;x
EVTDESC327_CHRIST;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the [New.Religion.GetName] infidels in [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms against the deniers of [Root.Religion.GetHighGodName]!\n\nThe Magi will cleanse their churches in healing flames!;;;;;;;;;;;[Root.GetTitledFirstName] îáúÿâèë[Root.GetEndA] [Root.Religion.GetCrusadeName] ïðîòèâ âåëèê[New.GetOyOgo] ãðåøíè[New.GetTsyKa], êî[New.GetEyIm] ÿâëÿåòñÿ [New.GetTitledName], è âñåõ ïðèâåðæåíöåâ [New.GetReligionNameGEN], â çåìëÿõ, èçâåñòíûõ êàê [From.GetFullBaseName]! Âñå ìóæè, èñïîâåäóþùèå [Root.GetReligionFullName], äîëæíû âçÿòü îðóæèå è îòïðàâèòüñÿ íà âîéíó!!\nÏóñòü ìàãè î÷èñòÿò èõ õðàìû ñâÿùåííûì ïëàìåíåì!;;x
EVTDESC327_MUSLIMS;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the followers of [New.Religion.GetHighGodName] in the [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms against the old arch-enemy!\n\nMuhammed was the mouthpiece of [Root.Religion.GetRandomEvilGodName] and all his works must be destroyed!;;;;;;;;;;;"[Root.GetTitledFirstName] îáúÿâèë[Root.GetEndA] [Root.Religion.GetCrusadeName] ïðîòèâ âåëèê[New.GetOyOgo] ãðåøíè[New.GetTsyKa], êî[New.GetEyIm] ÿâëÿåòñÿ [New.GetTitledName], è âñåõ ïîêëîííèêîâ èäîëà, èìåíóåìîãî ""[New.Religion.GetHighGodName]"", â çåìëÿõ, èçâåñòíûõ êàê [From.GetFullBaseName]! Âñå ìóæè, èñïîâåäóþùèå [Root.GetReligionFullName], äîëæíû îáðàòèòü îðóæèå ïðîòèâ çàêëÿòîãî âðàãà!\nÂñå èõ ïðîêëÿòûå äåÿíèÿ äîëæíû áûòü îáðàùåíû â ïðàõ!";;x
EVTDESC328;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the adherents of '[New.Religion.GetHighGodName]' in the [From.GetFullBaseName]! All righteous [Root.Religion.GetName] men are called to arms in the name of [Root.Religion.GetHighGodName]!\n\nThe idolators will learn to fear the Lord!;;;;;;;;;;;"[Root.GetTitledFirstName] îáúÿâèë[Root.GetEndA] [Root.Religion.GetCrusadeName] ïðîòèâ âåëèê[New.GetOyOgo] ãðåøíè[New.GetTsyKa], êî[New.GetEyIm] ÿâëÿåòñÿ [New.GetTitledName], è âñåõ ïîêëîííèêîâ èäîëà, èìåíóåìîãî ""[New.Religion.GetHighGodName]"", â çåìëÿõ, èçâåñòíûõ êàê [From.GetFullBaseName]! Âñå ïðàâåäíèêè, âåðóþùèå â [Root.GetReligionFullName] äîëæíû âçÿòü îðóæèå è îòïðàâèòüñÿ íà âîéíó!\nÄà óçðÿò èäîëîïîêëîííèêè ãíåâ Ãîñïîäà!";;x
EVTDESC328_CHRIST;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the [New.Religion.GetGroupName] infidels in [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms against the old oppressors!\n\nThe Lord will prove us right!;;;;;;;;;;;[Root.GetTitledFirstName] îáúÿâèë[Root.GetEndA] [Root.Religion.GetCrusadeName] ïðîòèâ âåëèê[New.GetOyOgo] ãðåøíè[New.GetTsyKa], êî[New.GetEyIm] ÿâëÿåòñÿ [New.GetTitledName], è âñåõ ïðèâåðæåíöåâ [New.GetReligionNameGEN], â çåìëÿõ, èçâåñòíûõ êàê [From.GetFullBaseName]! Âñå ìóæè, èñïîâåäóþùèå [Root.GetReligionFullName], äîëæíû îáðàòèòü îðóæèå ïðîòèâ äàâíåãî âðàãà!\n[Root.Religion.GetHighGodName] äîêàæåò íàøó ïðàâîòó!;;x
EVTDESC328_MUSLIMS;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the followers of [New.Religion.GetHighGodName] in the [From.GetFullBaseName]! The whole [Root.Religion.GetName] nation is called to arms against the [New.Religion.GetName] menace!\n\nThe false works of the Madman must be torn down!;;;;;;;;;;;"[Root.GetTitledFirstName] îáúÿâèë[Root.GetEndA] [Root.Religion.GetCrusadeName] ïðîòèâ âåëèê[New.GetOyOgo] ãðåøíè[New.GetTsyKa], êî[New.GetEyIm] ÿâëÿåòñÿ [New.GetTitledName], è âñåõ ïîêëîííèêîâ èäîëà, èìåíóåìîãî ""[New.Religion.GetHighGodName]"", â çåìëÿõ, èçâåñòíûõ êàê [From.GetFullBaseName]! Âñå ëþäè, âåðóþùèå â [Root.GetReligionFullName], äîëæíû îáðàòèòü îðóæèå íà [New.GetReligionFullName]!\nËæèâîå ó÷åíèå Áåçóìöà äîëæíî áûòü óíè÷òîæåíî!";;x
EVTDESC330;I have decided to accept your suggestion of a matrilineal betrothal between [Root.GetTitledFirstName] and [New.GetTitledFirstName].;;;;;;;;;;;ß ðåøèë[From.GetEndA] ïðèíÿòü Âàøå ïðåäëîæåíèå î ìàòðèëèíåéíîé ïîìîëâêå, [Root.GetTitledFirstName] è [New.GetTitledFirstName] ñòàíóò ïðåêðàñíîé ïàðîé.;;x
EVTDESC331;I reject your insulting suggestion. [New.GetTitledFirstName] will never marry [Root.GetTitledFirstName] matrilineally.;;;;;;;;;;;ß îòêëîíÿþ Âàøå îñêîðáèòåëüíîå ïðåäëîæåíèå. [New.GetTitledFirstName] è [Root.GetTitledFirstName] íèêîãäà íå âñòóïÿò â ìàòðèëèíåéíûé áðàê.;;x
EVTDESCA500;[New.GetTitledFirstName] and [From.GetTitledFirstName] are getting married. We can collect a Royal Aid Duty to pay for the ceremonies.;;;;;;;;;;;[New.GetTitledFirstName] è [From.GetTitledFirstName] âñòóïèëè â áðàê. Ìû ìîæåì ñîáðàòü îñîáûé íàëîã, ÷òîáû îïëàòèòü öåðåìîíèþ.;;x
EVTDESCB500;Like Ahura Mazda and Spandarmad at the time of creation, [From.GetTitledFirstName] and [From.GetPossPronoun] [GetFromVsNewRelation] [New.GetTitledFirstName] have gotten married under the blessed auspices of Xwedodah, ensuring fullness and Order. We can collect a Royal Aid Duty to pay for the ceremonies.;;;;;;;;;;;Êàê Àõóðà Ìàçäà è Ñïàíäàðìàä âî âðåìÿ ñîçäàíèÿ, [From.GetTitledFirstName] è [From.GetHersHis] [newchar.GetFromVsRelation] [newchar.GetTitledFirstName] âñòóïèëè â áðàê ïîä áëàãîñëîâåííûì ïîêðîâèòåëüñòâîì Êñâåäîäàõ, îáåñïå÷èâ áëàãîñîñòîÿíèå è Ïîðÿäîê. Ìû ìîæåì ñîáðàòü îñîáûé íàëîã, ÷òîáû îïëàòèòü âñå öåðåìîíèè.;;x
EVTDESCC500;Like the children of Adam and Eve at the dawn of time, [From.GetTitledFirstName] and [From.GetPossPronoun] [GetFromVsNewRelation] [New.GetTitledFirstName] have formed a sacred union, pleasing to [From.Religion.GetRandomGodName]. We can collect a Royal Aid Duty to pay for the ceremonies.;;;;;;;;;;;Êàê äåòè Àäàìà è Åâû â íåçàïàìÿòíûå âðåìåíà, òàê è [From.GetTitledFirstName] è [From.GetAbsPossPronoun] [newchar.GetFromVsRelation] [newchar.GetTitledFirstName] ñôîðìèðîâàëè ñâÿùåííûé ñîþç. Ìû ìîæåì ñîáðàòü êîðîëåâñêèå ïîæåðòâîâàíèÿ, ÷òîáû îïëàòèòü öåðåìîíèè.;;x
EVTDESCD500;In order to ensure the divine purity of their bloodline, [From.GetTitledFirstName] and [From.GetPossPronoun] [GetFromVsNewRelation] [New.GetTitledFirstName] have gotten married under the blessed auspices of [From.Religion.GetHighGodName], ensuring fullness and Order. We can collect a Royal Aid Duty to pay for the ceremonies.;;;;;;;;;;;Äëÿ òîãî, ÷òîáû îáåñïå÷èòü áîæåñòâåííóþ ÷èñòîòó ñâîåé ðîäîñëîâíîé, [From.GetTitledFirstName] è [From.GetHersHis] [New.GetFromVsRelation] [New.GetTitledFirstName] ïîæåíèëèñü ïîä áëàãîñëîâåííûì ïîêðîâèòåëüñòâîì [From.GetReligionHighGodGEN], ãàðàíòèðóÿ ïîëíîòó è Ïîðÿäîê. Ìû ìîæåì ñîáðàòü êîðîëåâñêèé íàëîã, ÷òîáû ïîìî÷ü îïëàòèòü öåðåìîíèþ.;;x
EVTDESC503;I humbly accept your decision to absorb the [From.GetOnlyDynastyName] Clan, though it grieves me deeply.;;;;;;;;;;;ß ñìèðåííî ñîãëàøàþñü ñ òâîèì ðåøåíèåì ïîãëîòèòü êëàí [From.GetOnlyDynastyName], õîòÿ îíî ãëóáîêîãî îãîð÷àåò ìåíÿ.;;x
EVTDESC504;I will not allow you to steal my people without a fight! You are no longer my Khan.;;;;;;;;;;;Ìîé íàðîä íå ñäàñòñÿ áåç áîÿ! Îòíûíå òû - íå ìîé õàí.;;x
EVTDESC505;I swear to you that we shall be bonded by blood as brothers!;;;;;;;;;;;Ïðèíèìàÿ ýòó êëÿòâó, ìû òåïåðü ñâÿçàíû êðîâüþ!;;x
EVTDESC506;I do not accept your offer of blood oath.;;;;;;;;;;;ß íå ïðèìó òâî¸ ïðåäëîæåíèå è íå ñòàíó êëÿñòüñÿ íà êðîâè.;;x
EVTDESC507;The feud has finally come to an end and our people can again know peace.;;;;;;;;;;;Ñ ðàñïðÿìè ìåæäó íàøèìè êëàíàìè ïîêîí÷åíî - íàøè ëþäè ñíîâà áóäóò æèòü â ìèðå.;;x
EVTDESC508;The [From.Clan.GetName] are stubborn and refuses to put our issues behind us.;;;;;;;;;;;Êëàí [From.Clan.GetName] ñëèøêîì ñâîåíðàâåí - îíè îòêàçûâàþòñÿ çàáûòü î íàøèõ ðàçíîãëàñèÿõ.;;x
EVTDESC509;I humbly accept your decision to split my Clan, though it grieves me deeply.;;;;;;;;;;;ß ñìèðåííî ñîãëàøàþñü ñ òâîèì ðåøåíèåì ðàçäåëèòü ìîé êëàí, õîòÿ îíî ãëóáîêî îãîð÷àåò ìåíÿ.;;x
EVTDESC510;I will not allow you to steal my people without a fight! You are no longer my Khan.;;;;;;;;;;;Ìîé íàðîä íå ñäàñòñÿ áåç áîÿ! Îòíûíå òû - íå ìîé õàí.;;x
EVTDESC520;I graciously accept your gift and will remember your good intentions in the future.;;;;;;;;;;;ß ëþáåçíî ïðèíèìàþ ýòîò ïîäàðîê è íå çàáóäó î Âàøèõ äîáðûõ íàìåðåíèÿõ.;;x
EVTDESC521;You must understand that you cannot simply buy my loyalty like this. I refuse your gift.;;;;;;;;;;;Âû æå ïîíèìàåòå, ÿ íå ìîãó ïðèíÿòü Âàøó âçÿòêó.;;x
EVTDESC522;I will support you in the council.;;;;;;;;;;;Ìîæåòå ðàñ÷èòûâàòü íà ìîé ãîëîñ â Ñîâåòå.;;x
EVTDESC523;I am sorry, but I just cannot support you in the council.;;;;;;;;;;;Ñîæàëåþ, íî íå ìîãó ïîääåðæàòü Âàñ â Ñîâåòå.;;x
EVTDESC524;I, [From.GetBestName], accept your proposal for a Non-Aggression Pact!;;;;;;;;;;;ß, [From.GetTitledFirstName], ïðèíèìàþ Âàøå ïðåäëîæåíèå ñôîðìèðîâàòü ïàêò î íåíàïàäåíèè ìåæäó íàìè.;;x
EVTDESC525;I, [From.GetBestName], unfortunately have to decline your proposal for a Non-Aggression Pact!;;;;;;;;;;;ß, [From.GetTitledFirstName], ê ñîæàëåíèþ íå ìîãó ïîääåðæàòü Âàø ïàêò î íåíàïàäåíèè.;;x
EVTDESC526;I demand that you grant me a position on your council, in return for the favor you owe me.;;;;;;;;;;;ß òðåáóþ ïðåäîñòàâèòü ìíå ïîñò â Âàøåì ñîâåòå, Âû ïåðåäî ìíîé â äîëãó.;;x
EVTDESC527;[This.GetTitledFirstName] declined [From.GetTitledFirstName] request to join the council as [Title.GetName], despite the favor owed.;;;;;;;;;;;[From.GetTitledFirstName] ïîëüçóÿñü òåì, ÷òî [This.GetTitledFirstName] - [From.GetHersHis] äîëæíè[This.GetTsaK], òðåáóåò äëÿ ñåáÿ ìåñòî â ñîâåòå, íî â îòâåò ïîëó÷àåò îòêàç.;;x
EVTDESC528;[From.GetTitledFirstName] spent the favor [This.GetTitledFirstName] owed [From.GetObjectPronoun] to force the Realm Peace.;;;;;;;;;;;[From.GetTitledFirstName] âîñïîëüçîâà[From.GetLasLsya] òåì, ÷òî [This.GetTitledFirstName] - [From.GetHersHis] äîëæíè[This.GetTsaK] è âûíóäèë[From.GetEndA] óñòàíîâèòü ìèð âíóòðè ñòðàíû.;;x
EVTDESC529;[This.GetTitledFirstName] declined [From.GetTitledFirstName] request to force the realm peace, despite the favor owed.;;;;;;;;;;;[From.GetTitledFirstName] ïîëüçóÿñü òåì, ÷òî [This.GetTitledFirstName] - [From.GetHersHis] äîëæíè[This.GetTsaK], òðåáóåò óñòàíîâèòü ìèð âíóòðè ñòðàíû, íî â îòâåò ïîëó÷àåò îòêàç.;;x
EVTDESC530;[From.GetTitledFirstName] spent the favor [This.GetTitledFirstName] owed [From.GetObjectPronoun] to force [This.GetTitledFirstName] to join their Factions.;;;;;;;;;;;[From.GetTitledFirstName] âîñïîëüçîâà[From.GetLasLsya] òåì, ÷òî [This.GetTitledFirstName] - [From.GetHersHis] äîëæíè[This.GetTsaK], è âûíóäèë[From.GetEndA] âñòóïèòü â ñâîè ôðàêöèè.;;x
EVTDESC531;[This.GetTitledFirstName] declined [From.GetTitledFirstName] to join [Actor.GetTitledFirstName]'s factions, despite the favor owed.;;;;;;;;;;;[From.GetTitledFirstName] ïîëüçóÿñü òåì, ÷òî [This.GetTitledFirstName] - [From.GetHersHis] äîëæíè[This.GetTsaK], òðåáóåò âñòóïèòü â ñâîè ôðàêöèè, íî â îòâåò ïîëó÷àåò îòêàç.;;x
EVTDESC538;I accept your gracious gift. What a splendid object!;;;;;;;;;;;Êàêàÿ âåëèêîëåïíàÿ ðàáîòà! Êîíå÷íî, ÿ ïðèìó Âàø ïîäàðîê!;;x
EVTDESC600;A revolt has broken out in [Root.GetName]! Angered by my 'oppressive' rule, the peasants have taken to arms.;;;;;;;;;;;"Âîññòàíèå âñïûõíóëî â îáëàñòè [Root.GetName]! Âîçìóùåííûå ìîèì ""ðåïðåññèâíûì"" ïðàâëåíèåì, êðåñòüÿíå âçÿëè îðóæèå â ðóêè.";;x
EVTDESC601;A revolt has broken out in [From.GetName]! Angered by the oppressive rule of [From.County.Holder.GetTitledName], the peasants have taken to arms. Their indiscriminate destruction will unfortunately hit my holdings as well...;;;;;;;;;;;Â îêðóãå [From.GetName] âñïûõíóëî âîññòàíèå! Êðåñòüÿíå, äîâåä¸ííûå äî îò÷àÿíèÿ ïðàâëåíèåì ÷åëîâåêà, èçâåñòíîãî êàê [From.County.Holder.GetTitledName], íàñòîëüêî ðàçúÿðåíû, ÷òî âçÿëèñü çà îðóæèå. Ê íåñ÷àñòüþ, èõ áåñïîðÿäî÷íûå ðàçðóøåíèÿ íå îáîøëè è Âàøè âëàäåíèÿ.;;x
EVTDESC610;Peasant rebels have taken control of one of our holdings in [From.GetName] and looted it!;;;;;;;;;;;Âîññòàâøèå êðåñòüÿíå çàíÿëè îêðóã [From.GetName] è ðàçãðàáèëè åãî!;;x
EVTDESC615;The peasant rebels in [From.GetName] have been dispersed and our holding taken back!;;;;;;;;;;;Âîññòàâøèå êðåñòüÿíå îêðóãà [From.GetName] áûëè ðàçáèòû, íàøè âëàäåíèÿ âîçâðàùåíû!;;x
EVTDESC620;[From.Religion.GetRandomGodNameCap] has granted [From.GetTitledName] victory in the [From.Religion.GetCrusadeName] for [Root.GetBaseName] against [New.GetTitledName]. [From.RelHead.GetTitledName] has called for a month of celebration across the whole [From.Religion.GetGroupName] world!;;;;;;;;;;;[From.GetTitledName] ïðàçäíóåò ïîáåäó, êîòîðóþ [From.Religion.GetHighGodName] äàðîâàë[From.GetHGodEndA] [From.GetHerHim] â ýòîì áëèñòàòåëüíîì ïîõîäå íà çåìëþ [Root.GetBaseName] ïðîòèâ å¸ ïðàâèòåëÿ, èçâåñòíîãî êàê [New.GetTitledName]. [From.RelHead.GetTitledName] îáúÿâèë[From.RelHead.GetEndA] ìåñÿö ïðàçäíîâàíèÿ ïî ýòîìó áëàãî÷åñòèâîìó ïîâîäó. [From.Religion.GetGroupName][This.GetRandomRGTransform] íåñ¸ò ñâîé ñâåò äàëüøå!;;x
EVTDESC621;[From.Religion.GetRandomGodNameCap], it seems, does not favor the [From.Religion.GetGroupName] faithful. After a string of defeats and setbacks, [From.GetTitledName] has called off the [From.Religion.GetCrusadeName] for [Root.GetBaseName] against [New.GetTitledName].;;;;;;;;;;;Ïîõîæå, [From.Religion.GetHighGodName] îòâåðíó[From.GetHGodLasLsya] îò [From.GetReligionAdherentsGENACC]. Ïîñëå ðÿäà ïîðàæåíèé è íåóäà÷, [From.GetTitledName] îòîçâàë[From.GetEndA] [From.Religion.GetCrusadeName] íà çåìëþ [Root.GetName] ïðîòèâ ïðàâèòåëÿ, èçâåñòíîãî êàê [New.GetTitledName].;;x
EVTDESC660;That vile brute [From.GetBestName] has forced me to become his concubine!;;;;;;;;;;;Ýòî ìåðçêîå æèâîòíîå [From.GetBestName] çàñòàâèëî ìåíÿ ñòàòü åãî íàëîæíèöåé!;;x
EVTDESC661;[FromFrom.GetBestName] has forced my [GetFromRelation] [From.GetBestName] to become his concubine!;;;;;;;;;;;Ìîÿ [From.GetRootRelation] [From.GetBestName] â óæàñíîì ïîëîæåíèè, [FromFrom.GetBestName] çàñòàâèë å¸ ñòàòü åãî íàëîæíèöåé!;;x
EVTDESC662;[FromFrom.GetBestName] has forced my wife [From.GetBestName] to become his concubine!;;;;;;;;;;;Ìî[From.GetOyaOy] [From.GetHusbandWife] [From.GetBestName] çàõâà÷åí[From.GetEndA], [FromFrom.GetBestName] çàñòàâèë[FromFrom.GetEndA] [From.GetHersHis] ñòàòü [FromFrom.GetHersHis] íàëîæíè[From.GetTseyKom]!;;x
