EVTOPTA_CM_4013;Spare me your lamentations!;;;;;;;;;;;Èçáàâüòå ìåíÿ îò ñâîèõ ñòåíàíèé!;;x
EVTDESC_SOA_1431;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the dreaded Hashshashins in their shady struggles. This will forever disinherit him and he will never disgrace the dynasty with his decadence.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation], [From.GetTitledFirstName], ïðîñèò ó ìåíÿ ðàçðåøåíèÿ âñòóïèòü â ðÿäû ñòðàøíûõ õàøàøèíîâ, ÷òîáû ñðàæàòüñÿ ñ íåâåðíûìè! Îí èñêëþ÷èòñÿ èç ëèíèè íàñëåäîâàíèÿ è íèêîãäà íå ñìîæåò îïîçîðèòü äèíàñòèþ.;;x
EVTDESC_SOA_1454;The Hashshashins have constructed a castle in [Root.GetName]!;;;;;;;;;;;Õàøàøèíû ïîñòðîèëè çàìîê â îêðóãå [Root.GetName]!;;x
EVTDESC_SOA_1461;Great [Root.PrimaryTitle.GetRulerTitle], your antagonism is misguided! The Order serves Allah, but, one has to wonder, do you?\n\nWith furious anger,\n\nGrand Master [From.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], òàêîé àíòàãîíèçì - ðåçóëüòàò Âàøèõ çàáëóæäåíèé! Îðäåí ñëóæèò Àëëàõó, íî ñòîèò çàäàòüñÿ âîïðîñîì - ñëóæèòå ëè Åìó Âû?\nÂ ãíåâå è ÿðîñòè,\nÂåëèêèé ìàñòåð [From.GetFirstName];;x
EVTDESC_SOA_1531;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the fearsome Jomsvikings in their adventures, even though this will forever disinherit him.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation], [From.GetTitledFirstName], ïðîñèò ó ìåíÿ ðàçðåøåíèÿ âñòóïèòü â ðÿäû óæàñíûõ Éîìñâèêèíãîâ, ÷òîáû îòïðàâèòüñÿ íà ïîèñêè ïðèêëþ÷åíèé, íåñìîòðÿ íà òî, ÷òî ýòî èñêëþ÷èò åãî èç ëèíèè íàñëåäîâàíèÿ.;;x
EVTDESC_SOA_1541;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly in our fight for the glory of the Old Gods! You have my friendship, as well as that of both gods and priesthood. May the gods smile on you.\nFor the Allfather!\n\nWarchief [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ñòîëü ùåäðûé äàð çíà÷èòåëüíî ïîìîæåò íàì â áîðüáå çà ñëàâó Äðåâíèõ Áîãîâ! Âû ìîæåòå ðàññ÷èòûâàòü íà ìîþ äðóæáó è ïîääåðæêó æðåöîâ. Ïóñòü áîãè óëûáàþòñÿ Âàì.\nÂî ñëàâó Âñåîòöà!\nÏðåäâîäèòåëü [From.GetFirstName];;x
EVTDESC_SOA_1553;Mighty [Root.GetTitledFirstName], the Jomsviking brotherhood has need of another base from which to strike at the weak followers of the lesser gods. I understand that there is a suitable location in your demesne, in [target_province.GetName]. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nGlory to Odin!\n\nWarchief [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], áðàòñòâî Éîìñâèêèíãîâ íóæäàåòñÿ â íîâîì îïîðíîì ïóíêòå, ñ êîòîðîãî ìîæíî óäàðèòü ïî ñëàáûì ïîñëåäîâàòåëÿì ìåíüøèõ áîãîâ. Êàê ÿ ïîíèìàþ, ïîäõîäÿùåå ìåñòî åñòü ñðåäè Âàøèõ âëàäåíèé, ýòî [FromFrom.GetName]. ß çàïëà÷ó Âàì 100 çîëîòûõ â îáìåí íà ïðàâî ïîñòðîèòü òàì êðåïîñòü.\nÑëàâà Îäèíó!\nÏðåäâîäèòåëü [From.GetFirstName];;x
EVTDESC_SOA_1554;The Jomsvikings have constructed a castle in [Root.GetName]!;;;;;;;;;;;Éîìñâèêèíãè ïîñòðîèëè çàìîê â îêðóãå [Root.GetName]!;;x
EVTDESC_SOA_1561;Great [Root.PrimaryTitle.GetRulerTitle], your wrath is misdirected! The Order serves the gods faithfully, but, one has to wonder, do you?\n\n[From.Religion.GetRandomGodNameCap] curse you!,\n\nWarchief [From.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], íàïðàâëÿéòå ñâîé ãíåâ íà äðóãèõ! Îðäåí âåðíî ñëóæèò áîãàì, íî, ïîõîæå, Âû èì íå ñëóæèòå.\nÁóäüòå ïðîêëÿòû!\nÏðåäâîäèòåëü [From.GetFirstName];;x
EVTDESC_SOA_1609;The Brotherhood has worked tirelessly to protect Christian holy sites and relics in the Holy Land ever since it was first founded in 313, when the Edict of Milan legalized Christendom throughout the Roman Empire. Until recently, the Brotherhood consisted of ordained clergy who maintained and safeguarded these religious sites through largely peaceful means.\n\nAs the winds of change sweep across the world, this holy order has now become increasingly militarized and their ranks have grown dramatically to include professional soldiers as well. They have reaffirmed their dedication to protect the Holy Land from heathen invaders, but this pledge has now extended to include the defense of all of Orthodox Christendom.;;;;;;;;;;;Áðàòñòâî íåóñòàííî òðóäèëîñü, ÷òîáû çàùèòèòü ñâÿòûíè è ðåëèêâèè õðèñòèàíñòâà íà Ñâÿòîé Çåìëå åù¸ ñ òåõ âðåì¸í, êîãäà îíî áûëî îñíîâàíî â 313 ãîäó - èìåííî òîãäà áûë èçäàí ìèëàíñêèé ýäèêò, ïðîâîçãëàøàþùèé ðåëèãèîçíóþ òåðïèìîñòü ïî âñåé Ðèìñêîé èìïåðèè. Äî íåäàâíåãî âðåìåíè áðàòñòâî ñîñòîÿëî èç ðóêîïîëîæåííûõ ñâÿùåííèêîâ, ïîääåðæèâàâøèõ è îõðàíÿâøèõ ýòè ñâÿòûíè ìèðíûìè ñðåäñòâàìè.\nÀ òåïåðü, êîãäà âåòåð ïåðåìåí ãóëÿåò ïî âñåìó ìèðó, ýòîò äóõîâíûé îðäåí ñòàíîâèòñÿ âñ¸ áîëåå âîåíèçèðîâàííûì, è åãî ðÿäû ïîïîëíÿþòñÿ óìåëûìè âîèíàìè. Îíè ïîäòâåðäèëè ñâîþ ïðèâåðæåííîñòü çàùèòå Ñâÿòîé Çåìëè îò ÿçû÷åñêèõ çàõâàò÷èêîâ, íî ýòî îáåùàíèå òåïåðü âêëþ÷àåò çàùèòó âñåãî ïðàâîñëàâíîãî ìèðà.;;x
EVTDESC_SOA_1631;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Brotherhood of the Holy Sepulchre in their struggle against the infidel, even though this will forever disinherit him.;;;;;;;;;;;Ì[From.GetOyaOy]  [From.GetRootRelation], [From.GetTitledFirstName], ïðîñèò ó ìåíÿ ðàçðåøåíèÿ âñòóïèòü â áðàòñòâî Ãðîáà Ãîñïîäíÿ, ÷òîáû ñðàæàòüñÿ ïðîòèâ èíîâåðöåâ, íåñìîòðÿ íà òî, ÷òî ýòî èñêëþ÷èò åãî èç ëèíèè íàñëåäîâàíèÿ.;;x
EVTDESC_SOA_1653;Most righteous [Root.GetTitledFirstName], the Brotherhood needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPax Christi,\n\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], îðäåí íóæäàåòñÿ â çàìêàõ, ÷òîáû òðåíèðîâàòü âîéñêà è ïîääåðæèâàòü èõ äîïîëíèòåëüíûìè äîõîäàìè. ß îáðàòèë[From.GetEndA] âíèìàíèå, ÷òî â Âàøèõ âëàäåíèÿõ åñòü ïîäõîäÿùåå äëÿ ýòîãî ìåñòî - [FromFrom.GetName], åñëè áûòü òî÷íûì. ß çàïëà÷ó Âàì 100 çîëîòûõ â îáìåí íà ïðàâî ïîñòðîèòü òàì êðåïîñòü.\nPax Christi,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_1654;The Brotherhood of the Holy Sepulchre has constructed a castle in [Root.GetName]!;;;;;;;;;;;Áðàòñòâî Ãðîáà Ãîñïîäíÿ ïîñòðîèëî çàìîê â îêðóãå [Root.GetName]!;;x
EVTDESC_SOA_1661;Your majesty, this antagonism is completely unwarranted! The Brotherhood serves Christ, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [From.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ïîäîáíûé àíòàãîíèçì ñîâåðøåííî íå îïðàâäàí! Áðàòñòâî ñëóæèò Õðèñòó, íî ñòîèò çàäàòüñÿ âîïðîñîì - ñëóæèòå ëè Åìó Âû?\nÂ ãíåâå è ïå÷àëè,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_1709;The Knights of Saint Anthony come from one of the oldest chivalric orders in the world. In 370, disciples of Anthony the Hermit founded the Order of Saint Anthony under the patronage of the Emperor of Ethiopia.\n\nAlthough they have kept a low profile for many centuries, this holy order has now resurfaced as a powerful force. Their stated purpose is to protect [Root.Religion.GetName] Christians from all those who would seek them harm, and to purge the land of infidels and heretics wherever they may be found.;;;;;;;;;;;Ðûöàðè Ñâÿòîãî Àíòîíèÿ áåðóò ñâî¸ íà÷àëî â îäíîì èç ñòàðåéøèõ ðûöàðñêèõ îðäåíîâ â ìèðå. Â 370, ïîñëåäîâàòåëè Àíòîíèÿ Çàòâîðíèêà îñíîâàëè îðäåí Ñâÿòîãî Àíòîíèÿ ïîä ïàòðîíàæåì èìïåðàòîðà Ýôèîïèè.\nÂåêàìè îíè äåðæàëèñü â òåíè, íî ñåé÷àñ ýòîò ñâÿòîé îðäåí ñòàë ìîùíîé ñèëîé. Èõ çàÿâëåííàÿ öåëü - çàùèòà õðèñòèàí, èñïîâåäóþùèõ [Root.GetReligionFullName], îò âñåõ òåõ, êòî áóäåò ñòðåìèòüñÿ ïðè÷èíèòü èì âðåä, è î÷èùåíèå çåìëè îò íåâåðíûõ è åðåòèêîâ, âåçäå, ãäå èõ äîâåä¸òñÿ âñòðåòèòü.;;x
EVTDESC_SOA_1731;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Order of Saint Anthony in their struggle against the infidel, even though this will forever disinherit him.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation], [From.GetTitledFirstName], ïðîñèò ó ìåíÿ ðàçðåøåíèÿ âñòóïèòü â îðäåí Ñâÿòîãî Àíòîíèÿ, ÷òîáû ñðàæàòüñÿ ïðîòèâ èíîâåðöåâ, íåñìîòðÿ íà òî, ÷òî ýòî èñêëþ÷èò åãî èç ëèíèè íàñëåäîâàíèÿ.;;x
EVTDESC_SOA_1754;The Order of Saint Anthony has constructed a castle in [Root.GetName]!;;;;;;;;;;;Îðäåí Ñâÿòîãî Àíòîíèÿ ïîñòðîèë çàìîê â îêðóãå [Root.GetName]!;;x
EVTDESC_SOA_1809;Some of Persia's finest warriors have taken it upon themselves to found a new holy order dedicated to safeguarding the [Root.Religion.GetName] faith. They call themselves the Immortals, just like the ancient Persian warrior elite described by Herodotus, and they seem intent on carrying on the martial traditions of their legendary predecessors.\n\nThis militant holy order has sworn to fight against all who would threaten the legacy of Zoroaster, and to never again allow Zoroastrianism to suffer the reverses it did in the wake of the Arab conquests of the 7th century.;;;;;;;;;;;Íåêîòîðûå èç ëó÷øèõ âîèíîâ Ïåðñèè ðåøèëè îñíîâàòü íîâûé äóõîâíûé îðäåí, êîòîðûé ïðèçâàí çàùèùàòü [Root.GetReligionFullName] îò íå÷åñòèâöåâ. Îíè íàçûâàþò ñåáÿ Áåññìåðòíûå, êàê äðåâíèå ïåðñèäñêèå ýëèòíûå âîèíû, îïèñàííûå Ãåðîäîòîì, è ïîõîæå, îíè ïîëíû ðåøèìîñòè âîñïðîèçâåñòè âîèíñêèå òðàäèöèè ñâîèõ ëåãåíäàðíûõ ïðåäøåñòâåííèêîâ.\nÝòîò âîèíñòâåííûé îðäåí ïîêëÿëñÿ ñðàæàòüñÿ ïðîòèâ âñåõ, êòî áóäåò óãðîæàòü íàñëåäèþ Çàðàòóøòðû, è áîëüøå íèêîãäà íå ïîçâîëèò çîðîàñòðèçìó ñòðàäàòü îò íåóäà÷, êîòîðûå åìó ïðèøëîñü ïåðåæèòü ïðè àðàáñêèõ çàâîåâàíèÿõ VII âåêà.;;x
EVTDESC_SOA_1831;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Immortals in their struggle against the infidel, even though this will forever disinherit him.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation], [From.GetTitledFirstName], ïðîñèò ó ìåíÿ ðàçðåøåíèÿ âñòóïèòü â ðÿäû Áåññìåðòíûõ, ÷òîáû ñðàæàòüñÿ ïðîòèâ èíîâåðöåâ, íåñìîòðÿ íà òî, ÷òî ýòî èñêëþ÷èò åãî èç ëèíèè íàñëåäîâàíèÿ.;;x
EVTDESC_SOA_1841;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly in our continued defense of the [Root.Religion.GetName] faithful! You have my friendship, as well as that of the priesthood.\n\nBy Zoroaster's will,\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ñòîëü ùåäðûé äàð çíà÷èòåëüíî ïîìîæåò íàì â äàëüíåéøåé çàùèòå íàøåé âåðû! Âû ìîæåòå ðàññ÷èòûâàòü íà ìîþ äðóæáó è ïîääåðæêó æðåöîâ.\n\nÏî âîëå Çàðàòóøòðû,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_1853;Most righteous [Root.GetTitledFirstName], the Immortals need more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nBy Zoroaster's will,\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], Áåññìåðòíûå íóæäàþòñÿ â çàìêàõ, ÷òîáû òðåíèðîâàòü âîéñêà è ïîääåðæèâàòü èõ äîïîëíèòåëüíûìè äîõîäàìè. ß îáðàòèë[From.GetEndA] âíèìàíèå, ÷òî â Âàøèõ âëàäåíèÿõ åñòü ïîäõîäÿùåå äëÿ ýòîãî ìåñòî - [FromFrom.GetName], åñëè áûòü òî÷íûì. ß çàïëà÷ó Âàì 100 çîëîòûõ â îáìåí íà ïðàâî ïîñòðîèòü òàì êðåïîñòü.\nÏî âîëå Çàðàòóøòðû,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_1854;The Immortals have constructed a castle in [Root.GetName]!;;;;;;;;;;;Áåññìåðòíûå ïîñòðîèëè çàìîê â îêðóãå [Root.GetName]!;;x
EVTDESC_SOA_1861;Your majesty, this antagonism is completely unwarranted! The Immortals carry on the work of the prophet Zoroaster, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [From.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ïîäîáíûé àíòàãîíèçì ñîâåðøåííî íå îïðàâäàí! Áåññìåðòíûå ïðîäîëæàþò äåëî Çàðàòóøòðû, íî îòíîñèòñÿ ëè ýòî ê Âàì?\nÂ ãíåâå è ïå÷àëè,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_1909;The Third Temple now stands tall on Temple Mount in Jerusalem, and several pious Jews have formed a new holy order modelled after the ancient Zealots to protect Judaism against its enemies. Just like the Jewish sect that is their namesake, these new Zealots will not shy away from violence against those they feel are deserving.\n\nSome within the Jewish religious community have accused the Zealots of taking their faith to extreme levels, but the ranks of this new order continue to swell as Jewish exiles returning to the Promised Land flock to their banner. Their numbers now include everyone from uneducated peasants to veteran soldiers from distant European wars.;;;;;;;;;;;Òðåòèé Õðàì òåïåðü çàíèìàåò äîñòîéíîå ìåñòî íà Õðàìîâîé ãîðå â Èåðóñàëèìå, è ðÿä ïðàâîâåðíûõ èóäååâ ñôîðìèðîâàëè íîâûé äóõîâíûé îðäåí ïî îáðàçöó äðåâíèõ çåëîòîâ, çàùèùàâøèõ èóäàèçì îò âðàãîâ. Òàê æå, êàê èõ ò¸çêà èóäåéñêàÿ ñåêòà, ýòè íîâûå çåëîòû íå ñòàíóò èçáåãàòü íàñèëèÿ ïðîòèâ òåõ, êòî ïî èõ ìíåíèþ åãî çàñëóæèâàåò.\nÍåêîòîðûå ïðåäñòàâèòåëè èóäåéñêîé ðåëèãèîçíîé îáùèíû îáâèíèëè çåëîòîâ â ýêñòðåìèçìå, íî ýòîò îðäåí ïðîäîëæàåò ðàñòè ïî ìåðå òîãî, êàê íåêîãäà èçãíàííûå èóäåè âîçâðàùàþòñÿ íà Çåìëþ Îáåòîâàííóþ è ñòåêàþòñÿ ïîä èõ çíàì¸íà. Â íàñòîÿùåå âðåìÿ â îðäåíå ìîæíî íàéòè âñåõ - îò íåãðàìîòíûõ êðåñòüÿí äî âåòåðàíîâ, çàêàë¸ííûõ â îòäàë¸ííûõ åâðîïåéñêèõ âîéíàõ.;;x
EVTDESC_SOA_1931;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Zealots in their struggle against the infidel, even though this will forever disinherit him.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation], [From.GetTitledFirstName], ïðîñèò ó ìåíÿ ðàçðåøåíèÿ âñòóïèòü â ðÿäû Çåëîòîâ, ÷òîáû ñðàæàòüñÿ ïðîòèâ èíîâåðöåâ, íåñìîòðÿ íà òî, ÷òî ýòî èñêëþ÷èò åãî èç ëèíèè íàñëåäîâàíèÿ.;;x
EVTDESC_SOA_1941;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly in our continued defense of Jerusalem, the Third Temple and the [Root.Religion.GetName] faith! You have my friendship, as well as that of the priesthood.\n\nRemember Masada!\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ñòîëü ùåäðûé äàð çíà÷èòåëüíî ïîìîæåò íàì â äàëüíåéøåé çàùèòå Èåðóñàëèìà, Òðåòüåãî Õðàìà è íàøåé ñâÿòîé âåðû!Âû ìîæåòå ðàññ÷èòûâàòü íà ìîþ äðóæáó è ïîääåðæêó ñâÿùåííèêîâ.\nÏîìíèì Ìàñàäó!\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_1953;Most righteous [Root.GetTitledFirstName], the Zealots need more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nRemember Masada!\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], Çåëîòû íóæäàòñÿ â çàìêàõ, ÷òîáû òðåíèðîâàòü âîéñêà è ïîääåðæèâàòü èõ äîïîëíèòåëüíûìè äîõîäàìè. ß îáðàòèë[From.GetEndA] âíèìàíèå, ÷òî â Âàøèõ âëàäåíèÿõ åñòü ïîäõîäÿùåå äëÿ ýòîãî ìåñòî - [FromFrom.GetName], åñëè áûòü òî÷íûì. ß çàïëà÷ó Âàì 100 çîëîòûõ â îáìåí íà ïðàâî ïîñòðîèòü òàì êðåïîñòü.\nÏîìíèì Ìàñàäó!\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_1954;The Zealots have constructed a castle in [Root.GetName]!;;;;;;;;;;;Çåëîòû ïîñòðîèëè çàìîê â îêðóãå [Root.GetName]!;;x
EVTDESC_SOA_1961;Your majesty, this antagonism is completely unwarranted! The Zealots seek only to defend Judaism from its many enemies, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [From.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ïîäîáíûé àíòàãîíèçì ñîâåðøåííî íå îïðàâäàí! Çåëîòû çàùèùàþò èóäàèçì îò âðàãîâ, íî çàùèùàåòå ëè Âû?\nÂ ãíåâå è ïå÷àëè,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_2009;The mighty Sky-Father of the Tengri faith is all-seeing, but still has need of human instruments on the ground. The Lords of the Sky, a new holy order that has been founded in the wake of the Tengri Reformation, ride to do battle against infidels and to spread the will of the Sky-Father to all corners of the world. The deafening sound of these knights approaching on their mounts is like thunder in the sky, and the noise alone is rumored to have made some convert to the Tengri religion on the spot.;;;;;;;;;;;Ìîãó÷èé Îòåö-Íåáî òåíãðèàíñêîé âåðû - âñåâèäÿùèé, íî âñ¸ æå íóæäàåòñÿ â ÷åëîâå÷åñêèõ ñðåäñòâàõ íà çåìëå. Íåáåñíûå âñàäíèêè - íîâûé äóõîâíûé îðäåí, îñíîâàííûé íà âîëíå ðåôîðìàöèè òåíãðèàíñòâà. Ýòè õðàáðûå âñàäíèêè ðâóòñÿ â áîé ïðîòèâ íåâåðíûõ è ðàñïðîñòðàíÿþò âîëþ Îòöà-Íåáî âî âñå óãîëêè ìèðà. Îäèí ëèøü ãðîõîò ýòèõ ðûöàðåé ïî ìåðå èõ ïðèáëèæåíèÿ, êàê ãðîì â íåáå, îêàçàë ñóùåñòâåííîå âëèÿíèå íà ïðåîáðàçîâàíèå è ðàñïðîñòðàíåíèå òåíãðèàíñòâà.;;x
EVTDESC_SOA_2031;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Lords of the Sky in their tireless pursuit of heathenry, even though this will forever disinherit him.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation], [From.GetTitledFirstName], ïðîñèò ó ìåíÿ ðàçðåøåíèÿ ïðèñîåäèíèòüñÿ ê Íåáåñíûì âñàäíèêàì â èõ íåóñòàííîé ïîãîíå çà ÿçû÷åñòâîì, íåñìîòðÿ íà òî, ÷òî ýòî èñêëþ÷èò åãî èç ëèíèè íàñëåäîâàíèÿ.;;x
EVTDESC_SOA_2041;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly as we ride into battle against the enemies of the Sky-Father! Upon my honor, I shall name one of my finest steeds after you!\n\nFor the Sky-Father!\nWarchief [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ñòîëü ùåäðûé äàð çíà÷èòåëüíî ïîìîæåò íàì â áèòâå ñ âðàãàìè Îòöà-Íåáî! Îáåùàþ, ÿ íàçîâó îäíîãî èç ëó÷øèõ êîíåé â Âàøó ÷åñòü!\nÑ íàìè Îòåö-Íåáî!\nÏðåäâîäèòåëü [From.GetFirstName];;x
EVTDESC_SOA_2053;Most righteous [Root.GetTitledFirstName], the Lords of the Sky are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nFor the Sky-Father!\nWarchief [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], Íåáåñíûå âñàäíèêè íóæäàþòñÿ â çàìêàõ, ÷òîáû òðåíèðîâàòü âîéñêà è ïîääåðæèâàòü èõ äîïîëíèòåëüíûìè äîõîäàìè, à â Âàøèõ âëàäåíèÿõ åñòü ïîäõîäÿùåå äëÿ ýòîãî ìåñòî - [FromFrom.GetName], åñëè áûòü òî÷íûì. ß çàïëà÷ó Âàì 100 çîëîòûõ â îáìåí íà ïðàâî ïîñòðîèòü òàì êðåïîñòü.\nÑ íàìè Îòåö-Íåáî!\nÏðåäâîäèòåëü [From.GetFirstName];;x
EVTDESC_SOA_2054;The Lords of the Sky have constructed a castle in [Root.GetName]!;;;;;;;;;;;Íåáåñíûå âñàäíèêè ïîñòðîèëè çàìîê â îêðóãå [Root.GetName]!;;x
EVTDESC_SOA_2061;Your majesty, this antagonism is completely unwarranted! The Lords of the Sky seek only to ride into battle against the enemies of the Sky-Father. Can you make that same claim?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ïîäîáíûé àíòàãîíèçì ñîâåðøåííî íå îïðàâäàí! Íåáåñíûå âñàäíèêè ñêà÷óò íàâñòðå÷ó áèòâå ïî èìÿ Îòöà-Íåáî, íî ïðåñëåäóåòå ëè Âû òå æå öåëè?\nÂ ãíåâå è ïå÷àëè,\nÏðåäâîäèòåëü [From.GetFirstName];;x
EVTDESC_SOA_2109;With the reformation of the many African pagan belief systems into a single coherent whole, several tribes have agreed to pool together their best warriors into a single holy order. They claim to be the Guardians of the Spirits and they have vowed to defend the spirits and those who believe in them from all who would do them harm.;;;;;;;;;;;"Ñ ðåôîðìèðîâàíèåì ìíîãèõ çàïàäíîàôðèêàíñêèõ ÿçû÷åñêèõ âåðîâàíèé â åäèíîå öåëîå íåñêîëüêî ïëåì¸í äîãîâîðèëèñü îáúåäèíèòü âìåñòå ëó÷øèõ âîèíîâ â äóõîâíûé îðäåí. Îíè íàçûâàþò ñåáÿ ""Äóõîâíûìè Õðàíèòåëÿìè"", ïîêëÿâøèìèñÿ çàùèùàòü äóõîâ è òåõ, êòî âåðèò â íèõ îò ëþáîãî, êòî ïîïûòàåòñÿ ïðè÷èíèòü èì âðåä.";;x
EVTDESC_SOA_2131;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Spirit Guardians in their brave defense of our faith, even though this will forever disinherit him.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation], [From.GetTitledFirstName], ïðîñèò ó ìåíÿ ðàçðåøåíèÿ âñòóïèòü â ðÿäû Äóõîâíûõ Õðàíèòåëåé, ÷òîáû ñðàæàòüñÿ çà âåðó, íåñìîòðÿ íà òî, ÷òî ýòî èñêëþ÷èò åãî èç ëèíèè íàñëåäîâàíèÿ.;;x
EVTDESC_SOA_2141;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in our unceasing efforts to defend the Spirits and their faithful believers! You have my friendship, as well as that of the priesthood.\n\nMay the Spirits walk with you,\nWarchief [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ñòîëü ùåäðûé äàð çíà÷èòåëüíî ïîìîæåò íàì â íåïðåêðàùàþùåéñÿ áèòâå çà çàùèòó Äóõîâ è èõ âåðíûõ ïîñëåäîâàòåëåé! Âû ìîæåòå ðàññ÷èòûâàòü íà ìîþ äðóæáó è ïîääåðæêó æðåöîâ.\nÏóñòü Äóõè ñîïðîâîæäàþò Âàñ,\nÏðåäâîäèòåëü [From.GetFirstName];;x
EVTDESC_SOA_2153;Most righteous [Root.GetTitledFirstName], the Spirit Guardians are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay the Spirits walk with you,\nWarchief [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], Äóõîâíûå Õðàíèòåëè íóæäàþòñÿ â çàìêàõ, ÷òîáû òðåíèðîâàòü âîéñêà è ïîääåðæèâàòü èõ äîïîëíèòåëüíûìè äîõîäàìè, à â Âàøèõ âëàäåíèÿõ åñòü ïîäõîäÿùåå äëÿ ýòîãî ìåñòî - [FromFrom.GetName], åñëè áûòü òî÷íûì. ß çàïëà÷ó Âàì 100 çîëîòûõ â îáìåí íà ïðàâî ïîñòðîèòü òàì êðåïîñòü.\nÏóñòü Äóõè ñîïðîâîæäàþò Âàñ!\nÏðåäâîäèòåëü [From.GetFirstName];;x
EVTDESC_SOA_2154;The Spirit Guardians have constructed a castle in [Root.GetName]!;;;;;;;;;;;Äóõîâíûå Õðàíèòåëè ïîñòðîèëè çàìîê â îêðóãå [Root.GetName]!;;x
