#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTTITLEHF25200;The Arm-wrestling Challenge;;;;;;;;;;;Àðìðåñòëèíã;;x
EVTDESCHF25270;Perhaps I shouldn't have treated [From.GetFirstName] so poorly. Right after the game, [From.GetSheHe] swore revenge for [From.GetHerHis] humiliation and stormed off the main hall, amongst the laughter of all the other warriors.;;;;;;;;;;;Âîçìîæíî, ÿ ñëèøêîì óâëåê[From.GetLasSya] íà ôëèòèíãå, [From.GetFirstName] âîñïðèíÿë[From.GetEndA] ýòî êàê ëè÷íîå îñêîðáëåíèå. [From.GetSheHeCap] ïîêëÿ[From.GetLasLsya] îòîìñòèòü ìíå çà óíèæåíèå è äåìîíñòðàòèâíî ïîêèíóë[From.GetEndA] çàë ïîä ãðîìêèé ñìåõ ñâîèõ ñîðàòíèêîâ.;;x
EVTDESCHF25271;Despite my show of kindness, [From.GetFirstName] refused to drink with me after the game. Instead, [From.GetSheHe] swore revenge for [From.GetHerHis] humiliation and stormed off the main hall, amongst the laughter of all the other warriors.;;;;;;;;;;;Íåñìîòðÿ íà òî, ÷òî ÿ ïðîÿâèë[Root.GetEndA] âåæëèâîñòü ïîñëå ïåðåáðàíêè, [From.GetFirstName] îòêàçà[From.GetLasLsya] âûïèòü ñî ìíîé. Áîëåå òîãî, [From.GetSheHe] ïîêëÿ[From.GetLasLsya] îòîìñòèòü ìíå çà óíèæåíèå è äåìîíñòðàòèâíî ïîêèíóë[From.GetEndA] çàë ïîä ãðîìêèé ñìåõ ñâîèõ ñîðàòíèêîâ.;;x
EVTDESCHF25280;Our cellar has had a growing excess of mead for a few weeks now, to the point that I am starting to think about challenging the other warriors of the Lodge to see whom amongst them has the toughest stomach, while at the same time freeing some space and improving the fighters' morale.;;;;;;;;;;;Â íàøåì ïîãðåáå óæå íåñêîëüêî íåäåëü íàêàïëèâàåòñÿ èçáûòîê ìåäîâóõè, è ÿ óæå ïîäóìûâàþ î òîì, ÷òîáû áðîñèòü âûçîâ äðóãèì âîèíàì Ëîæè, ÷òîáû óçíàòü, ó êîãî èç íèõ ñàìûé êðåïêèé æåëóäîê, à çàîäíî îñâîáîäèòü íåìíîãî ìåñòà è ïîâûñèòü áîåâîé äóõ áîéöîâ.;;x
EVTDESCHF25281;[From.GetBestName] has decided to share a few barrels of mead to the entire congregation tonight, challenging [From.GetHerHis] fellow warriors to see which one among us will be able to drink the most without faltering.;;;;;;;;;;;Ñåãîäíÿ âå÷åðîì [From.GetTitledFirstNameWithNick] ðåøèë[From.GetEndA] ïîäåëèòüñÿ íåñêîëüêèìè áî÷êàìè ìåäîâóõè ñî âñåé îáùèíîé, áðîñèâ âûçîâ ñâîèì ñîðàòíèêàì-âîèíàì, ÷òîáû ïîñìîòðåòü, êòî èç íàñ ñìîæåò, áåç êîëåáàíèé, âûïèòü áîëüøå âñåõ.;;x
EVTDESCHF25283;Several recruits accepted my challenge at the mere mention of free mead and soon the main hall is filled with cheering and clashing of tankards. The servants bring in the first barrel while everybody finds a place in the long table, eager to start.;;;;;;;;;;;Íåñêîëüêî íîâîáðàíöåâ ïðèíÿëè ìîé âûçîâ ïðè îäíîì ëèøü óïîìèíàíèè î áåñïëàòíîé ìåäîâóõå, è âñêîðå ãëàâíûé çàë íàïîëíèëñÿ ðàäîñòíûìè âîçãëàñàìè è çâîíîì êðóæåê. Ñëóãè ïðèíîñÿò ïåðâûé áî÷îíîê, è âñå óñàæèâàþòñÿ çà äëèííûé ñòîë, ïðåäâêóøàÿ íà÷àëî.;;x
EVTDESCHF25284;Several recruits accepted my challenge at the mere mention of free mead and soon the main hall is filled with cheering and clashing of tankards. The servants bring in the first barrel while we all find a place in the long table, eager to start.;;;;;;;;;;;Íåñêîëüêî íîâîáðàíöåâ ïðèíÿëè ìîé âûçîâ ïðè îäíîì óïîìèíàíèè î áåñïëàòíîé ìåäîâóõå, è âñêîðå ãëàâíûé çàë íàïîëíèëñÿ ðàäîñòíûìè âîçãëàñàìè è çâîíîì êðóæåê. Ñëóãè ïðèíîñÿò ïåðâóþ áî÷êó, ïîêà ìû âñå óñòðàèâàåìñÿ ïîóäîáíåå çà äëèííûì ñòîëîì, ñ íåòåðïåíèåì îæèäàÿ íà÷àëà.;;x
EVTDESCHF25286;The first warriors have just started tapping out when a scuffle between two of the contenders quickly devolves into a large brawl. When the dust settles, there's barely anyone left standing, and most of the mead has been spilled on the floor, making it very hard for me to determine if there is any winner at all.;;;;;;;;;;;Ïåðâûå âîèíû òîëüêî íà÷àëè òåðÿòü ñîçíàíèå îò âûïèòîãî, êîãäà ïîòàñîâêà ìåæäó äâóìÿ ïðåòåíäåíòàìè áûñòðî ïåðåðîñëà â áîëüøóþ äðàêó. Êîãäà ïûëü îñåäàåò, ïî÷òè íè êòî íå ñìîã ñòîÿòü íà íîãàõ, à áîëüøàÿ ÷àñòü ìåäîâóõè ïðîëèëàñü íà ïîë, òàê ÷òî ìíå î÷åíü òðóäíî îïðåäåëèòü, åñòü ëè âîîáùå ïîáåäèòåëü.;;x
EVTDESCHF25287;The first warriors have just started tapping out when a scuffle between two of the contenders quickly devolves into a large brawl. When the dust settles, there's barely anyone left standing, and most of the mead has been spilled on the floor, making it very hard for [From.GetTitledFirstName] to determine if there is any winner at all.;;;;;;;;;;;Ïåðâûå âîèíû òîëüêî íà÷àëè òåðÿòü ñîçíàíèå îò âûïèâêè, êîãäà ïîòàñîâêà ìåæäó äâóìÿ ïðåòåíäåíòàìè áûñòðî ïåðåðîñëà â áîëüøóþ äðàêó. Êîãäà ïûëü îñåëà, ïî÷òè íèêîãî íå îñòàëîñü íà ìåñòå, à áîëüøàÿ ÷àñòü ìåäîâóõè áûëà ïðîëèòà íà ïîë, òàê ÷òî [From.GetTitledFirstName] î÷åíü òðóäíî îïðåäåëèòü, åñòü ëè âîîáùå ïîáåäèòåëü.;;x
EVTDESCHF25289;With most of the other warriors having tapped out, it looks like it is down to [warrior_lodge_drinking_finalist_1.GetFirstName] and [warrior_lodge_drinking_finalist_2.GetFirstName]. The two contenders are drinking face to face for some time, when I start noticing that [From.GetFirstName] has started to spill a suspicious amount of mead at each new round.;;;;;;;;;;;Ïîñêîëüêó áîëüøèíñòâî äðóãèõ âîèíîâ âûøëè èç èãðû, ïîõîæå, ÷òî îñòàëèñü [warrior_lodge_drinking_finalist_1.GetFirstName] è [warrior_lodge_drinking_finalist_2.GetFirstName]. Äâà ñîïåðíèêà êàêîå-òî âðåìÿ ïüþò, ëèöîì äðóã ïåðåä äðóãîì, êîãäà ÿ íà÷èíàþ çàìå÷àòü, ÷òî [From.GetFirstName] íà÷àë[From.GetEndA] ïðîëèâàòü ïîäîçðèòåëüíîå êîëè÷åñòâî ìåäîâóõè â êàæäîì íîâîì ðàóíäå.;;x
EVTDESCHF25290;When [From.GetFirstName] shouts my name, for a moment I think I have won the game. Unfortunately, this is not the case at all. [From.GetSheHeCap] has discovered my trick and called me out on it. Before I can try to explain myself, two warriors grab me by the arms and throw me out of the main hall.;;;;;;;;;;;Êîãäà [From.GetFirstName] âûêðèêèâàåò ìî¸ èìÿ, íà ìãíîâåíèå ìíå êàæåòñÿ, ÷òî ÿ ïîáåäèë[Root.GetEndA] â èãðå. Ê ñîæàëåíèþ, ýòî ñîâñåì íå òàê. [From.GetSheHeCap] îáíàðóæèë[From.GetEndA] ìîþ óëîâêó è çàêðè÷àë[From.GetEndA], ÷òîáû ñîîáùèòü îá ýòîì. Ïðåæäå ÷åì ÿ óñïåâàþ îáúÿñíèòüñÿ, äâîå âîèíîâ õâàòàþò ìåíÿ çà ðóêè è âûøâûðèâàþò èç ãëàâíîãî çàëà.;;x
EVTDESCHF25291;One by one, the other contenders either tap out or fall unconscious. I cannot see straight anymore and everything is blurry, but I am still standing. All of a sudden [FromFrom.GetFirstName] calls for the name of my opponent, there is a bit of a scuffle, and I am proclaimed winner. I am not exactly sure what happened, but I can hardly complain about it.;;;;;;;;;;;Îäèí çà äðóãèì îñòàëüíûå ïðåòåíäåíòû ëèáî ñäàþòñÿ, ëèáî ïàäàþò áåç ñîçíàíèÿ. ß áîëüøå íå ìîãó âèäåòü ÷¸òêî, âñ¸ ðàñïëûâàåòñÿ, íî ÿ âñ¸ åù¸ ñòîþ. Âäðóã [FromFrom.GetFirstName] íàçûâàåò èìÿ ìîåãî ñîïåðíèêà, ïðîèñõîäèò íåáîëüøàÿ ïîòàñîâêà, è ìåíÿ ïðîâîçãëàøàþò ïîáåäèòåë[Root.GetSoftNitseyEm]. ß òî÷íî íå çíàþ, ÷òî ïðîèçîøëî, íî âðÿä ëè ìîãó íà ýòî æàëîâàòüñÿ.;;x
EVTDESCHF25292;One by one, the other contenders either tap out or fall unconscious. I cannot see straight anymore and everything is blurry, but I am still standing. I gulp down another tankard and watch mindlessly as my last opponent falls head first on the table. While I am still processing what happened, I am proclaimed the winner of the contest amongst the cheers of the other warriors.;;;;;;;;;;;Îäèí çà äðóãèì îñòàëüíûå ïðåòåíäåíòû ëèáî ñäàþòñÿ, ëèáî ïàäàþò áåç ñîçíàíèÿ. ß áîëüøå íå âèæó ÷¸òêî, âñ¸ âîêðóã ðàñïëûâàåòñÿ, íî ÿ âñ¸ åù¸ ñòîþ íà íîãàõ. ß ãëîòàþ åù¸ îäíó êðóæêó è áåçäóìíî ñìîòðþ, êàê ìîé ïîñëåäíèé ñîïåðíèê ïàäàåò âïåð¸ä, ãîëîâîé íà ñòîë. Ïîêà ÿ âñ¸ åù¸ îáäóìûâàþ ïðîèçîøåäøåå, ìåíÿ ïðîâîçãëàøàþò ïîáåäèòåë[Root.GetSoftNitseyEm] ñîñòÿçàíèÿ ïîä îäîáðèòåëüíûå âîçãëàñû îñòàëüíûõ âîèíîâ.;;x
EVTDESCHF25293;One by one, the contenders tap out, throw up, or pass out, leaving lesser and lesser warriors still drinking. At the end of the evening, there is only one left: [From.GetFirstName]. The crowd cheers a few times for the winner and carries [From.GetHerHim] around the hall for a while, giving [From.GetHerHim] some much needed praise.;;;;;;;;;;;Îäèí çà äðóãèì ñîïåðíèêè ñäàþòñÿ, áëþþò èëè òåðÿþò ñîçíàíèå, îñòà¸òñÿ âñ¸ ìåíüøå è ìåíüø¸ âîèíîâ, êîòîðûå ïðîäîëæàþò ïèòü. Â êîíöå âå÷åðà îñòà¸òñÿ òîëüêî îä[From.GetNaIn]: [From.GetFirstName]. Çðèòåëè íåñêîëüêî ðàç ïðèâåòñòâóþò ïîáåäèòåë[From.GetSoftNitsuYa] è êàêîå-òî âðåìÿ íîñÿò [From.GetHerHis] ïî çàëó, âîçäàâàÿ [From.GetHerHim] ñòîëü íåîáõîäèìóþ ïîõâàëó.;;x
EVTDESCHF25294;One by one, the other contenders either tap out or fall unconscious. I am just about to raise my hand and drink another mouthful of mead when everything goes black. When I finally come back to my senses, one of the other warriors informs me that [WL_drinking_contest_winner.GetBestName] was the one to win the contest in the end.;;;;;;;;;;;Îäèí çà äðóãèì îñòàëüíûå ïðåòåíäåíòû ëèáî ñäàþòñÿ, ëèáî òåðÿþò ñîçíàíèå. ß òîëüêî ñîáèðàþñü ïîäíÿòü ðóêó è ñäåëàòü åù¸ îäèí ãëîòîê ìåäîâóõè, êàê âñ¸ ñòàíîâèòñÿ ÷¸ðíûì. Êîãäà ÿ, íàêîíåö-òî, ïðèõîæó â ñåáÿ, îäèí èç äðóãèõ âîèíîâ ñîîáùàåò ìíå, ÷òî [WL_drinking_contest_winner.GetTitledFirstNameWithNick], â êîíöå êîíöîâ, âûèãðàë[WL_drinking_contest_winner.GetEndA] ñîñòÿçàíèå.;;x
EVTDESCHF25295;Despite my best efforts, [WL_drinking_contest_winner.GetFirstName] is relentless, drinking tankard after tankard, leaving me well behind in the match. In the end, I am unable to even raise my arm to drink anymore, and lean on the table, conceding [WL_drinking_contest_winner.GetHerHim] victory.;;;;;;;;;;;Íåñìîòðÿ íà âñå ìîè óñèëèÿ, [WL_drinking_contest_winner.GetFirstName] íåóìîëèì[WL_drinking_contest_winner.GetEndA], âûïèâàÿ êðóæêó çà êðóæêîé, îñòàâëÿÿ ìåíÿ äàëåêî ïîçàäè â ýòîì ñîñòÿçàíèè. Â êîíöå êîíöîâ, ÿ óæå íå ìîãó äàæå ïîäíÿòü ðóêó, ÷òîáû âûïèòü, è îïèðàþñü íà ñòîë, óñòóïàÿ [WL_drinking_contest_winner.GetHerHim] ïîáåäó.;;x
EVTDESCHF25296;Once the other warriors have finally put me down and left me to cope with the more unpleasant consequences of my victory, [From.GetBestName] [From.GetHerselfHimself] approaches me to offer [From.GetHerHis] congratulations. [From.GetSheHeCap] claims that [From.GetSheHe] was truly impressed by my resilience and would love to count a [Root.GetManWoman] like me amongst [From.GetHerHis] allies.;;;;;;;;;;;Êàê òîëüêî äðóãèå âîèíû, íàêîíåö-òî, óëîæèëè ìåíÿ è îñòàâèëè ñïðàâëÿòüñÿ ñ áîëåå íåïðèÿòíûìè ïîñëåäñòâèÿìè ìîåé ïîáåäû, [From.GetTitledFirstNameWithNick] ñàì[From.GetEndA] ïîäõîäèò êî ìíå, ÷òîáû ïîçäðàâèòü ëè÷íî. [From.GetSheHeCap] óòâåðæäàåò, ÷òî [From.GetSheHe] áûë[From.GetEndA] äåéñòâèòåëüíî âïå÷àòëåí[From.GetEndA] ìîåé ñòîéêîñòüþ è õîòåë[From.GetEndA] áû âèäåòü [Root.GetManWoman]ó, âðîäå ìåíÿ, ñðåäè ñâîèõ ñîþçíèêîâ.;;x
EVTDESCHF25297;Unfortunately, [From.GetFirstName] was not interested in my offer. I am not sure if [From.GetSheHe] even understood what I was asking of [From.GetHerHim] in [From.GetHerHis] current state. But then again, perhaps it was a silly idea in the first place...;;;;;;;;;;;Ê ñîæàëåíèþ, ìî¸ ïðåäëîæåíèå íå çàèíòåðåñîâàëî [From.GetFirstName]. ß íå óâåðåí[From.GetEndA], ÷òî [From.GetSheHe] âîîáùå ïîíÿë[From.GetEndA], î ÷¸ì ÿ ïðîñèë[Root.GetEndA] [From.GetHerHis], â [From.GetHerHis] íûíåøíåì ñîñòîÿíèè. Íî îïÿòü æå, âîçìîæíî, ýòî áûëî èçíà÷àëüíî ãëóïîé èäååé...;;x
EVTDESCHF25298;Once the other warriors have finally put me down and left me to cope with the more unpleasant consequences of my victory, [From.GetBestName] [From.GetHerselfHimself] approaches me to offer [From.GetHerHis] congratulations. [From.GetSheHeCap] claims that [From.GetSheHe] was truly impressed by my resilience and would love to count a [From.GetManWoman] like me amongst [From.GetHerHis] friends.;;;;;;;;;;;Êàê òîëüêî äðóãèå âîèíû, íàêîíåö-òî, óëîæèëè ìåíÿ è îñòàâèëè ñïðàâëÿòüñÿ ñ áîëåå íåïðèÿòíûìè ïîñëåäñòâèÿìè ìîåé ïîáåäû, [From.GetTitledFirstNameWithNick] ñàì[From.GetEndA] ïîäõîäèò êî ìíå, ÷òîáû ïîçäðàâèòü ëè÷íî. [From.GetSheHeCap] óòâåðæäàåò, ÷òî [From.GetSheHe] áûë[From.GetEndA] äåéñòâèòåëüíî âïå÷àòëåí[From.GetEndA] ìîåé ñòîéêîñòüþ è õîòåë[From.GetEndA] áû ñ÷èòàòü [From.GetManWoman]ó, âðîäå ìåíÿ, â ÷èñëå ñâîèõ äðóçåé.;;x
EVTDESCHF25299;Unfortunately, [From.GetFirstName] was not interested in my offer of friendship. I am not sure if [From.GetSheHe] even understood what I was asking of [From.GetHerHim] in [From.GetHerHis] current state. But then again, perhaps it was a silly idea in the first place...;;;;;;;;;;;Ê ñîæàëåíèþ, [From.GetFirstName] íå çàèíòåðåñîâà[From.GetLasLsya] ìîèì ïðåäëîæåíèåì äðóæáû. ß íå óâåðåí[Root.GetEndA], ÷òî [From.GetSheHe] âîîáùå ïîíÿë[From.GetEndA], î ÷¸ì ÿ ïðîñèë[From.GetEndA] [From.GetHerHim], â ñâî¸ì òåêóùåì ñîñòîÿíèè. Íî îïÿòü æå, âîçìîæíî, ýòî áûëî èçíà÷àëüíî ãëóïîé èäååé...;;x
EVTDESCHF25300;Once the other warriors have finally put me down and left me to cope with the more unpleasant consequences of my victory, [From.GetBestName] [From.GetHerselfHimself] approaches me to offer [From.GetHerHis] congratulations. [From.GetSheHeCap] claims that [From.GetSheHe] was truly impressed by my resilience and as a show of respect wishes me to have some of [From.GetHerHis] spoils from a recent raid.;;;;;;;;;;;Êàê òîëüêî äðóãèå âîèíû, íàêîíåö-òî, óëîæèëè ìåíÿ è îñòàâèëè ñïðàâëÿòüñÿ ñ áîëåå íåïðèÿòíûìè ïîñëåäñòâèÿìè ìîåé ïîáåäû, [From.GetTitledFirstNameWithNick] ñàì[From.GetEndA] ïîäõîäèò êî ìíå, ÷òîáû ëè÷íî ïîçäðàâèòü. [From.GetSheHeCap] óòâåðæäàåò, ÷òî [From.GetSheHe] áûë[From.GetEndA] äåéñòâèòåëüíî âïå÷àòëåí[From.GetEndA] ìîåé ñòîéêîñòüþ è â çíàê óâàæåíèÿ æåëàåò, ÷òîáû ÿ ïîëó÷èë[Root.GetEndA] íåêîòîðûå èç [From.GetHerHis] òðîôååâ, äîáûòûõ â íåäàâíåì íàáåãå.;;x
EVTDESCAHF25205;Slowly but surely [arm_wrestling_fighter_2.GetFirstName] is gaining ground. Inch by inch, [arm_wrestling_fighter_2.GetSheHe] is pushing my fist closer and closer towards the table. I am starting to lose breath, my face is red and covered in sweat, yet I still cannot manage to push back against [arm_wrestling_fighter_2.GetHerHis] grip. I might simply not be strong enough to win this match...;;;;;;;;;;;Ìåäëåííî, íî âåðíî [arm_wrestling_fighter_2.GetFirstName] îäåðæèâàåò âåðõ. Äþéì çà äþéìîì [arm_wrestling_fighter_2.GetSheHe] ïîäòàëêèâàåò ìîé êóëàê âñ¸ áëèæå è áëèæå ê ñòîëó. ß íà÷èíàþ çàäûõàòüñÿ, ìî¸ ëèöî ïîêðàñíåëî è ïîêðûëîñü ïîòîì, íî ÿ âñ¸ åù¸ íå ìîãó ïðîòèâîñòîÿòü [arm_wrestling_fighter_2.GetHerHis] õâàòêå. Âîçìîæíî, ìíå ïðîñòî íå õâàòèëî ñèë, ÷òîáû âûèãðàòü ýòîò ìàò÷...;;x
EVTDESCAHF25209;Slowly but surely, I manage to push [From.GetFirstName]'s hand closer and closer to the table. I grit my teeth and chuckle, glancing at my opponent to revel in my imminent victory. [From.GetFirstName] looks back at me with a smile. [From.GetSheHeCap] is leaning forward, trying to push back, and giving me a good view of her sweaty cleavage.;;;;;;;;;;;Ìåäëåííî, íî âåðíî ìíå óäà¸òñÿ ïîäòàëêèâàòü ðóêó [From.GetFirstName] âñ¸ áëèæå è áëèæå ê ñòîëó. ß ñòèñêèâàþ çóáû è óñìåõàþñü, ãëÿäÿ íà ïðîòèâíèêà, ÷òîáû íàñëàäèòüñÿ ñâîåé íåìèíóåìîé ïîáåäîé. [From.GetFirstName] ñìîòðèò íà ìåíÿ ñ óëûáêîé. [From.GetSheHeCap] íàêëîíÿåòñÿ âïåð¸ä, ïûòàÿñü îòòîëêíóòüñÿ è ïðåäîñòàâèâ ìíå õîðîøèé âèä íà âñïîòåâøóþ ãðóäü [From.GetFirstName].;;x
EVTDESCAHF25218;It has been some time now since I have begun noticing [From.GetFirstName]. [From.GetSheHeCap] has distinguished [From.GetHerselfHimself] more than once amongst the members of our Lodge, to the point that I have started feeling strangely attracted to [From.GetHerHim].;;;;;;;;;;;Ïðîøëî íåêîòîðîå âðåìÿ ñ òåõ ïîð, êàê ÿ íà÷àë[Root.GetEndA] çàìå÷àòü [From.GetFirstName]. [From.GetSheHeCap] íå ðàç âûäåëÿë[From.GetLasLsya] ñðåäè ÷ëåíîâ íàøåé Ëîæè, äî òàêîé ñòåïåíè, ÷òî ÿ íà÷èíàþ èñïûòûâàòü ñòðàííîå âëå÷åíèå ê í[From.GetHerHim].;;x
EVTDESCAHF25219;Tonight, just as I was about to leave the main hall, I was approached by [From.GetFirstName], one of my fellow warriors. After chatting for a while, [From.GetSheHe] reveals to me that [From.GetSheHe] has been watching me for a while, and finds me to be a very strong and attractive fighter.;;;;;;;;;;;Ñåãîäíÿ âå÷åðîì, êîãäà ÿ ñîáèðà[Root.GetLasLsya] ïîêèíóòü ãëàâíûé çàë, êî ìíå ïîäîø[From.GetLaYol] [From.GetFirstName], îä[From.GetNaIn] èç ìîèõ òîâàðèùåé-âîèíîâ. Íåìíîãî ïîáîëòàâ, [From.GetSheHe] ñîîáùàåò ìíå, ÷òî [From.GetSheHe] êàêîå-òî âðåìÿ íàáëþäàåò çà ìíîé è íàõîäèò ìåíÿ î÷åíü ñèëüí[Root.GetOyYm] è ïðèâëåêàòåëüí[Root.GetOyYm], â ñðàâíåíèè ñ äðóãèìè áîéöàìè.;;x
EVTDESCAHF25220;I was right to trust my feelings. [From.GetFirstName] was surprised and happy to hear of how I felt about [From.GetHerHim] and told me that [From.GetSheHe] was merely waiting for the right opportunity to reveal [From.GetHerHis] own feelings for me.;;;;;;;;;;;ß áûë[Root.GetEndA] ïðàâ[Root.GetEndA], äîâåðèâøèñü ñâîèì ÷óâñòâàì. [From.GetFirstName] áûë[From.GetEndA] óäèâëåí[From.GetEndA] è ðàä[From.GetEndA] óñëûøàòü î ìîèõ ÷óâñòâàõ ê í[From.GetHerHim] è ñêàçàë[From.GetEndA] ìíå, ÷òî [From.GetSheHe] ïðîñòî æäàë[From.GetEndA] ïîäõîäÿùåãî ñëó÷àÿ, ÷òîáû îòêðûòü ñâîè ÷óâñòâà êî ìíå.;;x
EVTDESCAHF25221;Unfortunately, [From.GetFirstName] has spurned my advances without much thought to it. At first, I hoped that [From.GetSheHe] was simply misunderstanding my intentions, but, after a bit of discussing, [From.GetSheHe] flatly told me that [From.GetSheHe] is not interested in me.;;;;;;;;;;;Ê ñîæàëåíèþ, [From.GetFirstName] îòâåðãàåò ìîè óõàæèâàíèÿ, áåç îñîáûõ ðàçäóìèé.. Ñíà÷àëà ÿ íàäåÿ[Root.GetLasLsya], ÷òî [From.GetSheHe] ïðîñòî íåïðàâèëüíî ïîíÿë[From.GetEndA] ìîè íàìåðåíèÿ, íî ïîñëå íåáîëüøîãî îáñóæäåíèÿ [From.GetSheHe] ïðÿìî ñêàçàë[From.GetEndA], ÷òî [From.GetSheHe] íå èíòåðåñóåòñÿ ìíîé.;;x
EVTDESCAHF25222;It has been some time now since I have begun noticing [From.GetFirstName]. [From.GetSheHeCap] has distinguished [From.GetHerselfHimself] more than once amongst the members of our Lodge. [From.GetSheHeCap] is, without a doubt, an impressive warrior.;;;;;;;;;;;Ïðîøëî íåêîòîðîå âðåìÿ ñ òåõ ïîð, êàê ÿ íà÷àë[Root.GetEndA] çàìå÷àòü [From.GetFirstName]. [From.GetSheHeCap] íå ðàç âûäåëÿë[From.GetLasLsya] ñðåäè ÷ëåíîâ íàøåé Ëîæè. [From.GetSheHeCap], áåç ñîìíåíèÿ, âïå÷àòëÿþùèé âîèí.;;x
EVTDESCAHF25223;Tonight, just as I was about to leave the main hall, I was approached by [From.GetFirstName], one of my fellow warriors. After chatting for a while, [From.GetSheHe] reveals to me that [From.GetSheHe] has been watching me for a while, and has come to consider me one of the most valuable members of the Lodge, as well as a terrific fighter.;;;;;;;;;;;Ñåãîäíÿ âå÷åðîì, êîãäà ÿ ñîáèðà[Root.GetLasLsya] ïîêèíóòü ãëàâíûé çàë, êî ìíå ïîäîø[From.GetLaYol] [From.GetFirstName], îä[From.GetNaIn] èç ìîèõ òîâàðèùåé-âîèíîâ. Íåìíîãî ïîáîëòàâ, [From.GetSheHe] ñîîáùàåò ìíå, ÷òî [From.GetSheHe] íåêîòîðîå âðåìÿ íàáëþäàë[From.GetEndA] çà ìíîé è ñòàë[From.GetEndA] ñ÷èòàòü ìåíÿ îäíèì èç ñàìûõ öåííûõ ÷ëåíîâ Ëîæè, à òàêæå ïîòðÿñàþùèì áîéöîì.;;x
EVTDESCAHF25224;[From.GetFirstName] was glad to hear of what I think of [From.GetHerHim]. We spent most of the night talking and ended up declaring our friendship to each other after a long series of toasts.;;;;;;;;;;;[From.GetFirstName] áûë[From.GetEndA] ðàä[From.GetEndA] óçíàòü, ÷òî ÿ äóìàþ î í[From.GetHerHim]. Ìû ïðîâåëè áîëüøóþ ÷àñòü íî÷è, ðàçãîâàðèâàÿ, è çàêîí÷èëè òåì, ÷òî íàçâàëèñü äðóçüÿìè, ïîñëå äëèííîé ñåðèè òîñòîâ.;;x
EVTDESCAHF25225;Unfortunately, [From.GetFirstName]'s reception to my thoughts about [From.GetHerHim] was tepid at best. We talked for a while, but it soon became clear that we do not have as much in common as I initially thought.;;;;;;;;;;;Ê ñîæàëåíèþ, îòíîøåíèå [From.GetFirstName] ê ìîèì ìûñëÿì î í[From.GetHerHim] áûëî, â ëó÷øåì ñëó÷àå, ïðîõëàäíûì. Ìû íåìíîãî ïîãîâîðèëè, íî âñêîðå âûÿñíèëîñü, ÷òî ó íàñ íå òàê ìíîãî îáùåãî, êàê ÿ äóìàë[Root.GetEndA] âíà÷àëå.;;x
EVTDESCAHF25255;[Root.GetProwessInsultDesc];;;;;;;;;;;[Root.GetProwessInsultDesc];;x
EVTDESCAHF25257;[Root.GetCharacterInsultDesc];;;;;;;;;;;[Root.GetCharacterInsultDesc];;x
EVTDESCAHF25259;[Root.GetAccomplishmentsInsultDesc];;;;;;;;;;;[Root.GetAccomplishmentsInsultDesc];;x
EVTDESCAHF25261;[Root.GetFamilyInsultDesc];;;;;;;;;;;[Root.GetFamilyInsultDesc];;x
EVTDESCAHF25262;[Root.GetFamilyInsultDesc];;;;;;;;;;;[Root.GetFamilyInsultDesc];;x
EVTDESCAHF25263;We spar with words for a while, but soon [From.GetFirstName]'s face grows red with rage and embarrassment, surrounded by the laughter of the other warriors. Unable to put together a coherent response, my opponent has clearly lost the Flyting.;;;;;;;;;;;Ìû îáìåíÿëèñü ïàðîé åäêèõ ôðàç, íî âñêîðå [From.GetFirstName] ïîòåðÿë[From.GetEndA] ñàìîîáëàäàíèå. [From.GetHersHisCap] ëèöî ïîêðàñíåëî îò ÿðîñòè è ñòûäà, ïîêà ïðèñóòñòâóþùèå çàëèâàëèñü ãðîìêèì ñìåõîì. Íå èìåÿ âîçìîæíîñòè äàòü ìíå äîñòîéíûé îòâåò, [From.GetSheHe] áåçóñëîâíî ïðîèãðàë[From.GetEndA] ôëèòèíã.;;x
EVTDESCAHF25288;One by one, the other contenders either tap out or fall unconscious. I cannot see straight anymore and everything is blurry, but I am still standing. Unfortunately, so is [warrior_lodge_drinking_finalist_2.GetFirstName], and [warrior_lodge_drinking_finalist_2.GetSheHe] looks far more resilient than me right now.;;;;;;;;;;;Îäèí çà äðóãèì îñòàëüíûå ïðåòåíäåíòû ëèáî ñäàþòñÿ, ëèáî ïàäàþò áåç ñîçíàíèÿ. ß áîëüøå íå ìîãó ÷¸òêî âèäåòü, è âñ¸ ðàçìûòî, íî ÿ âñ¸ åù¸ ñòîþ. Ê ñîæàëåíèþ, êàê è [warrior_lodge_drinking_finalist_2.GetFirstName], è [warrior_lodge_drinking_finalist_2.GetSheHe] ñåé÷àñ âûãëÿäèò ãîðàçäî áîëåå ñòîéê[warrior_lodge_drinking_finalist_2.GetOyIm], ÷åì ÿ.;;x
