#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
evt_TITLE_LT_20010;The Lost Book;;;;;;;;;;;Aíòè÷íûå òåêñòû?;;x
EVTDESC_LT_20465;Before [murderer.GetSheHe] can run away, I bury my dagger in [murderer.GetHerHis] chest! I leave [murderer.GetTitledFirstName] lying on the ground, a pool of blood forming around [murderer.GetHerHim]. [murderer.GetHerHisCap] face is frozen in a look of betrayal.;;;;;;;;;;;Ïðåæäå ÷åì [murderer.GetTitledFirstName] ñìîã[murderer.GetNoneE] ñáåæàòü, ÿ âîíçèë[Root.GetEndA] êèíæàë [murderer.GetHerHim] â ãðóäü! Îñòàâèâ [murderer.GetHersHis] ëåæàòü â ëóæå êðîâè, ÿ ñïåøíî ðåòèðîâà[Root.GetLasLsya].;;x
EVTDESC_LT_20465_fight;We fight each other, but in the end, I prevail and bury my dagger in [murderer.GetHerHis] chest! I leave [murderer.GetTitledFirstName] lying on the ground, a pool of blood forming around [murderer.GetHerHim].;;;;;;;;;;;Ìåæäó íàìè çàâÿçàëàñü äðàêà, íî ÿ ñìîã[Root.GetNoneE] âîíçèòü êèíæàë [murderer.GetHerHim] â ãðóäü! Îñòàâèâ [murderer.GetHersHis] ëåæàòü â ëóæå êðîâè, ÿ ñïåøíî ðåòèðîâà[Root.GetLasLsya].;;x
EVTDESC_LT_20510_christian;The great [target_dead_ruler.GetTitledName] is dead. Maybe he is in Heaven in the company of the saints and [Root.Religion.GetHighGodNameCap], or maybe in Hell in the company of [Root.Religion.GetRandomEvilGodNameCap]. But here on this land I must decide on how to honor [target_dead_ruler.GetHerHim]. [target_dead_ruler.GetHerHisCap] body may be put to rest in the [target_wonder.GetName].;;;;;;;;;;;[target_dead_ruler.GetTitledFirstName] ìåðòâ[target_dead_ruler.GetEndA]. Âîçìîæíî, [target_dead_ruler.GetSheHe] ñåé÷àñ ñ [Root.GetReligionHighGodINS] íà Íåáåñàõ, à ìîæåò è â àäó, íî ÿñíî îäíî - çäåñü â ìèðå æèâûõ, ÿ äîëæ[Root.GetNaEn] ðåøèòü, êàê ïî÷òèòü [target_dead_ruler.GetHersHis]. [target_dead_ruler.GetSheHeCap] ìîæåò áûòü óâåêîâå÷åí[target_dead_ruler.GetEndA] â [target_wonder.GetWonderTypeShortCapPREP].;;x
EVTDESC_LT_20510_indian;The great [target_dead_ruler.GetTitledName] is dead, [target_dead_ruler.GetHerHis] soul awaiting rebirth in the great cycle of life. But here on this land I must decide on how to honor [target_dead_ruler.GetHerHim]. And thanks to the [target_wonder.GetName] I have the ability to properly honor [target_dead_ruler.GetHerHim] in death.;;;;;;;;;;;[target_dead_ruler.GetTitledFirstName] ìåðòâ[target_dead_ruler.GetEndA], [target_dead_ruler.GetHerHis] äóøà îæèäàåò âîïëîùåíèÿ â ñëåäóþùåì âåëèêîì öèêëå. À ïîêà ÷òî, çäåñü â ìèðå æèâûõ, ÿ äîëæ[Root.GetNaEn] ðåøèòü, êàê ïî÷òèòü [target_dead_ruler.GetHersHis]. [target_dead_ruler.GetSheHeCap] ìîæåò áûòü óâåêîâå÷åí[target_dead_ruler.GetEndA] â [target_wonder.GetWonderTypeShortCapPREP].;;x
EVTDESC_LT_20510_jewish;The great [target_dead_ruler.GetTitledName] is dead, waiting the end of times. But here on this land I must decide on how to honor [target_dead_ruler.GetHerHim]. [target_dead_ruler.GetHerHisCap] body may be put to rest in the [target_wonder.GetName].;;;;;;;;;;;[target_dead_ruler.GetTitledFirstName] ìåðòâ[target_dead_ruler.GetEndA] è îæèäàåò êîíöà âðåì¸í. À ïîêà ÷òî, çäåñü â ìèðå æèâûõ, ÿ äîëæ[Root.GetNaEn] ðåøèòü, êàê ïî÷òèòü [target_dead_ruler.GetHersHis]. [target_dead_ruler.GetSheHeCap] ìîæåò áûòü óâåêîâå÷åí[target_dead_ruler.GetEndA] â [target_wonder.GetWonderTypeShortCapPREP].;;x
EVTDESC_LT_20510_muslim;The great [target_dead_ruler.GetTitledName] is dead. Maybe he is in Jannah accompanied by the Houris, or maybe in Jahannam suffering the company of [Root.Religion.GetRandomEvilGodNameCap]. But here on this land I must decide on how to honor [target_dead_ruler.GetHerHim]. [target_dead_ruler.GetHerHisCap] body may be put to rest in the [target_wonder.GetName].;;;;;;;;;;;[target_dead_ruler.GetTitledFirstName] ìåðòâ[target_dead_ruler.GetEndA]. Âñòðå÷àþò ëè [target_dead_ruler.GetHersHis] ãóðèè â Äæàííàòå èëè [target_dead_ruler.GetSheHe] ïîïàë[target_dead_ruler.GetEndA] â Äæàõàííàì, ÿñíî ëèøü îäíî - çäåñü â ìèðå æèâûõ, ÿ äîëæ[Root.GetNaEn] ðåøèòü, êàê ïî÷òèòü [target_dead_ruler.GetHersHis]. [target_dead_ruler.GetSheHeCap] ìîæåò áûòü óâåêîâå÷åí[target_dead_ruler.GetEndA] â [target_wonder.GetWonderTypeShortCapPREP].;;x
EVTDESC_LT_20510_pagan;The great [target_dead_ruler.GetTitledName] is dead. Maybe he is in the company of [Root.Religion.GetHighGodNameCap], or maybe in the company of [Root.Religion.GetRandomEvilGodNameCap]. But here on this land I must decide on how to honor [target_dead_ruler.GetHerHim]. And thanks to the [target_wonder.GetName] I have the ability to properly honor [target_dead_ruler.GetHerHim] in death.;;;;;;;;;;;[target_dead_ruler.GetTitledFirstName] ìåðòâ[target_dead_ruler.GetEndA]. Ìîæåò áûòü, [target_dead_ruler.GetSheHe] ñåé÷àñ ñ [Root.GetReligionHighGodINS], ìîæåò [Root.Religion.GetRandomEvilGodNameCap] ïðèíèìàåò [target_dead_ruler.GetHersHis] â çàãðîáíîì ìèðå, íî ÿñíî îäíî - çäåñü â ìèðå æèâûõ, ÿ äîëæ[Root.GetNaEn] ðåøèòü, êàê ïî÷òèòü [target_dead_ruler.GetHersHis]. [target_dead_ruler.GetSheHeCap] ìîæåò áûòü óâåêîâå÷åí[target_dead_ruler.GetEndA] â [target_wonder.GetWonderTypeShortCapPREP].;;x
EVTDESC_LT_20520_indian;It was a memorable funeral and procession full of honors for [target_dead_ruler.GetTitledName]. Everybody will remember how I honored [target_dead_ruler.GetHerHim].;;;;;;;;;;;[target_dead_ruler.GetTitledFirstName] áûë[target_dead_ruler.GetEndA] áû äîâîë[target_dead_ruler.GetSoftNaEn]. ×òîáû ïî÷òèòü [target_dead_ruler.GetHersHis] ïàìÿòü, ÿ ïðîâåë[Root.GetEndA] ãðàíäèîçíóþ ïîõîðîííóþ öåðåìîíèþ. Ëþäè áóäóò ïîìíèòü, êàêóþ ÷åñòü ÿ [target_dead_ruler.GetHerHim] îêàçàë[Root.GetEndA].;;x
EVTDESC_LT_20520_monoteist;It was a memorable funeral and procession full of honors for [target_dead_ruler.GetTitledName]. [target_dead_ruler.GetHerHisCap] body now rests in peace in the [target_wonder.GetName]. Everybody will remember how I honored [target_dead_ruler.GetHerHim].;;;;;;;;;;;[target_dead_ruler.GetTitledFirstName] áûë[target_dead_ruler.GetEndA] áû äîâîë[target_dead_ruler.GetSoftNaEn] öåðåìîíèåé. ×òîáû ïî÷òèòü [target_dead_ruler.GetHersHis] ïàìÿòü, ÿ ïðîâåë[Root.GetEndA] ãðàíäèîçíóþ ïîõîðîííóþ ïðîöåññèþ. Òåïåðü [target_dead_ruler.GetHersHis] òåëî ìèðíî ïîêîèòñÿ â [target_wonder.GetWonderTypeShortCapPREP]. Ëþäè áóäóò ïîìíèòü, êàêóþ ÷åñòü ÿ [target_dead_ruler.GetHerHim] îêàçàë[Root.GetEndA].;;x
EVTDESC_LT_20520_pagan;It was a great Feast in the honor of [target_dead_ruler.GetTitledName] and the Gods. [target_dead_ruler.GetHerHisCap] body now rests in peace in the [target_wonder.GetName]. Everybody will remember how I honored [target_dead_ruler.GetHerHim].;;;;;;;;;;;[target_dead_ruler.GetTitledFirstName] áûë[target_dead_ruler.GetEndA] áû äîâîë[target_dead_ruler.GetSoftNaEn] öåðåìîíèåé. ×òîáû ïî÷òèòü [target_dead_ruler.GetHersHis] è áîãîâ, ÿ óñòðîèë[Root.GetEndA] ãðàíäèîçíûé ïèð. Òåïåðü [target_dead_ruler.GetHersHis] òåëî ìèðíî ïîêîèòñÿ â [target_wonder.GetWonderTypeShortCapPREP]. Ëþäè áóäóò ïîìíèòü, êàêóþ ÷åñòü ÿ [target_dead_ruler.GetHerHim] îêàçàë[Root.GetEndA].;;x
EVTDESC_LT_20601_more_artifacts;Your collection of wondrous and holy relics like the [target_artifact_1.GetName], the [target_artifact_2.GetName], and the [target_artifact_3.GetName] is astonishing and the envy of the world. A fitting place to keep one of the relics would be the §Y[target_upgrade.GetName]§! of the §Y[target_wonder.GetName]§!.;;;;;;;;;;;Âàøà êîëëåêöèÿ ñâÿùåííûõ ðåëèêâèé âêëþ÷àåò â ñåáÿ òàêèå àðòåôàêòû, êàê [target_artifact_1.GetName], [target_artifact_2.GetName] è [target_artifact_3.GetName]. Î÷åâèäíî, §Y[target_upgrade.GetName]§! §Y[target_wonder.GetWonderTypeShortCapGEN]§! - ñàìîå ïîäõîäÿùåå ìåñòî äëÿ õðàíåíèÿ ñòîëü öåííûõ âåùåé.;;x
EVTDESC_LT_20601_one_artifact;You spend many hours contemplating the wondrous [target_artifact_1.GetName] in your possession. Surely a fitting place for such a relic would be the §Y[target_upgrade.GetName]§! of the §Y[target_wonder.GetName]§!.;;;;;;;;;;;[target_artifact_1.GetName]... Âû ïðîâåðèë ìíîãèå ÷àñû, ðàçãëÿäûâàÿ ýòîò àðòåôàêò. Î÷åâèäíî, §Y[target_upgrade.GetName]§! §Y[target_wonder.GetWonderTypeShortCapGEN]§! - ñàìîå ïîäõîäÿùåå ìåñòî äëÿ õðàíåíèÿ ñòîëü öåííîé ðåëèêâèè.;;x
EVTDESC_LT_20601_two_artifacts;You spend many hours contemplating the wondrous [target_artifact_1.GetName] and the holy [target_artifact_2.GetName] in your possession. A fitting place to keep one of the relics would be the §Y[target_upgrade.GetName]§! of the §Y[target_wonder.GetName]§!.;;;;;;;;;;;[target_artifact_1.GetName], [target_artifact_2.GetName]... Âû ïðîâåðèë ìíîãèå ÷àñû, ðàçãëÿäûâàÿ ýòè àðòåôàêòû. Î÷åâèäíî, §Y[target_upgrade.GetName]§! §Y[target_wonder.GetWonderTypeShortCapGEN]§! - ñàìîå ïîäõîäÿùåå ìåñòî äëÿ õðàíåíèÿ ñòîëü öåííûõ ðåëèêâèé.;;x
EVTDESC_LT_20610;Suddenly everything goes dark, and a powerful voice echoes in your head: 'What have you done?' Then you feel pain as lightning strikes you, and the world around you dissolves. Your last thoughts are...;;;;;;;;;;;"Âíåçàïíî â ãëàçàõ ïîòåìíåëî, è â Âàøåé ãîëîâå çàçâó÷àë ìîùíûé ãîëîñ: ""×òî òû íàäåëàë[Root.GetEndA]?"". Âû ïî÷óâñòâîâàëè áîëü, ïîðàçèâøóþ Âàñ ïîäîáíî óäàðó ìîëíèè, è ìèð âîêðóã ðàñòâîðèëñÿ. Âàøèìè ïîñëåäíèìè ìûñëÿìè áûëè...";;x
EVTDESC_LT_20700;The last fortifications of the [target_upgrade.GetName] for my [target_wonder.GetName] have been finally finished. Now, even the small townships in the province of [target_province.GetName] are protected by these great defensive works!;;;;;;;;;;;[target_upgrade.GetName] [target_wonder.GetWonderTypeShortCapGEN] - íàêîíåö-òî ðàáîòà çàêîí÷åíà! Òåïåðü äàæå ìåëêèå [target_province.County.GetAdjective]ñêèå äåðåâóøêè ïîëó÷àò îòëè÷íóþ çàùèòó!;;x
EVTDESC_LT_20805;Your courtier [target_courtier.GetBestName] comes to you and says [target_courtier.GetSheHe] acquired [looted_artifact.GetName] from looting the [target_wonder.GetWonderTypeShort]. [target_courtier.GetSheHeCap] would like to gift it to you.;;;;;;;;;;;[target_courtier.GetBestName] ñîîáùèë[target_courtier.GetEndA] âàì, ÷òî àðòåôàêò, èçâåñòíûé êàê [looted_artifact.GetName], áûë íàéäåí âî âðåìÿ ðàçãðàáëåíèÿ [target_wonder.GetWonderTypeShortCapGEN], è [target_courtier.GetSheHe] õîòåë[target_courtier.GetEndA] áû ïîäàðèòü åãî âàì.;;x
EVTDESC_LT_20810;As your men start to loot the [From.GetUnfinished][From.GetName], many in [FromFrom.GetName] are upset that you are destroying their heritage.;;;;;;;;;;;Êîãäà Âàøè ëþäè íà÷àëè ðàçãðàáëåíèå, [FromFrom.County.GetAdjective]ñêèå æèòåëè âûñòóïèëè ðåçêî ïðîòèâ ýòîãî, óòâåðæäàÿ, ÷òî [From.GetUnfinished][From.GetName] - èõ êóëüòóðíîå äîñòîÿíèå.;;x
EVTDESC_LT_20810_cheap;As people see your men starting to tear down the [From.GetUnfinished] [From.GetName], they become upset. Something has to be done to avoid public unrest.;;;;;;;;;;;Ìåñòíûå æèòåëè ñ÷èòàþò, ÷òî [From.GetUnfinished][From.GetName] - èõ êóëüòóðíîå äîñòîÿíèå, è êîãäà îíè çàìåòèëè, êàê Âàøè ëþäè ãðàáÿò ýòî âåëèêîå ñîîðóæåíèå, òî âûñòóïèëè ðåçêî ïðîòèâ.;;x
EVTDESC_LT_20820;The looting of the §Y[From.GetName]§! gave me [local_loot.GetValue] gold. And there is still more to come!;;;;;;;;;;;[From.GetName] ñåé÷àñ â ïðîöåññå ðàçãðàáëåíèÿ. Ìîÿ äîëÿ äîáû÷è óæå ñîñòàâèëà [global_loot.GetValue] çîëîòûõ, è òàì îñòàëîñü åù¸ ìíîãî öåííîãî!;;x
EVTDESC_LT_20820_the_end;The §Y[From.GetName]§! is now nothing but rubble, its former glory lost forever. And I got [local_loot.GetValue] gold from it.;;;;;;;;;;;[From.GetName] òåïåðü íå áîëåå ÷åì ãðóäà îáëîìêîâ. Ïîñëå ðàçãðàáëåíèÿ ìîÿ äîëÿ äîáû÷è ñîñòàâèëà [global_loot.GetValue] çîëîòûõ.;;x
EVTDESC_LT_20900;Some of my followers are clamoring for the conversion of [target_wonder.GetName] to the true faith as soon as possible, so that our people can worship in the grandiose building.;;;;;;;;;;;Íåêîòîðûå èç ìîèõ ñîâåòíèêîâ ñ÷èòàþò, ÷òî Ñîáîé Ñâÿòîé Ñîôèè, òàêæå èçâåñòíûé êàê [target_wonder.GetName], äîëæåí ñëóæèòü èñòèííîé âåðå, äàáû íàøè ëþäè ìîãëè â ïîëíîé ìåðå âîñõèùàòüñÿ âåëè÷èåì ýòîãî ñîîðóæåíèÿ.;;x
EVTDESC_LT_20900_chaplain;My [Root.job_spiritual.GetJobTitle] [Root.job_spiritual.GetFirstName] wants to convert [target_wonder.GetName] to the true faith as soon as possible, so that our people can worship in the grandiose building.;;;;;;;;;;;[target_chaplain.GetJobTitle] [target_chaplain.GetFirstName] õî÷åò, ÷òîáû Ñîáîé Ñâÿòîé Ñîôèè, òàêæå èçâåñòíûé êàê [target_wonder.GetName], ñëóæèë èñòèííîé âåðå òàê ñêîðî, êàê òîëüêî âîçìîæíî, äàáû íàøè ëþäè ìîãëè â ïîëíîé ìåðå âîñõèùàòüñÿ âåëè÷èåì ýòîãî ñîîðóæåíèÿ.;;x
EVTDESC_LT_21000.1;Things quickly get out of control as my soldiers storm the gates of [From.GetName]. Killing indiscriminately and sacking every building they come across, they seem to have lost all sense of discipline.;;;;;;;;;;;Êîãäà ìîè ñîëäàòû âçÿëè øòóðìîì ïîñåëåíèå [From.GetBaseName], ñèòóàöèÿ âûøëà èç-ïîä êîíòðîëÿ. Îíè ïðèíÿëèñü ãðàáèòü, óáèâàòü è íàñèëîâàòü, íå îñòàíàâëèâàÿñü íè ïåðåä ÷åì.;;x
EVTDESC_LT_21000.2;After the army enters [From.GetName], any sense of discipline is lost and the men start to rob, burn and pillage.;;;;;;;;;;;Êîãäà ìîÿ àðìèÿ ïðîíèêëà â ïîñåëåíèå [From.GetName], îíà óòðàòèëà ëþáûå ïðèçíàêè äèñöèïëèíû. Ñîëäàòû ïðèíÿëèñü ãðàáèòü, æå÷ü è ðàçîðÿòü âñ¸ âîêðóã.;;x
EVTOPT_LT_20040_TT;You gain the [the_book.GetName] as an artifact.;;;;;;;;;;;[the_book.GetName] äîáàâèòñÿ â Âàøó áèáëèîòåêó êàê àðòåôàêò.;;x
EVTOPT_LT_20110_TT;You gain the [found_artifact.GetName] as an artifact.\n;;;;;;;;;;;§Y[found_artifact.GetName]§! äîáàâèòñÿ â Âàøó ñîêðîâèùíèöó.\n;;x
EVTOPTA_LT_20010;I shall ask [possible_emissary1.GetFirstName] to go and try to acquire the book!;;;;;;;;;;;Ïóñòü [possible_emissary1.GetFirstName] îòïðàâèòñÿ çà ýòîé êíèãîé!;;x
EVTOPTA_LT_20010_TT;[possible_emissary1.GetFirstName] will be sent to [book_province.GetName].;;;;;;;;;;;[possible_emissary1.GetFirstName] îòïðàâèòñÿ â [book_province.County.GetAdjective]ñêèå çåìëè.;;x
EVTOPTA_LT_20011;May [emissary.GetSheHe] rest in peace.;;;;;;;;;;;Äà óïîêîèòñÿ [emissary.GetHeShe] ñ ìèðîì.;;x
EVTOPTA_LT_20020;It is a pity.;;;;;;;;;;;Ïå÷àëüíî.;;x
EVTOPTA_LT_20030;I will send the money. It will be worth it!;;;;;;;;;;;Íó ýòî ñòîèò òîãî. ß îòïðàâëþ äåíüãè.;;x
EVTOPTA_LT_20035;Oh no! I must be more careful choosing who to send next time.;;;;;;;;;;;Âîò ãàäèíà! Íåëüçÿ áûëî äîâåðÿòü [emissary.GetHerHim] ïîèñêè.;;x
EVTOPTA_LT_20036;Nobody betrays me and gets away with it.;;;;;;;;;;;Íèêòî íå ïîñìååò ïðåäàòü ìåíÿ è âûéòè ñóõèì èç âîäû.;;x
EVTOPTA_LT_20040;I will read the book and see by myself.;;;;;;;;;;;ß ïðî÷èòàþ ýòó êíèãó ñàì[Root.GetEndA].;;x
EVTOPTA_LT_20050;How dare [the_whistleblower.GetSheHe]? Imprison that imbecile [the_whistleblower.GetManWoman]!;;;;;;;;;;;Äà êàê [the_whistleblower.GetSheHe] ïîñìåë[the_whistleblower.GetEndA]? Áðîñèòü [the_whistleblower.GetHersHis] â òåìíèöó!;;x
EVTOPTA_LT_20055;I actually learned something from the book.;;;;;;;;;;;ß ìíîãîå óçíàë èç ýòîé êíèãè.;;x
EVTOPTA_LT_20060_fake_book;Good. And maybe next time I will actually obtain a masterpiece.;;;;;;;;;;;Ìîæåò áûòü â ñëåäóþùèé ðàç ìíå óäàñòñÿ íàéòè íàñòîÿùèé øåäåâð.;;x
EVTOPTA_LT_20060_real_book;A center for culture. That sounds good.;;;;;;;;;;;Öåíòð êóëüòóðû. Çâó÷èò íåïëîõî.;;x
EVTOPTA_LT_20101;Let us spend some time and gold to investigate.;;;;;;;;;;;Íà ýòî ñòîèò ïîòðàòèòü íåìíîãî âðåìåíè è äåíåã.;;x
EVTOPTA_LT_20101_TT;Maybe there are some old valuables inside.\n;;;;;;;;;;;Âîçìîæíî, òàì åñòü ÷òî-òî öåííîå.\n;;x
EVTOPTA_LT_20110;On with the construction!;;;;;;;;;;;×åãî óñòàâèëèñü? Çà ðàáîòó!;;x
EVTOPTA_LT_20301;...'I hope my meaning is clear'.;;;;;;;;;;;— Íàäåþñü, ìîé ïîñûë áûë ÿñíûì.;;x
EVTOPTA_LT_20301_TT;the attempt to intimidate §Y[target_character.GetFirstNameWithNick]§! fails;;;;;;;;;;;ïîïûòêà çàïóãàòü ïåðñîíàæà §Y[target_character.GetFirstNameWithNick]§! ïðîâàëèòñÿ;;x
EVTOPTA_LT_20310;I should not have brought him to the [target_upgrade.GetName].;;;;;;;;;;;[target_upgrade.GetName] - âîò, ÷òî ìíå ïîìîæåò!;;x
EVTOPTA_LT_20405;I will accept.;;;;;;;;;;;ß ñîãëàñ[Root.GetNaEn].;;x
EVTOPTA_LT_20410;... We will know each other a little better.;;;;;;;;;;;Ëó÷øå óçíàëè äðóã äðóãà.;;x
EVTOPTA_LT_20412;Too bad.;;;;;;;;;;;Ïëîõî.;;x
EVTOPTA_LT_20421;I am thoroughly impressed with [From.GetTitledFirstName]!;;;;;;;;;;;È ÿ áûë[Root.GetEndA] âåñüìà âïå÷àòëåí[Root.GetEndA]!;;x
EVTOPTA_LT_20431;I want you too, [From.GetFirstName]...!;;;;;;;;;;;Êàæåòñÿ, ÿ âëþáè[Root.GetLasLsya].;;x
EVTOPTA_LT_20431_no_love;I am not looking for anything 'serious', my [From.GetLordLady].;;;;;;;;;;;Íî ÿ íå áûë[Root.GetEndA] ïðîòèâ.;;x
EVTOPTA_LT_20432_A;Wait... That's it? But I...!;;;;;;;;;;;Êàæåòñÿ, ÿ âëþáè[Root.GetLasLsya].;;x
EVTOPTA_LT_20432_B;Life is good!;;;;;;;;;;;Æèçíü õîðîøà!;;x
EVTOPTA_LT_20434;Curses!;;;;;;;;;;;Ïðîêëÿòüå!;;x
EVTOPTA_LT_20441;You'll have to catch me first!;;;;;;;;;;;Áðîñèòñÿ áåæàòü!;;x
EVTOPTA_LT_20441_TT_dead;you being killed while trying to escape.;;;;;;;;;;;âû áóäåòå óáèòû ïðè ïîïûòêå ê áåãñòâó.;;x
EVTOPTA_LT_20441_TT_escape;you managing to escape.;;;;;;;;;;;âàì óäàñòñÿ ñáåæàòü.;;x
EVTOPTA_LT_20441_TT_wounded;you managing to escape, but wounded.;;;;;;;;;;;âàì óäàñòñÿ ñáåæàòü, íî Âû áóäåòå ðàíåíû.;;x
EVTOPTA_LT_20450;This is not what was supposed to happen...!;;;;;;;;;;;Ýòîãî íå äîëæíî áûëî ñëó÷èòüñÿ!;;x
EVTOPTA_LT_20455;Aaah...;;;;;;;;;;;...;;x
EVTOPTA_LT_20465;So be it!;;;;;;;;;;;Äà áóäåò òàê.;;x
EVTOPTA_LT_20510;I will commit [target_dead_ruler.GetHerHim] to earth in a ceremony that shall be remembered!;;;;;;;;;;;Ýòè ïîõîðîíû çàïîìíÿòñÿ íà âåêà.;;x
EVTOPTA_LT_20510_TT;You invite all people to come and pay homage to §Y[target_dead_ruler.GetTitledName]§! in a grandiose ceremony.;;;;;;;;;;;Ïðèãëàñèòü êàê ìîæíî áîëüøå ëþäåé íà ãðàíäèîçíóþ öåðåìîíèþ, äàáû §Y[target_dead_ruler.GetTitledFirstName]§! ïîëó÷èë[target_dead_ruler.GetEndA] äîñòîéíûå ïîõîðîíû.;;x
EVTOPTA_LT_20520_monoteist;Praise the Lord!;;;;;;;;;;;Ñëàâà Ãîñïîäó!;;x
EVTOPTA_LT_20520_muslim;Allah be praised!;;;;;;;;;;;Õâàëà Àëëàõó!;;x
EVTOPTA_LT_20520_polyteist;Praise the Gods!;;;;;;;;;;;Õâàëà áîãàì!;;x
EVTOPTA_LT_20520_TT;Those who liked §Y[target_dead_ruler.GetBestName]§! improve their opinion of you.[Root.GetBigBurialHaterSentence];;;;;;;;;;;Òå, êîìó íðàâèòñÿ §Y[target_dead_ruler.GetBestName]§!, óëó÷øàò ñâî¸ ìíåíèå î Âàñ.;;x
EVTOPTA_LT_20601;I will store the [target_artifact_1.GetName] in the [target_upgrade.GetName].;;;;;;;;;;;[target_artifact_1.GetName];;x
EVTOPTA_LT_20601_TT;The §Y[This.GetName]§! will be stored forever in the §Y[target_upgrade.GetName]§!. You will not be able to get it back.;;;;;;;;;;;§Y[target_upgrade.GetName]§! ñòàíåò âå÷íûì ìåñòîì õðàíåíèÿ àðòåôàêòà, èçâåñòíîãî êàê §Y[This.GetName]§!. Âû íå ñìîæåòå çàáðàòü ýòó âåùü.;;x
EVTOPTA_LT_20610;I hope my successor does not make the same mistake.;;;;;;;;;;;Íàäåþñü, ìîé íàñëåäíèê íå ñîâåðøèò òó æå îøèáêó.;;x
EVTOPTA_LT_20700;I always enjoy more protection.;;;;;;;;;;;Ïðåâîñõîäíî!;;x
EVTOPTA_LT_20700_TT;All walls of [target_province.GetName] holdings are upgraded to their maximum level.;;;;;;;;;;;Âñå ñòåíû [target_province.County.GetAdjective]ñêèõ ïîñåëåíèé óëó÷øåíû äî ìàêñèìàëüíîãî óðîâíÿ.;;x
EVTOPTA_LT_20805;Thank you, I accept this offer gladly.;;;;;;;;;;;Áëàãîäàðþ Âàñ çà ùåäðûé ïîäàðîê.;;x
EVTOPTA_LT_20810;I post guards so that nobody interferes.;;;;;;;;;;;Îòïðàâüòå ñòðàæó ê ìåñòó áåñïîðÿäêîâ.;;x
EVTOPTA_LT_20900;Yes, we should convert it to the true [Root.Religion.GetName] faith.;;;;;;;;;;;Ñîãëàñ[Root.GetNaEn], ïîðà âíåñòè íåîáõîäèìûå èçìåíåíèÿ.;;x
EVTOPTA_LT_21000;Let them have their fun. This is war after all.;;;;;;;;;;;Ïóñòü ïîâåñåëÿòñÿ. Ýòî æå âîéíà, â êîíöå êîíöîâ.;;x
EVTOPTA_LT_21000_DISHONORABLE_TT;This action will be considered dishonorable by many people.;;;;;;;;;;;Ýòî áåñ÷åñòíîå äåéñòâèå áóäåò ìíîãèìè âîñïðèíÿòî íåãàòèâíî.;;x
EVTOPTB_LT_20010;Or maybe [possible_emissary2.GetFirstName] should go instead.;;;;;;;;;;;Õîòÿ... Ïîæàëóé, [possible_emissary2.GetFirstName] ëó÷øå ñïðàâèòñÿ.;;x
EVTOPTB_LT_20010_TT;[possible_emissary2.GetFirstName] will be sent to [book_province.GetName].;;;;;;;;;;;[possible_emissary2.GetFirstName] îòïðàâèòñÿ â [book_province.County.GetAdjective]ñêèå çåìëè.;;x
EVTOPTB_LT_20030;No, it is too expensive. Let [emissary.GetHerHim] return empty handed.;;;;;;;;;;;Ñëèøêîì äîðîãî. Ïóñòü âîçâðàùàåòñÿ.;;x
EVTOPTB_LT_20035;Maybe somebody will take care of the traitor?;;;;;;;;;;;Êòî-íèáóäü ïîçàáîòüòåñü îá ýò[emissary.GetOyOm] ïðåäàòåëü[emissary.GetEndNitsa].;;x
EVTOPTB_LT_20035_TT;You try to have [emissary.GetTitledNameWithNick] assassinated;;;;;;;;;;;Ïîïûòàòüñÿ ñäåëàòü òàê, ÷òîáû [emissary.GetTitledNameWithNick] óìåð[emissary.GetNoneE];;x
EVTOPTB_LT_20036;Maybe it was not such a good idea.;;;;;;;;;;;Âîçìîæíî, ýòî áûëà íå òàêàÿ óæ õîðîøàÿ èäåÿ.;;x
EVTOPTB_LT_20040;Let us send letters and invite some scholars;;;;;;;;;;;Íàäî ðàçîñëàòü ïðèãëàøåíèÿ.;;x
EVTOPTB_LT_20050;I will reward [the_whistleblower.GetHerHim] for speaking the truth!;;;;;;;;;;;[the_whistleblower.GetSheHeCap] çàñëóæèâàåò íàãðàäó!;;x
EVTOPTB_LT_20055;Burn the damned book!;;;;;;;;;;;Ñæå÷ü ýòó ïðîêëÿòóþ êíèãó!;;x
EVTOPTB_LT_20101;Just ignore and continue the work.;;;;;;;;;;;Èãíîðèðîâàòü ýòîò ôàêò è ïðîäîëæèòü ðàáîòû.;;x
EVTOPTB_LT_20110;It is all mine!;;;;;;;;;;;Ýòî âñ¸ ìî¸!;;x
EVTOPTB_LT_20301;...'I hope you understand how important this favor is'.;;;;;;;;;;;— Íàäåþñü, òû ïîíèìàåøü âñþ âàæíîñòü ýòîé óñëóãè.;;x
EVTOPTB_LT_20301_TT;the attempt to coerce a favor fails;;;;;;;;;;;Ïîïûòêà ïðèíóäèòü ê óñëóãå ïðîâàëèòñÿ;;x
EVTOPTB_LT_20405;I will refuse.;;;;;;;;;;;Îòêàæóñü.;;x
EVTOPTB_LT_20410;... I try to seduce [target_character.GetHerHim].;;;;;;;;;;;ß ïîïûòà[Root.GetLasLsya] ñîáëàçíèòü [target_character.GetHersHis].;;x
