EVTTITLE23910;The Offering;;;;;;;;;;;Ïîäíîøåíèå;;x
EVTDESCHFA23845;The festival has attracted many people from all over the realm to [great_tribal_festival_host.Capital.GetName]. Unfortunately, many of the new grownups are stuck-up bores with no good manners. I have half a mind to gather a few of my playmates and teach them a lesson...;;;;;;;;;;;Ïðàçäíèê ïðèâë¸ê â [great_tribal_festival_host.Capital.GetName] ìíîæåñòâî ëþäåé ñî âñåé ñòðàíû. Ê ñîæàëåíèþ, ìíîãèå èç íîâûõ âçðîñëûõ - ãðóáûå è çàíîñ÷èâûå çàíóäû. ß íå ïðî÷ü ñîáðàòü íåñêîëüêî ñâîèõ òîâàðèùåé ïî èãðàì è ïðåïîäàòü óðîê ýòèì ãðóáèÿíàì...;;x
EVTDESCHFA23846;We have barely started having fun when a some of the tribes' warriors decide to take matters in their own hands and take on us. All my friends immediately desert me, leaving me alone to face the angry tribesmen.;;;;;;;;;;;Åäâà ìû íà÷àëè âåñåëèòüñÿ, êàê âîèíû íåêîòîðûõ ïëåì¸í ðåøèëè âçÿòü äåëî â ñâîè ðóêè è ïðåïîäàòü íàì óðîê. Âñå äðóçüÿ òóò æå ïîêèäàþò ìåíÿ, îñòàâèâ íàåäèíå ñ ðàçãíåâàííûìè ñîïëåìåííèêàìè.;;x
EVTDESCHFA23847;With just the help of a few other kids and a well-placed tree, we are able to successfully throw the entire party into disarray. People scream and run for cover, yelling our names and throwing back swears at us. When the adults finally organize to get us, we have already dispersed to laugh off the successful mission.;;;;;;;;;;;Ñ ïîìîùüþ åù¸ íåñêîëüêèõ äåòåé è óäà÷íî ðàñïîëîæåííîãî äåðåâà ó íàñ ïîëó÷èëîñü ïðèâåñòè âåñü ïðàçäíèê â áåñïîðÿäîê. Ëþäè îðóò è áåãóò â óêðûòèå, âûêðèêèâàÿ íàøè èìåíà è îñûïàÿ íàñ ðóãàòåëüñòâàìè. Êîãäà âçðîñëûå, íàêîíåö-òî, îðãàíèçóþòñÿ, ÷òîáû ïîéìàòü íàñ, ìû óæå ðàçîøëèñü, ÷òîáû ïîñìåÿòüñÿ îá óñïåøíîñòè ñâîåé ìèññèè.;;x
EVTDESCHFA23848;I was just chatting with some of the other tribesmen in the main square of [great_tribal_festival_host.Capital.GetName], when something hit me on the back! Shouts and complaints swiftly follow, turning the entire square into a complete chaos. A few of the kids have climbed on a nearby tree and they have started throwing mud at the rest of us!;;;;;;;;;;;ß ïðîñòî áîëòàë[Root.GetEndA] ñ äðóãèìè ñîïëåìåííèêàìè íà ãëàâíîé ïëîùàäè [great_tribal_festival_host.Capital.GetName], êîãäà ÷òî-òî óäàðèëî ìåíÿ â ñïèíó! Çà ýòèì áûñòðî ïîñëåäîâàëè êðèêè è æàëîáû, ïîãðóæàÿ âñþ ïëîùàäü â ïîëíûé õàîñ. Íåñêîëüêî äåòåé çàáðàëèñü íà ñîñåäíåå äåðåâî è íà÷àëè êèäàòüñÿ ãðÿçüþ â îñòàëüíûõ ïðîõîæèõ!;;x
EVTDESCHFA23849;All the grownups are busy, and I am bored. As I try to think of something to do, I spot [scoped_running_child_1.GetFirstName] and suddenly remember about that time [scoped_running_child_1.GetSheHe] bragged about being the fastest kid of the whole tribe.;;;;;;;;;;;Âñå âçðîñëûå çàíÿòû, à ìíå ñêó÷íî. Ïûòàÿñü ïðèäóìàòü, ÷åì áû çàíÿòüñÿ, ÿ çàìå÷àþ [scoped_running_child_1.GetFirstName] è âäðóã âñïîìèíàþ î òîì âðåìåíè, êîãäà [scoped_running_child_1.GetSheHe] õâàñòà[scoped_running_child_1.GetLasLsya] òåì, ÷òî áûë[scoped_running_child_1.GetEndA] ñàìûì áûñòðûì ðåá¸íêîì âî âñ¸ì ïëåìåíè.;;x
EVTDESCHFA23850;[From.GetFirstName] challenged me to a race around town to determine who is the fastest kid of the tribe. [From.GetSheHeCap] seems very confident that [From.GetSheHe] will win and has already started to tease me that I am too much of a coward to even accept [From.GetHerHis] challenge.;;;;;;;;;;;[From.GetFirstName] âûçâàë[From.GetEndA] ìåíÿ ïîáåãàòü âîêðóã ïîñåëåíèÿ, ÷òîáû îïðåäåëèòü, êòî èç íàñ ñàìûé áûñòðûé ðåá¸íîê â ïëåìåíè. [From.GetSheHeCap] êàæåòñÿ î÷åíü óâåðåíí[From.GetOyYm] â òîì, ÷òî [From.GetSheHe] ïîáåäèò, è óæå íà÷àë[From.GetEndA] äðàçíèòü ìåíÿ òåì, ÷òî ÿ ñëèøêîì òðóñëèâ[Root.GetEndA], ÷òîáû äàæå ïðèíÿòü [From.GetHerHis] âûçîâ.;;x
EVTDESCHFA23851;Turns out that [From.GetFirstName] was too much of a coward to pick up my challenge. [From.GetSheHeCap] has run away with [From.GetHerHis] tail between [From.GetHerHis] legs, throwing some poor excuse to avoid the race.;;;;;;;;;;;Îêàçûâàåòñÿ, [From.GetFirstName] áûë[From.GetEndA] ñëèøêîì òðóñëèâ[From.GetEndA], ÷òîáû ïðèíÿòü ìîé âûçîâ. [From.GetSheHeCap] óáåæàë[From.GetEndA], ïîäæàâ ñâîé õâîñò, ïðèäóìàâ êàêîé-òî äóðàöêèé ïðåäëîã, ÷òîáû èçáåæàòü çàáåãà.;;x
EVTDESCHFA23852;After we gather a few playmates to act as witnesses, [From.GetFirstName] and I are off running around town, dodging servants, scaring off farm animals, zigzagging through the fields for the quickest path. Several minutes later, I jump head-first over the final line, surrounded by the cheers of the other kids.;;;;;;;;;;;Ïîñëå òîãî, êàê ìû ñîáðàëè íåñêîëüêî òîâàðèùåé ïî èãðàì â êà÷åñòâå ñâèäåòåëåé, [From.GetFirstName] è ÿ áåæèì ïî ïîñåëåíèþ, óâîðà÷èâàÿñü îò ñëóã, îòïóãèâàÿ ñåëüñêîõîçÿéñòâåííûõ æèâîòíûõ, ïåòëÿÿ ïî ïîëÿì â ïîèñêàõ êðàò÷àéøåãî ïóòè. ×åðåç íåñêîëüêî ìèíóò ÿ ïðûãàþ ãîëîâîé âïåð¸ä, ìèíîâàâ ïîñëåäíþþ ëèíèþ, îêðóæåíí[From.GetAyaYy] ðàäîñòíûìè âîçãëàñàìè äðóãèõ äåòåé.;;x
EVTDESCHFA23854;There is an old tree at the edge of [great_tribal_festival_host.Capital.GetName]. Kids say it is more than one hundred years old, and that sometimes the ancestors use it as a ladder to get into our world, and nobody aside from the shamans ever gets close to it.;;;;;;;;;;;Íà êðàþ [great_tribal_festival_host.Capital.GetName] åñòü ñòàðîå äåðåâî. Äåòè ãîâîðÿò, ÷òî åìó áîëüøå ñòà ëåò, è ÷òî èíîãäà ïðåäêè èñïîëüçóþò åãî â êà÷åñòâå ëåñòíèöû, ÷òîáû ïîïàñòü â íàø ìèð, è íèêòî, êðîìå øàìàíîâ, íèêîãäà íå ïðèáëèæàåòñÿ ê íåìó.;;x
EVTDESCHFA23855;It was not easy. Every few steps I had to stop and hold my breath, listening to the ominous creaking coming from the gray branches of the old tree. And yet, with just a bit of patience and stubbornness, I was able to get all the way to the top. There are no gods around as far as I can see, but I have a full view of [great_tribal_festival_host.Capital.GetName].;;;;;;;;;;;Ýòî áûëî íåëåãêî. ×åðåç êàæäûå íåñêîëüêî øàãîâ ìíå ïðèõîäèëîñü îñòàíàâëèâàòüñÿ è çàäåðæèâàòü äûõàíèå, ïðèñëóøèâàÿñü ê çëîâåùåìó òðåñêó, äîíîñèâøåìóñÿ èç ñåðûõ âåòâåé ñòàðîãî äåðåâà. È âñ¸ æå, ïðîÿâèâ íåìíîãî òåðïåíèÿ è óïðÿìñòâà, ìíå óäàëîñü äîáðàòüñÿ äî âåðøèíû. Íàñêîëüêî ÿ âèæó, âîêðóã íåò áîãîâ, íî ìíå îòêðûâàåòñÿ ïîëíûé âèä íà [great_tribal_festival_host.Capital.GetName].;;x
EVTDESCHFA23856;I was almost halfway through the climbing, when an ominous creaking announced the breaking of one of the branches I was balancing a foot on. Grabbing at the air and letting out a choked squeal, I fall from the old tree.;;;;;;;;;;;ß áûë[Root.GetEndA] ïî÷òè íà ïîëïóòè ê âîñõîæäåíèþ, êîãäà çëîâåùèé õðóñò âîçâåñòèë î ïîëîìêå îäíîé èç âåòîê, íà êîòîðîé ÿ áàëàíñèðîâàë[Root.GetEndA] ñâîåé íîãîé. Õâàòàÿñü çà âîçäóõ è èçäàâàÿ ñäàâëåííûé êðèê, ÿ ïàäàþ ñî ñòàðîãî äåðåâà.;;x
EVTDESCHFA23860;After a few unintended fights and several challenges thrown amongst guests, it has been decided that the best way to appease the crowd is to organize a tournament of our best warriors. Not only there are many in the tribe excited to test their mettle in a friendly competition, the shamans have also assured me that this will be a good way to obtain the favor of [Root.Religion.GetRandomGodName].;;;;;;;;;;;Ïîñëå íåñêîëüêèõ íåïðåäíàìåðåííûõ äðàê è âûçîâîâ, áðîøåííûõ ãîñòÿì, áûëî ðåøåíî, ÷òî ëó÷øèé ñïîñîá óñïîêîèòü òîëïó - ýòî îðãàíèçîâàòü òóðíèð äëÿ íàøèõ ëó÷øèõ âîèíîâ. Ìàëî òîãî, ÷òî ìíîãèå â ïëåìåíè ðàäû èñïûòàòü ñâîè ñèëû â äðóæåñêîì ñîðåâíîâàíèè, øàìàíû òàêæå çàâåðèëè ìåíÿ, ÷òî ýòî áóäåò õîðîøèì ñïîñîáîì äîáèòüñÿ áëàãîñêëîííîñòè [Root.Religion.GetRandomGodName].;;x
EVTDESCHFA23861;After a few unintended fights and several challenges thrown amongst guests, it has been decided that the best way to appease the crowd is to organize a tournament of our best warriors. Not only there are many in the tribe excited to test their mettle in a friendly competition, the shamans have also assured everyone that this will be a good way to obtain the favor of [Root.Religion.GetRandomGodName].;;;;;;;;;;;Ïîñëå íåñêîëüêèõ íåïðåäíàìåðåííûõ äðàê è âûçîâîâ, áðîøåííûõ ãîñòÿì, áûëî ðåøåíî, ÷òî ëó÷øèé ñïîñîá óñïîêîèòü òîëïó - ýòî îðãàíèçîâàòü òóðíèð äëÿ íàøèõ ëó÷øèõ áîéöîâ. Ìíîãèå â ïëåìåíè õîòÿò ïðîâåðèòü ñâîè ñèëû â äðóæåñêîì ïîåäèíêå, à øàìàíû òàêæå çàâåðèëè âñåõ, ÷òî ýòî áóäåò õîðîøèì ñïîñîáîì ïîëó÷èòü áëàãîñêëîííîñòü [Root.Religion.GetRandomGodName].;;x
EVTDESCHFA23862;After a recent scuffle between some of our fighters during a feast, many of my guests are pushing for a great drinking contest to determine who amongst us is the most resilient.;;;;;;;;;;;Ïîñëå íåäàâíåé äðàêè ìåæäó íåñêîëüêèìè èç íàøèõ áîéöîâ âî âðåìÿ ïèðà, ìíîãèå èç ìîèõ ãîñòåé íàñòàèâàþò íà áîëüøîì ñîðåâíîâàíèè ïî âûïèâêå, ÷òîáû îïðåäåëèòü, êòî èç íàñ ñàìûé ñòîéêèé.;;x
EVTDESCHFA23863;Many of the guests in [great_tribal_festival_host.GetTitledFirstName]'s long-house have taken the habits of organizing drinking games during the great feasts we are holding almost every night to celebrate the old gods.;;;;;;;;;;;Ìíîãèå èç ãîñòåé â äëèííîì äîìå [great_tribal_festival_host.GetTitledFirstName] âçÿëè çà ïðèâû÷êó óñòðàèâàòü ïèòåéíûå èãðû âî âðåìÿ áîëüøèõ ïèðîâ, êîòîðûå ìû ïðîâîäèì ïî÷òè êàæäóþ íî÷ü â ÷åñòü ñòàðûõ áîãîâ.;;x
EVTDESCHFA23864;With so many lavish feasts being prepared for the festival, many of my guests have started to talk about out-competing each other to see who amongst them can eat fastest and the most, to the point that every other night we have an eating contest or two.;;;;;;;;;;;Ïîñêîëüêó ê ïðàçäíèêó ãîòîâèòñÿ òàê ìíîãî âêóñíîé åäû, ìíîãèå èç ìîèõ ãîñòåé íà÷àëè ãîâîðèòü î òîì, ÷òîáû ñîðåâíîâàòüñÿ äðóã ñ äðóãîì, â òîì, êòî èç íèõ áûñòðåå è áîëüøå ñúåñò. Äîøëî äî òîãî, ÷òî êàæäûé âòîðîé âå÷åð ìû óñòðàèâàåì îäíî èëè äâà ñîðåâíîâàíèÿ ïî áûñòðîìó ïîåäàíèþ ïèùè.;;x
EVTDESCHFA23865;With so many lavish feasts being prepared for the festival, many of [great_tribal_festival_host.GetTitledFirstName]'s guests have started to talk about out-competing each other to see who amongst them can eat fastest and the most, to the point that every other night we have an eating contest or two.;;;;;;;;;;;Ïîñêîëüêó äëÿ ïðàçäíèêà ãîòîâèòñÿ ñòîëüêî âêóñíîé ïèùè, ìíîãèå èç ãîñòåé [great_tribal_festival_host.GetTitledFirstName] íà÷àëè ïîãîâàðèâàòü î òîì, ÷òîáû ñîðåâíîâàòüñÿ äðóã ñ äðóãîì: êòî èç íèõ áûñòðåå è áîëüøå ñúåñò. Äîøëî äî òîãî, ÷òî êàæäóþ âòîðóþ íî÷ü ìû óñòðàèâàåì îäíî èëè äâà ñîðåâíîâàíèå ïî áûñòðîìó ïîåäàíèþ ïèùè.;;x
EVTDESCHFA23866;The trading brought by the great festival has refilled our stables with a large number of fine steeds. Some of them less tame than others. A few of my fighters were thinking about competing to tame the wildest horses in our stocks, which I think will be the perfect way to entertain my guests as well as to discipline the most turbulent stallions.;;;;;;;;;;;Òîðãîâëÿ, ÷òî àêòèâèçèðîâàëàñü áëàãîäàðÿ âåëèêîìó ïðàçäíèêó, ïîïîëíèëà íàøè êîíþøíè áîëüøèì êîëè÷åñòâîì ïðåêðàñíûõ êîíåé. Êàêèå-òî èç íèõ ìåíåå ðó÷íûå, ÷åì äðóãèå. Íåêîòîðûå èç ìîèõ áîéöîâ ïîäóìûâàþò î òîì, ÷òîáû ïîñîðåâíîâàòüñÿ, äàáû ïðèðó÷èòü ñàìûõ äèêèõ ëîøàäåé â íàøåì ïîãîëîâüå, ÷òî, êàê ÿ äóìàþ, áóäåò èäåàëüíûì ñïîñîáîì ðàçâëå÷ü ìîèõ ãîñòåé, à òàêæå îáóçäàòü ñàìûõ áóéíûõ æåðåáöîâ.;;x
EVTDESCHFA23867;The trading brought by the great festival has refilled [great_tribal_festival_host.GetTitledFirstName]'s stables with a large number of fine steeds. Some of them less tame than others. To entertain [great_tribal_festival_host.GetHerHis] guests as well as to discipline the most turbulent of [great_tribal_festival_host.GetHerHis] stallions, our host has decided to issue a horse-taming competition.;;;;;;;;;;;Òîðãîâëÿ, ïðèíåñ¸ííàÿ âåëèêèì ïðàçäíèêîì, ïîïîëíèëà êîíþøíè [great_tribal_festival_host.GetTitledFirstName] áîëüøèì êîëè÷åñòâîì ïðåêðàñíûõ ñêàêóíîâ. Íåêîòîðûå èç íèõ ìåíåå ðó÷íûå, ÷åì äðóãèå. ×òîáû ðàçâëå÷ü [great_tribal_festival_host.GetHerHis] ãîñòåé, à òàêæå ïðèðó÷èòü ñàìûõ áåñïîêîéíûõ èç [great_tribal_festival_host.GetHerHis] æåðåáöîâ, íàø õîçÿèí ïðèêàçûâàåò óñòðîèòü ñîðåâíîâàíèå ïî óêðîùåíèþ ëîøàäåé.;;x
EVTDESCHFA23868;Some of my advisors and shamans suggested me that it would be a good idea to entertain my guests by issuing a friendly competition during this period of festivity, aimed at finding who is the fairest in [Root.Capital.GetName].;;;;;;;;;;;Íåêîòîðûå èç ñîâåòíèêîâ è øàìàíîâ ïîäñêàçàëè ìíå, ÷òî áûëî áû íåïëîõî ðàçâëå÷ü ìîèõ ãîñòåé, óñòðîèâ äðóæåñêîå ñîðåâíîâàíèå â ýòîò ïåðèîä ïðàçäíèêà, öåëüþ êîòîðîãî áûëî îïðåäåëèòü, êòî ñàìûé êðàñèâûé â [Root.Capital.GetName].;;x
EVTDESCHFA23869;[From.GetTitledFirstName] and [From.GetHerHis] advisors have come up with the idea of organizing a beauty contest during this year's celebration, allowing entries from all of the guests.;;;;;;;;;;;[From.GetTitledFirstName] è [From.GetHerHis] ñîâåòíèêè âûñòóïèëè ñ èäååé îðãàíèçîâàòü êîíêóðñ êðàñîòû âî âðåìÿ ïðàçäíîâàíèÿ ýòîãî ãîäà, â êîòîðîì ìîãóò ïðèíÿòü ó÷àñòèå âñå ãîñòè.;;x
EVTDESCHFA23870;With so many travelers and bards coming to [Root.Capital.GetName] to exchange stories and enjoy the period of festivities, I have come to the conclusion that we should simply organize a poetry contest, to see which of our guests has the sharpest tongue.;;;;;;;;;;;Ïîñêîëüêó â [Root.Capital.GetName] ïðèåçæàåò òàê ìíîãî ïóòåøåñòâåííèêîâ è áàðäîâ, ÷òîáû îáìåíÿòüñÿ èñòîðèÿìè è íàñëàäèòüñÿ ïåðèîäîì ïðàçäíåñòâ, ÿ ïðèø[Root.GetLaYol] ê âûâîäó, ÷òî ìû äîëæíû ïðîñòî óñòðîèòü ïîýòè÷åñêèé êîíêóðñ, ÷òîáû ïîñìîòðåòü, ó êîãî èç íàøèõ ãîñòåé ñàìûé îñòðûé ÿçûê.;;x
EVTDESCHFA23871;With so many travelers and bards coming to [From.Capital.GetName] to exchange stories and enjoy the period of festivities, [From.GetTitledFirstName] has decided to organize a great poetry contest, to see which of [From.GetHerHis] guests has the sharpest tongue.;;;;;;;;;;;Ïîñêîëüêó â [From.Capital.GetName] ïðèáûëî òàê ìíîãî ïóòåøåñòâåííèêîâ è áàðäîâ, ÷òîáû îáìåíÿòüñÿ èñòîðèÿìè è íàñëàäèòüñÿ ïðàçäíèêîì, [From.GetTitledFirstName] ðåøèë[From.GetEndA] óñòðîèòü áîëüøîé ïîýòè÷åñêèé êîíêóðñ, ÷òîáû ïîñìîòðåòü, ó êîãî èç [From.GetHerHis] ãîñòåé ñàìûé îñòðûé ÿçûê.;;x
EVTDESCHFA23872;With so many travelers and bards coming to [Root.Capital.GetName] to exchange stories and enjoy the period of festivities, I have come to the conclusion that we should simply organize a singing contest, to see which of our guests has the sweetest voice.;;;;;;;;;;;Ïîñêîëüêó â [Root.Capital.GetName] ïðèáûëî òàê ìíîãî ïóòåøåñòâåííèêîâ è áàðäîâ, ÷òîáû îáìåíÿòüñÿ èñòîðèÿìè è íàñëàäèòüñÿ ïåðèîäîì ïðàçäíåñòâ, ÿ ñ÷èòàþ, ÷òî ìû äîëæíû ïðîñòî îðãàíèçîâàòü êîíêóðñ ïåíèÿ, ÷òîáû îïðåäåëèòü, ó êîãî èç íàøèõ ãîñòåé ñàìûé ïðèÿòíûé ãîëîñ.;;x
EVTDESCHFA23873;With so many travelers and bards coming to [From.Capital.GetName] to exchange stories and enjoy the period of festivities, [From.GetTitledFirstName] has decided to organize a great singing contest, to see which of [From.GetHerHis] guests has the sweetest voice.;;;;;;;;;;;Ïîñêîëüêó â [From.Capital.GetName] ïðèáûëî òàê ìíîãî ïóòåøåñòâåííèêîâ è áàðäîâ, ÷òîáû îáìåíÿòüñÿ èñòîðèÿìè è íàñëàäèòüñÿ ïðàçäíèêîì, [From.GetTitledFirstName] ðåøèë[From.GetEndA] óñòðîèòü áîëüøîé êîíêóðñ ïåíèÿ, ÷òîáû ïîñìîòðåòü, ó êîãî èç [From.GetHerHis] ãîñòåé ñàìûé ïðèÿòíûé ãîëîñ.;;x
EVTDESCHFA23874;Many gifted artisans have been drawn to [Root.Capital.GetName] to offer their skills to create some of the offerings for the ancestors. To make the best use of their abilities, I have decided to organize a weaving contest, allowing our best craftsmen to compete against each other.;;;;;;;;;;;[Root.Capital.GetName] ïðèâëåêàåò ìíîãèõ îäàð¸ííûõ ðåìåñëåííèêîâ, êîòîðûå ïðåäëàãàþò ñâîè íàâûêè äëÿ ñîçäàíèÿ íåêîòîðûõ ïîäíîøåíèé äëÿ ïðåäêîâ. ×òîáû íàèëó÷øèì îáðàçîì èñïîëüçîâàòü èõ ñïîñîáíîñòè, ÿ ðåøèë[Root.GetEndA] îðãàíèçîâàòü ñîðåâíîâàíèå ïî òêà÷åñòâó, ïîçâîëèâ íàøèì ëó÷øèì ìàñòåðàì ñîðåâíîâàòüñÿ äðóã ñ äðóãîì.;;x
EVTDESCHFA23875;Many gifted artisans have been drawn to [Root.Capital.GetName] to offer their skills to create some of the offerings for the ancestors. To make the best use of their abilities, [From.GetTitledFirstName] has decided to organize a weaving contest, allowing [From.GetHerHis] best craftsmen to compete against each other.;;;;;;;;;;;[Root.Capital.GetName] ïðèâëåêàåò ìíîãèõ îäàð¸ííûõ ðåìåñëåííèêîâ, êîòîðûå ïðåäëàãàþò ñâîè íàâûêè äëÿ ñîçäàíèÿ íåêîòîðûõ ïîäíîøåíèé äëÿ ïðåäêîâ. ×òîáû íàèëó÷øèì îáðàçîì èñïîëüçîâàòü èõ ñïîñîáíîñòè, [From.GetTitledFirstName] ðåøèë[From.GetEndA] îðãàíèçîâàòü ñîðåâíîâàíèå ïî òêà÷åñòâó, ïîçâîëÿþùåå [From.GetHerHis] ëó÷øèì ìàñòåðàì ñîñòÿçàòüñÿ äðóã ñ äðóãîì.;;x
EVTDESCHFA23876_A;The crowd quickly assembles in the town square as the first contenders find their place in the fighting ring. I am one of the first to be picked, and soon find myself in the thick of a brawl, dodging and striking against my first opponent while our tribesmen cheer around us.;;;;;;;;;;;Òîëïà áûñòðî ñîáèðàåòñÿ íà ãîðîäñêîé ïëîùàäè, êîãäà ïåðâûå ïðåòåíäåíòû íà ïîáåäó íàøëè ñâî¸ ìåñòî íà áîåâîì ðèíãå. Ìåíÿ âûáèðàþò îäíèì èç ïåðâûõ, è âñêîðå ÿ îêàçûâàþñü â ãóùå äðàêè, óêëîíÿÿñü è íàíîñÿ óäàðû ñâîåìó ïåðâîìó ïðîòèâíèêó, ïîêà íàøè ñîïëåìåííèêè ëèêóþò âîêðóã íàñ.;;x
EVTDESCHFA23876_B;The crowd quickly assembles in the town square as the first contenders find their place in the fighting ring. The first brawl starts with encouraging cheers from everyone. Soon, a series of bruised warriors finds its place in the losers' corner.;;;;;;;;;;;Òîëïà áûñòðî ñîáèðàåòñÿ íà ãîðîäñêîé ïëîùàäè, êîãäà ïåðâûå ïðåòåíäåíòû íàõîäÿò ñâî¸ ìåñòî íà áîåâîì ðèíãå. Ïåðâàÿ äðàêà íà÷èíàåòñÿ ïîä âñåîáùèå îäîáðèòåëüíûå âîçãëàñû. Âñêîðå ÷åðåäà ðàíåíûõ âîèíîâ íàõîäèò ñâî¸ ìåñòî â óãëó ïðîèãðàâøèõ.;;x
EVTDESCHFA23880;I hold down the last opponent for a few moments still, making sure to ensure my victory before standing up to the cheers of all the tribesmen. As the last [Root.GetManWoman] standing, I am the undisputed winner of the tournament.;;;;;;;;;;;ß ñäåðæèâàþ ïîñëåäíåãî ïðîòèâíèêà åù¸ íåñêîëüêî ìãíîâåíèé, óáåæäàÿñü â ñâîåé ïîáåäå, ïðåæäå ÷åì âñòàòü ïîä àïëîäèñìåíòû âñåõ ñîïëåìåííèêîâ. Êàê ïîñëåäí[Root.GetYayaIy] èç îñòàâøèõñÿ [Root.GetManWoman], ÿ ÿâëÿþñü áåññïîðíûì ïîáåäèòåëåì òóðíèðà.;;x
EVTDESCHFA23881;With a final strike, [tribal_festival_winner.GetFirstName] pushes me on the ground, painfully holding me down until I am forced to admit defeat. I have managed to win several fights during the course of the tournament, only to have the final victory stolen from me by this [tribal_festival_winner.GetManWoman]...;;;;;;;;;;;Ïîñëåäíèì óäàðîì [tribal_festival_winner.GetFirstName] øâûðÿåò ìåíÿ íà çåìëþ, áîëüíî ñõâàòèâ, ïîêà ÿ íå áûë[Root.GetEndA] âûíóæäåí[Root.GetEndA] ïðèçíàòü ïîðàæåíèå. Ìíå óäàëîñü âûèãðàòü íåñêîëüêî áî¸â â õîäå òóðíèðà, íî îêîí÷àòåëüíóþ ïîáåäó ó ìåíÿ óêðàë[tribal_festival_winner.GetEndA] ýò[tribal_festival_winner.GetEtaEtot] [tribal_festival_winner.GetManWoman]à...;;x
EVTDESCHFA23882;The fights go on for the entire day. When the sun sets, only one [tribal_festival_winner.GetManWoman] remains standing: [tribal_festival_winner.GetFirstName]. The crowd acclaims [tribal_festival_winner.GetHerHim] as the uncontested winner of the tournament, showering [tribal_festival_winner.GetHerHim] with cheers.;;;;;;;;;;;Áîè ïðîäîëæàþòñÿ âåñü äåíü. Êîãäà ñîëíöå ñàäèòñÿ, îñòà¸òñÿ ñòîÿòü òîëüêî îä[tribal_festival_winner.GetNaIn] [tribal_festival_winner.GetManWoman]à: [tribal_festival_winner.GetFirstName]. Òîëïà ïðèâåòñòâóåò [tribal_festival_winner.GetHersHis] êàê áåçîãîâîðî÷í[tribal_festival_winner.GetUyuOgo] ïîáåäèòåë[tribal_festival_winner.GetSoftNitsuYa] òóðíèðà, îñûïàÿ [tribal_festival_winner.GetHersHis] àïëîäèñìåíòàìè.;;x
EVTDESCHFA23883;I need one of the servants to help me stand after the final drink. My vision is blurry and I can barely form a coherent thought, but, hearing my name being cheered on by the other guests makes me fairly confident that I have managed to win the contest.;;;;;;;;;;;Ìíå íóæíî, ÷òîáû êòî-òî èç ñëóã ïîìîã ìíå âñòàòü ïîñëå ïîñëåäíåé âûïèòîé ÷àøè. Ìî¸ çðåíèå ðàñïëûâ÷àòî, è ÿ åäâà ìîãó ñôîðìóëèðîâàòü ñâÿçíóþ ìûñëü, íî, ñëûøà, êàê ìåíÿ ïîäáàäðèâàþò äðóãèå ãîñòè, ÿ óâåðåí[Root.GetEndA], ÷òî ìíå óäàëîñü ïîáåäèòü â ñîñòÿçàíèè.;;x
EVTDESCHFA23884;I hold off as much as I can, but, in the end, I find myself on the ground, covered in mead and spit. I feel as if somebody is striking my skull with a hammer and barely manage to understand anything that is happening around me, but I clearly hear the name of [tribal_festival_winner.GetFirstName] being repeated over and over by the other tribesmen.;;;;;;;;;;;ß äåðæóñü èçî âñåõ ñèë, íî, â êîíöå êîíöîâ, îêàçûâàþñü íà çåìëå, âåñü â ìåäîâóõå è ñëþíå. Ìíå êàæåòñÿ, ÷òî êòî-òî áü¸ò ìîëîòêîì ïî ìîåìó ÷åðåïó, ÿ åäâà ïîíèìàþ, ÷òî ïðîèñõîäèò âîêðóã, íî îò÷¸òëèâî ñëûøó, êàê èìÿ [tribal_festival_winner.GetFirstName] ñíîâà è ñíîâà ïîâòîðÿþò äðóãèå ñîïëåìåííèêè.;;x
EVTDESCHFA23885;One by one, the contenders tap out, either falling asleep on the ground or stumbling away from the long-house with disgruntled mumblings. There is only one [tribal_festival_winner.GetManWoman] who is left standing at the end: [tribal_festival_winner.GetFirstName]. The tribesmen raise [tribal_festival_winner.GetHerHim] up and parade [tribal_festival_winner.GetHerHim] across the hall, chanting [tribal_festival_winner.GetHerHis] name.;;;;;;;;;;;Îäèí çà äðóãèì ïðåòåíäåíòû âûáûâàþò èç èãðû, òî çàñûïàÿ íà çåìëå, òî ñ íåäîâîëüíûì áîðìîòàíèåì, ñïîòûêàÿñü ïîêèíóâ äëèííûé äîì. Â êîíöå îñòàëñÿ ñòîÿòü òîëüêî îä[tribal_festival_winner.GetNaIn] [tribal_festival_winner.GetManWoman]à: [tribal_festival_winner.GetFirstName]. Ñîïëåìåííèêè ïîäíèìàþò [tribal_festival_winner.GetHersHis] ââåðõ è ïðîâîäÿò [tribal_festival_winner.GetHersHis] ÷åðåç âåñü çàë, ñêàíäèðóÿ [tribal_festival_winner.GetHerHis] èìÿ.;;x
