emperor_title_queen_mother_female;Empress Dowager;;;;;;;;;;;Âäîâñòâóþùàÿ èìïåðàòðèöà;;x
title_lighthouse_custodian_desc;This honorific is awarded to a person who has shown themselves responsible and can be entrusted with the care of your lighthouse – keeping it both lit and functioning.;;;;;;;;;;;Ýòîò ïî÷¸òíûé òèòóë ïðèñóæäàåòñÿ ÷åëîâåêó, êîòîðûé ïðîÿâèë ñåáÿ îòâåòñòâåííûì, è åìó ìîæíî ïîðó÷èòü çàáîòó î Âàøåì ìàÿêå, ïîääåðæèâàòü åãî îãîíü.;;x
title_male_consort;Consort;;;;;;;;;;;Íàëîæíèê;;x
title_marksman;Merkismaðr;;;;;;;;;;;Ìåðêèñìàä;;x
title_marksman_desc;Literally meaning Marksman, the Merkismaðr has the honor of serving as the standard-bearer.;;;;;;;;;;;"Ìåðêèñìàä (äîñëîâíî ïåðåâîäèòñÿ êàê ""Ìåòêèé ñòðåëîê"" èëè ñíàéïåð) èìååò ÷åñòü ñëóæèòü çíàìåíîñöåì.";;x
title_master_engineer;Master Engineer;;;;;;;;;;;Ãëàâíûé èíæåíåð;;x
title_master_engineer_desc;The master engineer will construct wonders of Chinese ingenuity throughout your demesne, such as dry docks and blast furnaces.;;;;;;;;;;;Ìàñòåð-èíæåíåð ïîñòðîèò ÷óäåñà êèòàéñêîé èçîáðåòàòåëüíîñòè âî âñåõ Âàøèõ ëè÷íûõ âëàäåíèÿõ, òàêèå êàê ñóõèå äîêè è äîìåííûå ïå÷è.;;x
title_master_of_games;Master of the Games;;;;;;;;;;;Ìàñòåð èãð;;x
title_master_of_games_desc;This honorific is awarded to a person with a strong personality and presence, capable of bending a whole crowd to their will.;;;;;;;;;;;Ýòîò ïî÷¸òíûé òèòóë äàðóåòñÿ ëèøü ñèëüíîìó äóõîì, êîòîðûé ñâîåé õàðèçìîé ñïîñîáåí ìåíÿòü íàñòðîåíèå öåëîé òîëïû.;;x
title_master_of_the_blade;Master of the Blade;;;;;;;;;;;Ìàñòåð Êëèíêà;;x
title_master_of_the_blade_desc;The Master of the Blade is a prestigious honorific usually granted to those with demonstrated ability in swordsmanship.;;;;;;;;;;;Óâàæàåìûé è ïî÷¸òíûé òèòóë Ìàñòåðà Êëèíêà îáû÷íî äàåòñÿ òîìó, êòî ïðîÿâèò ñåáÿ âî âëàäåíèè ìå÷îì.;;x
title_master_of_the_bow;Master of the Bow;;;;;;;;;;;Ìàñòåð Ëóêà;;x
title_master_of_the_bow_desc;The Master of the Bow is a prestigious honorific usually granted to those with demonstrated ability in bowmanship.;;;;;;;;;;;Óâàæàåìûé è ïî÷¸òíûé òèòóë Ìàñòåðà Ëóêà îáû÷íî äàåòñÿ òîìó, êòî ïðîÿâèò ñåáÿ âî âëàäåíèè ëóêîì.;;x
title_master_of_the_eagle;Master of the Eagle;;;;;;;;;;;Ìàñòåð íàä îðëîì;;x
title_master_of_the_eagle_desc;The Mongolian warriors used eagles to aid them while hunting. Being responsible for the training of these companions was a great honor.;;;;;;;;;;;Ìîíãîëüñêèå âîèíû èñïîëüçóþò îðëîâ äëÿ îõîòû. Áûòü îòâåòñòâåííûì çà îáó÷åíèå ýòèõ áëàãîðîäíûõ ïòèö - âåëèêàÿ ÷åñòü.;;x
title_master_of_the_horse;Master of the Horse;;;;;;;;;;;Êîíþøèé;;x
title_master_of_the_horse_desc;This office dates all the way back the Roman Republic, and, in this era where a horse is a symbol of power, it is still very important. Although the Master of the Horse delegates the actual day to day running of the actual stables, much of the prestige of this office comes from the responsibility for the stud.;;;;;;;;;;;Ýòà äîëæíîñòü óõîäèò êîðíÿìè âî âðåìåíà Ðèìñêîé ðåñïóáëèêè, â òó ýïîõó, êîãäà ëîøàäü ÿâëÿåòñÿ ñèìâîëîì âëàñòè. Áîëüøóþ ÷àñòü âðåìåíè Êîíþøèé ïðîâîäèò ñðåäè ëîøàäåé, à íà åãî ïëå÷è ëîæèòñÿ îòâåòñòâåííîñòü çà ñîäåðæàíèå êîíþøåí ïðàâèòåëÿ â íàäëåæàùåì âèäå.;;x
title_master_of_the_hounds;Master of the Hounds;;;;;;;;;;;Ïñàðü;;x
title_master_of_the_hounds_desc;With hunting considered the main pastime of the higher nobility, the hounds employed for the some of the hunts are thus important.;;;;;;;;;;;Íà ëþáîé îõîòå ýòîò ÷åëîâåê íåçàìåíèì. Ïñàðü îòâå÷àåò çà ñîáàê ïðàâèòåëÿ, à çíà÷èò îò íåãî çàâèñèò óñïåõ âñåãî ìåðîïðèÿòèÿ. Ïîòîìó äîëæíîñòü ýòà ïðåñòèæíà è ïî÷¸òíà.;;x
title_master_of_the_hunt;Master of the Hunt;;;;;;;;;;;Ëîâ÷èé;;x
title_master_of_the_hunt_desc;In an era when hunting was an opportunity to demonstrate horsemanship and martial prowess, the hunt was serious business. The master of the hunt was a position of importance.;;;;;;;;;;;Â íàøå âðåìÿ îõîòà - åäèíñòâåííàÿ âîçìîæíîñòü â ìèðíîé æèçíè ïðîäåìîíñòðèðîâàòü èñêóññòâî âåðõîâîé åçäû è áîåâîå ìàñòåðñòâî, ïîýòîìó äîëæíîñòü Ëîâ÷åãî î÷åíü ïðåñòèæíà.;;x
title_master_of_the_royal_elephants;Master of the Royal Elephants;;;;;;;;;;;Õîçÿèí êîðîëåâñêèõ ñëîíîâ;;x
title_master_of_the_royal_elephants_desc;Great monarchs often employ units of war elephants in their army to great effect. But aside from that, the elephant also has great value as a symbol of stability, strength and perserverance. All this makes it very important to keep the ruler's elephants in good health, and the position of Master of the Royal Elephants is a correspondingly prestigious one.;;;;;;;;;;;Âåëèêèå ìîíàðõè íàáèðàþò áîåâûõ ñëîíîâ â àðìèþ äëÿ áîëüøåãî ýôôåêòà. Íî êðîìå ýòîãî, ñëîíû ÿâëÿþòñÿ ñèìâîëîì ñòàáèëüíîñòè, ñèëû è óñòîé÷èâîñòè. Ïîýòîìó î÷åíü âàæíî, ÷òîáû ñëîíû õîðîøî ñîäåðæàëèñü. Ê òîìó æå, äîëæíîñòü ìàñòåðà êîðîëåâñêèõ ñëîíîâ î÷åíü ïðåñòèæíà.;;x
title_master_of_tides;Master of the Tides;;;;;;;;;;;Õîçÿèí ïðèëèâîâ;;x
title_master_of_tides_desc;This honorific is awarded to a person who has shown aptitude for all things marine, and the overarching responsibility of the §YHarbor§! rests on their shoulders.;;;;;;;;;;;Ýòîò ïî÷¸òíûé òèòóë äàðóåòñÿ òîìó, êòî ïðîÿâèë ñïîñîáíîñòè â ìîðñêîì äåëå, çàáîòà î §Yãàâàíè§! ëîæèòñÿ íà åãî ïëå÷è.;;x
title_noyan;Noyan;;;;;;;;;;;Íîÿí;;x
title_noyan_desc;This title was originally granted to Mongolian battlefield commanders, but as they were awarded conquered land to administrate, it came to represent a form of higher nobility.;;;;;;;;;;;Ýòî çâàíèå ïåðâîíà÷àëüíî ïðåäîñòàâëÿëîñü ìîíãîëüñêèì áîåâûì êîìàíäèðàìè, íî òàê êàê îíè áûëè íàãðàæäåíû çàâî¸âàííûìè çåìëÿìè, îíî ñòàëî ïðåäñòàâëÿòü ôîðìó âûñøåé çíàòè.;;x
title_overseer_of_rites;Overseer of the Rites;;;;;;;;;;;Ìàñòåð îáðÿäîâ;;x
title_overseer_of_rites_desc;The Overseer of Rites is responsible for all rites and rituals related to the §YPyramid§!.;;;;;;;;;;;Õðàíèòåëü îáðÿäîâ îòâå÷àåò çà âñå ðèòóàëû, ñâÿçàííûå ñ §Yïèðàìèäîé§!.;;x
title_paramount_knight;Paramount Knight;;;;;;;;;;;Âåðõîâíûé ðûöàðü;;x
title_paramount_knight_desc;This paragon of chivalric virtue is the envy of the realm - every man wants to be like him and sees his friends as their friends;;;;;;;;;;;Îáðàçåö ðûöàðñêîé äîáëåñòè, ÿâëÿþùèéñÿ ïðåäìåòîì çàâèñòè äëÿ æèòåëåé îêðóãà. Êàæäûé õî÷åò áûòü òàêèì, êàê îí, è èìåòü äðóçåé, ïîõîæèõ íà åãî äðóçåé.;;x
title_patrician_heir;Designated Heir;;;;;;;;;;;Íàñëåäíèê ñåìüè;;x
title_patrician_heir_desc;This character has been chosen to succeed a Patrician in running the family business.;;;;;;;;;;;Ýòîò ÷åëîâåê âûáðàí íàñëåäíèêîì ñåìåéíîãî äåëà.;;x
title_patrikios;Patrikios;;;;;;;;;;;Ïàòðèêèé;;x
title_patrikios_desc;Patrician: Recognizes the wearer as an elite member of Roman Society and is reserved for only the most influential servants of the Empire.;;;;;;;;;;;Ïàòðèêèé - ýòî ãðå÷åñêèé âàðèàíò ïàòðèöèÿ, âàæíîãî ïðåäñòàâèòåëÿ ðèìñêîãî îáùåñòâà. Ýòîò ïî÷¸òíûé òèòóë ïðåäíàçíà÷åí òîëüêî äëÿ ñàìûõ âëèÿòåëüíûõ ñëóã Èìïåðèè.;;x
title_patrikios_female;Patrikia;;;;;;;;;;;Ïàòðèêèÿ;;x
title_prince;Prince;;;;;;;;;;;Ïðèíö;;x
title_prince_c_indian;Rajkumar;;;;;;;;;;;Ðàäæêóìàð;;x
title_prince_female;Princess;;;;;;;;;;;Ïðèíöåññà;;x
title_prince_female_c_indian;Rajkumari;;;;;;;;;;;Ðàäæêóìàðè;;x
title_prince_female_indo_aryan_group;Rajkumari;;;;;;;;;;;Ðàäæêóìàðè;;x
title_prince_female_iranian;Shahdokht;;;;;;;;;;;Øàõäóõò;;x
title_prince_female_roman;Caesarina;;;;;;;;;;;Êåñàðèíà;;x
title_prince_indo_aryan_group;Rajkumar;;;;;;;;;;;Ðàäæêóìàð;;x
title_prince_iranian;Shahzada;;;;;;;;;;;Øàõçàäå;;x
title_prince_roman;Caesar;;;;;;;;;;;Êåñàðü;;x
title_pushtigban_salar;Pushtigban-salar;;;;;;;;;;;Ïóøòèêáàí Ñàëàð;;x
title_pushtigban_salar_desc;The Pushtigban-salar is the appointed commander of the royal guard, and as such, commands a significant amount of respect.;;;;;;;;;;;Ïóøòèêáàí Ñàëàð - íàçíà÷àåìûé êîìàíäèð ãâàðäèè, îáëàäàþùèé áëàãîäàðÿ ýòîìó çíà÷èòåëüíûì óâàæåíèåì.;;x
title_queen_mother;Queen Mother;;;;;;;;;;;Êîðîëåâà-ìàòü;;x
title_regent;Regent;;;;;;;;;;;Ðåãåíò;;x
title_royal_builder;Royal Builder;;;;;;;;;;;Êîðîëåâñêèé àðõèòåêòîð;;x
title_royal_builder_desc;Powerful rulers will always be expanding their palaces and building new ones. The position of Royal Builder holds much prestige, though the holder need not actually have any architectural or engineering skills. It's usually someone else doing the real work.;;;;;;;;;;;Ìîãóùåñòâåííûå ïðàâèòåëè âñåãäà áóäóò ñòðåìèòüñÿ ðàñøèðèòü ñâîè äâîðöû è ïîñòðîèòü íîâûå. Ïîçèöèÿ êîðîëåâñêîãî àðõèòåêòîðà ÿâëÿåòñÿ î÷åíü ïðåñòèæíîé, õîòÿ îáëàäàòåëü íå îáÿçàòåëüíî âëàäååò íåîáõîäèìûìè íàâûêàìè. Îáû÷íî êòî-òî äðóãîé âûïîëíÿåò íàñòîÿùóþ ðàáîòó.;;x
title_royal_custodian;Royal Custodian;;;;;;;;;;;Õðàíèòåëü äâîðöà;;x
title_royal_custodian_desc;This honorific is awarded to a person who has proven themselves dependable, and they are responsible for the upkeep and maintenance of the §YRoyal Palace§!.;;;;;;;;;;;Ýòîò ïî÷¸òíûé òèòóë äàðóåòñÿ òîìó, êòî äîêàçàë ñâîþ íàä¸æíîñòü, è ãîòîâ íåñòè îòâåòñòâåííîñòü çà ñîäåðæàíèå §Yâåëèêîãî äâîðöà§!.;;x
title_sebastokrator;Sebastokrator;;;;;;;;;;;Ñåâàñòîêðàòîð;;x
title_sebastokrator_desc;The title of Sebastokrator was created as an even higher honor than that of 'Caesar'. It can only be granted to close relatives of the Emperor.;;;;;;;;;;;Òèòóë Ñåâàñòîêðàòîðà åù¸ áîëåå ïî÷¸òíûé, ÷åì ó Öåçàðÿ. Îí ìîæåò áûòü ïðåäîñòàâëåí òîëüêî áëèæàéøèì ðîäñòâåííèêàì èìïåðàòîðà.;;x
title_sebastos;Sebastos;;;;;;;;;;;Ñåâàñò;;x
title_sebastos_desc;Venerable one: Only important members of the imperial family and those related to them by marriage or blood may bear this venerable title.;;;;;;;;;;;"Îçíà÷àåò ""ïî÷òåííûé"". Òîëüêî âàæíûå ÷ëåíû èìïåðàòîðñêîé ñåìüè è òå, êòî ñâÿçàí ñ íèìè ïî áðàêó èëè êðîâè, ìîãóò íîñèòü ýòîò ïî÷¸òíûé òèòóë.";;x
title_sebastos_female;Sebaste;;;;;;;;;;;Ñåâàñòà;;x
title_seneschal;Seneschal;;;;;;;;;;;Ñåíåøàëü;;x
title_seneschal_desc;Originally responsible for the organization of feasts and domestic entertainment. Although left mainly in the hands of deputies, the key role at such major occasions makes the post prestigious.;;;;;;;;;;;Èçíà÷àëüíî áûë îòâåòñòâåííûì çà îðãàíèçàöèþ ïðàçäíèêîâ è ïèðøåñòâ. Òåïåðü áîëüøàÿ ÷àñòü îáÿçàííîñòåé ïåðåäàíà â ðóêè åãî ïîä÷èíåííûõ, íî êëþ÷åâàÿ ðîëü, äåëàþùàÿ äîëæíîñòü ïðåñòèæíîé, ñîõðàíèëàñü çà Ñåíåøàëåì.;;x
title_shahin;Shahin;;;;;;;;;;;Øàõèí;;x
title_shahin_desc;This honorific means falcon and was granted to several gifted Sassanid generals for their achievements on the field of battle. It can only be bestowed upon those with exceptional martial ability.;;;;;;;;;;;"Ýòî ïî÷¸òíîå çâàíèå îçíà÷àåò ""Ñàïñàí"" è äàðóåòñÿ òîëüêî íåêîòîðûì íàèáîëåå îäàðåííûì ïîëêîâîäöàì Ñàñàíèäîâ çà èõ ïîäâèãè íà ïîëå áîÿ. Äëÿ ïîëó÷åíèÿ ýòîãî çâàíèÿ íåîáõîäèìî îáëàäàòü âûäàþùèìèñÿ âîèíñêèìè òàëàíòàìè.";;x
title_shahrwaraz;Shahrwarãz;;;;;;;;;;;Øàõðâàðàç;;x
title_shahrwaraz_desc;The Shahrwarãz, the Boar of the Empire, is a prestigious honorary title dating back to the Sassanids. In Zoroastrianism, the boar is closely associated with the Izad Vahram, the epitome of victory. This honorific can only be bestowed upon those with exceptional martial ability.;;;;;;;;;;;Øàõðâàðàç, èëè Âåïðü Ãîñóäàðñòâà - ïî÷¸òíåéøèé òèòóë, âîñõîäÿùèé èç âðåìåí Ñàñàíèäîâ. Â çîðîàñòðèçìå, âåïðü òåñíî ñâÿçàí ñ Èçàä Âàõðàìîì, îëèöåòâîðÿþùèì ïîáåäó. Ýòî ïî÷¸òíîå çâàíèå ìîæåò áûòü äàðîâàíî òîëüêî ëþäÿì ñ âûäàþùèìèñÿ âîèíñêèìè òàëàíòàìè.;;x
title_spahbod;Spahbod;;;;;;;;;;;Ñïàõáåä;;x
title_spahbod_desc;This title, roughly meaning army chief, can be traced all the way back to the Achaemenid Empire, and during the Sassanid reign there were four Spahbods assigned to each corner of the Persian realm. It remains a prestigious military office.;;;;;;;;;;;Ýòîò òèòóë, ïðèáëèçèòåëüíî ñîîòâåñòâóþùèé ãëàâå àðìèè, ïðèø¸ë èç ãëóáèí èìïåðèè Àõàìåíèäîâ. Âî âðåìåíà ïðàâëåíèÿ Ñàñàíèäîâ ñóùåñòâîâàëî ÷åòûðå Ñïàõáåäà, ïðèêðåïë¸ííûõ ê êàæäîé ÷àñòè Ïåðñèäñêîãî ãîñóäàðñòâà. Ýòî ïî-ïðåæíåìó àâòîðèòåòíîå âîèíñêîå çâàíèå.;;x
title_state_inquisitor;State Inquisitor;;;;;;;;;;;Ñóäåáíûé ñëåäîâàòåëü;;x
title_state_inquisitor_desc;The three State Inquisitors are charged with ensuring the security of the Republic against threats both internal and external.;;;;;;;;;;;Òðè ñóäåáíûõ ñëåäîâàòåëÿ íàçíà÷åíû äëÿ çàùèòû ðåñïóáëèêè îò âíåøíèõ è âíóòðåííèõ óãðîç.;;x
title_stone_custodian;Custodian of the Stone;;;;;;;;;;;Õðàíèòåëü Êàìíÿ;;x
title_stone_custodian_desc;This honorific is awarded to a person who has shown themselves steadfast in their loyalty and discipline.;;;;;;;;;;;Ýòîò ïî÷¸òíûé òèòóë ïðèñóæäàåòñÿ ÷åëîâåêó, êîòîðûé ïðîÿâèë òâåðäîñòü â ñâîåé ëîÿëüíîñòè è äèñöèïëèíå.;;x
title_strategist;Strategist;;;;;;;;;;;Ñòðàòåã;;x
title_strategist_desc;The Chinese Strategist will attempt to teach other soldiers about Chinese strategies.;;;;;;;;;;;Êèòàéñêèé ñòðàòåã ïîïûòàåòñÿ îáó÷èòü äðóãèõ ñîëäàò êèòàéñêèì ñòðàòåãèÿì.;;x
title_tanist;Tanist;;;;;;;;;;;Òàíèñò;;x
title_teacher;Court Tutor;;;;;;;;;;;Ïðèäâîðíûé ó÷èòåëü;;x
title_teacher_desc;The Court Tutor will serve as the default Educator for all children at court who don't have an assigned Guardian.;;;;;;;;;;;Ïðèäâîðíûé ó÷èòåëü ÿâëÿåòñÿ âîñïèòàòåëåì äëÿ âñåõ äåòåé ïðè äâîðå, êîòîðûå íå èìåþò íàñòàâíèêà.;;x
title_venerable_elder;Venerable Elder;;;;;;;;;;;Óâàæàåìûé Ñòàðåö;;x
title_venerable_elder_desc;This honorific can only be granted to those who have reached the age of fifty. Their wisdom and the sorely needed guidance they offer the younger generations is deserving of great respect.;;;;;;;;;;;Ýòîò ïî÷¸òíûé òèòóë ìîæåò äîñòàòüñÿ ëèøü òåì, êòî äîñòèã ïÿòèäåñÿòè ëåò. Èõ ìóäðîñòü è äîáûòûé ñ âåëèêèì òðóäîì æèçíåíûé îïûò, êîòîðûé îíè ïåðåäàþò ìîëîäîìó ïîêîëåíèþ, çàñëóæèâàþò âåëèêîãî óâàæåíèÿ.;;x
title_volva;Court Völva;;;;;;;;;;;Â¸ëüâà;;x
title_volva_desc;A völva is regarded as a powerful seeress that practises sejdr, a form of sorcery. Among other things, she deals with curses, premonitions and omens of things to come.;;;;;;;;;;;Â¸ëüâà - ìîãóùåñòâåííàÿ ïðîðèöàòåëüíèöà, èñïîëüçóþùàÿ ðàçëè÷íûå ôîðìû êîëäîâñòâà. Îíà ïðîêëèíàåò è ïðåäñêàçûâàåò áóäóùåå.;;x
title_wall_walker;Walker of the Wall;;;;;;;;;;;Ãóëÿþùèé ìåæäó ñòåíàìè;;x
title_wall_walker_desc;This honorific is awarded to a person who has shown diligence and can spend the majority of their day on their feet, inspecting and maintaining the wall.;;;;;;;;;;;Ýòîò ïî÷¸òíûé òèòóë äàðóåòñÿ òîìó, êòî ïðîÿâèë óñåðäèå è ìîæåò ïðîâåñòè áîëüøóþ ÷àñòü ñâîåãî äíÿ íà íîãàõ, îñìàòðèâàÿ è ïîääåðæèâàÿ ñòåíû â õîðîøåì ñîñòîÿíèè.;;x
title_watcher_of_giants;Watcher of Giants;;;;;;;;;;;Ñòðàæ ãèãàíòîâ;;x
title_watcher_of_giants_desc;This honorific is awarded to a person who has shown exceptional vigilance and skills of observation, and they are ultimately responsible for the maintenance and upkeep of the great statue.;;;;;;;;;;;Ýòîò ïî÷¸òíûé òèòóë äà¸òñÿ òîìó, êòî ïðîÿâèë èñêëþ÷èòåëüíóþ áäèòåëüíîñòü è íàáëþäàòåëüíîñòü, èìåííî îí íåñ¸ò îòâåòñòâåííîñòü çà ñîäåðæàíèå âåëèêîé ñòàòóè.;;x
title_yabgu;Yabgu;;;;;;;;;;;ßáãó;;x
title_yabgu_desc;By tradition, the title of Yagbu is bestowed upon the second highest member of a ruling clan, often a brother of the Khan. It carries a great deal of respect.;;;;;;;;;;;Òðàäèöèîííî, òèòóë ßáãó äàðîâàëñÿ âòîðîìó ïî âëèÿíèþ ÷ëåíó êëàíà, ÷àùå âñåãî áðàòó Õàíà. Áîëüøàÿ ÷åñòü íîñèòü ýòîò òèòóë.;;x
title_yuhou;Yuhou;;;;;;;;;;;Þéõîó;;x
title_yuhou_desc;In the annals of ancient history, Yuhou are explained as the Watchers of Mountains and Lakes. While the title can imply a considerable amount of power, it is in itself a grand gesture to be deemed worthy of the title.;;;;;;;;;;;Â àííàëàõ äðåâíåé èñòîðèè Þéõîó íàçûâàþò äîçîðíûìè ãîð è ðåê. Íàçâàíèå ñàìî ïî ñåáå îòðàæàåò âåëèêóþ ñèëó, ÷òî äåëàåò òèòóë âåñüìà ïðåñòèæíûì.;;x
title_zhangshi;Zhangshi;;;;;;;;;;;×æàíøè;;x
title_zhangshi_desc;Also known as 'the other carriage' due to the Zhangshi rarely sharing a carriage with their superior. Nominally the Chief Secretary of a governor, the exact duty of Zhangshi, and the power this position holds, varies greatly.;;;;;;;;;;;"Òàêæå èçâåñòíà, êàê ""äðóãàÿ ïîâîçêà"", â âèäó òîãî, ÷òî ×æàíøè ðåäêî äåëÿò ïîâîçêó ñî ñâîèì íà÷àëüñòâîì. Íîìèíàëüíî ýòî Ãëàâíûé ñåêðåòàðü ãóáåðíàòîðà. Ïðÿìûå îáÿçàííîñòè ÷æàíøè è ïîëîæåíèå, êîòîðîå îí çàíèìàåò, ñèëüíî ðàçíÿòñÿ.";;x
tribal_title_prince_c_indian;Rajkumar;;;;;;;;;;;Ðàäæêóìàð;;x
tribal_title_prince_female_c_indian;Rajkumari;;;;;;;;;;;Ðàäæêóìàðè;;x
tribal_title_prince_female_indo_aryan_group;Rajkumari;;;;;;;;;;;Ðàäæêóìàðè;;x
tribal_title_prince_indo_aryan_group;Rajkumar;;;;;;;;;;;Ðàäæêóìàð;;x
