EVTTITLE20003;The Conversion of [converting_king.PrimaryTitle.GetName];;;;;;;;;;;[sponsoring_king.GetMassBaptismEventTitle];;x
EVTDESCHFA20329;I was just preparing myself for dinner, when [From.GetTitledFirstName], one of my foreign guests, decided take me aside, offering to teach me a few things that a good [Root.GetTitle] should know in order to rule wisely.;;;;;;;;;;;ß êàê ðàç ãîòîâè[Root.GetLasLsya] îáåäàòü, êîãäà êî ìíå ïîäîø[From.GetLaYol] [From.GetTitledFirstName] - îä[From.GetNaIn] èç ìîèõ èíîñòðàííûõ ãîñòåé, è îòâåë[From.GetEndA] ìåíÿ â ñòîðîíêó, ÷òîáû ïðåäëîæèòü îáó÷èòü ìåíÿ íåñêîëüêèì âåùàì, êîòîðûå äîëæ[Root.GetNaEn] çíàòü õîðîøèé ìîíàðõ, ÷òîáû ïðàâèòü ìóäðî.;;x
EVTDESCHFA20330;[From.GetTitledFirstName] was happy to learn more about [From.GetHerHis] upcoming responsibilities as a [From.GetTitle] from me. I am sure that what I told [From.GetHerHim] tonight will be of great use to [From.GetHerHim] in the future, and it will make [From.GetHerHis] realm more prosperous as well.;;;;;;;;;;;[From.GetTitledFirstName] áûë[From.GetEndA] ðàä[From.GetEndA] ïîëó÷èòü îò ìåíÿ íàñòàâëåíèÿ î òîì, ÷òî äîëæåí çíàòü è óìåòü õîðîøèé ïðàâèòåëü, ÷òîáû äîáèòüñÿ óñïåõà. Áåç ñîìíåíèé òî, ÷òî ÿ ðàññêàçàë[Root.GetEndA] ñåãîäíÿ, áóäåò âåñüìà ïîëåçíî [From.GetHerHim] â áóäóùåì è ïîñïîñîáñòâóåò ïðîöâåòàíèþ [From.GetHersHis] ñòðàíû.;;x
EVTDESCHFA20331;Perhaps [From.GetTitledFirstName] is too young to understand that I was only attempting to aid [From.GetHerHim]: [From.GetSheHe] did not listen to my words and dismissed [From.GetHerselfHimself] as soon as [From.GetSheHe] could. This sacred ceremony might well be just a big game for [From.GetHerHim].;;;;;;;;;;;Âîçìîæíî, [From.GetTitledFirstName] ñëèøêîì þí[From.GetEndA], ÷òîáû ïîíÿòü, ÷òî ÿ ïûòàþñü ïîìî÷ü [From.GetHerHim]. [From.GetSheHeCap] íå ñòàë[From.GetEndA] ñëóøàòü ìåíÿ è ïðè ïåðâîé æå âîçìîæíîñòè ñáåæàë[From.GetEndA]. Ìîæåò, ýòà ñâÿùåííàÿ öåðåìîíèÿ äëÿ í[From.GetHersHis] ëèøü èãðà?;;x
EVTDESCHFA20332;I was surprised tonight when [coronation_priest.GetTitledFirstName] stated that the period of festivity I have organized is unfit for the severity of the holy charge I am about to receive. [coronation_priest.GetSheHeCap] has concluded [coronation_priest.GetHerHis] scolding by remarking that [coronation_priest.GetSheHe] has witnessed many impious acts and degenerate behavior during [coronation_priest.GetHerHis] visit that have left [coronation_priest.GetHerHim] shocked and repulsed.;;;;;;;;;;;"Ñåãîäíÿ âå÷åðîì [coronation_priest.GetTitledFirstName] óäèâèë[coronation_priest.GetEndA] ìåíÿ, çàÿâèâ, ÷òî òîðæåñòâà, îðãàíèçîâàííûå ìíîþ ïî ñëó÷àþ êîðîíàöèè, íå ñîîòâåòñòâóþò ñòðîãîñòè ñâÿùåííîãî îáåòà, êîòîðûé ÿ ñîáèðàþñü äàòü ñâîèì ïîääàííûì è [Root.GetReligionHighGodDAT]. [coronation_priest.GetSheHeCap] óïðåêíóë[coronation_priest.GetEndA] ìåíÿ çà òî, ÷òî âî âðåìÿ ñâîåãî âèçèòà [coronation_priest.GetHerHim] ïðèøëîñü ñòîëêíóòüñÿ ñ ìàññîé ïîðîêîâ è ""ïðîÿâëåíèÿìè äåãåíåðàòèâíîãî ïîâåäåíèÿ"" ïðè ìî¸ì äâîðå, è ýòî ïî [coronation_priest.GetHersHis] ñëîâàì ïîâåðãëî [coronation_priest.GetHersHis] â øîê.";;x
EVTDESCHFA20333;Many tonight were surprised when [coronation_priest.GetTitledFirstName] stated that the period of festivity [From.GetTitledFirstName] has organized is unfit for the severity of the holy charge [From.GetSheHe] is about to take. [coronation_priest.GetSheHeCap] has concluded [coronation_priest.GetHerHis] scolding by remarking that [coronation_priest.GetSheHe] has witnessed many impious acts and degenerate behaviors during [coronation_priest.GetHerHis] visit that have left [coronation_priest.GetHerHim] shocked and repulsed.;;;;;;;;;;;Ñåãîäíÿ âå÷åðîì [coronation_priest.GetTitledFirstName] óäèâèë[coronation_priest.GetEndA] ìíîãèõ, çàÿâèâ, ÷òî òîðæåñòâà, êîòîðûå [From.GetTitledFirstName] îðãàíèçîâàë[From.GetEndA] ïî ñëó÷àþ ñâîåé êîðîíàöèè, íå ñîîòâåòñòâóþò ñòðîãîñòè ñâÿùåííîãî îáåòà, êîòîðûé [From.GetSheHe] ñîáèðàåòñÿ äàòü ñâîèì ïîääàííûì. [coronation_priest.GetSheHeCap] îòìåòèë[coronation_priest.GetEndA], ÷òî âî âðåìÿ ñâîåãî âèçèòà [coronation_priest.GetHerHim] ïðèøëîñü ñòîëêíóòüñÿ ñ ìàññîé ïîðîêîâ, êîòîðûå ïîâåðãëè [coronation_priest.GetHersHis] â øîê.;;x
EVTDESCHFA20335;It was not enough to learn that [From.GetTitledFirstName] was at [FromFrom.GetTitledFirstName]'s celebration: tonight, in the middle of dinner, my old rival decided to insult me in front of my host and many of the other guests!;;;;;;;;;;;Ìàëî òîãî, ÷òî [From.GetTitledFirstName], ì[From.GetOyaOy] ñòàð[From.GetAyaYy] ñîïåðíè[From.GetTsaK], ïîñìåë[From.GetEndA] ÿâèòüñÿ íà òîðæåñòâà, êîòîðûå [FromFrom.GetTitledFirstName] îðãàíèçîâàë[FromFrom.GetEndA] ïî ñëó÷àþ ñâîåé êîðîíàöèè, òàê åù¸ è ñåãîäíÿ çà óæèíîì [From.GetHerHim] õâàòèëî íàãëîñòè ïðèëþäíî îñêîðáèòü ìåíÿ!;;x
EVTDESCHFA20336;It was not enough to learn that [From.GetTitledFirstName] was at [FromFromFrom.GetTitledFirstName]'s celebration: tonight, in the middle of dinner, my old rival decided to insult me in front of my host and many of the other guests!;;;;;;;;;;;Ìàëî òîãî, ÷òî [From.GetTitledFirstName], ì[From.GetOyaOy] ñòàð[From.GetAyaYy] ñîïåðíè[From.GetTsaK], ïîñìåë[From.GetEndA] ÿâèòüñÿ íà òîðæåñòâà, êîòîðûå [FromFromFrom.GetTitledFirstName] îðãàíèçîâàë[FromFromFrom.GetEndA] ïî ñëó÷àþ ñâîåé êîðîíàöèè, òàê åù¸ è ñåãîäíÿ çà óæèíîì [From.GetHerHim] õâàòèëî íàãëîñòè ïðèëþäíî îñêîðáèòü ìåíÿ!;;x
EVTDESCHFA20337;A heated argument has sparked between [FromFrom.GetTitledFirstName] and [From.GetTitledFirstName], two of my distinguished foreign guests. Whatever their reasons, this diplomatic incident could be a stain on the legitimacy of this ceremony if not properly handled.;;;;;;;;;;;Äâîå ìîèõ óâàæàåìûõ ãîñòåé, [FromFrom.GetTitledFirstName] è [From.GetTitledFirstName], ñåðü¸çíî ïîðóãàëèñü. Êàêîâû áû íè áûëè ïðè÷èíû, ýòîò äèïëîìàòè÷åñêèé èíöèäåíò ìîæåò ïîäîðâàòü ëåãèòèìíîñòü öåðåìîíèè, åñëè ñ íèì äîëæíûì îáðàçîì íå ðàçîáðàòüñÿ.;;x
EVTDESCHFA20338;Thanks to my diplomatic skills I was able to not only stop the argument between the two rival rulers from escalating, but to also mend their disagreements permanently. We talked long after the dinner was over and when the two of them retired to their rooms for the night they professed that they have found a new friend in me.;;;;;;;;;;;Áëàãîäàðÿ ìîèì äèïëîìàòè÷åñêèì íàâûêàì, ÿ ñìîã[Root.GetNoneE] íå òîëüêî îñòàíîâèòü ñïîð ìåæäó äâóìÿ ñîïåðíè÷àþùèìè ïðàâèòåëÿìè, íî è íàâñåãäà óñòðàíèòü èõ ðàçíîãëàñèÿ. Ïî îêîí÷àíèè óæèíà ìû äîëãî ãîâîðèëè, çàòåì îíè óäàëèëèñü, ÷òîáû ïîãîâîðèòü ñ ãëàçó íà ãëàç, è â èòîãå ñêàçàëè, ÷òî íàøëè âî ìíå íîâîãî äðóãà.;;x
EVTDESCHFA20339;Thanks to my diplomatic skills I was able to not only stop the argument between the two rival rulers from escalating, but to also mend their disagreements permanently.;;;;;;;;;;;Áëàãîäàðÿ ìîèì äèïëîìàòè÷åñêèì íàâûêàì, ÿ ñìîã[Root.GetNoneE] íå òîëüêî îñòàíîâèòü ñïîð ìåæäó äâóìÿ ñîïåðíè÷àþùèìè ïðàâèòåëÿìè, íî è íàâñåãäà óñòðàíèòü èõ ðàçíîãëàñèÿ.;;x
EVTDESCHFA20340;Unfortunately, my attempt to help my two guests calm down were unsuccessful. In the end, I was forced to leave them to their bickering, lest I was dragged in the fight as well.;;;;;;;;;;;Ê ñîæàëåíèþ, ìîÿ ïîïûòêà ïîìî÷ü äâóì ãîñòÿì óñïîêîèòüñÿ íå óâåí÷àëàñü óñïåõîì. Â êîíöå êîíöîâ, ÿ áûë[Root.GetEndA] âûíóæäåí[Root.GetEndA] îñòàâèòü èõ, ÷òîáû èçáåæàòü äðàêè.;;x
EVTDESCHFA20341;Unfortunately, my attempt to help my two guests calm down were unsuccessful. Even worse, at the end of the dinner, I had somehow managed to convince both [From.GetTitledFirstName] and [From.GetTitledFirstName] that I was as much an enemy to them as they were to each other.;;;;;;;;;;;Ê ñîæàëåíèþ, ìîÿ ïîïûòêà ïîìî÷ü äâóì ãîñòÿì óñïîêîèòüñÿ íå óâåí÷àëàñü óñïåõîì. Õóæå òîãî, ïî îêîí÷àíèþ óæèíà [From.GetTitledFirstName] è [From.GetTitledFirstName] ñ ÷åãî-òî ðåøèëè, ÷òî äëÿ íèõ ÿ òàêîé æå âðàã, êàêèìè îíè ñ÷èòàþò äðóã äðóãà.;;x
EVTDESCHFA20342;There [coronation_priest.GetTitledFirstName] goes again, scolding [From.GetTitledFirstName]'s guests with another sermon. It has been days now since I have had to put up with [coronation_priest.GetHerHis] endless moralizing, I cannot really take anymore of it.;;;;;;;;;;;[coronation_priest.GetTitledFirstName] îïÿòü îò÷èòûâàåò ãîñòåé, êîòîðûõ ïðèãëàñèë[From.GetEndA] [From.GetTitledFirstName]... Âîò óæå íåñêîëüêî äíåé ïîäðÿä [coronation_priest.GetSheHe] íàäîåäàåò âñåì ñâîèìè áåñêîíå÷íûìè íðàâîó÷åíèÿìè. Ýòî íåâûíîñèìî.;;x
EVTDESCHFA20343;[From.GetTitledFirstName] decided to interfere with my argument with [coronation_priest.GetTitledFirstName]. While [From.GetSheHe] forced me to stop from further deriding the [coronation_priest.GetTitle], [From.GetSheHe] was also kind enough to recognize the validity of some of my complaints about [coronation_priest.GetFirstName]'s behavior.;;;;;;;;;;;Êîãäà ÿ è [coronation_priest.GetTitledFirstName] ñïîðèëè, [From.GetTitledFirstName] ðåøèë[From.GetEndA] âìåøàòüñÿ è çàñòàâèë[From.GetEndA] ìåíÿ ïðèçíàòü, ÷òî [coronation_priest.GetTitle] - íåïîäõîäÿùèé îáúåêò äëÿ íàñìåøåê, íî ïðè ýòîì íå ïîáîÿ[From.GetLasLsya] ïðèçíàòü îáîñíîâàííîñòü ìîèõ àðãóìåíòîâ.;;x
EVTDESCHFA20344;[From.GetTitledFirstName] decided to interfere with my argument with [coronation_priest.GetTitledFirstName], and predictably, the [From.GetTitle]-to-be decided to take the side of the [coronation_priest.GetTitle]. There is no doubt in my mind that [From.GetSheHe] did so only because [From.GetSheHe] does not wish to risk losing the officiant of [From.GetHerHis] coronation.;;;;;;;;;;;Êîãäà ÿ è [coronation_priest.GetTitledFirstName] ñïîðèëè, [From.GetTitledFirstName] ðåøèë[From.GetEndA] âìåøàòüñÿ. Íåóäèâèòåëüíî, ÷òî íåêîðîíîâàííûé ìîíàðõ è [coronation_priest.GetTitle] îêàçàëèñü â îäíîì ëàãåðå. Íå ñîìíåâàþñü, ÷òî [From.GetSheHe] ïîñòóïèë[From.GetEndA] òàê òîëüêî ïîòîìó, ÷òî íå õî÷åò ðèñêîâàòü ïîðòèòü îòíîøåíèÿ ñî ò[coronation_priest.GetOyEm], êòî áóäåò [From.GetHersHis] êîðîíîâàòü.;;x
EVTDESCHFA20345;[From.GetTitledFirstName] decided to interfere with my argument with [coronation_priest.GetTitledFirstName], and surprisingly, the [From.GetTitle]-to-be took my side, going against the [coronation_priest.GetTitle] who is supposed to crown [From.GetHerHim] only a few days from now.;;;;;;;;;;;Êîãäà ÿ è [coronation_priest.GetTitledFirstName] ñïîðèëè, [From.GetTitledFirstName] ðåøèë[From.GetEndA] âìåøàòüñÿ è, ÷òî óäèâèòåëüíî ïðèíÿë[From.GetEndA] ìîþ ñòîðîíó, íåñìîòðÿ íà òî, ÷òî [coronation_priest.GetTitle] ÷åðåç íåñêîëüêî äíåé áóäåò [From.GetHersHis] êîðîíîâàòü.;;x
EVTDESCHFA20346;This morning, a curious visitor came to my court: he is a wandering knight who traveled to [Root.Capital.GetName] after hearing news of my upcoming coronation. He has proclaimed that he wishes to pledge his sword to my service. He is ready and eager to serve a [Root.GetTitle] as wise and renown as I am to his death.;;;;;;;;;;;Ñåãîäíÿ óòðîì ê ìîåìó äâîðó ïðèáûë ëþáîïûòíûé ïîñåòèòåëü: ñòðàíñòâóþùèé ðûöàðü, êîòîðûé ïóòåøåñòâóÿ ÷åðåç [Root.Capital.County.GetAdjective]ñêèå çåìëè, óñëûøàë î ìîåé ïðåäñòîÿùåé êîðîíàöèè. Îí ïðåäëîæèë ìíå ñâîé ìå÷ è ñêàçàë, ÷òî òàê[Root.GetAyaOy] ìóäð[Root.GetAyaYy] è èçâåñòí[Root.GetAyaYy] [Root.GetTitle], êàê ÿ, äîñòî[Root.GetYnaIn] òîãî, ÷òîáû ïîñâÿòèòü [Root.GetHerHim] ñâîþ æèçíü.;;x
EVTDESCHFA20347;It was hard to notice at first, but, after spending a few days with him in my service, I have come to realize that [coronation_knight.GetFirstName]'s devotion to me goes well beyond the boundaries of loyalty between a knight and his [Root.GetTitle]. Tonight, I pressed the issue with him, only to have [coronation_knight.GetTitledFirstName] kneel at my feet and profess his undying love for me.;;;;;;;;;;;Ïîíà÷àëó ýòî áûëî òðóäíî çàìåòèòü, íî, ïîñëå òîãî êàê [coronation_knight.GetTitledFirstName] ïðîâåë[coronation_knight.GetEndA] íåñêîëüêî äíåé ó ìåíÿ íà ñëóæáå, ÿ ïîíÿë[Root.GetEndA], ÷òî [coronation_knight.GetSheHe] ðàññìàòðèâàåò ìåíÿ íå ïðîñòî êàê ñâî[Root.GetYuEgo] [Root.GetLordLadyACC]. Ñåãîäíÿ âå÷åðîì ÿ íàñòîÿë[Root.GetEndA] íà òîì, ÷òîáû îáñóäèòü ñ í[coronation_knight.GetEyIm] ýòîò âîïðîñ, è òóò [coronation_knight.GetSheHe] ïðåêëîíèë[coronation_knight.GetEndA] êîëåíî è ïðèçíà[coronation_knight.GetLasLsya] â âå÷íîé ëþáâè êî ìíå.;;x
EVTDESCHFA20348;Giving into my lust for [coronation_knight.GetTitledFirstName] may have been a poor choice, especially at this time: with the court so filled with guests for my impending coronation, somebody ended up spotting the two of us while we were consuming our illicit relationship in the gardens. Now, the entire palace is ablaze with vicious rumors about me.;;;;;;;;;;;È î ÷¸ì ÿ òîëüêî äóìàë[Root.GetEndA]? [coronation_knight.GetTitledFirstName] ÿâíî íå ò[coronation_knight.GetEtaEtot], ñ êåì ìîæíî ïðåäàâàòüñÿ ïîðî÷íîé ñòðàñòè â ñàäó, îñòàâàÿñü ïðè ýòîì íåçàìå÷åíí[Root.GetOyYm]. Îñîáåííî ñåé÷àñ, êîãäà ìíîæåñòâî ãîñòåé ïðèáûëè íà êîðîíàöèþ. Òåïåðü äâîð ïîëíèòñÿ óæàñíûìè ñëóõàìè îáî ìíå, ýòî êàòàñòðîôà.;;x
EVTDESCHFA20349;Rumors have reached me that [From.GetTitledFirstName] has fallen in love with a black knight who only arrived at her court a few days ago. Stories about her illicit escapades with this stranger of low birth put a notable stain on [From.GetTitledFirstName]'s reputation: why should she engage in such a vile behavior, especially when so close to her sacred coronation?;;;;;;;;;;;Äî ìåíÿ äîøëè ñëóõè, ÷òî [From.GetTitledFirstName] âëþáè[From.GetLasLsya] â ÷¸ðíîãî ðûöàðÿ, êîòîðûé íåñêîëüêî äíåé íàçàä ïðèáûë ê [From.GetHersHis] äâîðó. Èñòîðèè î [From.GetHersHis] ïîðî÷íûõ ïîõîæäåíèÿõ ñ ýòèì áåçðîäíûì ïðîõîäèìöåì ïîäîðâàëè [From.GetHersHis] ðåïóòàöèþ. È ïî÷åìó [From.GetSheHe] òàê ìåðçêî ñåáÿ âåä¸ò, êîãäà íà íîñó [From.GetHersHis] êîðîíàöèÿ?;;x
EVTDESCHFA20350;It has been a great idea allowing [coronation_knight.GetTitledFirstName] to join my court. He knows so much about fighting! He has told me all sorts of stories about the countless wars he has fought in, and he has even offered to teach me some of his tricks, if I can spare him some time.;;;;;;;;;;;[coronation_knight.GetTitledFirstName] ïðîñòî ïîòðÿñàþù[coronation_knight.GetAyaYy], [coronation_knight.GetSheHe] ñòîëüêî çíàåò î ñðàæåíèÿõ! ß òàê ðàä[Root.GetEndA], ÷òî ïîçâîëèë[Root.GetEndA] [coronation_knight.GetHerHim] ïðèñîåäèíèòüñÿ ê ìîåìó äâîðó! [coronation_knight.GetSheHeCap] ðàññêàçàë[coronation_knight.GetEndA] ìíå ìíîæåñòâî èñòîðèé î âîéíàõ, â êîòîðûõ ó÷àñòâîâàë[coronation_knight.GetEndA], è ïðåäëîæèë[coronation_knight.GetEndA] íàó÷èòü íåñêîëüêèì òðþêàì, åñëè ÿ óäåëþ [coronation_knight.GetHerHim] âðåìÿ.;;x
EVTDESCHFA20351;This morning, a curious visitor came to my court: a wandering scholar who traveled to [Root.Capital.GetName] after hearing news of my upcoming coronation. He claims that he has heard many tales of what a wise and virtuous ruler I am, and wishes to put his knowledge to my service.;;;;;;;;;;;Ñåãîäíÿ óòðîì ê ìîåìó äâîðó ïðèáûë ëþáîïûòíûé ïîñåòèòåëü: ñòðàíñòâóþùèé êíèæíèê, êîòîðûé ïóòåøåñòâóÿ ÷åðåç [Root.Capital.County.GetAdjective]ñêèå çåìëè, óñëûøàë î ìîåé ïðåäñòîÿùåé êîðîíàöèè. Îí ñêàçàë, ÷òî íàñëûøàí î ìîåé ìóäðîñòè è äîáðîäåòåëüíîñòè, êà÷åñòâàõ, êîòîðûìè ïî åãî ìíåíèþ äîëæåí îáëàäàòü íàñòîÿùèé ìîíàðõ, è òåïåðü ïðåäëàãàåò ìíå âåðíóþ ñëóæáó, ÷òîáû äåëèòüñÿ ñâîèìè çíàíèÿìè.;;x
EVTDESCHFA20352;Everybody is praising [From.GetTitledFirstName], everybody is saying what a great [From.GetTitle] [From.GetSheHe] will make... If nothing else, this Coronation Ceremony has really made me realize how much I despise that [From.GetManWoman].;;;;;;;;;;;Â ïîñëåäíåå âðåìÿ âñå òîëüêî è òâåðäÿò î òîì, êàê[From.GetAyaOy] çàìå÷àòåëüí[From.GetAyaYy] [From.GetTitledFirstName], è êàêèì âåëèêèì ìîíàðõîì [From.GetSheHe] ñòàíåò... Âñÿ ýòà ïîìïåçíîñòü ïî ñëó÷àþ êîðîíàöèÿ îêîí÷àòåëüíî óáåäèëà ìåíÿ â òîì, êàê æå ÿ ïðåçèðàþ ýò[From.GetUyuOgo] [From.GetAgedPersonACC].;;x
EVTDESCHFA20353;[From.GetTitledFirstName] has decided to make a scene during tonight's feast. Perhaps inviting my old rival to my coronation might have been a bad idea...;;;;;;;;;;;Ñåãîäíÿ âå÷åðîì âî âðåìÿ ïðàçäíè÷íîãî óæèíà [From.GetTitledFirstName] çàêàòèë[From.GetEndA] ñêàíäàë. Âîçìîæíî, ïðèãëàñèòü ñâîåãî âðàãà íà êîðîíàöèþ áûëî ïëîõîé èäååé...;;x
EVTDESCHFA20354;In a surprising show of kindness, [From.GetTitledFirstName] decided to listen to my grievances against [From.GetHerHim] and promised to improve [From.GetHerHis] behavior towards me in the future. Perhaps [From.GetSheHe] is not such a bad person after all...;;;;;;;;;;;[From.GetTitledFirstName] ïðîÿâèë[From.GetEndA] íåâèäàííóþ äîáðîòó. [From.GetSheHeCap] íå òîëüêî âûñëóøàë[From.GetEndA] âñå ìîè ïðåòåíçèè, íî è ïîîáåùàë[From.GetEndA] â áóäóùåì âåñòè ñåáÿ ëó÷øå ïî îòíîøåíèþ êî ìíå. Âîçìîæíî, [From.GetSheHe] íå òàêîé óæ ïëîõîé [From.GetHumanOrNone]...;;x
EVTDESCHFA20355;I am soon to become [Root.GetTitle], yet here I am, alone in my palace, with only a few servants to celebrate what is supposed to be one of the most important days of my life.;;;;;;;;;;;Ñî äíÿ íà äåíü ÿ ñòàíó ïîëíîïðàâíûì ìîíàðõîì, íî ïðàçäíóÿ çäåñü â îêðóæåíèè ëèøü íåñêîëüêèõ ñëóã, ÿ íå ìîãó íå çàìå÷àòü, êàê íåëåïî ýòî âñ¸ âûãëÿäèò. À âåäü ýòî äîëæíî áûëî ñòàòü îäíèì èç ñàìûõ âàæíûõ ñîáûòèé â ìîåé æèçíè.;;x
EVTDESCHFA20356;However justified my reasons were to organize a secluded ceremony for my coronation, rather than waste money and time on feasts and entertainment, my vassals are far from pleased. Not only do they perceive it as a sign of weakness, but they all seem to have taken their lack of invitation as a personal slight against them!;;;;;;;;;;;Ìî¸ ðåøåíèå îðãàíèçîâàòü óåäèíåííóþ öåðåìîíèþ ñâîåé êîðîíàöèè, âìåñòî òîãî, ÷òîáû òðàòèòü äåíüãè è âðåìÿ íà ïðàçäíèêè è ðàçâëå÷åíèÿ, áûëî èñêëþ÷èòåëüíî ðàçóìíûì øàãîì, íî ìîè âàññàëû ñ ýòèì êàòåãîðè÷åñêè íå ñîãëàñíû. Ìàëî òîãî, ÷òî îíè óâèäåëè â ýòîì ïðèçíàê ìîåé ñëàáîñòè, òàê îíè åù¸ è âîñïðèíÿëè îòñóòâèå ïðèãëàøåíèÿ êàê ëè÷íîå îñêîðáëåíèå!;;x
EVTDESCHFA20357;I have only heard of [From.GetTitledFirstName]'s pending coronation after the news spread across the realm. It seems that the [From.GetTitle] has organized a very secluded ceremony for [From.GetHerHis] coronation, granting invitations only to [From.GetHerHis] most inner circle of advisors.;;;;;;;;;;;Î òîì, ÷òî [From.GetTitledFirstName] ïëàíèðîâàë[From.GetEndA] ñâîþ êîðîíàöèþ, ÿ óçíàë[Root.GetEndA] ëèøü ïî ñëóõàì, ðàñïîëçàþùèìñÿ ïî âñåé ñòðàíå. Îêàçàëîñü, [From.GetSheHe] îðãàíèçîâàë[From.GetEndA] çàêðûòóþ öåðåìîíèþ, íà êîòîðóþ ïðèãëàñèë[From.GetEndA] òîëüêî áëèæíèé êðóã ñâîèõ ñîâåòíèêîâ.;;x
EVTDESCHFA20358;After growing increasingly hostile in the past few days, tonight [coronation_priest.GetTitledFirstName] officially stated [coronation_priest.GetHerHis] disappointment at my lack of hospitality, publicly berating me in front of my Council and servants for how poor and secluded this coronation is.;;;;;;;;;;;Ïîñëåäíèå íåñêîëüêî äíåé [coronation_priest.GetTitledFirstName] ïðîÿâëÿë[coronation_priest.GetEndA] âñ¸ áîëüøå âðàæäåáíîñòè ïî îòíîøåíèþ êî ìíå, à ñåãîäíÿ âå÷åðîì [coronation_priest.GetSheHe] îòêðûòî âûðàçèë[coronation_priest.GetEndA] ñâî¸ âîçìóùåíèå, îáâèíèâ ìåíÿ ïåðåä Ñîâåòîì â òîì, ÷òî öåðåìîíèÿ êîðîíàöèè áûëà ñëèøêîì ñêðîìíîé è çàêðûòîé.;;x
EVTDESCHFA20359;It came to me as no surprise that [coronation_priest.GetTitledFirstName] was disappointed with the secluded ceremony my liege organized for [From.GetHerHis] coronation. The [coronation_priest.GetTitle] probably hoped for a much more grandiose ceremony.;;;;;;;;;;;Íè÷åãî óäèâèòåëüíîãî, ÷òî [coronation_priest.GetTitledFirstName] áûë[coronation_priest.GetEndA] ðàññòðîåí[coronation_priest.GetEndA] òåì, íàñêîëüêî çàêðûòóþ öåðåìîíèþ îðãàíèçîâàë[Root.Liege.GetEndA] ì[Root.Liege.GetOyaOy] [Root.Liege.GetLordLady] â ÷åñòü ñâîåé êîðîíàöèè. Î÷åâèäíî, [coronation_priest.GetSheHe] íàäåÿ[coronation_priest.GetLasLsya] íà íå÷òî áîëüøåå.;;x
EVTDESCHFA20360;What will wearing a crown change when nobody is even here to see me be anointed [Root.GetTitle]? Is my realm destined to be as hollow and forgettable as this ceremony is going to be?;;;;;;;;;;;Òåïåðü ÿ [Root.GetTitle], íî ÷òî ýòî ìåíÿåò, åñëè íèêòî íå âèäåë, êàê ìíå íà ãîëîâó âîçëàãàþò êîðîíó? Èëè ìîåé ñòðàíå ñóæäåíî áûòü òàêîé æå ïóñòîé è çàáûòîé, êàê ýòà öåðåìîíèÿ?;;x
EVTDESCHFA20361;Spending the days leading up to my coronation in seclusion has given me time to meditate about my duties as a [Root.Religion.GetName] [Root.GetTitle]. Perhaps I have been too egoistical in the past, perhaps this ceremony is my chance to be a humbler, kinder ruler...;;;;;;;;;;;Ïðîâåäÿ íåñêîëüêî äíåé ïåðåä ñâîåé êîðîíàöèåé â óåäèíåíèè, ÿ ïîëó÷èë[Root.GetEndA] âîçìîæíîñòü ïîðàçìûñëèòü î òîì, êàê äîëæ[Root.GetNaEn] âåñòè ñåáÿ äîñòîéíûé ìîíàðõ. Âîçìîæíî, â ïðîøëîì ÿ áûë[Root.GetEndA] ñëèøêîì ýãîèñòè÷í[Root.GetOyYm], è ýòà öåðåìîíèÿ - ìîé øàíñ ñòàòü ñêðîìíåå è äîáðåå...;;x
EVTDESCHFA20362;As I spend my evenings alone, counting the days left before my coronation, I cannot shake the feeling that I would have been able to afford a more lavish ceremony if it were not for [lazy_treasurer.GetTitledFirstName]'s mismanagement of the realm's finances...;;;;;;;;;;;Ïðîâîäÿ âå÷åðà â îäèíî÷åñòâå è ñ÷èòàÿ äíè, îñòàâøèåñÿ äî ìîåé êîðîíàöèè, ÿ íå ìîãó èçáàâèòüñÿ îò îùóùåíèÿ, ÷òî ñìîã[Root.GetNoneE] áû ïîçâîëèòü ñåáå öåðåìîíèþ ïîðîñêîøíåå, åñëè áû íå [lazy_treasurer.GetTitledFirstName], òàê áåçàëàáåðíî îòíîñÿù[lazy_treasurer.GetAyaIy]ñÿ ê ãîñóäàðñòâåííûì ôèíàíñàì...;;x
EVTDESCHFA20363;[From.GetTitledFirstName] accused me of mismanaging the realm's finances! [From.GetSheHeCap] claims that, if it were not for my poor handling of the realm's treasury we would have been able to organize a much more grandiose ceremony for [From.GetHerHis] coronation.;;;;;;;;;;;[From.GetTitledFirstName] ñåãîäíÿ îáâèíèë[From.GetEndA] ìåíÿ â íåóìåëîì óïðàâëåíèè ôèíàíñàìè! [From.GetSheHeCap] ñêàçàë[From.GetEndA], ÷òî, åñëè áû íå ìî¸ ïëîõîå îáðàùåíèå ñ ãîñóäàðñòâåííîé êàçíîé, ìû ñìîãëè áû îðãàíèçîâàòü äåéñòâèòåëüíî ðîñêîøíóþ öåðåìîíèþ êîðîíàöèè.;;x
