# Vanilla
alcohol_gift_decision;Send Alcohol Gift;;;;;;;;;;;Ïîäàðèòü [GetAlcoholContainerType] [From.GetAlcoholGEN];;x
store_relic_in_wonder_desc;You can store a §Yrelic§! in one of your great works.;;;;;;;;;;;Âû ìîæåòå ïîìåñòèòü §Yðåëèêèâèþ§!, èçâåñòíóþ êàê [target_artifact_1.GetName], â îäíî èç ñâîèõ âåëèêèõ ñîîðóæåíèé.;;x
summer_fair;Hold a Summer Fair;;;;;;;;;;;Ïðîâåñòè ëåòíþþ ÿðìàðêó;;x
summer_fair_desc;The Summer Fair brings merchants, peddlers and all sorts of entertainment to your county.;;;;;;;;;;;Ëåòíÿÿ ÿðìàðêà ïðèâåä¸ò êóïöîâ, êîðîáåéíèêîâ è ðàçâëå÷åíèÿ â Âàø îêðóã.;;x
take_child_out_of_hiding;Take out of Hiding;;;;;;;;;;;Âûâåñòè èç ïîäïîëüÿ;;x
take_child_out_of_hiding_desc;Once the threatening danger is over, I can take my [Root.GetSonDaughter] out of hiding and allow [Root.GetHerHim] to return to public life.;;;;;;;;;;;Êîãäà îïàñíîñòü ìèíîâàëà, [Root.GetSonDaughter] ìîæåò ïåðåñòàòü ñêðûâàòüñÿ è âåðíóòüñÿ ê îáùåñòâåííîé æèçíè.;;x
take_child_out_of_hiding_named;Take [Root.GetFirstName] out of Hiding;;;;;;;;;;;Âûâåñòè [Root.GetSonDaughterACC] èç ïîäïîëüÿ;;x
take_spouse_out_of_hiding;Take out of Hiding;;;;;;;;;;;Âûâåñòè èç ïîäïîëüÿ;;x
take_spouse_out_of_hiding_desc;Once the threatening danger is over, I can take my [Root.GetHusbandWife] out of hiding and allow [Root.GetHerHim] to return to public life.;;;;;;;;;;;Êîãäà îïàñíîñòü ìèíîâàëà, [Root.GetHusbandWife] ìîæåò ïåðåñòàòü ñêðûâàòüñÿ è âåðíóòüñÿ ê îáùåñòâåííîé æèçíè.;;x
take_spouse_out_of_hiding_named;Take [Root.GetFirstName] out of Hiding;;;;;;;;;;;Âûâåñòè [Root.GetHusbandWifeACC] èç ïîäïîëüÿ;;x
use_scary_upgrade;Try to Intimidate;;;;;;;;;;;Ïîïûòêà çàïóãàòü;;x
use_scary_upgrade_desc;Having a conversation with §Y[Root.GetFirstNameWithNick]§! in an appropriate place might convince [Root.GetHerHim] to be more supportive.;;;;;;;;;;;"Âîçìîæíî, §Y[Root.GetFirstNameWithNick]§! ïîääåðæèò Âàñ, åñëè ïîãîâîðèòü ñ í[Root.GetEyIm] ""äîëæíûì îáðàçîì"".";;x
use_secluded_upgrade;Private Conversation;;;;;;;;;;;×àñòíàÿ áåñåäà;;x
use_secluded_upgrade_desc;Meeting §Y[Root.GetFirstNameWithNick]§! in a secluded place might be interesting.;;;;;;;;;;;Åñëè §Y[Root.GetFirstNameWithNick]§! ïîáåñåäóåò ñî ìíîé â óåäèí¸ííîì ìåñòå, ýòî ìîæåò áûòü èíòåðåñíî.;;x
vushmgir_brothers_legacy;Mardavij's Legacy;;;;;;;;;;;Íàñëåäíèå Ìåðäàâèäæà;;x
vushmgir_brothers_legacy_desc;My brother Mardavij tried to repel the Muslim faith and restore the Sasanian Empire in Persia. Though he failed, maybe it is time for me to pick up his legacy and reestablish the empire myself?;;;;;;;;;;;Ìîé áðàò Ìåðäàâèäæ ïûòàëñÿ îòáèòüñÿ îò [_ìóñóëüìàí] è âîññòàíîâèòü èìïåðèþ Ñàñàíèäîâ â Ïåðñèè. Îí ïîòåðïåë íåóäà÷ó, íî ÿ ìîãó ïðîäîëæèòü åãî äåëî è âîññòàíîâèòü èìïåðèþ ñàìîñòîÿòåëüíî.;;x
# The Republic
abandon_trade_post;Abandon Trade Post;;;;;;;;;;;Ïîêèíóòü ôàêòîðèþ;;x
abandon_trade_post_desc;You can abandon your trade post in this county in favor of a better location.;;;;;;;;;;;Âû ìîæåòå ïîêèíóòü ñâî¸ òîðãîâîå ïðåäñòàâèòåëüñòâî â ýòîì îêðóãå â ïîèñêàõ áîëåå âûãîäíîãî ìåñòà.;;x
adopt_republicanism;Found Merchant Republic;;;;;;;;;;;Îñíîâàòü òîðãîâóþ ðåñïóáëèêó;;x
adopt_republicanism_named;Found a Merchant Republic in [Root.GetName];;;;;;;;;;;Îñíîâàòü òîðãîâóþ ðåñïóáëèêó [Root.GetBaseName];;x
create_hungary;Create Hungary;;;;;;;;;;;Ñîçäàíèå Âåíãðèè;;x
create_hungary_desc;The Magyar tribes have travelled far and fought viciously against nomads, farmers and city dwellers alike. The fertile plains of the Carpathian basin may offer us peace and succor - a new homeland at last...;;;;;;;;;;;Ìàäüÿðñêèå ïëåìåíà ïóòåøåñòâîâàëè íà äàë¸êèå ðàññòîÿíèÿ è ÿðîñòíî ñðàæàëèñü ñ êî÷åâíèêàìè, ôåðìåðàìè è æèòåëÿìè ãîðîäîâ. Ïëîäîðîäíûå ðàâíèíû Êàðïàòñêîãî áàññåéíà ìîãóò ïîìî÷ü íàì è ïðåäëîæèòü ìèð. Íàêîíåö-òî, íîâàÿ ðîäèíà…;;x
create_leon;Create the Kingdom of León;;;;;;;;;;;Ñîçäàíèå êîðîëåâñòâà Ëåîí;;x
create_leon_desc;With our capital in León, the kingdom will shift its political impetus away from Asturias and the periphery towards the heartlands of the Iberian peninsula.;;;;;;;;;;;Ñ íàøåé ñòîëèöåé â Ëåîíå, êîðîëåâñòâî íàïðàâèò ñâîé ïîëèòè÷åñêèé êóðñ îò Àñòóðèè è ïåðèôåðèè ê Ñðåäèçåìíîìîðüþ Ïèðåíåéñêîãî ïîëóîñòðîâà.;;x
petition_doge_for_tp;Petition [Root.Liege.GetTitle] for Trade Posts;;;;;;;;;;;Ïîïðîñèòü ñåáå ôàêòîðèè.;;x
petition_doge_for_tp_desc;Petition the [Root.Liege.GetTitle] for some Trade Posts in the name of equity.;;;;;;;;;;;[Root.Liege.GetTitle] ðàññìîòðèò Âàøå ïðîøåíèå î ôàêòîðèÿõ âî èìÿ ñïðàâåäëèâîñòè.;;x
plot_seize_trade_post_decision;[Root.GetPlot];;;;;;;;;;;[Root.GetPlot];;x
plot_seize_trade_post_decision_desc;Put the plot into motion by attempting to seize the Trade Post.;;;;;;;;;;;Äàéòå õîä çàãîâîðó, ïîïðîáîâàâ çàõâàòèòü òîðãîâîå ïðåäñòàâèòåëüñòâî.;;x
usurp_tp;Usurp Trade Posts from Patrician;;;;;;;;;;;Çàõâàòèòü ôàêòîðèþ äðóãîé ñåìüè;;x
usurp_tp_desc;As [Root.GetTitle], use the powers of your office to usurp Trade Posts from a rival family.;;;;;;;;;;;Âàø òèòóë - [Root.GetTitle] ïîçâîëÿåò óçóðïèðîâàòü ôàêòîðèè äðóãèõ çíàòíûõ ñåìåé.;;x
# Sword of Islam
convince_to_straighten_up;Convince to Straighten up;;;;;;;;;;;Óáåäèòü èñïðàâèòüñÿ;;x
convince_to_straighten_up_desc;Attempt to reason with §Y[This.GetBestName]§!, asking him to clean up his act. There is no guarantee that this will succeed, but having a high Learning, Diplomacy or Intrigue skill will help. However if he owes you a favor, you can force him to do as you ask.;;;;;;;;;;;"Ïîïûòàòüñÿ óáåäèòü ÷åëîâåêà ïî èìåíè §Y[This.GetBestName]§! èñïðàâèòü ñâîé ïîñòóïîê. Íåò íèêàêîé ãàðàíòèè, ÷òî ýòî ïîìîæåò, íî íàëè÷èå ðàçâèòîãî íàâûêà ""Îáðàçîâàííîñòü"", ""Äèïëîìàòèÿ"" èëè ""Èíòðèãà"" ïîñïîñîáñòâóåò óñïåõó. Ê òîìó æå, åñëè [This.GetSheHe] ïåðåä Âàìè â äîëãó, Âû ìîæåòå [This.GetHersHis] âûíóäèòü.";;x
convince_to_straighten_up_named;Convince [Root.GetTitledFirstName] to Straighten up;;;;;;;;;;;Óáåäèòü [Root.GetHersHis] èñïðàâèòüñÿ;;x
embrace_ashari;Embrace the Ash'ari School;;;;;;;;;;;Ïðèíÿòü ó÷åíèå àøàðèòîâ;;x
embrace_ashari_desc;You embrace Ash'ari, a Sunni school of theology that emphasizes tradition, revelation and occasionalism. This will increase your piety, but members of the opposing Mu'tazila school will disapprove.;;;;;;;;;;;Âû âûáèðàåòå àøàðèçì, ñóííèòñêóþ øêîëó áîãîñëîâèÿ, âîñïåâàþùóþ òðàäèöèîííîñòü è îêêàçèîíàëèçì. Ýòî ïîâûñèò Âàøå áëàãî÷åñòèå, íî ìóòàçèëèòû, ïîñëåäîâàòåëè äðóãîãî ó÷åíèÿ ýòî íå îäîáðÿò.;;x
embrace_mutazila;Embrace the Mu'tazila School;;;;;;;;;;;Ïðèíÿòü ó÷åíèå ìóòàçèëèòîâ;;x
embrace_mutazila_desc;You embrace Mu'tazila, a Sunni school of theology that emphasizes rationality, reason and free will. This will benefit your research, but members of the opposing Ash'ari school will disapprove.;;;;;;;;;;;Âû âûáèðàåòå ìóòàçèëèçì, ñóííèòñêóþ øêîëó áîãîñëîâèÿ, âîñïåâàþùóþ ðàçóì è ñâîáîäó âîëè. Ýòî ïîìîæåò ðàçâèòèþ íàóêè, íî àøàðèòû, ïîñëåäîâàòåëè äðóãîãî ó÷åíèÿ, ýòî íå îäîáðÿò.;;x
go_on_hajj;Go on Hajj to Mecca;;;;;;;;;;;Ñîâåðøèòü õàäæ â Ìåêêó;;x
go_on_hajj_desc;Going on a pilgrimage to Mecca is one of the pillars of Islam, and this is something every able-bodied Muslim is expected to do once in their life. Decadent characters will get rid of the trait.;;;;;;;;;;;Ïàëîìíè÷åñòâî â Ìåêêó - îäèí èç ñòîëïîâ Èñëàìà, êàæäûé äååñïîñîáíûé ìóñóëüìàíèí äîëæåí ñîâåðøèòü åãî õîòÿ áû ðàç â æèçíè.;;x
hold_a_furusiyya;Hold a Furusiyya Tournament;;;;;;;;;;;Ïðîâåäèòå òóðíèð Ôóðóñèÿ;;x
hold_a_furusiyya_desc;We shall hold a Furusiyya martial competition to determine once and for all who the best fighters of the land are.;;;;;;;;;;;Ìû ïðîâåäåì âîåííûé êîíêóðñ Ôóðóñèÿ, ÷òîáû îïðåäåëèòü ðàç è íàâñåãäà, êòî ëó÷øèé áîåö âñåõ çåìåëü.;;x
observe_ramadan;Observe Ramadan;;;;;;;;;;;Ñîáëþäàòü Ðàìàäàí.;;x
observe_ramadan_desc;As a Muslim you observe the fast of Ramadan every year, but you will be paying particular adherence to it this time. Upon its conclusion, a great banquet will be held to celebrate the Eid ul-Fitr holiday.;;;;;;;;;;;Áóäó÷è ïðèâåðæåíöåì Èñëàìà, Âû êàæäûé ãîä ñîáëþäàåòå ïîñò Ðàìàäàí, íî íà ýòîò ðàç, Âû óäåëèòå åìó îñîáîå âíèìàíèå. Ïî åãî îêîí÷àíèþ ñîñòîèòñÿ áîëüøîé ïèð äëÿ ïðàçäíîâàíèÿ Óðàçà-áàéðàìà.;;x
sadaqah_saddka;Give Sadaqa for my Sins;;;;;;;;;;;Äàòü ñàäàêó çà ìîè ãðåõè;;x
sadaqah_saddka_desc;I will give voluntarily of my wealth and hope Allah and the Caliph will hear of my piety;;;;;;;;;;;ß äîáðîâîëüíî îòäàþ ñâî¸ áîãàòñòâî è íàäåþñü, ÷òî Àëëàõ è õàëèô óñëûøàò î ìî¸ì áëàãî÷åñòèè;;x
vassal_fatwa_decision;Suggest Fatwa Against [Root.GetTitledFirstName];;;;;;;;;;;Ïðåäëîæèòü ôåòâó ïðîòèâ [Root.GetTitledFirstName];;x
vassal_fatwa_decision_desc;[Root.GetTitledName] is known for the decadent ways of [Root.GetHerHis] dynasty. Convince your [From.GetMyLordSpiritualName] to issue a fatwa against [Root.GetHerHim]. This would make it easier to revoke titles and grant them to someone more deserving...;;;;;;;;;;;[Root.GetTitledName] ïå÷àëüíî èçâåñòåí óïàäêîì ñâîåé äèíàñòèè. Ïóñòü [From.GetMyLordSpiritualName] âûïóñòèò ôåòâó ïðîòèâ íåãî. Âû ñìîæåòå ñ ë¸ãêîñòüþ îòîçâàòü òèòóëû è ïîæàëîâàòü èõ êîìó-íèáóäü áîëåå äîñòîéíîìó...;;x
# Monks & Mystics
assassins_borrow_money;Borrow Money from the Assassins;;;;;;;;;;;Çàíÿòü äåíüãè ó àññàñèíîâ;;x
assassins_borrow_money_desc;You may borrow money from the order if the Grand Master allows it. You are expected to pay back within a reasonable time.;;;;;;;;;;;Âû ìîæåòå âçÿòü â äîëã ó îðäåíà, åñëè âåëèêèé ìàñòåð ýòî ðàçðåøèò. Ïîäðàçóìåâàåòñÿ, ÷òî Âû âåðí¸òå äåíüãè îáðàòíî â ïðèåìëåìûå ñðîêè.;;x
assassins_borrow_money_power_desc;Enables the decision to borrow money of the Order.;;;;;;;;;;;Ïîçâîëÿåò çàíèìàòü äåíüãè ó îðäåíà.;;x
assassins_clear_marked_for_death_target;Clear Mark of Death;;;;;;;;;;;Ñíÿòü ìåòêó ñìåðòè;;x
assassins_clear_marked_for_death_target_desc;Remove the mark of death on §Y[Root.GetTitledFirstName]§!. This will not cancel any ongoing missions.;;;;;;;;;;;Ëèøèòü [Root.GetAgedPersonACC], èçâåñòí[Root.GetUyuOgo] êàê §Y[Root.GetTitledFirstName]§!, ìåòêè ñìåðòè. Ýòî îòìåíèò âñå òåêóùèå çàäàíèÿ.;;x
assassins_donate;Donate Money to the Assassins;;;;;;;;;;;Ïîæåðòâîâàòü äåíüãè àññàñèíàì;;x
assassins_donate_desc;You may donate money to the Order in exchange for §Y[Root.Society.GetCurrency]§!.;;;;;;;;;;;Âû ìîæåòå ïîæåðòâîâàòü äåíüãè îðäåíó, ïðèîáðåòÿ â îáìåí íà ýòî §Y[Root.Society.GetCurrency]§!.;;x
assassins_donate_power_desc;Enables the decision to donate money to §YThe Assassins§!, to gain §Y[Root.Society.GetCurrency]§!.;;;;;;;;;;;Ïîçâîëÿåò æåðòâîâàòü äåíüãè §Yàññàñèíàì§!, ÷òîáû ïîëó÷èòü §Y[Root.Society.GetCurrency]§!.;;x
assassins_drug_effect;Use Hashish from the Assassins;;;;;;;;;;;Èñïîëüçîâàòü ãàøèø;;x
assassins_drug_effect_desc;Assassins can use Hashish to experience divine visions to help them in their cause.;;;;;;;;;;;Àññàñèíû ìîãóò ïðèìåíÿòü ãàøèø, ÷òîáû âûçûâàòü âèäåíèÿ, êîòîðûå òàê èëè èíà÷å ïîìîãàþò èì.;;x
assassins_drug_effect_power_desc;Enables the decision to take hashish from §YThe Assassins§! in exchange for §Y[Root.Society.GetCurrency]§!, in order to receive helpful visions. This may negatively impact your health.;;;;;;;;;;;Ïîçâîëÿåò èñïîëüçîâàòü ðåøåíèå óïîòðåáèòü ãàøèø §Yàññàñèíîâ§! â îáìåí íà §Y[Root.Society.GetCurrency]§!, äàáû ïåðåæèòü îïûò ïðîðèöàíèÿ ÷åðåç âèäåíèÿ. Îñòîðîæíî, ýòî íàíîñèò âðåä Âàøåìó çäîðîâüþ!;;x
assassins_mark_for_death;Mark for Death;;;;;;;;;;;Ìåòêà ñìåðòè;;x
assassins_mark_for_death_desc;As the Grand Master of the Assassins, §Y[From.GetTitledFirstName]§! has the power to mark §Y[Root.GetTitledFirstName]§! for death. One of the Assassins will be given a mission to kill §Y[Root.GetTitledFirstName]§!.;;;;;;;;;;;Áóäó÷è âåëèêèì ìàñòåðîì àññàñèíîâ, §Y[From.GetTitledFirstName]§! îáëàäàåò âîçìîæíîñòüþ íàäåëèòü [Root.GetAgedPersonACC], èçâåñòí[Root.GetUyuOgo] êàê §Y[Root.GetTitledFirstName]§!, ìåòêîé ñìåðòè, îäíîìó èç àññàñèíîâ áóäåò ïîðó÷åíî óáèòü [Root.GetHersHis].;;x
assassins_mark_for_death_power_desc;Enables §Gright-clicking§! the portraits of an adult character in order to mark them for assassination, in exchange for §Y[Root.Society.GetCurrency]§!. This will encourage other members of §YThe Assassins§! to go after your mark.;;;;;;;;;;;Êëèêíóâ §Gïðàâîé êíîïêîé ìûøè§! íà ïîðòðåòàõ âçðîñëûõ ëþäåé, ìîæíî ïîìåòèòü èõ, êàê öåëè äëÿ óáèéñòâà â îáìåí íà §Y[Root.Society.GetCurrency]§!. Ýòî âäîõíîâèò äðóãèõ §Yàññàñèíîâ§! íà ïðåñëåäîâàíèå è ëèêâèäàöèþ ýòèõ öåëåé.;;x
assassins_pay_debt;Pay Back Debt to the Assassins;;;;;;;;;;;Âûïëàòèòü äîëã àññàñèíàì;;x
assassins_pay_debt_desc;Pay back the money you owe the Assassins.;;;;;;;;;;;Âåðíóòü äåíüãè, êîòîðûå Âû çàíÿëè ó àññàñèíîâ.;;x
assassins_raise_ships;Hire Ships;;;;;;;;;;;Íàíÿòü ôëîò;;x
assassins_raise_ships_desc;Since Assassins have little time for naval matters, it is best to simply hire ships when needed.;;;;;;;;;;;Ïîñêîëüêó àññàñèíû ðåäêî èìåþò äåëî ñ ìîðåïëàâàíèåì, èì ëó÷øå âñåãî ïðîñòî íàíÿòü êîðàáëè, êîãäà ýòî íåîáõîäèìî.;;x
assassins_raise_ships_power_desc;Enables the decision to raise special ships, in exchange for §Y[Root.Society.GetCurrency]§!.;;;;;;;;;;;Ïîçâîëÿåò íàíèìàòü êîðàáëè â îáìåí íà §Y[Root.Society.GetCurrency]§!.;;x
assassins_raise_troops;Raise Army of Assassins;;;;;;;;;;;Ïîäíÿòü àðìèþ àññàñèíîâ;;x
assassins_raise_troops_desc;As the Grandmaster of the Assassins, you may call upon an army of fanatical followers while at war.;;;;;;;;;;;Áóäó÷è Âåëèêèì ìàñòåðîì àññàñèíîâ, Âû ìîæåòå ñîçâàòü àðìèþ ôàíàòèêîâ âî âðåìÿ âîéíû.;;x
assassins_raise_troops_power_desc;Enables the decision to raise special troops, in exchange for §Y[Root.Society.GetCurrency]§!.;;;;;;;;;;;Ïîçâîëÿåò ïðèçâàòü âîéñêà â îáìåí íà §Y[Root.Society.GetCurrency]§!.;;x
assassins_recruit;Recruit to the Assassins;;;;;;;;;;;Ïðèâëå÷ü ê àññàñèíàì;;x
assassins_recruit_desc;Attempt to find out whether §Y[Root.GetTitledFirstName]§! is sympathetic to the cause of the order. If so, you may invite [Root.GetHerHim] to become an Assassin.;;;;;;;;;;;Ïîïûòàòüñÿ âûÿñíèòü, ñèìïàòèçèðóåò ëè §Y[Root.GetTitledFirstName]§! èäåÿì è ïðèíöèïàì îðäåíà. Â ñëó÷àå óñïåõà, ïðèãëàñèòü [Root.GetHersHis] ñòàòü àññàñèíîì.;;x
assassins_scare_ruler;Intimidate Ruler for Favor;;;;;;;;;;;Çàïóãàòü ïðàâèòåëÿ;;x
assassins_scare_ruler_desc;While carrying out [From.GetHerHis] tasks for the Assassins, §Y[From.GetTitledFirstName]§! has become proficient in the skills of blackmail and intimidation. [From.GetSheHeCap] can attempt to use [From.GetHerHis] experience to scare §Y[Root.GetTitledFirstName]§! in order to get a favor on [From.GetHerHim].;;;;;;;;;;;Âûïîëíÿÿ ïîðó÷åíèÿ àññàñèíîâ, §Y[From.GetTitledFirstName]§! ñòàë[From.GetEndA] èñêóñ[From.GetNaEn] â óãðîçàõ è øàíòàæå. [From.GetSheHeCap] ìîæåò ïðèìåíèòü ñâîé îïûò çàïóãèâàíèÿ, è â ñëó÷àå óñïåõà §Y[Root.GetTitledFirstName]§! áóäåò ïåðåä í[GetEyIm] â äîëãó.;;x
assassins_scare_ruler_power_desc;Enables §Gright-clicking§! the portraits of other rulers in order to intimidate them into owing you a favor.;;;;;;;;;;;Êëèêíóâ §Gïðàâîé êíîïêîé ìûøè§! íà ïîðòðåòàõ äðóãèõ ïðàâèòåëåé, ìîæíî çàïóãèâàòü èõ, ÷òîáû îíè áûëè ïåðåä Âàìè â äîëãó.;;x
brew_happiness_potion;Brew Potion of Eudaimonia;;;;;;;;;;;Ñâàðèòü çåëüå ýâäåìîíèè;;x
brew_happiness_potion_desc;As a [From.GetSocietyRank] of [From.Society.GetName], §Y[From.GetTitledFirstName]§! can brew a potion to raise low spirits.;;;;;;;;;;;Êàê [From.GetSocietyRank] îáùåñòâà [From.GetSocietyNameGEN], §Y[From.GetTitledFirstName]§! ìîæåò ñâàðèòü çåëüå, ïîäíèìàþùåå äóõ.;;x
brew_happiness_potion_power_desc;Enables §Gright-clicking§! the portrait of any §RDepressed§! or §RStressed§! character in your court, in order to make them a potion that raises their spirits, in exchange for §Y[From.Society.GetCurrency]§!.;;;;;;;;;;;§GÏðàâûé êëèê ìûøè§! íà ïîðòðåòå ëþáîãî ïðè Âàøåì äâîðå, íàõîäÿùåãîñÿ §Râ äåïðåññèè§! èëè §Râ ñòðåññå§!, ïîìîæåò óêðåïèòü åãî äóõ â îáìåí íà §Y[From.Society.GetCurrency]§!.;;x
build_laboratory;Construct Laboratory;;;;;;;;;;;Ïîñòðîèòü ëàáîðàòîðèþ;;x
build_laboratory_desc;Constructing your own laboratory will help you in the various experiments needed to delve into the deeper truths of creation. It can however easily get very costly...;;;;;;;;;;;Ñòðîèòåëüñòâî Âàøåé ñîáñòâåííîé ëàáîðàòîðèè ïîìîæåò Âàì îñóùåñòâèòü ýêñïåðèìåíòû. Îíè ïîçâîëÿò Âàì ïðîíèêíóòü â ãëóáîêèå èñòèíû òâîðåíèÿ, íî îáîéäóòñÿ íåä¸øåâî...;;x
choose_hermetic_art;Choose Hermetic Art;;;;;;;;;;;Âûáðàòü ãåðìåòè÷åñêîå èñêóññòâî;;x
choose_hermetic_art_desc;Choose to focus on one of the three arts within §Y[Root.Society.GetName]§!. Doing so will allow you to choose a lifestyle trait.;;;;;;;;;;;Âûáðàòü îäíî èç òð¸õ èñêóññòâ §Y[Root.GetSocietyNameGEN]§!. Ñëåäóÿ åìó, Âû ñìîæåòå âûáðàòü æèçíåííûé ïóòü.;;x
choose_hermetic_art_power_desc;Enables §Gright-clicking§! on your character's portrait in order choose one of the three different arts within the Hermetics, allowing you to decide on your lifestyle.;;;;;;;;;;;Ïîçâîëÿåò, êëèêíóâ §Gïðàâîé êíîïêîé ìûøè§! íà Âàøåì ïîðòðåòå, âûáðàòü îäíî èç òð¸õ èñêóññòâ ãåðìåòèçìà, ÷òî â ñâîþ î÷åðåäü ïîçâîëèò Âàì èçáðàòü ñâîé æèçíåííûé ïóòü.;;x
convert_to_liege_culture_on_liege;Convert Culture;;;;;;;;;;;Ïðèíÿòü êóëüòóðó;;x
convert_to_liege_culture_on_liege_desc;I am impressed with the language and customs of my liege. I wish I were like that...;;;;;;;;;;;Ìåíÿ âïå÷àòëÿåò ÿçûê è îáû÷àè ìîåãî ñþçåðåíà. ß õî÷ó èì íàó÷èòüñÿ...;;x
convert_to_liege_culture_on_liege_named;Convert to [Root.GetPossPronoun] [Root.Culture.GetName] Culture;;;;;;;;;;;Ïðèíÿòü [Root.GetCultureAdj]óþ êóëüòóðó;;x
convert_to_liege_religion_on_liege;Convert Religion;;;;;;;;;;;Ïðèíÿòü âåðó;;x
convert_to_liege_religion_on_liege_desc;I am sure §Y[Root.GetTitledFirstName]§! would be pleased if we had the same faith...;;;;;;;;;;;§Y[Root.GetTitledFirstName]§! áóäåò ðàä[Root.GetEndA], åñëè ìû áóäåì èñïîâåäîâàòü îäíó ðåëèãèþ.;;x
convert_to_liege_religion_on_liege_named;Convert to [Root.GetPossPronoun] [Root.Religion.GetName] Faith;;;;;;;;;;;Ïðèíÿòü [Root.GetReligionFullName];;x
decision_abduct;Attempt to Abduct;;;;;;;;;;;Ïîïûòêà ïîõèùåíèÿ;;x
decision_abduct_desc;Attempt to abduct and imprison §Y[This.GetBestName]§! with the help of your brethren in §Y[From.Society.GetName]§!.;;;;;;;;;;;§Y[This.GetBestName]§! - Âàøà öåëü. Âû ìîæåòå ïðåäïðèíÿòü ïîïûòêó ïîõèòèòü è ïëåíèòü [This.GetHersHis] ïðè ïîääåðæêå Âàøèõ ñîðàòíèêîâ §Y[From.GetSocietyNameGEN]§!.;;x
decision_abduct_power_desc;Enables §Gright-clicking§! the portraits of characters a lower tier than Duke or relative to someone a lower tier than Duke to attempt to abduct and imprison them with the help of your brethren in [From.Society.GetName], in exchange for §Y[From.Society.GetCurrency]§!.;;;;;;;;;;;Èñïîëüçóÿ §Gïðàâóþ êíîïêó ìûøè§! íà ïîðòðåòå êîãî-òî ñ ðàíãîì íèæå ãåðöîãñêîãî èëè åãî ðîäñòâåííèêà, Âû ìîæåòå ïîõèòèòü è ïëåíèòü åãî, çàðó÷èâøèñü ïîääåðæêîé [From.GetSocietyNameGEN], â îáìåí íà §Y[From.Society.GetCurrency]§!.;;x
devil_worshiper_desecrate_temple;Desecrate a temple.;;;;;;;;;;;Îñêâåðíèòü õðàì.;;x
devil_worshiper_desecrate_temple_desc;Desecrate the temple assigned by the society.;;;;;;;;;;;Îñêðâåðíèòü õðàì, âûáðàííûé îáùåñòâîì.;;x
devil_worshiper_desecrate_temple_decision;Desecrate Temple;;;;;;;;;;;Îñêâåðíèòü õðàì;;x
devil_worshiper_desecrate_temple_decision_desc;Desecrate the temple as ordered by §Y[From.Society.GetName]§!.;;;;;;;;;;;Îñêâåðíèòü õðàì, êàê òîãî âåëÿò §Y[From.GetSocietyName]§!.;;x
devil_worshiper_recruit_desc_random;Attempt to find out whether §Y[Root.GetTitledFirstName]§! lusts for the power of the occult. If so, you may offer [Root.GetHerHim] to join your Society.;;;;;;;;;;;Ïîïûòàòüñÿ âûÿñíèòü, ãîòîâ[Root.GetEndA] ëè §Y[Root.GetTitledFirstName]§! ïîçíàòü îêêóëüòíûå ñèëû. Â ñëó÷àå óñïåõà, ïðèãëàñèòü [Root.GetHersHis] ïðèñîåäèíèòüñÿ ê Âàøåìó ñîîáùåñòâó.;;x
devil_worshiper_recruit_random;Recruit for [From.Religion.GetRandomEvilGodNameCap];;;;;;;;;;;Ïðèâëå÷ü íà ñëóæáó Ò¸ìíûì ñèëàì;;x
devil_worshipers_corrupt_priest;Corrupt [Root.Religion.GetPriestTitle];;;;;;;;;;;Ðàçâðàòèòü ñâÿùåííèêà;;x
devil_worshipers_corrupt_priest_desc;Corrupt §Y[Root.GetTitledFirstName]§! for material gains and [From.GetDWDevil]'s appreciation. This might have repercussions upon your soul!;;;;;;;;;;;Ðàçâðàùåíèå òàê[Root.GetOyOgo] [Root.GetAgedPersonGEN], êàê §Y[Root.GetTitledFirstName]§!, ñóëèò ìàòåðèàëüíóþ âûãîäó, ê òîìó æå [From.GetDWDevil] îöåíèò ýòîò øàã. Îäíàêî, ýòî ìîæåò ïîâëèÿòü íà Âàøó äóøó!;;x
devil_worshipers_dark_divorce;Dark Divorce;;;;;;;;;;;Ò¸ìíûé ðàçâîä;;x
devil_worshipers_dark_divorce_desc;Annul your marriage to §Y[Root.GetTitledFirstName]§! by death, using dark rituals and magic. This may have repercussions upon your soul!;;;;;;;;;;;Àííóëèðîâàòü áðàê ñ [Root.GetManWoman]îé, èçâåñòí[Root.GetOyYm] êàê §Y[Root.GetTitledFirstName]§!, èñïîëüçóÿ ò¸ìíûå ðèòóàëû è ìàãè÷åñêèå ñèëû - ñìåðòü ðàçëó÷èò Âàñ, íî ýòî ìîæåò ïëîõî ïîâëèÿòü íà Âàøó äóøó.;;x
devil_worshipers_dark_divorce_power_desc;Enables §Gright-clicking§! the portrait of your spouse in order to annul your marriage, in the name of [Root.GetDWDevil], in exchange for §Y[Root.Society.GetCurrency]§!. Your spouse will be no more.;;;;;;;;;;;Êëèêíóâ §Gïðàâîé êíîïêîé ìûøè§! íà ïîðòðåòå ñâîå[Root.GetYGoOpp] [Root.GetHusbandWifeOppGEN], Âû ìîæåòå ðàñòîðãíóòü ñâîé áðàê ñèëîé [Root.GetDWDevilGEN] â îáìåí íà §Y[Root.Society.GetCurrency]§!. Îäíàêî, Âàøå[Root.GetYGoOpp] [Root.GetHusbandWifeOppGEN] íå ñòàíåò.;;x
