EVTTITLE_WoL_5001;The White [Root.GetHuntingQuarryCap];;;;;;;;;;;Áåëûé [Root.GetHuntingQuarryCap];;x
# EVTDESC_WoL_5004_bear;Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white bear in the county of [target_province.GetName].;;;;;;;;;;;Äîáðûå âåñòè, [Root.PrimaryTitle.GetFOA]! Èç äîñòîâåðíûõ èñòî÷íèêîâ íàì ïðèøëî äîíåñåíèå, ÷òî â [From.County.GetAdjective]ñêèõ ëåñàõ áûë çàìå÷åí áåëûé ìåäâåäü!;;x
# EVTDESC_WoL_5004_lion;Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white lion in the county of [target_province.GetName].;;;;;;;;;;;Äîáðûå âåñòè, [Root.PrimaryTitle.GetFOA]! Èç äîñòîâåðíûõ èñòî÷íèêîâ íàì ïðèøëî äîíåñåíèå, ÷òî íà ïðîñòîðàõ [From.County.GetAdjective]ñêèõ çåìåëü áûë çàìå÷åí áåëûé ëåâ!;;x
# EVTDESC_WoL_5004_stag;Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white stag in the county of [target_province.GetName].;;;;;;;;;;;Äîáðûå âåñòè, [Root.PrimaryTitle.GetFOA]! Èç äîñòîâåðíûõ èñòî÷íèêîâ íàì ïðèøëî äîíåñåíèå, ÷òî â [From.County.GetAdjective]ñêèõ ëåñàõ áûë çàìå÷åí áåëûé îëåíü!;;x
# EVTDESC_WoL_5004_tiger;Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white tiger in the county of [target_province.GetName].;;;;;;;;;;;Äîáðûå âåñòè, [Root.PrimaryTitle.GetFOA]! Èç äîñòîâåðíûõ èñòî÷íèêîâ íàì ïðèøëî äîíåñåíèå, ÷òî â [From.County.GetAdjective]ñêèõ ëåñàõ áûë çàìå÷åí áåëûé òèãð!;;x
# EVTDESC_WoL_5007_bear;On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a fearsome great white bear! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.;;;;;;;;;;;Íà îõîòå Âû îòñòàëè îò ñâîåãî îòðÿäà. Áëóæäàÿ ïî ìåñòíîñòè â ïîïûòêàõ íàéòè îáðàòíûé ïóòü, Âû çàìåòèëè íå÷òî ñòðàííîå âäàëè è ïîñêàêàëè â ýòîì íàïðàâëåíèè. Âäðóã íåâåðîÿòíàÿ óäà÷à - ãðîçíûé áåëûé ìåäâåäü ïðÿìî ïåðåä Âàìè! Êàê òîëüêî Âû ïðèáëèçèëèñü ê íåìó, îí òóò æå óáåæàë ïðî÷ü - ïîïûòêè ïðåñëåäîâàíèÿ çàêîí÷èëèñü íåóäà÷åé.\nÊîãäà Âû íàêîíåö âåðíóëèñü ê ñâîåìó îòðÿäó, ìûñëè î ñòðàííîì ñóùåñòâå íèêàê íå ïîêèäàëè Âàñ.;;x
# EVTDESC_WoL_5007_lion;On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a majestic great white lion! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.;;;;;;;;;;;Íà îõîòå Âû îòñòàëè îò ñâîåãî îòðÿäà. Áëóæäàÿ ïî ìåñòíîñòè â ïîïûòêàõ íàéòè äîðîãó íàçàä, Âû çàìåòèëè íå÷òî ñòðàííîå âäàëè è ïîñêàêàëè â ýòîì íàïðàâëåíèè. Âäðóã íåâåðîÿòíàÿ óäà÷à - âåëè÷åñòâåííûé áåëûé ëåâ ïðåãðàæäàåò Âàì ïóòü! Êàê òîëüêî Âû ïðèáëèçèëèñü ê íåìó, îí òóò æå óáåæàë ïðî÷ü - ïîïûòêè ïðåñëåäîâàíèÿ çàêîí÷èëèñü íåóäà÷åé.\nÊîãäà Âû íàêîíåö âåðíóëèñü ê ñâîåìó îòðÿäó, ìûñëè î ñòðàííîì ñóùåñòâå íèêàê íå ïîêèäàëè Âàñ.;;x
# EVTDESC_WoL_5007_stag;On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a majestic great white stag! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.;;;;;;;;;;;Íà îõîòå Âû îòñòàëè îò ñâîåãî îòðÿäà. Áëóæäàÿ ïî ìåñòíîñòè â ïîïûòêàõ íàéòè îáðàòíûé ïóòü, Âû çàìåòèëè íå÷òî ñòðàííîå âäàëè è ïîñêàêàëè â ýòîì íàïðàâëåíèè. Âäðóã íåâåðîÿòíàÿ óäà÷à - âåëè÷åñòâåííûé áåëûé îëåíü ñòîÿë ïðÿìî ïåðåä Âàìè! Êàê òîëüêî Âû ïðèáëèçèëèñü ê íåìó, îí òóò æå óáåæàë ïðî÷ü - ïîïûòêè ïðåñëåäîâàíèÿ çàêîí÷èëèñü íåóäà÷åé.\nÊîãäà Âû íàêîíåö âåðíóëèñü ê ñâîåìó îòðÿäó, ìûñëè î ñòðàííîì ñóùåñòâå íèêàê íå ïîêèäàëè Âàñ.;;x
# EVTDESC_WoL_5007_tiger;On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a fearsome great white tiger! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.;;;;;;;;;;;Íà îõîòå Âû îòñòàëè îò ñâîåãî îòðÿäà. Áëóæäàÿ ïî ìåñòíîñòè â ïîïûòêàõ íàéòè äîðîãó íàçàä, Âû çàìåòèëè íå÷òî ñòðàííîå âäàëè è ïîñêàêàëè â ýòîì íàïðàâëåíèè. Âäðóã íåâåðîÿòíàÿ óäà÷à - ïðåêðàñíûé áåëûé òèãð ïðåãðàæäàåò Âàì ïóòü! Êàê òîëüêî Âû ïðèáëèçèëèñü ê íåìó, îí òóò æå óáåæàë ïðî÷ü - ïîïûòêè ïðåñëåäîâàíèÿ çàêîí÷èëèñü íåóäà÷åé.\nÊîãäà Âû íàêîíåö âåðíóëèñü ê ñâîåìó îòðÿäó, ìûñëè î ñòðàííîì ñóùåñòâå íèêàê íå ïîêèäàëè Âàñ.;;x
# EVTDESC_WoL_5010_bear;You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white bear.;;;;;;;;;;;Ñîáðàâ ñâîé îòðÿä è îõîòíè÷üèõ ñîáàê, Âû îñåäëàëè ñâîåãî êîíÿ è ïðèãîòîâèëè îðóæèå. Âû ãîòîâû íà÷àòü îõîòó íà áåëîãî ìåäâåäÿ.;;x
# EVTDESC_WoL_5010_lion;You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white lion.;;;;;;;;;;;Ñîáðàâ ñâîé îòðÿä è îõîòíè÷üèõ ñîáàê, Âû îñåäëàëè ñâîåãî êîíÿ è ïðèãîòîâèëè îðóæèå. Âû ãîòîâû íà÷àòü îõîòó íà áåëîãî ëüâà.;;x
# EVTDESC_WoL_5010_stag;You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white stag.;;;;;;;;;;;Ñîáðàâ ñâîé îòðÿä è îõîòíè÷üèõ ñîáàê, Âû îñåäëàëè ñâîåãî êîíÿ è ïðèãîòîâèëè îðóæèå. Âû ãîòîâû íà÷àòü îõîòó íà áåëîãî îëåíÿ.;;x
# EVTDESC_WoL_5010_tiger;You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white tiger.;;;;;;;;;;;Ñîáðàâ ñâîé îòðÿä è îõîòíè÷üèõ ñîáàê, Âû îñåäëàëè ñâîåãî êîíÿ è ïðèãîòîâèëè îðóæèå. Âû ãîòîâû íà÷àòü îõîòó íà áåëîãî òèãðà.;;x
# EVTDESC_WoL_5030_bear;After many days of hard hunting and tracking, you have finally managed to trap the white bear in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...;;;;;;;;;;;Ñïóñòÿ ìíîãî äíåé âûñëåæèâàíèÿ è ïðåñëåäîâàíèÿ, Âû íàêîíåö-òî ñìîãëè çàìàíèòü áåëîãî ìåäâåäÿ â òóïèê ìåæäó ñêàëàìè. Âåëèêîå æèâîòíîå òåïåðü â Âàøåé âëàñòè. Åãî ìóäðûé âçãëÿä è êðàñîòà ïîðàæàþò Âàñ...;;x
# EVTDESC_WoL_5030_lion;After many days of hard hunting and tracking, you have finally managed to trap the white lion in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...;;;;;;;;;;;Ñïóñòÿ ìíîãî äíåé âûñëåæèâàíèÿ è ïðåñëåäîâàíèÿ, Âû íàêîíåö-òî ñìîãëè çàìàíèòü áåëîãî ëüâà â òóïèê ìåæäó ñêàëàìè. Âåëèêîå æèâîòíîå òåïåðü â Âàøåé âëàñòè. Åãî ìóäðûé âçãëÿä è êðàñîòà ïîðàæàþò Âàñ...;;x
# EVTDESC_WoL_5030_stag;After many days of hard hunting and tracking, you have finally managed to trap the white stag in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...;;;;;;;;;;;Ñïóñòÿ ìíîãî äíåé âûñëåæèâàíèÿ è ïðåñëåäîâàíèÿ, Âû íàêîíåö-òî ñìîãëè çàìàíèòü áåëîãî îëåíÿ â òóïèê ìåæäó ñêàëàìè. Âåëèêîå æèâîòíîå òåïåðü â Âàøåé âëàñòè. Åãî ìóäðûé âçãëÿä è êðàñîòà ïîðàæàþò Âàñ...;;x
# EVTDESC_WoL_5030_tiger;After many days of hard hunting and tracking, you have finally managed to trap the white tiger in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...;;;;;;;;;;;Ñïóñòÿ ìíîãî äíåé âûñëåæèâàíèÿ è ïðåñëåäîâàíèÿ, Âû íàêîíåö-òî ñìîãëè çàìàíèòü áåëîãî òèãðà â òóïèê ìåæäó ñêàëàìè. Âåëèêîå æèâîòíîå òåïåðü â Âàøåé âëàñòè. Åãî ìóäðûé âçãëÿä è êðàñîòà ïîðàæàþò Âàñ...;;x
# EVTDESC_WoL_5035_bear;During your hunt, you come to a deep gorge. Right on the other side is the white bear, staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.;;;;;;;;;;;Âî âðåìÿ îõîòû Âû ïðèáëèæàåòåñü ê ãëóáîêîìó óùåëüþ. Íà äðóãîé ñòîðîíå ïðÿìî íà Âàñ ñìîòðèò áåëûé ìåäâåäü! Âû ñîâñåì áëèçêî, íî íèêàê íå ìîæåòå äî íåãî äîáðàòüñÿ. Ñêðåïÿ ñåðäöåì Âû îñîçíà¸òå, ÷òî íà ýòîò ðàç âûíóæäåíû âåðíóòüñÿ äîìîé íè ñ ÷åì.;;x
# EVTDESC_WoL_5035_lion;During your hunt, you come to a deep gorge. Right on the other side is the white lion, staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.;;;;;;;;;;;Âî âðåìÿ îõîòû Âû ïðèáëèæàåòåñü ê ãëóáîêîìó óùåëüþ. Íà äðóãîé ñòîðîíå ïðÿìî íà Âàñ ñìîòðèò áåëûé ëåâ! Âû ñîâñåì áëèçêî, íî íèêàê íå ìîæåòå äî íåãî äîáðàòüñÿ. Ñêðåïÿ ñåðäöåì Âû îñîçíà¸òå, ÷òî íà ýòîò ðàç âûíóæäåíû âåðíóòüñÿ äîìîé íè ñ ÷åì.;;x
# EVTDESC_WoL_5035_stag;During your hunt, you come to a deep gorge. Right on the other side is the white stag, staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.;;;;;;;;;;;Âî âðåìÿ îõîòû Âû ïðèáëèæàåòåñü ê ãëóáîêîìó óùåëüþ. Íà äðóãîé ñòîðîíå ïðÿìî íà Âàñ ñìîòðèò áåëûé îëåíü! Âû ñîâñåì áëèçêî, íî íèêàê íå ìîæåòå äî íåãî äîáðàòüñÿ. Ñêðåïÿ ñåðäöåì Âû îñîçíà¸òå, ÷òî íà ýòîò ðàç âûíóæäåíû âåðíóòüñÿ äîìîé íè ñ ÷åì.;;x
# EVTDESC_WoL_5035_tiger;During your hunt, you come to a deep gorge. Right on the other side is the white tiger, staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.;;;;;;;;;;;Âî âðåìÿ îõîòû Âû ïðèáëèæàåòåñü ê ãëóáîêîìó óùåëüþ. Íà äðóãîé ñòîðîíå ïðÿìî íà Âàñ ñìîòðèò áåëûé òèãð! Âû ñîâñåì áëèçêî, íî íèêàê íå ìîæåòå äî íåãî äîáðàòüñÿ. Ñêðåïÿ ñåðäöåì Âû îñîçíà¸òå, ÷òî íà ýòîò ðàç âûíóæäåíû âåðíóòüñÿ äîìîé íè ñ ÷åì.;;x
# EVTOPTA_WoL_5221;Faithful, catch!;;;;;;;;;;;Äðóæîê, âçÿòü!;;x
# EVTOPTB_WoL_5221;Hunter, catch!;;;;;;;;;;;Îõîòíèê, âçÿòü!;;x
# EVTOPTC_WoL_5221;Tricky, catch!;;;;;;;;;;;Ëîâêà÷, âçÿòü!;;x
# EVTOPTC_WoL_5290;A pyramid for Faithful!;;;;;;;;;;;Ïèðàìèäà Äðóæêà!;;x
# EVTOPTD_WoL_5221;Lucifer, catch!;;;;;;;;;;;Ëþöèôåð, âçÿòü!;;x
# EVTOPTD_WoL_5290;A pyramid for Hunter!;;;;;;;;;;;Ïèðàìèäà Îõîòíèêà!;;x
# EVTOPTE_WoL_5221;Shaytan, catch!;;;;;;;;;;;Øàéòàí, âçÿòü!;;x
# EVTOPTE_WoL_5290;A pyramid for Tricky!;;;;;;;;;;;Ïèðàìèäà Ëîâêà÷à!;;x
# EVTOPTF_WoL_5221;Fenrir, catch!;;;;;;;;;;;Ôåíðèð, âçÿòü!;;x
# EVTOPTF_WoL_5290;A pyramid for Lucifer!;;;;;;;;;;;Ïèðàìèäà Ëþöèôåðà!;;x
# EVTOPTG_WoL_5221;Erlik, catch!;;;;;;;;;;;Ýðëèê, âçÿòü!;;x
# EVTOPTG_WoL_5290;A pyramid for Shaytan!;;;;;;;;;;;Ïèðàìèäà Øàéòàíà!;;x
# EVTOPTH_WoL_5221;Velnias, catch!;;;;;;;;;;;Âåëüíèàñ, âçÿòü!;;x
# EVTOPTH_WoL_5290;A pyramid for Fenrir!;;;;;;;;;;;Ïèðàìèäà Ôåíðèðà!;;x
# EVTOPTI_WoL_5221;Tuoni, catch!;;;;;;;;;;;Òóîíè, âçÿòü!;;x
# EVTOPTI_WoL_5290;A pyramid for Erlik!;;;;;;;;;;;Ïèðàìèäà Ýðëèêà!;;x
# EVTOPTJ_WoL_5221;Xolotl, catch!;;;;;;;;;;;Øîëîòëü, âçÿòü!;;x
# EVTOPTJ_WoL_5290;A pyramid for Velnias!;;;;;;;;;;;Ïèðàìèäà Âåëüíèàñà!;;x
# EVTOPTK_WoL_5221;Veles, catch!;;;;;;;;;;;Âåëåñ, âçÿòü!;;x
# EVTOPTK_WoL_5290;A pyramid for Tuoni!;;;;;;;;;;;Ïèðàìèäà Òóîíè!;;x
# EVTOPTL_WoL_5221;Guruhi, catch!;;;;;;;;;;;Ãóðóõè, âçÿòü!;;x
# EVTOPTL_WoL_5290;A pyramid for Xolotl!;;;;;;;;;;;Ïèðàìèäà Øîëîòëÿ!;;x
# EVTOPTM_WoL_5221;Darkness, catch!;;;;;;;;;;;Ìðàê, âçÿòü!;;x
# EVTOPTM_WoL_5290;A pyramid for Veles!;;;;;;;;;;;Ïèðàìèäà Âåëåñà!;;x
# EVTOPTN_WoL_5221;Ahriman, catch!;;;;;;;;;;;Àõðèìàí, âçÿòü!;;x
# EVTOPTN_WoL_5290;A pyramid for Guruhi!;;;;;;;;;;;Ïèðàìèäà Ãóðóõè!;;x
# EVTOPTO_WoL_5221;Satan, catch!;;;;;;;;;;;Ñàòàíà, âçÿòü!;;x
# EVTOPTO_WoL_5290;A pyramid for Darkness!;;;;;;;;;;;Ïèðàìèäà Ìðàêà!;;x
# EVTOPTP_WoL_5221;Vinayaka, catch!;;;;;;;;;;;Âèíàÿêà, âçÿòü!;;x
# EVTOPTP_WoL_5290;A pyramid for Ahriman!;;;;;;;;;;;Ïèðàìèäà Àõðèìàíà!;;x
# EVTOPTQ_WoL_5221;Mara, catch!;;;;;;;;;;;Ìàðà, âçÿòü!;;x
# EVTOPTQ_WoL_5290;A pyramid for Satan!;;;;;;;;;;;Ïèðàìèäà Ñàòàíû!;;x
# EVTOPTR_WoL_5221;Punisher, catch!;;;;;;;;;;;Êàðàòåëü, âçÿòü!;;x
# EVTOPTR_WoL_5290;A pyramid for Vinayaka!;;;;;;;;;;;Ïèðàìèäà Âèíàÿêè!;;x
# EVTOPTS_WoL_5290;A pyramid for Mara!;;;;;;;;;;;Ïèðàìèäà Ìàðû!;;x
# EVTOPTT_WoL_5290;A pyramid for Punisher!;;;;;;;;;;;Ïèðàìèäà Êàðàòåëÿ!;;x
