# Historical
alexander_bloodline;Immortal Blood of Alexander;;;;;;;;;;;Áåññìåðòíàÿ êðîâü Àëåêñàíäðà;;x
ragnarr_lodbrok;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
ragnarr_lodbrok_desc;A legendary viking hero. He led numerous raids against the Franks and Anglo-Saxons, going so far as to sail up the Seine and successfully lay siege to Paris.;;;;;;;;;;;Ëåãåíäàðíûé ãåðîé-âèêèíã. Îí ðóêîâîäèë ìíîãî÷èñëåííûìè íàáåãàìè íà [_ôðàíêîâ] è [_àíãëîñàêñîâ]. Ñ÷èòàåòñÿ, ÷òî åãî ôëîò ïðîø¸ë ïî Ñåíå, ïîñëå ÷åãî åãî àðìèÿ óñïåøíî îñàäèëà Ïàðèæ.;;x
richard_lionheart;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
richard_lionheart_desc;A great military leader and warrior who became known as 'the Lionheart'. He was a figurehead of the Third Crusade, scoring numerous victories against the Muslims.;;;;;;;;;;;Âåëèêèé ïîëêîâîäåö è âîèí, êîòîðûé ñòàë èçâåñòåí êàê Ëüâèíîå Ñåðäöå. Îí ñòàë âåäóùåé ôèãóðîé Òðåòüåãî êðåñòîâîãî ïîõîäà, îäåðæàâ ìíîãî÷èñëåííûå ïîáåäû íàä ñàðàöèíàìè.;;x
roger;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
roger_desc;Last of the great Norman conquerors, Roger unified Sicily under his rule, transforming it into a local power responsible for raids across the Muslim lands.;;;;;;;;;;;Ïîñëåäíèé èç âåëèêèõ çàâîåâàòåëåé-[_íîðìàííîâ], Ðîæåð îáúåäèíèë Ñèöèëèþ ïîä ñâîèì ïðàâëåíèåì, ïðåâðàòèâ å¸ â ôîðïîñò äëÿ íàáåãîâ íà çåìëè [_ìóñóëüìàí].;;x
rudolph;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
rudolph_desc;Known for combining the two separate parts of Burgundy to form the new Kingdom of Arles.;;;;;;;;;;;Èçâåñòåí òåì, ÷òî îáúåäèíèë äâå îòäåëüíûå ÷àñòè Áóðãóíäèè â íîâîå êîðîëåâñòâî Àðëü.;;x
rurik;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
rurik_desc;The founder of the Rurikid Dynasty. He was a Varangian chieftain who ruled over the Rus' and built several settlements, the most famous of which lies in Novgorod.;;;;;;;;;;;Îñíîâàòåëü äèíàñòèè Ðþðèêîâè÷åé. Îí áûë âàðÿæñêèì âîæä¸ì, êîòîðûé ïðàâèë çåìëÿìè Ðóñè è ïîñòðîèë íåñêîëüêî ïîñåëåíèé, ñàìîå èçâåñòíîå èç êîòîðûõ íàõîäèòñÿ â Íîâãîðîäå.;;x
saladin;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
saladin_desc;The first Sultan of Egypt and Syria. He successfully led the Muslim military campaign against the Crusader States in the Levant.;;;;;;;;;;;Ïåðâûé ñóëòàí Åãèïòà è Ñèðèè. Îí óñïåøíî ðóêîâîäèë ìóñóëüìàíñêîé âîåííîé êàìïàíèåé ïðîòèâ ãîñóäàðñòâ êðåñòîíîñöåâ â Ëåâàíòå.;;x
sassanid;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
sassanid_desc;The founder of the Sassanid dynasty. Known as a great warrior, hunter and high priest of the Zoroastrian faith.;;;;;;;;;;;Îñíîâàòåëü äèíàñòèè Ñàñàíèäîâ. Èçâåñòåí êàê âåëèêèé âîèí, îõîòíèê è ïåðâîñâÿùåííèê çîðîàñòðèçìà.;;x
seljuk;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
seljuk_desc;An Oghuz Turkic warlord, Seljuk started out an officer in the Khazar army. He later went on to found his own clan, seeking adventure away from his ancestral home.;;;;;;;;;;;Îãóçñêèé ïîëêîâîäåö Ñåëüäæóê íà÷àë îôèöåðîì â àðìèè [_õàçàð]. Ïîçæå îí îñíîâàë ñâîé ñîáñòâåííûé êëàí, èùà ïðèêëþ÷åíèé âäàëè îò äîìà ñâîèõ ïðåäêîâ.;;x
solomon;Solomonic Blood;;;;;;;;;;;Êðîâü Ñîëîìîíà;;x
solomon_desc;The Solomonid Dynasty claim direct descendance from the biblical Solomon, a king of Israel famed for legendary wisdom and wealth.;;;;;;;;;;;Ñîëîìîíîâà äèíàñòèÿ ïðåòåíäóåò íà ïðîèñõîæäåíèå îò ïðÿìûõ ïîòîìêîâ áèáëåéñêîãî Ñîëîìîíà, öàðÿ Èçðàèëÿ, ïðîñëàâëåííîãî ëåãåíäàðíîé ìóäðîñòüþ è áîãàòñòâîì.;;x
songtsen_gampo;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
songtsen_gampo_desc;The founder of the Tibetan Empire who unified several Tibetan kingdoms under his rule. He also introduced Buddhism to Tibet and created the Tibetan Alphabet.;;;;;;;;;;;Îñíîâàòåëü Òèáåòñêîé èìïåðèè, êîòîðûé îáúåäèíèë íåñêîëüêî òèáåòñêèõ êîðîëåâñòâ ïîä ñâîèì ïðàâëåíèåì. Îí òàêæå ïðîäâèãàë áóääèçì â Òèáåòå è ñîçäàë òèáåòñêèé àëôàâèò.;;x
timur;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
timur_desc;In his native tongue, Timur means 'Iron'. Despite being crippled by two arrows, he was both a military genius and a statesman capable of instilling great loyalty.;;;;;;;;;;;"Íà ÿçûêå Òèìóðà, åãî èìÿ îçíà÷àåò ""æåëåçî"". Îí áûë ïîêàëå÷åí äâóìÿ ñòðåëàìè, íî, íåñìîòðÿ íà ýòî, ïîêàçàë ñåáÿ âîåííûì ãåíèåì è âåëèêèì ãîñóäàðñòâåííûì äåÿòåëåì, ïîëüçóþùèìñÿ ïîääåðæêîé ñâîèõ ïîääàííûõ.";;x
true_matilde_bloodline;Blood of [This.GetFirstName];;;;;;;;;;;Ïðåäîê - [This.GetFirstName];;x
true_matilde_bloodline_desc;By defending the integrity and dignity of the Holy See against its enemies, [This.GetTitledFirstName]'s has forever bound its fate to the Vatican.;;;;;;;;;;;Çàùèùàÿ åäèíñòâî è àâòîðèòåò Ñâÿòîãî Ïðåñòîëà îò âðàãîâ, [This.GetTitledFirstName] íàâñåãäà ñâÿçàë[This.GetEndA] ñâîþ ñóäüáó ñ Âàòèêàíîì.;;x
tughluq;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
tughluq_desc;Founder of the Tughluq dynasty, he expanded Muslim reach across the Indian subcontinent and successfully repealed the Mongol menace.;;;;;;;;;;;Îñíîâàòåëü äèíàñòèè Òóãëàê, îí ðàñøèðèë [èñëàì]ñêîå âëèÿíèå íà èíäèéñêèé ñóáêîíòèíåíò è óñïåøíî óñòðàíèë [_ìîíãîëü]ñêóþ óãðîçó.;;x
vortigern;Blood of Vortigern;;;;;;;;;;;Êðîâü Âîðòèãåðíà;;x
vortigern_desc;A king in sub-Roman Britain. He was a strong leader, but is notorious for hiring the Saxons as mercenaries and allowing them to enter the Isle of Britain.;;;;;;;;;;;Êîðîëü ñóáðèìñêîé Áðèòàíèè. Îí áûë ñèëüíûì ëèäåðîì, íî èçâåñòåí òåì, ÷òî èñïîëüçîâàë ñàêñîâ â êà÷åñòâå íà¸ìíèêîâ è ïîçâîëÿë èì ïðîíèêàòü íà îñòðîâ.;;x
william_the_conqueror;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
william_the_conqueror_desc;Born an illegitimate bastard, he more than proved himself after successfully claiming the throne of England – becoming known as 'the Conqueror'.;;;;;;;;;;;Ðîäèâøèñü áàñòàðäîì (âíåáðà÷íûì ñûíîì), îí ïðîÿâèë ñåáÿ ïîñëå òîãî, êàê óñïåøíî çàíÿë òðîí Àíãëèè è ñòàë èçâåñòåí êàê Çàâîåâàòåëü.;;x
william_wallace;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
william_wallace_desc;A brave knight who fought in the Wars of Scottish Independence. After defeating an English army, he was appointed 'Guardian of Scotland'.;;;;;;;;;;;Õðàáðûé ðûöàðü, ñðàæàâøèéñÿ â âîéíàõ çà íåçàâèñèìîñòü Øîòëàíäèè. Ïîñëå ïîáåäû íàä àíãëèéñêîé àðìèåé îí áûë íàçíà÷åí õðàíèòåëåì Øîòëàíäèè.;;x
zvonimir;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
zvonimir_desc;A peaceful ruler who rose to kingship through skilled diplomacy. His rule saw huge economic and cultural advancements take place in Croatia.;;;;;;;;;;;Ìèðíûé ïðàâèòåëü, êîòîðûé âçîø¸ë íà òðîí áëàãîäàðÿ èñêóññòâó äèïëîìàòèè. Åãî ïðàâëåíèå ïðèâåëî ê êðóïíûì ýêîíîìè÷åñêèì è êóëüòóðíûì äîñòèæåíèÿì õîðâàòñêîãî ãîñóäàðñòâà.;;x
ashoka_bloodline;Reincarnation of Ashoka;;;;;;;;;;;Ðåèíêàðíàöèÿ Àøîêè;;x
ashoka_bloodline_desc;[This.GetTitledFirstName] has been acclaimed by many wise men as the next reincarnation of the great Ashoka, unifier of India.;;;;;;;;;;;Ìíîãèå ìóäðåöû ïðèçíàëè, ÷òî [This.GetTitledFirstName] ÿâëÿåòñÿ ïåðåâîïëîùåíèåì âåëèêîãî Àøîêè, îáúåäèíèòåëÿ Èíäèè.;;x
blessed_bloodline_name;Blessed Blood of [saint_person.GetDynName];;;;;;;;;;;Ïî÷èòàåìûé ïðåäîê - [saint_person.GetDynName];;x
blessed_bloodline_desc;[saint_person.GetSheHeCap] was known as an exemplar of the faith, and will be an inspiration for all our people for many years to come.;;;;;;;;;;;[saint_person.GetSheHeCap] áûë[saint_person.GetEndA] èçâåñò[saint_person.GetNaEn] êàê áëåñòÿùèé ïðèìåð ñëåäîâàíèÿ ñâîåé âåðå, è ïî ñåé äåíü âäîõíîâëÿåò ìíîãèõ, êòî å¸ èñïîâåäóåò.;;x
great_conqueror_bloodline;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
great_conqueror_bloodline_desc;A great conqueror of fame and legend. With sword in hand [This.Founder.GetSheHe] would let no one stand in [This.Founder.GetHerHis] way.;;;;;;;;;;;Âåëèê[This.Founder.GetAyaIy] çàâîåâàòåëü[This.Founder.GetEndNitsa]. Ñâîèì ìå÷îì [This.Founder.GetSheHe] áû íå ïîçâîëèë[This.Founder.GetEndA] íèêîìó âñòàòü íà [This.Founder.GetHersHis] ïóòè.;;x
israel_bloodline;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
israel_bloodline_desc;The [This.Founder.GetManWoman] who restored the Kingdom of David, the land of Israel, to the Jews.;;;;;;;;;;;Ýò[This.Founder.GetEtaEtot] [This.Founder.GetAgedPerson] âîññòàíîâèë[This.Founder.GetEndA] öàðñòâî Äàâèäà, âåðíóâ çåìëþ Èçðàèëÿ [_åâðåÿì].;;x
samrat_chakravartin_bloodline;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
samrat_chakravartin_bloodline_desc;The legendary Samrat Chakravartin, uniter of all of India.;;;;;;;;;;;Ëåãåíäàðíûé Ñàìðàò ×àêðàâàðòèí, îáúåäèíèòåëü âñåé Èíäèè.;;x
saoshyant_bloodline;Blood of the Saoshyant;;;;;;;;;;;Êðîâü Ñàîøèàíòà;;x
saoshyant_bloodline_desc;The promised Saoshyant, savior of the world and holy icon according to the Zoroastrian belief.;;;;;;;;;;;Ñàîøèàíò - ñïàñèòåëü ìèðà è ñâÿòàÿ èêîíà ñîãëàñíî [çîðîàñòðèé]ñêîé âåðå.;;x
child_of_destiny_bloodline;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
child_of_destiny_bloodline_desc;A [child_of_destiny.GetManWoman] of true legend. [child_of_destiny.GetHerHisCap] exploits mimicked those of Alexander the Great himself!;;;;;;;;;;;Ýò[child_of_destiny.GetEtaEtot] [child_of_destiny.GetAgedPerson] - íàñòîÿùàÿ ëåãåíäà. [child_of_destiny.GetHersHisCap] ïîäâèãè íàïîìèíàþò äåéñòâèÿ ñàìîãî Àëåêñàíäðà Âåëèêîãî!;;x
chinese_imperial_bloodline;Imperial Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetEmpressEmperorCap] [This.GetFirstName];;x
chinese_imperial_bloodline_desc;The bureaucratic and cultural revolution that the heavenly [This.GetTitledFirstName] has brought to [This.PrimaryTitle.GetName] have earned [This.GetHerHim] a place in the annals of history.;;;;;;;;;;;Áþðîêðàòè÷åñêàÿ è êóëüòóðíàÿ ðåâîëþöèÿ, êîòîðóþ ïðèíåñ[This.GetNoneE] Íåáåñí[This.GetAyaYy] [This.GetEmpressEmperorCap] [This.GetFirstName] [This.PrimaryTitle.GetAdjective]ñêîìó íàðîäó, îáåñïå÷èëà [This.GetHerHim] çàñëóæåííîå ïî÷¸òíîå ìåñòî â àííàëàõ èñòîðèè.;;x
crusade_lord_bloodline;Crusader Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê-êðåñòîíîñåö - [This.GetTitledFirstName];;x
crusade_lord_bloodline_desc;[This.GetSheHeCap] is known as the [This.GetKingQueen] of the first Crusader Kingdom of [This.PrimaryTitle.GetBaseName]. A pious ruler who fought and bled for the faith.;;;;;;;;;;;Áëàãî÷åñòèâûé ïðàâèòåëü ïåðâîãî êîðîëåâñòâà êðåñòîíîñöåâ, èçâåñòíîãî êàê [This.PrimaryTitle.GetBaseName], ïðîëèâøèé êðîâü çà ñâîþ âåðó.;;x
crusader_commander_bloodline;Crusader Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê-êðåñòîíîñåö - [This.GetTitledFirstName];;x
crusader_commander_bloodline_desc;[This.GetSheHeCap] is known for personally leading the charge of many battles, and it is said no heathen nor infidel could ever bring [This.GetHerHim] down.;;;;;;;;;;;[This.GetSheHeCap] áûë[This.GetEndA] èçâåñòí[This.GetAyaYy] òåì, ÷òî ëè÷íî âåë[This.GetEndA] âîéñêà â áîé âî ìíîæåñòâå áèòâ, è íè îäèí èíîâåðåö íå ìîã ïîìåøàòü å[This.GetYMu] â ýòîì.;;x
crusader_kid_bloodline;Angelic Blood of [This.GetFirstName];;;;;;;;;;;Àíãåëüñêàÿ êðîâü;;x
crusader_kid_bloodline_desc;Inspired by the Holy Ghost, [This.GetTitledFirstName] managed to lead a successful Crusade to free Jerusalem from the infidels when [This.GetSheHe] was merely a child.;;;;;;;;;;;Âäîõíîâèâøèñü Ñâÿòûì Äóõîì, [This.GetTitledFirstName] ñóìåë[This.GetEndA] ïðîâåñòè óñïåøíûé Êðåñòîâûé ïîõîä, ÷òîáû îñâîáîäèòü Èåðóñàëèì îò íåâåðíûõ, êîãäà áûë[This.GetEndA] âñåãî ëèøü ðåá¸íêîì.;;x
destroyer_of_byzantium_bloodline;Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetTitledFirstName];;x
destroyer_of_byzantium_bloodline_desc;Known for shattering the old Empire of Byzantium, and raising a new Empire from its ashes.;;;;;;;;;;;Èçâåñò[This.GetNaEn] òåì, ÷òî ðàñêîëîë[This.GetEndA] Âèçàíòèþ, è ñîçäàë[This.GetEndA] íà å¸ ðóèíàõ íîâóþ èìïåðèþ.;;x
duelist_bloodline;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
duelist_bloodline_desc;[This.Founder.GetTitledFirstName] was a duelist of great renown. No one would stand in [This.Founder.GetHerHis] way lest they wanted a humiliating defeat, or a swift death...;;;;;;;;;;;[This.Founder.GetTitledFirstName] áûë[This.Founder.GetEndA] èçâåñòí[This.Founder.GetOyYm] äóýëÿíò[This.Founder.GetKoyOm]. Íèêòî íå ñìåë ñòîÿòü ó í[This.Founder.GetHersHis] íà ïóòè, åñëè òîëüêî íå èñêàë óíèçèòåëüíîãî ïîðàæåíèÿ èëè áûñòðîé ñìåðòè...;;x
event_benevolent_bloodline;Blessed Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetFirstName] Áëàãîñëîâåíí[This.GetAyaYy];;x
event_benevolent_bloodline_desc;[This.GetFirstName] has become famous as a paragon of virtue and just rule throughout [This.PrimaryTitle.GetName].;;;;;;;;;;;[This.GetFirstName] èçâåñò[This.GetNaEn] êàê îáðàçåö äîáðîäåòåëè è ñïðàâåäëèâûé ïðàâèòåëü [This.PrimaryTitle.GetAdjective]ñêèõ çåìåëü.;;x
event_family_bloodline;[This.GetTitledFirstName]'s Dynasty;;;;;;;;;;;Êðîâü äèíàñòèè [This.GetOnlyDynastyName];;x
event_family_bloodline_desc;Praised for spending a lifetime dedicating [This.GetHerselfHimself] to [This.GetHerHis] family, [This.GetFirstName] has immortalized [This.GetHerHis] dynasty as one of the most prestigious bloodlines in history.;;;;;;;;;;;Ïîñâÿòèâ âñþ æèçíü ñâîåé ñåìüå, [This.GetTitledFirstName] óâåêîâå÷èë[This.GetEndA] ñâîþ äèíàñòèþ êàê îäíó èç ñàìûõ ïðåñòèæíûõ â èñòîðèè.;;x
event_religion_aggressive_bloodline_name;Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetTitledFirstName];;x
event_religion_aggressive_bloodline_description;[This.GetFirstName] has become infamous for [This.GetHerHis] intolerance of heretical thought and [This.GetHerHis] promotion of the most extreme form of [This.Religion.GetName] zealotry.;;;;;;;;;;;[This.GetFirstName] ïå÷àëüíî èçâåñò[This.GetNaEn] íåòåðïèìîñòüþ ê èíîâåðöàì, åðåòèêàì è ëþáûì ôîðìàì èíàêîìûñëèÿ, à òàêæå, êàê ñëåäñòâèå, çà íàèáîëåå ðàäèêàëüíûå ïðîÿâëåíèÿ ðåëèãèîçíîãî ôàíàòèçìà.;;x
event_religion_peaceful_bloodline_name;Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetTitledFirstName];;x
event_religion_peaceful_bloodline_description;[This.GetFirstName] has become famous for encouraging theological studies within [This.GetHerHis] realm and being a devout patron of scholars and priests.;;;;;;;;;;;[This.GetFirstName] ïðîñëàâè[This.GetLasLsya] òåì, ÷òî âñÿ÷åñêè ñïîñîáñòâîâàë[This.GetEndA] áîãîñëîâñêèì èçûñêàíèÿì â ñâîåé ñòðàíå, áóäó÷è ïðåäàííûì ïîêðîâèòåëåì ó÷¸íûõ è ñâÿùåííèêîâ.;;x
event_ruthless_bloodline;Vile Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetFirstName] Ïîäë[This.GetAyaYy];;x
event_ruthless_bloodline_desc;[This.GetFirstName] has become infamous as one of the worst tyrants in [This.PrimaryTitle.GetName]'s history.;;;;;;;;;;;[This.GetFirstName] ïå÷àëüíî èçâåñò[This.GetNaEn] êàê îä[This.GetNaIn] èç õóäøèõ òèðàíîâ â [This.PrimaryTitle.GetAdjective]ñêîé èñòîðèè.;;x
event_technology_bloodline;Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetTitledFirstName];;x
event_technology_bloodline_desc;Known as a patron of the arts, [This.GetFirstName] has been celebrated by countless bards, painters and craftsmen for sponsoring their work.;;;;;;;;;;;Èçâåñòí[This.GetAyaYy] êàê ïîêðîâèòåëü[This.GetEndNitsa] èñêóññòâ, [This.GetFirstName] âîñïåâàåòñÿ áàðäàìè è ïî÷èòàåòñÿ èçâåñòíûìè õóäîæíèêàìè çà ïîääåðæêó èõ äåÿòåëüíîñòè.;;x
grand_crusader_bloodline;Crusader Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê-êðåñòîíîñåö - [This.GetTitledFirstName];;x
grand_crusader_bloodline_desc;[This.GetSheHeCap] single handedly brought victory to the [This.Religion.GetGroupName]s in several Crusades, and there are numerous legends spun in [This.Founder.GetHerHis] honor.;;;;;;;;;;;Âî âðåìÿ êðåñòîâûõ ïîõîäîâ [This.GetSheHe] ïðèíåñ[This.GetNoneE] [This.GetReligionGroupPersonsDAT] ìíîæåñòâî âåëèêèõ ïîáåä, ÷òî â ñâîþ î÷åðåäü ïîðîäèëî ìàññó ëåãåíä.;;x
hybrid_builder_bloodline;Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetTitledFirstName];;x
hybrid_builder_bloodline_desc;[This.GetFirstName] is remembered by many as a patron of the crafts for sponsoring the construction of several cities, churches and fortifications.;;;;;;;;;;;[This.GetFirstName] çàïîìíè[This.GetLasLsya] ìíîãèì êàê ïîêðîâèòåëü[This.GetEndNitsa] ðåì¸ñåë, êîòîð[This.GetAyaYy] âñÿ÷åñêè ñïîñîáñòâîâàë[This.GetEndA] ñòðîèòåëüñòâó ãîðîäîâ, õðàìîâ è óêðåïëåíèé.;;x
hybrid_murder_builder_bloodline;Sly Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetFirstName] Êîâàðí[This.GetAyaYy];;x
hybrid_murder_builder_bloodline_desc;A controversial figure in [This.Culture.GetName] history, [This.GetFirstName] was a celebrated patron of the crafts, while also an alleged murderer.;;;;;;;;;;;Áóäó÷è âåñüìà ïðîòèâîðå÷èâîé ôèãóðîé â [This.PrimaryTitle.GetAdjective]ñêîé èñòîðèè, [This.GetTitledFirstName] âñÿ÷åñêè ïîêðîâèòåëüñòâîâàë[This.GetEndA] ðàçâèòèþ ðåì¸ñåë.;;x
hybrid_murder_peace_bloodline;Sly Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetFirstName] Êîâàðí[This.GetAyaYy];;x
hybrid_murder_peace_bloodline_desc;[This.PrimaryTitle.GetNameCap] was unnaturally peaceful in spite of the ruler's detached attitude, leading many to weave frightening tales about the [This.GetTitle]'s silent tyranny.;;;;;;;;;;;[This.PrimaryTitle.GetAdjective]ñêèå çåìëè èçâåñòíû ïåðèîäîì íåâåðîÿòíîãî ñïîêîéñòâèÿ, íåñìîòðÿ íà æåñòîêîå îòíîøåíèå ñâîåãî ïðàâèòåëÿ, ÷òî ïîðîäèëî ìàññó ñòðàøíûõ èñòîðèé î æèòåëÿõ, çàïóãàííûõ àêòàìè èçîùð¸ííîé òèðàíèè.;;x
hybrid_murder_war_bloodline;Vile Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetFirstName] Ïîäë[This.GetAyaYy];;x
hybrid_murder_war_bloodline_desc;[This.GetFirstName] has become infamous for [This.GetHerHis] ruthless and amoral character, prone to both violence and deceit in the pursuit of [This.GetHerHis] ambition.;;;;;;;;;;;[This.GetFirstName] ïå÷àëüíî èçâåñò[This.GetNaEn] ñâîåé æåñòîêîñòüþ è àìîðàëüíûì ïîâåäåíèåì, ïðîÿâëÿÿ ñêëîííîñòü ê íàñèëèþ è îáìàíó ðàäè äîñòèæåíèÿ ñâîèõ öåëåé.;;x
hybrid_peace_architect_bloodline;Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetTitledFirstName];;x
hybrid_peace_architect_bloodline_desc;[This.GetFirstName] is remembered by many as a peace-maker and a patron of the crafts for the creation of several cities.;;;;;;;;;;;[This.GetFirstName] çàïîìíè[This.GetLasLsya] ìíîãèì êàê ìèðîòâîð[This.GetItsaEts] è ïîêðîâèòåëü[This.GetEndNitsa] ðåì¸ñåë, êîòîð[This.GetAyaYy] âñÿ÷åñêè ñïîñîáñòâîâàë[This.GetEndA] ñòðîèòåëüñòâó ãîðîäîâ.;;x
hybrid_peace_castellan_bloodline;Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetTitledFirstName];;x
hybrid_peace_castellan_bloodline_desc;[This.GetFirstName] is remembered by many as a peace-maker and a patron of engineering for sponsoring the construction of several castles.;;;;;;;;;;;[This.GetFirstName] çàïîìíè[This.GetLasLsya] ìíîãèì êàê ìèðîòâîð[This.GetItsaEts] è ïîêðîâèòåëü[This.GetEndNitsa] ðåì¸ñåë, êîòîð[This.GetAyaYy] âñÿ÷åñêè ñïîñîáñòâîâàë[This.GetEndA] ñòðîèòåëüñòâó êðåïîñòåé.;;x
hybrid_peace_monumental_bloodline;Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetTitledFirstName];;x
hybrid_peace_monumental_bloodline_desc;[This.GetFirstName] is remembered by many as a peace-maker and a devout creator of churches.;;;;;;;;;;;[This.GetFirstName] çàïîìíè[This.GetLasLsya] ìíîãèì êàê ìèðîòâîð[This.GetItsaEts] è áëàãî÷åñòèâ[This.GetAyaYy] ñîçäàòåëü[This.GetEndNitsa] ìíîãèõ õðàìîâ.;;x
immortal_bloodline;Immortal Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetFirstName] Áåññìåðòí[This.GetAyaYy];;x
immortal_bloodline_desc;The divine blood of [This.GetFirstName] flows through the veins of all [This.GetHerHis] descendants, carrying a glimpse of its eternal power.;;;;;;;;;;;Áåññìåðòí[This.GetAyaYy] [This.GetTitledFirstName] îáëàäàÿ ïîèñòèíå áîæåñòâåííîé ñèëîé, ïåðåäàë[This.GetEndA] ëèøü ìàëóþ å¸ ÷àñòü ñâîèì ïîòîìêàì.;;x
lcr_bloodline;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
lcr_bloodline_desc;[This.Founder.GetTitledFirstName] managed to unite the formerly disparate East and West Slavic people under [This.Founder.GetHerHis] rule.;;;;;;;;;;;[This.Founder.GetTitledFirstName] ñìîã[This.Founder.GetNoneE] îáúåäèíèòü ïîä ñâîèì íà÷àëîì âîñòî÷íûõ è çàïàäíûõ ñëàâÿí.;;x
lord_of_outremer_bloodline;Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetTitledFirstName];;x
lord_of_outremer_bloodline_desc;[This.GetSheHeCap] is legendary among the Christians for conquering the Arabian peninsula and destroying the Muslim faiths.;;;;;;;;;;;Ëåãåíäà ñðåäè [_õðèñòèàí]. [This.GetSheHeCap] çàâîåâàë[This.GetEndA] Àðàâèéñêèé ïîëóîñòðîâ, îñâîáîäèâ åãî îò [_ìóñóëüìàí].;;x
northern_crusade_bloodline;Teutonic Blood of [Root.GetFirstName];;;;;;;;;;;Êðîâü Òåâòîíöåâ;;x
northern_crusade_bloodline_desc;After helping the Teutons in conquering the north, [Root.GetHerHis] dynasty is considered a close ally of the Teutons.;;;;;;;;;;;[This.GetTitledFirstName] ïîìîã[This.GetNoneE] òåâòîíöàì çàâîåâàòü Ñåâåð. [This.GetHersHisCap] ïîòîìêè ñ÷èòàþòñÿ áëèçêèìè ñîþçíèêàìè Îðäåíà.;;x
phalaris_bloodline;Phalarikan Blood;;;;;;;;;;;Êðîâü Ôàëàðèñà;;x
