#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTTITLE91241;The Price of Decadence;;;;;;;;;;;Tàêîâà öåíà óïàäêà;;x
EVTDESC91361;My [GetFromRelation] [From.GetTitledFirstName] was moved to tears by my fiery exhortations. [From.GetSubjectPronounCap] will join a holy order in order to serve Allah best!;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation] [From.GetTitledFirstName] áûë[From.GetEndA] òðîíóò[From.GetEndA] äî ñë¸ç ìîèìè ïëàìåííûìè óâåùåâàíèÿìè. [From.GetSubjectPronounCap] ïðèñîåäèíèòñÿ ê ñâÿùåííîìó îðäåíó, ÷òîáû ñëóæèòü Àëëàõó!;;x
EVTDESC91362;My [GetFromRelation] [From.GetTitledFirstName] was moved to tears by my fiery exhortations and left immediately for the holy pilgrimage to Mecca - the Hajj.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation] [From.GetTitledFirstName] áûë[From.GetEndA] òðîíóò[From.GetEndA] äî ñë¸ç ìîèìè ïëàìåííûìè óâåùåâàíèÿìè è íåìåäëåííî îòïðàâè[From.GetLasLsya] â õàäæ ê Ìåêêå.;;x
EVTDESC91363;My [GetFromRelation] [From.GetTitledFirstName] was shaken by the strength of my pious arguments and promised to reform [From.GetPossPronoun] ways, starting with a generous donation to charity.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation] [From.GetTitledFirstName] áûë[From.GetEndA] ïîðàæåí[From.GetEndA] óáåäèòåëüíîñòüþ ìîèõ àðãóìåíòîâ è îáåùàë[From.GetEndA] ñòàòü ëó÷øå, íà÷àâ ñ ùåäðîãî ïîæåðòâîâàíèÿ íà áëàãîòîâîðèòåëüíîñòü.;;x
EVTDESC91365;I woke up to a dreadful stench and found my room full of the rotting carcasses of dogs and pigs. As I staggered out through the door, a shadowy figure crept up from behind and held a knife to my throat, whispering 'This is what your life is like. Imagine your death...' before disappearing without a trace!;;;;;;;;;;;"Ïðîñíóâøèñü èç-çà óæàñíîé âîíè, ÿ îáíàðóæèâàþ ñâîþ êîìíàòó ïîëíîé ãíèþùèõ òóø ñîáàê è ñâèíåé. Êàê òîëüêî ÿ øàòàÿñü ïîêèäàþ ïîìåùåíèå, ò¸ìíàÿ ôèãóðà ïîäêðàäûâàåòñÿ ñçàäè è ïðèêëàäûâàåò íîæ ê ìîåìó ãîðëó! Ïðîøåïòàâ ""Òàê âûãëÿäèò òâîÿ æèçíü. À òåïåðü ïðåäñòàâü ñâîþ ñìåðòü..."", îíà áåññëåäíî èñ÷åçàåò.";;x
EVTDESC91366;I arranged a very unpleasant 'awakening' for my decadent [GetFromRelation] [From.GetTitledFirstName], but [From.GetSubjectPronoun] remains stubbornly committed to [From.GetPossPronoun] hedonism, bringing shame on our House.;;;;;;;;;;;"ß óñòðîèë íåïðèÿòíîå ""ïðîáóæäåíèå"" äëÿ äåêàäåíòà, êîèì ÿâëÿåòñÿ ì[From.GetOyaOy] [From.GetRootRelation] [From.GetTitledFirstName], íî [From.GetSubjectPronoun] óïðÿìî îñòà¸òñÿ ïðèâåðæåíí[From.GetOyYm] ñâîåìó ãåäîíèçìó, ïîçîðÿ íàø äîì.";;x
EVTDESC91367;The little nightmare I staged seems to have worked on my decadent [GetFromRelation] [From.GetTitledFirstName], who is scared witless and has promised to renounce [From.GetPossPronoun] shameful hedonism!;;;;;;;;;;;Ïîõîæå, íåáîëüøîé óñòðîåííûé ìíîé íî÷íîé êîøìàð, êîòîðûé ïåðåæèë[From.GetEndA] [From.GetRootRelation] [From.GetTitledFirstName], ñðàáîòàë. Â ñòðàõå îí çàâåðÿåò, ÷òî îòêàæåòñÿ îò ïîçîðíîãî ãåäîíèçìà!;;x
EVTDESC91368;It seems the nighttime show I put on for my decadent [GetFromRelation] [From.GetTitledFirstName] was a little too much. [From.GetSubjectPronounCap] chose to jump from a tower rather than live a righteous life as a true Muslim!;;;;;;;;;;;Ïîõîæå, óñòðîåííîå ìíîé íî÷íîå ïðåäñòàâëåíèå, êîòîðîå ïîëó÷èë[From.GetEndA] [From.GetRootRelation] [From.GetTitledFirstName], îêàçàëîñü ñëèøêîì øîêèðóþùèì. [From.GetSubjectPronounCap] ðåøèë[From.GetEndA] áðîñèòüñÿ ñ áàøíè âìåñòî òîãî, ÷òîáû âñòàòü íà Ïóòü Èñòèííûé è æèòü êàê ïðàâåäíûé ìóñóëüìàíèí!;;x
EVTDESC91369;[From.GetBestName] has failed in [From.GetPossPronoun] attempts to get the decadent [FromFrom.GetBestName] to straighten up. He is a kafir and can be imprisoned freely by all rulers of our shamed dynasty.;;;;;;;;;;;[From.GetBestName] ïîòåðïåë[From.GetEndA] íåóäà÷ó â ïîïûòêàõ èñïðàâèòü äåêàäåíò[FromFrom.GetKuA] ïî èìåíè [FromFrom.GetBestName]. [FromFrom.GetSheHeCap] - êàôèð è ìîæåò áûòü ñâîáîäíî áðîøåí[FromFrom.GetEndA] â òåìíèöó ëþáûì ïðàâèòåëåì íàøåé ïîçîðíîé äèíàñòèè.;;x
EVTDESC91370;Your [GetFromRelation], [From.GetBestName], has become Decadent, bringing shame to the House of [Root.GetOnlyDynastyName]!;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation] [From.GetBestName] òåïåðü äåêàäåíò[From.GetEndKa], íåñóù[From.GetAyaIy] ïîçîð äîìó [Root.GetOnlyDynastyName]!;;x
EVTDESC91372;My agents have brought me a message from [From.GetTitledFirstName], who still refuses my demands that [From.GetSheHe] straighten up! [From.GetSheHeCap] offered to give me a strong eunuch of great martial ability as a gift if I allow [From.GetHerHim] to persist in [From.GetHerHis] decadence.;;;;;;;;;;;Ìîè ëþäè ïåðåäàëè ìíå ïîñëàíèå - [From.GetTitledFirstName] âñ¸ åù¸ îòâåðãàåò ìîè òðåáîâàíèÿ èñïðàâèòüñÿ è ïðåäëàãàåò ìíå êðåïêîãî åâíóõà ñ ïîòðÿñàþùèìè âîåííûìè íàâûêàìè â êà÷åñòâå ïîäàðêà, ÷òîáû ïðîäîëæàòü îáðàç æèçíè äåêàäåíòà.;;x
EVTDESC91373;[From.GetTitledFirstName] talked to me about how [From.GetSheHe] has chosen to live [From.GetHerHis] own life. [From.GetSubjectPronounCap] tried to explain to me me that what I have viewed as decadence was merely a different way of honoring [From.Religion.GetRandomGodName]'s will. [From.GetSheHeCap] also offered to make a religious donation in my name as a gesture of friendship.;;;;;;;;;;;[From.GetTitledFirstName] ðàññêàçàë[From.GetEndA] ìíå, êàê ñîáèðàåòñÿ ïðîæèòü ñâîþ æèçíü. [From.GetSubjectPronounCap] ïîïûòà[From.GetLasLsya] îáúÿñíèòü ìíå, ÷òî òîò îáðàç æèçíè, êîòîðûé ÿ íàçûâàþ äåêàäåíòñêèì, íà ñàìîì äåëå ëèøü èíîé ñïîñîá èñïîëíÿòü òî, ÷òî âåëèò íàì [From.Religion.GetHighGodName]. [From.GetSheHeCap] òàêæå ïðåäëîæèë[From.GetEndA] âíåñòè ïîæåðòâîâàíèå îò ìîåãî èìåíè â çíàê íàøåé äðóæáû.;;x
EVTDESC91374;[From.GetTitledFirstName] came to my chambers and whispered pretty words in my ear. [Root.Spouse.GetTitledFirstName] insists that [From.GetSheHe] ought to be thrown in jail due to [From.GetHerHis] decadent ways, but [From.GetTitledFirstName] now seems to be very different from what I had heard.;;;;;;;;;;;Ñåãîäíÿ [From.GetTitledFirstName] ïðèø[From.GetLaYol] â ì[Root.GetMyChamberACC] è, êàæåòñÿ, ÿ [From.GetHerHim] íðàâëþñü. Ïîñëå ìíîæåñòâà ïðèÿòíûõ ñëîâ â ìîé àäðåñ, [From.GetSheHe] ïðèçíà[From.GetLasLsya], ÷òî [Root.Spouse.GetName] õî÷åò áðîñèòü [From.GeHersHis] â òåìíèöó çà äåêàäåíòñêèé îáðàç æèçíè, íåñìîòðÿ íà òî, ÷òî ñ òåõ ïîð [From.GeSheHe] ñèëüíî èçìåí[From.GetLasLsya].;;x
EVTDESC91375;My spouse is upset about what [From.GetSheHe] refers to as my unnecessarily harsh attitude towards [FromFrom.GetTitledFirstName] and [FromFrom.GetHerHis] decadent ways, and asks me to leave [FromFrom.GetHerHim] alone.;;;;;;;;;;;Ì[Root.Spouse.GetOyaOy] [Root.Spouse.GetHusbandWife] ðàññòðîåí[Root.Spouse.GetEndA] èç-çà òîãî, ÷òî ÿ ñëèøêîì ñóðîâ[Root.GetEndA] ê äåêàäåíòó, [Root.Spouse.GetSheHe] ãîâîðèò, ÷òî [FromFrom.GetTitledFirstName] íå çàñëóæèâàåò òàêîãî è ïðîñèò [FromFrom.GetHersHis] îòïóñòèòü.;;x
EVTDESC91376;My spouse came to me with shocking news. Apparently [FromFrom.GetTitledFirstName] has tried to seduce my beloved [From.GetHusbandWife] and turn [From.GetHerHim] against me.;;;;;;;;;;;Ì[Root.Spouse.GetOyaOy] [Root.Spouse.GetHusbandWife] ïðèøë[Root.Spouse.GetEndA] êî ìíå ñ øîêèðóþùèìè èçâåñòèÿìè - [FromFrom.GetTitledFirstName] ïûòà[FromFrom.GetLasLsya] ñîáëàçíèòü [Root.Spouse.GetHersHis] è îáðàòèòü ïðîòèâ ìåíÿ.;;x
EVTDESC_91377;My husband, [From.GetName], has in a sudden fit of religious piety gone off to join the [From.Liege.PrimaryTitle.GetName]. This effectively annuls our marriage...;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetHusbandWife] [From.GetName] â ïðèñòóïå íàáîæíîñòè âíåçàïíî ðåøèë[From.GetEndA] âñòóïèòü â [From.Liege.PrimaryTitle.GetName], è òåì ñàìûì àííóëèðîâàë[From.GetEndA] íàø áðàê...;;x
EVTDESC_91378;My [GetFromRelation] [From.GetTitledFirstName] is not happy with my refusal, but why should I care? Although now [From.GetSheHe] reminds me of the favor I owe [From.GetHerHim]...;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation] [From.GetTitledFirstName] íå ðàä[From.GetEndA] ìîåìó îòêàçó, íî ìíå-òî ÷òî? Òåì íå ìåíåå, [From.GetSheHe] íàïîìíèë[From.GetEndA], ÷òî ÿ â äîëãó ïåðåä í[From.GetEyIm]...;;x
EVTDESC_91379;Finally my [GetFromRelation] [From.GetTitledFirstName] has decided to listen to reason. [From.GetSheHeCap] will not live a life of vice any longer!;;;;;;;;;;;Íàêîíåö-òî ì[From.GetOyaOy] [From.GetRootRelation] [From.GetTitledFirstName] ïðèñëóøà[From.GetLasLsya] ê ãîëîñó ðàçóìà è ïîîáåùàë[From.GetEndA] èçìåíèòü ñâîþ æèçíü.;;x
EVTOPTA91000;Allah be Merciful!;;;;;;;;;;;Àëëàõ, áóäü ìèëîñòèâ!;;x
EVTOPTA91200;*hic*;;;;;;;;;;;*èê*;;x
EVTOPTA91201;Let them say what they want!;;;;;;;;;;;Ïóñòü ãîâîðÿò ÷òî óãîäíî!;;x
EVTOPTA91202;What? I left enough for tomorrow's breakfast.;;;;;;;;;;;×òî? ß îñòàâèë äîñòàòî÷íî äëÿ ñëåäóþùåãî çàâòðàêà.;;x
EVTOPTA91203;You will not rob me of the one thing I enjoy in life!;;;;;;;;;;;Âàì íå îòíÿòü åäèíñòâåííóþ ðàäîñòü â ìîåé æèçíè!;;x
EVTOPTA91204;Come here, my pretty...;;;;;;;;;;;Èäè ñþäà, ìîÿ êðàñàâèöà...;;x
EVTOPTA91205;Let me just remove my belt...;;;;;;;;;;;Ïîçâîëüòå ìíå ëèøü ðàññòåãíóòü ðåìåíü...;;x
EVTOPTA91206;It is my right.;;;;;;;;;;;Ýòî ìî¸ ïðàâî.;;x
EVTOPTA91207;Ah, yes...;;;;;;;;;;;Àõ, äà...;;x
EVTOPTA91208;I deserve only the very best.;;;;;;;;;;;ß çàñëóæèâàþ òîëüêî ñàìîå ëó÷øåå.;;x
EVTOPTA91209;It can all be replaced.;;;;;;;;;;;Âñ¸ ýòî ìîæíî çàìåíèòü.;;x
EVTOPTA91210;They should be thankful I am their ruler.;;;;;;;;;;;Îíè äîëæíû áûòü áëàãîäàðíû çà òî, ÷òî ÿ èõ ïðàâèòåëü[Root.GetEndNitsa].;;x
EVTOPTA91211;Honour is a weakness I cannot afford.;;;;;;;;;;;×åñòíîñòü - ñëàáîñòü, êîòîðóþ ÿ íå ìîãó ñåáå ïîçâîëèòü.;;x
EVTOPTA91212;Guards, I don't like the way that child looked at me...;;;;;;;;;;;Ñòðàæà, ìíå íå íðàâèòñÿ, êàê ýòîò ðåá¸íîê íà ìåíÿ ïîñìîòðåë...;;x
EVTOPTA91213;There is not a single thing I would change.;;;;;;;;;;;Íåò íè÷åãî, ÷òî ÿ õîòåë áû èçìåíèòü;;x
EVTOPTA91214;I AM the law.;;;;;;;;;;;Çàêîí ýòî ß.;;x
EVTOPTA91215;Oh, let them mutter.;;;;;;;;;;;Ïôô, ïóñòü áîðìî÷óò äàëüøå.;;x
EVTOPTA91216;They will not catch me unawares.;;;;;;;;;;;Îíè íå çàñòàíóò ìåíÿ âðàñïëîõ.;;x
EVTOPTA91217;I will teach you not to blink so much in my presence...;;;;;;;;;;;ß Âàñ îòó÷ó òàê ÷àñòî ìèãàòü â ìî¸ì ïðèñóòñòâèè...;;x
EVTOPTA91218;Allah (glorified and exalted be He) does not play dice.;;;;;;;;;;;Àëëàõ, äà áóäåò îí ïðåâîçíåñ¸í è ïðîñëàâëåí, íå èãðàåò â êîñòè.;;x
EVTOPTA91219;I did it for you!;;;;;;;;;;;ß äåëàþ ýòî äëÿ âàñ!;;x
EVTOPTA91220;There is so much to learn.;;;;;;;;;;;Åñòü åù¸ òàê ìíîãî âñåãî, ÷òî ïðåäñòîèò óçíàòü.;;x
EVTOPTA91221;The world would be a better place.;;;;;;;;;;;Ìèð áûë áû ëó÷øå.;;x
EVTOPTA91222;Indulgence leads to weakness.;;;;;;;;;;;Ïîòâîðñòâî ñâîèì êàïðèçàì ïðèâîäèò ê ñëàáîñòè.;;x
EVTOPTA91223;Every day the sun rises, charity is due on every joint of a person.;;;;;;;;;;;Êàê êàæäûé äåíü âîñõîäèò ñîëíöå, òàê è ùåäðîñòü äîëæíà ñâÿçûâàòü ëþäåé.;;x
EVTOPTA91224;I have never been afraid of a little hard work.;;;;;;;;;;;ß íèêîãäà íå áîÿë[Root.GetLasSya] êàïåëüêè íàïðÿæ¸ííîé ðàáîòû.;;x
EVTOPTA91225;The carrot, not the stick.;;;;;;;;;;;Ïðÿíèê, à íå êíóò.;;x
EVTOPTA91226;Great things come to those who wait.;;;;;;;;;;;Âåëèêîå ñâåðøàåò òîò, êòî óìååò æäàòü.;;x
EVTOPTA91227;I will not forget.;;;;;;;;;;;ß íå çàáóäó.;;x
EVTOPTA91228;The truth is the truth.;;;;;;;;;;;Èñòèíà åñòü èñòèíà.;;x
EVTOPTA91229;Never give in to fear.;;;;;;;;;;;Íèêîãäà íå ïîääàâàéòåñü ñòðàõó.;;x
EVTOPTA91230;Why settle for mediocrity?;;;;;;;;;;;Çà÷åì îñòàâàòüñÿ ïîñðåäñòâåííûì?;;x
EVTOPTA91231;Law should govern.;;;;;;;;;;;Ïðàâèòü äîëæåí çàêîí.;;x
EVTOPTA91232;Laa ilaha ilallah!;;;;;;;;;;;Ëÿ Èëÿõà èëëÿ Ëëàõ!;;x
EVTOPTA91233;The best jihad is the one in which your horse is slain and your blood is spilled.;;;;;;;;;;;Ëó÷øèé äæèõàä - òîò, â êîòîðîì ïàë òâîé êîíü è ïðîëèëàñü òâîÿ êðîâü.;;x
EVTOPTA91234;It was not easy.;;;;;;;;;;;Ýòî áûëî íåëåãêî.;;x
EVTOPTA91235;It was my duty.;;;;;;;;;;;Ýòî áûë ìîé äîëã.;;x
EVTOPTA91240;Stay Loyal;;;;;;;;;;;Ñîõðàíèòü ëîÿëüíîñòü;;x
EVTOPTA91241;Bloated fools...;;;;;;;;;;;Òùåñëàâíûå èäèîòû...;;x
EVTOPTA91300;Bah! Minstrel, play another song!;;;;;;;;;;;Ýé, ìåíåñòðåëü, ñûãðàé äðóãóþ ïåñíþ!;;x
EVTOPTA91350;How rude! My life is my own.;;;;;;;;;;;Ýòî ìîÿ æèçíü, ÷òî õî÷ó - òî è äåëàþ!;;x
EVTOPTA91351;Invoke Takfir against [From.GetObjectPronoun]!;;;;;;;;;;;Ïðèçâàòü òàêôèðà ïðîòèâ í[From.GetHersHis]!;;x
EVTOPTA91352;Good, House [Root.GetDynName] must stay pure!;;;;;;;;;;;Õîðîøî. Äîì [Root.GetOnlyDynastyName] äîëæåí îñòàòüñÿ ÷èñòûì!;;x
EVTOPTA91355;I know I am weak. Too weak!;;;;;;;;;;;ß çíàþ, ÷òî ñëàá. Ñëèøêîì ñëàá!;;x
EVTOPTA91360;Do I look like a believer?;;;;;;;;;;;ß ïîõîæ íà âåðóþùåãî?;;x
EVTOPTA91361;[From.GetSubjectPronounCap] makes me proud!;;;;;;;;;;;[From.GetSubjectPronounCap] çàñòàâèë[From.GetEndA] ìåíÿ ãîðäèòüñÿ ñîáîé!;;x
EVTOPTA91362;A pious choice!;;;;;;;;;;;Áëàãî÷åñòèâûé âûáîð!;;x
EVTOPTA91363;There is hope for [From.GetObjectPronoun] yet!;;;;;;;;;;;Äëÿ í[From.GetHersHis] âñ¸ åù¸ åñòü íàäåæäà!;;x
EVTOPTA91365;[From.GetTitledFirstName] cannot scare me with theatrics!;;;;;;;;;;;[From.GetTitledFirstName] íå èñïóãàåò ìåíÿ ýòèì ôàðñîì!;;x
EVTOPTA91368;Shameful! Good riddance.;;;;;;;;;;;Ñòûäîáà! Õîðîøåå èçáàâëåíèå.;;x
EVTOPTA91369;A shoe on his head!;;;;;;;;;;;Â êîëîäêè [FromFrom.GetHersHis]!;;x
EVTOPTA91370;The ingrate!;;;;;;;;;;;Íåáëàãîäàðí[From.GetAyaYy]!;;x
EVTOPTA91372;I could surely use such a eunuch!;;;;;;;;;;;À âåäü îí ìíå ïðèãîäèòñÿ!;;x
EVTOPTA91373;Such a donation would surely please [From.Religion.GetRandomGodName].;;;;;;;;;;;[From.Religion.GetHighGodName] îäîáðèë[From.GetHGodEndA] áû òàêîå ïîæåðòâîâàíèå.;;x
EVTOPTA91374;I have fallen in love!;;;;;;;;;;;[From.GetSheHeCap] òàê[From.GetAyaOy] ìèë[From.GetAyaYy]!;;x
EVTOPTA91375;Everything for you, my love.;;;;;;;;;;;Äëÿ òåáÿ âñ¸, ÷òî óãîäíî, ëþáèì[Root.Spouse.GetAyaYy].;;x
EVTOPTA91378;I guess I have no choice. I will try to please [From.GetTitledFirstName].;;;;;;;;;;;Ïîõîæå, ó ìåíÿ íåò âûáîðà.;;x
EVTOPTA91379;[Root.Religion.GetHighGodName] must surely be pleased.;;;;;;;;;;;È íå ïðåêðàñíàÿ íîâîñòü.;;x
EVTOPTB91240;Freedom!;;;;;;;;;;;Ñâîáîäà!;;x
EVTOPTB91350;I will try, with the help of [Root.Religion.GetRandomGodName]!;;;;;;;;;;;ß ïîïðîáóþ, è äà ïîìîæåò ìíå [Root.Religion.GetRandomGodName]!;;x
EVTOPTB91351;I am a better negotiator than this!;;;;;;;;;;;ß ëó÷øå êàê ïåðåãîâîðùèê.;;x
EVTOPTB91355;Though it's hard, I shall walk the narrow path.;;;;;;;;;;;Êàê áû íè áûëî òÿæåëî, íóæíî ïðîéòè ýòîò ïóòü!;;x
EVTOPTB91360;I must join the Bektashi!;;;;;;;;;;;ß äîëæåí ïðèñîåäèíèòüñÿ ê Áåêòàøè!;;x
EVTOPTB91365;Maybe I had better shape up...;;;;;;;;;;;Âîçìîæíî ìíå ñòîèò ïîäòÿíóòü ôîðìó...;;x
EVTOPTB91374;This is clearly just an act!;;;;;;;;;;;È áåññîâåñòíî èñïîëüçóåò ìåíÿ!;;x
EVTOPTC91351;I must save [From.GetPossPronoun] soul from the fires of Jahannam!;;;;;;;;;;;ß ñïàñó [From.GetAbsPossPronoun] äóøó îò ïëàìåíè Äæàõàííàìà!;;x
EVTOPTC91355;Maybe I can appeal to [From.GetHerHis] greedy side...;;;;;;;;;;;Áûòü ìîæåò ñòîèò îáðàòèòüñÿ ê [From.GetHersHis] æàäíîñòè...;;x
EVTOPTC91360;I must join the Hashshashin!;;;;;;;;;;;ß äîëæåí ïðèñîåäèíèòüñÿ ê Àññàñèíàì!;;x
EVTOPTC91365;This is just too much. Life is not worth living!;;;;;;;;;;;Ýòî óæå ñëèøêîì... Òùåòíî áûòèå!;;x
EVTOPTD91351;Time to get... unconventional.;;;;;;;;;;;Ïðèøëî âðåìÿ ñòàòü... íåòðàäèöèîííûì.;;x
EVTOPTD91355;[Root.Religion.GetRandomGodName] will be pleased if I donate some gold.;;;;;;;;;;;Ïîæåðòâóþ íåìíîãî çîëîòà.;;x
EVTOPTD91360;I must go on the Hajj to Mecca!;;;;;;;;;;;ß äîëæåí ñîâåðøèòü õàäæ â Ìåêêó!;;x
EVTOPTE91351;It is time to call in that favor.;;;;;;;;;;;Ïîðà íàïîìíèòü [From.GetHerHim] êîå î ÷¸ì.;;x
EVTOPTE91351_TOOLTIP;Force §Y[This.GetTitledFirstName]§! to give up his vices.\n;;;;;;;;;;;§Y[From.GetTitledFirstName]§! ïåðåäî ìíîé â äîëãó, ÿ ìîãó çàñòàâèòü [From.GetHersHis] îòêàçàòüñÿ îò ñâîèõ ïîðîêîâ.\n;;x
EVTOPTE91355;Maybe I can bring [From.GetHerHis] [From.Spouse.GetHusbandWife] over to my side.;;;;;;;;;;;Âîçìîæíî [From.GetHersHis] [From.Spouse.GetHusbandWife] âñòàíåò íà ìîþ ñòîðîíó.;;x
EVTOPTE91360;I will donate money to charity!;;;;;;;;;;;ß ïîæåðòâóþ äåíüãè íà áëàãîòâîðèòåëüíîñòü!;;x
EVTTOOLTIP91351;Tell [This.GetFirstName] to mind his own business!;;;;;;;;;;;[This.GetFirstName] óñëûøèò, ÷òî [This.GetHerHim] íå ñëåäóåò ëåçòü íå â ñâî¸ äåëî!;;x
EVTTOOLTIP91352;Promise [This.GetFirstName] to lead a righteous life!;;;;;;;;;;;[This.GetFirstName] âûñëóøàåò îáåùàíèÿ âåñòè ïðàâåäíóþ æèçíü!;;x
EVTTOOLTIP91355;Make a better attempt at convincing [This.GetFirstName];;;;;;;;;;;[This.GetFirstName] âûñëóøàåò ïðèçíàíèÿ;;x
EVTTOOLTIP91360;Present the best religious arguments to [This.GetFirstName];;;;;;;;;;;[This.GetFirstName] âûñëóøàåò ëó÷øèå ðåëèãèîçíûå àðãóìåíòû;;x
EVTTOOLTIP91365;Arrange for some nasty nighttime theatrics to scare [This.GetFirstName] in [From.GetPossPronoun] room;;;;;;;;;;;Óñòðîèòü ãðÿçíîå íî÷íîå ïðåäñòàâëåíèå, [This.GetFirstName] íàïóãàåòñÿ â ñâîåé êîìíàòå.;;x
EVTTOOLTIP91374A;[Root.Spouse.GetName] is asked to leave [From.GetName] alone.;;;;;;;;;;;[Root.Spouse.GetName] ïîëó÷èò ïðîñüáó îñòàâèòü ïåðñîíàæà [From.GetName] â ïîêîå.;;x
EVTTOOLTIP91374B;[Root.Spouse.GetName] is informed about [From.GetName]s plans..;;;;;;;;;;;[Root.Spouse.GetName] ïðîèíôîðìèðóåòñÿ î ïëàíàõ ïåðñîíàæà [From.GetName].;;x
