BM_100_YEARS_WAR;The Hundred Years War;;;;;;;;;;;Ñòîëåòíÿÿ Âîéíà;;x
ERA_CHAR_INFO_140;William the Conqueror, a descendant of the Viking chief Rollo, became duke of Normandy at a very young age, a situation compounded by the fact that he was also a bastard. Early on he was constantly being used as a pawn by rival factions in the duchy, with a succession of his guardians being murdered. Once he reached adulthood, he faced years of warfare in order to take full control over his duchy, eventually emerging victorious. In 1066 he successfully invaded England to press a claim on the English throne. He spent the remainder of his reign consolidating and reforming his new kingdom in the face of sometimes fierce opposition.;;;;;;;;;;;Âèëüãåëüì Çàâîåâàòåëü, ïîòîìîê âèêèíãà Ðîëëî, ñòàë ãåðöîãîì Íîðìàíäèè â ðàííåì âîçðàñòå. Ñèòóàöèÿ óñóãóáèëàñü òåì, ÷òî îí áûë áàñòàðäîì. Â äåòñâå îí áûë ïåøêîé, â ðóêàõ âðàæäóþùèõ ãðóïïèðîâîê â ãåðöîãñòâå, à åãî îïåêóíîâ ïîñëåäîâàòåëüíî óáèâàëè. Ïîñëå äîñòèæåíèÿ ñîâåðøåííîëåòèÿ îí íà÷àë âîéíó, ÷òîáû ïîëó÷èòü ïîëíûé êîíòðîëü íàä ãîñóäàðñòâîì è, â êîíöå êîíöîâ, âûøåë ïîáåäèòåëåì. Â 1066ã îí óñïåøíî âòîðãñÿ â Àíãëèþ, ÷òîáû îñïîðèòü ïðàâî íà àíãëèéñêèé ïðåñòîë. Îñòàòîê ñâîåãî ïðàâëåíèÿ îí ïðîâ¸ë â êîíñîëèäàöèè è ðåôîðìèðîâàíèè íîâîãî êîðîëåâñòâà, ñîïðîòèâëÿÿñü æåñòêîé îïïîçèöèè.;;x
ERA_CHAR_INFO_1128;Robert Guiscard was the sixth son of Tancred de Hauteville, a petty Norman lord. Just like his brothers, he left Normandy with a small force of followers to seek his fortune in Italy. A brilliant and ruthless leader, he spent several years building a reputation as a mercenary, and the ever changing political landscape in Italy eventually saw the pope investing him as Duke of Apulia. In further campaigns, he proceeded to conquer Sicily, fighting both the Saracens and the Byzantines to secure control. He thus established Norman rule in southern Italy and his conquests had a profound long term impact on the region.;;;;;;;;;;;"Ðîáåð ""Ëèñ"" áûë øåñòûì ñûíîì Òàíêðåäà äå Ãîòâèëÿ, ìåëêîãî ëîðäà èç Íîðìàíäèè. Êàê è åãî áðàòüÿ, îí îñòàâèë Íîðìàíäèþ ñ íåáîëüøèì îòðÿäîì ñîðàòíèêîâ, îòïðàâèâøèñü èñêàòü ñ÷àñòüÿ â Èòàëèè. Áëåñòÿùèé è áåçæàëîñòíûé ëèäåð, îí ïðîâ¸ë íåñêîëüêî ëåò â ñîçäàíèè ðåïóòàöèè íà¸ìíèêà, è ïîñòîÿííî ìåíÿë ïîëèòè÷åñêèé ëàíäøàôò â Èòàëèè. Â êîíöå êîíöîâ Ïàïà ïðîäâèíóë åãî êàê ãåðöîãà Àïóëèè. Â äàëüíåéøèõ êàìïàíèÿõ, îí ïðèñòóïèë ê ïîêîðåíèþ Ñèöèëèè, ïðîòèâîñòîÿ ñàðàöèíàì è âèçàíòèéöàì. Â êîíå÷íîì ñ÷¸òå, îí óñòàíîâèë íîðìàíäñêóþ âëàñòü íà þãå Èòàëèè, à åãî çàâîåâàíèÿ ãëóáîêî ïîâëèÿëè íà âåñü ðåãèîí.";;x
ERA_CHAR_INFO_1282;Otto was crowned King of the Germans after the death of his father Henry I. Early in his reign he had to push back a rebellion by Duke Eberhard of Bavaria, as well as fight a war against Louis IV of West-Francia and Duke Gilbert of Lorraine. After securing peace in the war, Otto went on to fight for the Italian throne as well as push back the Hungarian threat in the east. In his later years, after his coronation as the Emperor of the Holy Roman Empire, he had to continue his struggles in Italy to keep his newfound empire under control. The Ottonian dynasty went on to control the empire for almost half a century after his death, until it finally ended with the demise of Henry II in 1024.;;;;;;;;;;;Îòòîí áûë êîðîíîâàí êàê êîðîëü âñåõ ãåðìàíöåâ ïîñëå ñìåðòè ñâîåãî îòöà Ãåíðèõà I. Â íà÷àëå ñâîåãî ïðàâëåíèÿ îí áûë âûíóæäåí ïîäàâëÿòü âîññòàíèå ãåðöîãà Áàâàðèè Ýáåðõàðäà, à òàêæå âîåâàòü ñ êîðîë¸ì Çàïàäíîé Ôðàíêèè Ëóè IV è ãåðöîãîì Ëîòàðèíãèè Ãèçåëüáåðòîì. Îáåñïå÷èâ ìèð, Îòòîí ïðîäîëæèë áîðüáó çà èòàëüÿíñêèé òðîí è óñòðàíèë âåíãåðñêóþ óãðîçó íà âîñòîêå. Â ïîñëåäóþùèå ãîäû, ñòàâ èìïåðàòîðîì Ñâÿùåííîé Ðèìñêîé èìïåðèè, îí ïðîäîëæèë áîðüáó çà Èòàëèþ, ÷òîáû ñîõðàíèòü êîíòðîëü íàä ñòðàíîé. Åãî äèíàñòèÿ ïðîäîëæàëà ïðàâèòü èìïåðèåé åù¸ ïî÷òè ïîëâåêà ïîñëå åãî ñìåðòè, ïîêà îêîí÷àòåëüíî íå ïîòåðÿëà âëàñòü ñ êîí÷èíîé Ãåíðèõà II â 1024 ãîäó.;;x
ERA_CHAR_INFO_1316;Heinrich was the son of Holy Roman Emperor Heinrich III, and like his father before him became King of the Germans at a very young age. He nearly drowned at the age of 12 when trying to escape a kidnapping at the hands of the Archbishop of Cologne during an ultimately successful political coup against his mother for the regency. Once an adult, he spent a lot of time balancing between the many powerful interest groups within his vast empire. He fought several wars against rebellious princes and against the Pagan Slavs. Heinrich also had a bitter controversy with the Pope Gregory VII over investiture, leading to his excommunication. Faced with possible rebellion in the Empire, Heinrich was forced to humiliate himself by standing on his knees in a blizzard for three days at Canossa while awaiting the Pope's pardon.;;;;;;;;;;;Ãåíðèõ áûë ñûíîì èìïåðàòîðà Ñâÿùåííîé Ðèìñêîé èìïåðèè Ãåíðèõà III, è, êàê è åãî îòåö ñòàë êîðîëåì íåìöåâ â î÷åíü ìîëîäîì âîçðàñòå. Îí ÷óòü íå óòîíóë â âîçðàñòå 12 ëåò ïðè ïîïûòêå ê áåãñòâó îò ïîõèùåíèÿ è îêàçàëñÿ â ðóêàõ àðõèåïèñêîïà Ê¸ëüíà, êîòîðûé ïîñïîñîáñòâîâàë óñïåøíîìó ïîëèòè÷åñêîìó ïåðåâîðîòó ïðîòèâ ìàòåðè-ðåãåíòà. Ñòàâ âçðîñëûì, îí ïðîâåë ìíîãî âðåìåíè, áàëàíñèðóÿ ìåæäó ìíîãèìè âëèÿòåëüíûìè ãðóïïàìè èíòåðåñîâ â ñâîåé îáøèðíîé èìïåðèè. Îí ïðîâåë íåñêîëüêî âîéí ïðîòèâ ìÿòåæíûõ êíÿçåé è ïðîòèâ ÿçû÷åñêîãî ñëàâÿíñòâà, à òàêæå â¸ë îæåñòî÷åííûå ñïîðû ñ ïàïîé Ãðèãîðèåì VII çà èíâåñòèòóðó, ÷òî ïðèâåëî åãî ê îòëó÷åíèþ. Ñòîëêíóâøèñü ñ âîçìîæíûì âîññòàíèåì â èìïåðèè, Ãåíðèõ áûë âûíóæäåí óíèæàòüñÿ, ñòîÿ íà êîëåíÿõ â ìåòåëü â òå÷åíèå òðåõ äíåé ïðè Êàíîññå â îæèäàíèè ïðîùåíèÿ Ïàïû.;;x
ERA_CHAR_INFO_1700;Basil the Macedonian was born to simple peasant parents in Macedonia. After a tumultuous early life, he eventually entered the service of relatives of the imperial house. With time, he became a friend and confidant of Emperor Michael. Using his position to advance his interests, he soon became co-emperor and eventually murdered Michael to become sole emperor. Once in power, he developed a reputation for efficiency and dedication to the empire. He restored good relations with the Pope and strengthened the eastern frontier in spite of hard-fought wars with the Paulicians and the Arabs.;;;;;;;;;;;Âàñèëèé Ìàêåäîíÿíèí ðîäèëñÿ â ïðîñòîé êðåñòüÿíñêîé ñåìüå â Ìàêåäîíèè. Ïîñëå áóðíîé ìîëîäîñòè, îí ïîñòóïèë íà ñëóæáó ê ðîäñòâåííèêàì èìïåðàòîðà. Ñî âðåìåíåì, îí ñòàë äðóãîì è äîâåðåííûì ëèöîì èìïåðàòîðà Ìèõàèëà. Èñïîëüçóÿ ñâî¸ ñëóæåáíîå ïîëîæåíèå äëÿ ïðîäâèæåíèÿ ñâîèõ èíòåðåñîâ, îí âñêîðå ñòàë ñîïðàâèòåëåì è â êîíå÷íîì èòîãå óáèë Ìèõàèëà, ÷òîáû ñòàòü åäèíñòâåííûì èìïåðàòîðîì. Ïðèäÿ ê âëàñòè, îí ñôàáðèêîâàë ñåáå ðåïóòàöèþ, äîáèâøèñü ïðåäàííîñòè âàññàëîâ è âîññòàíîâèë õîðîøèå îòíîøåíèÿ ñ Ïàïîé Ðèìñêèì, óêðåïèâ âîñòî÷íóþ ãðàíèöó, íåñìîòðÿ íà òðóäíûå âîéíû ñ ïàâëèêèàíàìè è àðàáàìè.;;x
ERA_CHAR_INFO_3040;Alp Arslan, great-grandson of Seljuk, was born Muhammad bin Dawud Chaghri, but his strength, personal combat skills and valor were soon to earn him his honorary name, which means 'Heroic Lion'. Early on, he succeeded his father as governor of Khorasan, and after a succession crisis in 1064 he took the title of Sultan by force of arms, and became ruler of the immense Seljuk Empire. He then made war on the Byzantine Empire, defeating them thoroughly at the famous battle of Manzikert and taking the Emperor prisoner. This victory was a first step towards Turkish domination in Anatolia and was one of the major events triggering the crusades. He died true to his name, at the age of 42, refusing to let his guards help him against a rebel prisoner who came at him with a dagger.;;;;;;;;;;;"Àëï Àðñëàí, ïðàâíóê Ñåëüäæóêà, ðîäèëñÿ ïîä èìåíåì Ìóõàììåä áèí Äàóä ×àãðû, íî åãî ñèëà, ëè÷íûå áîåâûå íàâûêè è ìóæåñòâî áûëè âñêîðå ïðèíåñëè åìó ïî÷¸òíîå èìÿ, êîòîðîå îçíà÷àåò ""ãåðîè÷åñêèé ëåâ"". Ðàíåå îí ñòàë ïðååìíèêîì ñâîåãî îòöà íà ïîñòó ãóáåðíàòîðà Õîðàñàíà, è ïîñëå êðèçèñà 1064ã îí ïðèíÿë òèòóë ñóëòàíà ñèëîé îðóæèÿ è ñòàë ïðàâèòåëåì îãðîìíîé èìïåðèè Ñåëüäæóêîâ. Çàòåì îí îáúÿâèë âîéíó Âèçàíòèéñêîé èìïåðèè, ïîáåäèâ â çíàìåíèòîé áèòâå ïðè Ìàíçèêåðòå, âçÿë â ïëåí èìïåðàòîðà. Ýòà ïîáåäà ñòàëà ïåðâûì øàãîì íà ïóòè ãîñïîäñòâà òóðêîâ â Àíàòîëèè è îäíèì èç ãëàâíûõ ñîáûòèé, âûçâàâøèõ êðåñòîâûå ïîõîäû. Óìåð îí â âîçðàñòå 42 ëåò, âåðíûé ñâîåìó èìåíè, îòêàçàâøèñü îò ïîìîùè îõðàíû â áîðüáå ñ ìÿòåæíûì çàêëþ÷¸ííûì, êîòîðûé ïîø¸ë íà íåãî ñ êèíæàëîì.";;x
ERA_CHAR_INFO_3096;Born in Cairo, Al-Mustansir became Caliph when he was only 6 years old. During his early years, his mother Ma'd Abu Tamim acted as regent and saw to her son's safety. Once he became an adult, his reign was dominated by strong Viziers, and also plagued by chaos as famine weakened the realm and powerful groups of Turkish mercenaries dominated Egypt and struggled for power. Al-Mustansir never fully took the reins of power, but he was to become the longest-reigning Caliph in history.;;;;;;;;;;;Ðîäèâøèñü â Êàèðå, Àëü-Ìóñòàíñèð ñòàë õàëèôîì â 6 ëåò. Äî ñîâåðøåííîëåòèÿ, åãî ìàòü Ìà'ä Àáó Òàìèì âûñòóïèëà â êà÷åñòâå ðåãåíòà è îáåñïå÷èëà áåçîïàñíîñòü ñâîåãî ñûíà. Êîãäà îí ñòàë âçðîñëûì, åãî ñòðàíîé óæå ïðàâèëè ñèëüíûå âèçèðè, ñòðàíó îõâàòèë õàîñ: ãîëîä îñëàáèë õàëèôàò, è ìîùíûå ãðóïïû òþðêñêèõ íà¸ìíèêîâ áîðîëèñü çà âëàñòü â Åãèïòå. Àëü-Ìóñòàíñèð íèêîãäà íå áðàë áðàçäû ïðàâëåíèÿ â ñâîè ðóêè ïîëíîñòüþ, íî âîø¸ë â èñòîðèþ êàê õàëèô ñ íàèáîëüøèì ñðîêîì ïðàâëåíèÿ.;;x
ERA_CHAR_INFO_6392;Son of Pepin the Short and a descendant of Charles Martel, Charlemagne (or Karl, as his contemporaries called him) became joint king of the Franks with his brother Karloman in 769. After a two-year power struggle, Karloman suddenly and conveniently fell ill and died, leaving Karl as sole ruler of the Franks.  He then proceeded to make the kingdom greater than ever before, conquering Saxony, Lombardy and other lands with equal measures of good strategic planning and ruthlessness. He was eventually crowned Holy Roman Emperor by pope Leo III, and his descendants were to rule large parts of Europe for a long time to come.;;;;;;;;;;;Ñûí Ïèïèíà Êîðîòêîãî è ïîòîìîê Êàðëà Ìàðòåëëà, Øàðëåìàíü (èëè Êàðë, êàê ñîâðåìåííèêè íàçûâàëè åãî) ñòàë ñîâìåñòíî ïðàâèòü ôðàíêàìè ñ áðàòîì Êàðëîìàíîì â 769ã. Ïîñëå äâóõëåòíåé áîðüáû çà âëàñòü, Êàðëîìàí âíåçàïíî è óäîáíî çàáîëåë è óìåð, îñòàâèâ Êàðëà â êà÷åñòâå åäèíîãî ïðàâèòåëÿ ôðàíêîâ, êîòîðûé ïðèñòóïèë ê ðàñøèðåíèþ êîðîëåâñòâî â ðàçìåðàõ áîëüøèõ ÷åì êîãäà-ëèáî ïðåæäå, çàâîåâàâ Ñàêñîíèþ, Ëîìáàðäèþ è äðóãèå çåìëè. Ýòî ïîëó÷èëîñü áëàãîäàðÿ èñïîëüçîâàíèþ â ðàâíîé ìåðå õîðîøåãî ñòðàòåãè÷åñêîãî ïëàíèðîâàíèÿ è æåñòîêîñòè. Â êîíå÷íîì ñ÷¸òå Ïàïà Ëåâ III êîðîíîâàë åãî êàê èìïåðàòîðà Ñâÿùåííîé Ðèìñêîé èìïåðèè, à åãî ïîòîìêè óïðàâëÿëè îãðîìíûìè ÷àñòÿìè Åâðîïû äîëãèå ãîäû.;;x
ERA_CHAR_INFO_30809;Isabelle was born in 1212 in southern Italy as the only child of Maria de Montferrat, Queen of Jerusalem. Her mother died shortly after giving birth, and the newborn Isabelle was proclaimed Queen with her father Jean de Brienne acting as her regent. At the age of 13, Isabelle was wed to the Holy Roman Emperor Friedrich II, effectively being used as a pawn to encourage the Emperor to participate in the Fifth Crusade. The wedding saw the Emperor crowned King of Jerusalem and Isabelle’s father stripped of all his powers. Isabelle herself was kept in seclusion by her husband. She lost a baby daughter before herself dying while giving birth to her son Conrad in 1228. Shortly after her death, Friedrich finally embarked on the promised crusade.;;;;;;;;;;;Èçàáåëëà ðîäèëàñü â 1212 ã. â þæíîé ÷àñòè Èòàëèè è áûëà åäèíñòâåííûì ðåá¸íêîì Ìàðèè äè Ìîíôåððàò, êîðîëåâû Èåðóñàëèìà. Å¸ ìàòü óìåðëà ñðàçó ïîñëå ðîäîâ, è íîâîðîæä¸ííàÿ Èçàáåëëà áûëà ïðîâîçãëàøåíà êîðîëåâîé, à å¸ îòåö Æàí äå Áðèåíí ñòàë å¸ ðåãåíòîì. Â 13 ëåò, Èçàáåëëà âûøëà çàìóæ çà èìïåðàòîðà Ñâÿùåííîé Ðèìñêîé èìïåðèè, Ôðèäðèõà II, ïîñëóæèâ ïåøêîé â èãðå, êîòîðàÿ äîëæíà áûëà îáåñïå÷èòü åãî ó÷àñòèå â Ïÿòîì êðåñòîâîì ïîõîäå. Ñðàçó ïîñëå ñâàäüáû, èìïåðàòîð ñòàë êîðîë¸ì Èåðóñàëèìà è îòñòðàíèë îòöà Èçàáåëëû îò âëàñòè. Ñàìó æå Èçàáåëëó äåðæàëè â èçîëÿöèè îò ìóæà. Îíà ïîòåðÿëà ìàëåíüêóþ äî÷ü, óìåðëà âî âðåìÿ ðîäîâ ñûíà Êîíðàäà â 1228 ã. Âñêîðå ïîñëå å¸ ñìåðòè, Ôðèäðèõ íàêîíåö ïðèñòóïèë ê ó÷àñòèþ â êðåñòîâîì ïîõîäå.;;x
ERA_CHAR_INFO_32901;Al-Qaim followed his father, Caliph al-Mahdi, as he settled down in Ifriqiya and established the Fatimid Caliphate. In direct opposition to the Abbasid Caliphate in Baghdad, they filled the room left behind as the Abbasids had lost control of their peripheral regions. Early in al-Qaim's reign, a large rebellion rose up in the west led by Abu Yazid. For several years the Fatimid armies were pushed back, as the rebellion grew ever closer to their capital in Mahdia. After al-Qaim's death, his son and successor al-Mansur finally managed to beat the rebellion back and take control of their lands once again. The dynasty would later go on to invade Ikhshidid Egypt and establish Cairo as the new capital of their Caliphate.;;;;;;;;;;;Àëü-Êàèì ïîñëåäîâàë çà ñâîèì îòöîì, õàëèôîì àëü-Ìàõäè, êîãäà òîò ïîñåëèëñÿ â Èôðèêèè è îñíîâàë Ôàòèìèäñêèé õàëèôàò. Â ïðÿìîì ïðîòèâîñòîÿíèè õàëèôàòó â Áàãäàäå îíè çàíÿëè ïóñòóþùåå ìåñòî, êîòîðîå îñâîáîäèëè Àááàñèäû, ïîòåðÿâøèå êîíòðîëü íàä âíåøíèìè òåððèòîðèÿìè. Â íà÷àëå ïðàâëåíèÿ àëü-Êàèìà íà çàïàäå ïîäíÿëîñü áîëüøîå âîññòàíèå âî ãëàâå ñ Àáó ßçèäîì. Â òå÷åíèå íåñêîëüêèõ ëåò àðìèÿ Ôàòèìèäîâ áûëà âûíóæäåíà îòñòóïàòü, ïîêà âîññòàíèå ïðèáëèæàëîñü ê èõ ñòîëèöå â Ìàõäèè. Ïîñëå ñìåðòè àëü-Êàèìà åãî ñûíó è ïðååìíèêó àëü-Ìàíñóðó íàêîíåö óäàëîñü ïîäàâèòü ìÿòåæ è âçÿòü ïîä êîíòðîëü ñâîè çåìëè. Ïîçæå åãî äèíàñòèÿ âòîðãëàñü â èõøèäèäñêèé Åãèïåò è ñäåëàëà Êàèð íîâîé ñòîëèöåé õàëèôàòà.;;x
ERA_CHAR_INFO_33350;As the son of Edward the Elder, he gained the Kingdom of Mercia after the death of his father, and Wessex after the death of his brother only weeks afterwards. Waging war against the Norsemen in York, Æthelstan pushed northwards and took the city in 927, becoming the first king of a truly united England. Ten years later, in 937, a coalition led by the Kings of Scotland, Strathclyde, and Dublin waged war against Æthelstan, which ended with the Battle of Brunanburh. With a decisive victory it seemed Æthelstan had finally secured his rule in England, but only two years later he died and was succeeded by his half-brother Edmund.;;;;;;;;;;;Áóäó÷è ñûíîì Ýäóàðäà Ñòàðøåãî, îí ïîëó÷èë Êîðîëåâñòâî Ìåðñèÿ ïîñëå ñìåðòè ñâîåãî îòöà, à Óýññåêñ - ïîñëå ñìåðòè ñâîåãî áðàòà ëèøü ñïóñòÿ íåñêîëüêî íåäåëü. Âåäÿ âîéíó ïðîòèâ íîðìàííîâ â Éîðêå, Ýòåëüñòàí äâèíóëñÿ íà ñåâåð è çàõâàòèë ãîðîä â 927 ãîäó, ñòàâ ïåðâûì êîðîë¸ì îáúåäèíåííîé Àíãëèè. Äåñÿòü ëåò ñïóñòÿ, â 937 ãîäó, êîàëèöèÿ âî ãëàâå ñ êîðîëÿìè Øîòëàíäèè, Ñòðàòêëàéäà è Äóáëèíà íà÷àëà âîéíó ïðîòèâ Ýòåëüñòàíà, êîòîðàÿ çàêîí÷èëàñü ïîáåäîé â áèòâå ïðè Áðóíàíáóðãå. Êàçàëîñü, òåïåðü Ýòåëüñòàí íàêîíåö îáåñïå÷èë ñåáå ñïîêîéíîå ïðàâëåíèå, íî ñïóñòÿ äâà ãîäà îí óìåð, è åãî ñìåíèë ñâîäíûé áðàò Ýäìóíä.;;x
ERA_CHAR_INFO_34002;Al-Mansur became sole ruler of the Caliphate after the death of his brother. After defeating several potential challengers to his rule, he led a long and relatively stable reign over his huge empire. His time in power saw the rise of new Islamic literature and scholarship, thanks to cultural tolerance, conversion of new peoples and groups to Islam and a further inclusion of the Persian world into the Caliphate. His reign also saw tentative diplomatic contacts with realms as far away as China.;;;;;;;;;;;Àëü-Ìàíñóð ñòàë åäèíîëè÷íûì ïðàâèòåëåì õàëèôàòà ïîñëå ñìåðòè ñâîåãî áðàòà. Óñòðàíèâ íåñêîëüêèõ ïîòåíöèàëüíûõ êîíêóðåíòîâ, îí äîëãî è îòíîñèòåëüíî ñòàáèëüíî ïðàâëèë ñâîåé îãðîìíîé èìïåðèåé. Â åãî âðåìÿ íàáëþäàëñÿ ïîäú¸ì èñëàìñêîé ëèòåðàòóðû è íàóêè, áëàãîäàðÿ êóëüòóðíîé òîëåðàíòíîñòè, îáðàùåíèþ íîâûõ íàðîäîâ è ïëåì¸í â èñëàì è âêëþ÷åíèþ Ïåðñèè â õàëèôàò. Ïðè åãî ïðàâëåíèè áûëè íà÷àòû äèïëîìàòè÷åñêèå êîíòàêòû ñ äàë¸êèìè ñòðàíàìè, íàïðèìåð ñ Êèòàåì.;;x
ERA_CHAR_INFO_34014;Al-Mu'tazz became Caliph in 866, at only 19 years of age, in a situation where the Abbasid Empire was rife with power struggles between different factions. After a very bloody period of dealing with his various enemies he looked like he was coming out on top, but by then his coffers were empty and a rebellion among the soldiers turned his fortunes around. In the end he was taken prisoner, beaten and locked in a room to starve to death. He was 24 years old when he died.;;;;;;;;;;;Àëü-Ìóòàçç ñòàë õàëèôîì â 866 ãîäó, êîãäà åìó áûëî âñåãî 19 ëåò. Â ýòî âðåìÿ èìïåðèÿ Àááàñèäîâ ïåðåæèâàëà òðóäíîñòè, ñâÿçàííûå ñ áîðüáîé çà âëàñòü ìåæäó ðàçëè÷íûìè ãðóïïàìè. Ïîñëå êðîâàâîãî ïåðèîäà áîðüáû ñî ñâîèìè âðàãàìè îí îäåðæàë ïîáåäó, íî êàçíà áûëà ïóñòà, è âîññòàíèå ñðåäè ñîëäàò îòâåðíóëî óäà÷ó îò íåãî. Â êîíöå êîíöîâ, åãî âçÿëè â ïëåí, èçáèëè è çàïåðëè â êîìíàòå, óìîðèâ ãîëîäîì. Ïîãèá îí â âîçðàñòå 24 ëåò.;;x
ERA_CHAR_INFO_40605;Rurik was a viking of Swedish origin who took advantage of the internal struggles of the tribes around Ladoga to conquer and establish a strong Norse realm in the east. His successors expanded their influence and eventually ruled as far south as Kiev, and the dynasty soon also adopted the Slavic language and customs (as Viking settlers often did). The descendants of Rurik would eventually become the first Tsars of Russia.;;;;;;;;;;;Ðþðèê áûë âèêèíãîì øâåäñêîãî ïðîèñõîæäåíèÿ, êîòîðûé âîñïîëüçîâàëñÿ âíóòðåííåé áîðüáîé ïëåì¸í â îêðåñòíîñòÿõ Ëàäîæñêîãî îçåðà ñ öåëüþ çàâîåâàòü è ñîçäàòü ñèëüíîå ñêàíäèíàâñêîå ãîñóäàðñòâî íà âîñòîêå. Åãî ïðååìíèêè ðàñøèðèëè ñâî¸ âëèÿíèå è â êîíå÷íîì ñ÷¸òå äîøëè äî Êèåâà, à äèíàñòèÿ âñêîðå ïðèíÿëà ñëàâÿíñêèé ÿçûê è îáû÷àè (êàê âèêèíãè-ïîñåëåíöû ÷àñòî äåëàëè). Ïîòîìêè Ðþðèêà çàòåì ñòàíóò ïåðâûìè ïðàâèòåëÿìè Ðóñè.;;x
ERA_CHAR_INFO_73679;Abd-al-Rahman I was born near Damascus in Syria, but had to flee his homeland when the Abbasids took power. He spent several years in exile before arriving in Spain, where he managed to seize power and declare himself ruler of Al-Andalus. He wanted to return east and avenge himself on the Abbasids, but the need to deal with issues closer to home kept preventing him from doing so. He instead set his mark on the history of Spain, establishing the rule of his dynasty there for centuries to come.;;;;;;;;;;;Àáä-àëü-Ðàõìàí I ðîäèëñÿ â Ñèðèè íåäàëåêî îò Äàìàñêà, íî áûë âûíóæäåí ïîêèíóòü ñâîþ ðîäèíó, êîãäà Àááàñèäû ïðèøëè ê âëàñòè. Îí ïðîâ¸ë íåñêîëüêî ëåò â èçãíàíèè äî ïðèáûòèÿ â Èñïàíèþ, ãäå åìó óäàëîñü çàõâàòèòü âëàñòü è îáúÿâèòü ñåáÿ ïðàâèòåëåì Ñóëòàíàòà Àëü-Àíäàëóñ. Îí õîòåë âåðíóòüñÿ íà âîñòîê è îòîìñòèòü Àááàñèäàì, íî íåîáõîäèìîñòü ðåøàòü âîïðîñû â ñâîèõ çåìëÿõ ïîìåøàëà åãî ïëàíàì. Âìåñòî ýòîãî îí îñòàâèë ñëåä â èñòîðèè Èñïàíèè, óñòàíîâèâ òàì âåðõîâåíñòâî ñâîåé äèíàñòèè íà âåêà.;;x
ERA_CHAR_INFO_74413;Krishna I of the Rashtrakuta dynasty took power in 756, defeating several competitors for the throne in order to secure his realm. He fought wars against the Chalukyas and Pratiharas and conquered Karnataka, making his dynasty more powerful than ever before. He was also a great patron to builders and commissioned many new temples and monuments.;;;;;;;;;;;Êðèøíà I èç äèíàñòèè Ðàøðòðàêóò ïðèø¸ë ê âëàñòè â 756 ãîäó, óíè÷òîæèâ êîíêóðåíòîâ íà ïðåñòîë. Îí âîåâàë ïðîòèâ ×àëóêüåâ è Ïðàòèõàð, çàâîåâàë Êàðíàòàêà, ñäåëàâ ñâîþ äèíàñòèþ ìîãóùåñòâåíåå ÷åì êîãäà-ëèáî ïðåæäå. Áóäó÷è âåëèêèì ïîêðîâèòåëåì ñòðîèòåëåé, îí âîçâ¸ë ìíîæåñòâî íîâûõ õðàìîâ è ïàìÿòíèêîâ.;;x
ERA_CHAR_INFO_74441;Somesvara I became king of the Western Chalukyas in 1042, after which he founded the city of Kalyani and made it his capital. He was a very active and energetic ruler but spent most of his reign fighting wars against a succession of rulers from the Chola Dynasty, who were his rivals for domination of Vengi. Unable to achieve victory against his enemies and tormented by an incurable illness, Somesvara ultimately took his own life by drowning himself in the Tungabhadra River.;;;;;;;;;;;Ñîìåñâàðà I ñòàë êîðîë¸ì çàïàäíûõ ×àëóêüåâ â 1042ã, ïîñëå ÷åãî îí îñíîâàë ãîðîä Êàëüÿíè è ñäåëàë åãî ñâîåé ñòîëèöåé. Îí áûë î÷åíü àêòèâíûì è ýíåðãè÷íûì ïðàâèòåëåì, íî ïðîâ¸ë áîëüøóþ ÷àñòü ñâîåãî ïðàâëåíèÿ, âåäÿ âîéíû ïðîòèâ âëàñòè ïðàâèòåëåé èç äèíàñòèè ×îëà, êîòîðûå áûëè åãî ñîïåðíèêàìè çà ãîñïîäñòâî íàä Âåíãè. Íåâîçìîæíîñòü äîáèòüñÿ ïîáåäû ïðîòèâ ñâîèõ âðàãîâ è ìó÷èâøàÿ åãî íåèçëå÷èìàÿ áîëåçíü, ïðèâåëè Ñîìåñâàðó, â êîíå÷íîì ñ÷¸òå, ê òîìó, ÷òî îí ïîêîí÷èë æèçíü ñàìîóáèéñòâîì, óòîïèâøèñü â ðåêå Òóíãàáõàäðà.;;x
ERA_CHAR_INFO_74656;Singhana II was a powerful Indian ruler who greatly expanded his realm towards the north, south and east. As a great patron of science and the arts, he established a college of astronomy and founded the city of Singhanapur.;;;;;;;;;;;Ñèíãàíà II áûë ìîãóùåñòâåííûì èíäèéñêèì ïðàâèòåëåì, êîòîðûé çíà÷èòåëüíî ðàñøèðèë ñâîè âëàäåíèÿ íà ñåâåð, þã è âîñòîê. Êàê âåëèêèé ïîêðîâèòåëü íàóêè è èñêóññòâà îí ñîçäàë øêîëó àñòðîíîìèè è îñíîâàë ãîðîä Ñèíãàíàïóð.;;x
