#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTNAME6301;The Turnip Act;;;;;;;;;;;Båëèêèé Çàêîí Ðåïû.;;x
EVTDESC6229;I was patient and listened to the knight as he explained to me why the world was shaped like a banana. I knew it was Satan's voice who said why do you listen to this fool, your eyes prove the world is flat.;;;;;;;;;;;ß òåðïåëèâî ñëóøàþ ðûöàðÿ... Îí îáúÿñíÿåò ìíå, ïî÷åìó ìèð áûë ñîçäàí â âèäå áàíàíà. È òóò ÿ ñëûøó ãîëîñ Ñàòàíû, êîòîðûé ãîâîðèò, ÷òî íå ñòîèò ñëóøàòü ýòîãî äóðàêà, âåäü ìîè ãëàçà äîêàçûâàþò, ÷òî ìèð ïëîñêèé.;;x
EVTDESC6230;The servant dropped the meat and the dogs immediately drove upon it. The waste angered me but I held my temper, then the voice whispered to me as it has so often before: 'Why do you accept this foolishness?';;;;;;;;;;;"Ñëóãà âûáðîñèë ìÿñî, è ñîáàêè ñðàçó æå íàáðîñèëèñü íà íåãî. Òàêîå ðàñòî÷èòåëüñòâî ðàçîçëèëî ìåíÿ, îäíàêî ÿ ñäåðæà[Root.GetLasLsya] è íå ïîçâîëèë[Root.GetEndA] ñåáå âñïûëèòü, íî ãîëîñ âíóòðè ìåíÿ øåïíóë, êàê áûâàëî è ðàíüøå: ""Ïî÷åìó òû òåðïèøü ýòó ãëóïîñòü?"".";;x
EVTDESC6231;At the sermon the father reminded the congregation of my humbleness. Then a voice whispered in my ear, I know it is the morning star, and he told me that the father was making a fool out of me. The so called priest was a wealthy man who ate well while the poor starved.;;;;;;;;;;;Â ñâîåé ïðîïîâåäè ñâÿòîé îòåö íàïîìíèë ïàñòâå î ìî¸ì ñìèðåíèè. Çàòåì ÷åé-òî ãîëîñ øåïíóë ìíå íà óõî, ÿ äóìàþ, ýòî áûë ãîëîñ óòðåííåé çâåçäû, ÷òî ñâÿòîé îòåö äåëàåò èç ìåíÿ äóðàêà. Òàê íàçûâàåìûé ñâÿùåííèê - áîãàòûé ÷åëîâåê, êîòîðûé õîðîøî åñò, â òî âðåìÿ êàê áåäíûå ãîëîäàþò.;;x
EVTDESC6232;I sat in contemplation of my life and wondered why it was that I wasn't getting my due. Then a voice whispered to me, I know it to be Lucifer, who told me it was my right to have a throne higher than the clouds and over the earth.;;;;;;;;;;;ß ñèäåë[Root.GetEndA] è äóìàë[Root.GetEndA] î ñâîåé æèçíè, çàäàâàÿñü âîïðîñîì î òîì, ïî÷åìó ñëó÷àëîñü òàê, ÷òî ÿ, áûâàëî, íå ïîëó÷àë[Root.GetEndA] òîãî, ÷òî äîëæíî. Òîãäà ãîëîñ çàøåïòàë ìíå, ÿ äóìàþ, ÷òî ýòî áûë ãîëîñ Ëþöèôåðà, ÷òî ó ìåíÿ åñòü ïðàâî íà òðîí áîëåå âûñîêîå, ÷åì ó îáëàêîâ íàä çåìë¸é.;;x
EVTDESC6233;I always tried to avoid eating too much, as I felt it a sin. The Lord of the flies whispered softly in my ear, that I should enjoy all the fruits of God's creation.;;;;;;;;;;;ß âñåãäà ïûòà[Root.GetLasLsya] èçáåæàòü ÷ðåâîóãîäèÿ, ïîñêîëüêó ÷óâñòâîâàë[Root.GetEndA], ÷òî ýòî ãðåõ. Ïîâåëèòåëü æå ìóõ øåïíóë ìíå â óõî, ÷òî íóæíî íàñëàæäàòüñÿ âñåìè ïëîäàìè, ÷òî ñîçäàë Ãîñïîäü.;;x
EVTDESC6234;I looked upon  the table and my mouth salivated at the rich odours. I felt the urge to fill my plate as much as I could and the Beelzebub whispered why not?;;;;;;;;;;;"ß ðàññìàòðèâàþ áîãàòûé ñòîë, à ìîé ðîò íàïîëíÿåòñÿ ñëþíîé îò îáèëèÿ ñîáëàçíèòåëüíûõ àðîìàòîâ. ß ÷óâñòâóþ íåîáû÷àéíóþ òÿãó ñúåñòü ñòîëüêî ñêîëüêî ñìîãó, è Âåëüçåâóë øåïíóë - ""À ïî÷åìó íåò?"".";;x
EVTDESC6235;As I watched the Almoner hand out coins I wondered is it really so good that those who are clearly going to squander the money should receive it. Mammon came to me later and pointed out the logic in my thoughts, we should try to save first those who can be saved.;;;;;;;;;;;ß íàáëþäàþ çà ðàçäà÷åé ìîíåò íóæäàþùèìñÿ, è çàäàþñü âîïðîñîì - äåéñòâèòåëüíî ëè ýòî òàê õîðîøî, ÷òî òå, êòî ÿâíî ñîáèðàåòñÿ ðàçáàçàðèòü äåíüãè, äîëæíû ïîëó÷àòü èõ, íå ïðèëàãàÿ óñèëèé. Ãîëîñ øåï÷åò ìíå è óêàçûâàåò íà ëîãèêó â ìîèõ ìûñëÿõ - ìû äîëæíû ïîïûòàòüñÿ ñïàñòè ñíà÷àëà òåõ, êòî óìååò ýêîíîìèòü.;;x
EVTDESC6236;It was hard to sleep, while Mammon softly whispered in my ear. He was telling me about all the things that should be mine but  others had The more he whispered the more it made sense.;;;;;;;;;;;Áûëî òðóäíî óñíóòü, òàê êàê íåêèé Ãîëîñ ìÿãêî øåïòàë â ìî¸ì óõå. Îí ãîâîðèë ìíå îáî âñåõ òåõ âåùàõ, êîòîðûå äîëæíû áûòü ìîèìè, íî ïî÷åìó-òî äðóãèå âëàäåþò èìè. ×åì áîëüøå îí ãîâîðèë, òåì áîëüøå ýòî èìåëî ñìûñë.;;x
EVTDESC6237;It was the Leviathan who told me that I was merely being weak. I should stop it and show my strength.;;;;;;;;;;;Ëåâèàôàí ñêàçàë ìíå, ÷òî ÿ ïðîñòî âî âñ¸ì è âñåãäà áûë[Root.GetEndA] ñëàá[Root.GetEndA]. È íóæíî ïðåêðàòèòü ïðîÿâëÿòü ñëàáîñòü, ïîêàçàâ âñåì ñâîþ ñèëó.;;x
EVTDESC6238;The Leviathan whispered to me and reminded me that there were those who had that did not deserve it and then there were those like me who deserved so much more.;;;;;;;;;;;Ëåâèàôàí øåïíóë ìíå è íàïîìíèë, ÷òî âñåãäà áûëè òå, êòî èìåë ÷òî-ëèáî, ÷òî íå çàñëóæèë, è âñåãäà áûëè òàêèå êàê ÿ. Òî åñòü òå, êòî çàñëóæèë èìåòü íå òîëüêî òî, ÷òî ïåðâûå, íî äàæå è áîëüøå.;;x
EVTDESC6239;Belphegor was wondering why I was always so busy. I am top of the tree, compared to the serfs, so why should I not take the time to enjoy it?;;;;;;;;;;;Áåëüôåãîð ïîèíòåðåñîâàëñÿ, ïî÷åìó ÿ âñåãäà òàê çàíÿò[Root.GetEndA]. ß íà âåðõóøêå äåðåâà, ïî ñðàâíåíèþ ñ êðåñòüÿíàìè, òàê ïî÷åìó áû ìíå íå âûäåëèòü âðåìÿ, ÷òîáû íàñëàäèòüñÿ ýòèì ïîëîæåíèåì?;;x
EVTDESC6240;I often wondered why I bother about such trivial things. Belphegor keeps urging me to save my energy for when it really matters.;;;;;;;;;;;ß ÷àñòî çàäàþñü âîïðîñîì, ïî÷åìó ÿ áåñïîêîþñü î âñÿêèõ òðèâèàëüíûõ âåùàõ. Áåëüôåãîð ïðîäîëæàåò óáåæäàòü ìåíÿ ñîõðàíÿòü ñâîþ ýíåðãèþ äëÿ òîãî, ÷òî äåéñòâèòåëüíî èìååò çíà÷åíèå.;;x
EVTDESC6300;You have decided to introduce a new law to the good people of the realm, as is your right as their ruler. Now you just have to decide on its contents...;;;;;;;;;;;Âû ðåøèëè ïðåäñòàâèòü íîâûé çàêîí ëþäÿì ãîñóäàðñòâà, ïîñêîëüêó ýòî Âàøå ïðàâî, êàê èõ ïðàâèòåëÿ. Òåïåðü îñòà¸òñÿ òîëüêî ïðèíÿòü ðåøåíèå î åãî ñîäåðæàíèè...;;x
EVTDESC6301;"Your slightly eccentric liege has proclaimed a new law that is to be upheld throughout the realm. It reads:\n\n""Whereas the turnip represents the very best qualities to be found in society, and: whereas it is of fine texture, particularly when boiled, and has been proven to remedy all ailments known to Man when consumed:\n\nTherefore I, [From.GetTitledName], decree that the turnip shall henceforth be used as currency throughout the realm, taking the place of gold, silver or any other precious metal. These shall instead be turned over to the Crown for immediate disposal.""";;;;;;;;;;;"Âàø ýêñöåíòðè÷íûé ñþçåðåí ïðîâîçãëàøàåò íîâûé çàêîí, êîòîðûé äîëæåí áûòü ïðèíÿò ïî âñåé ñòðàíå. Â í¸ì ãîâîðèòñÿ:\n""Ðåïà èìååò ñàìûå ëó÷øèå êà÷åñòâà, êîòîðûå ìîæåò íàéòè îáùåñòâî, à òàêæå ÿâëÿåòñÿ ïðåêðàñíîé åäîé, åñëè å¸ ñâàðèòü, è äîêàçàíî - óñòðàíÿåò âñå áîëåçíè èçâåñòíûå ÷åëîâåêó.\nÏîñåìó ÿ, [From.GetTitledFirstName], îáúÿâëÿþ î òîì, ÷òî ðåïà îòíûíå áóäåò èñïîëüçîâàòüñÿ â êà÷åñòâå âàëþòû â ãîñóäàðñòâå, çàíÿâ ìåñòî çîëîòà, ñåðåáðà èëè äðóãîãî äðàãîöåííîãî ìåòàëëà. Äðàãîöåííûå ìåòàëëû áóäóò ïåðåäàíû Êîðîíå äëÿ íåìåäëåííîãî ðàñïîðÿæåíèÿ.""";;x
EVTDESC6302;"Your slightly eccentric liege has proclaimed a new law that is to be upheld throughout the realm. It reads:\n\n""Whereas pants constrict not only the lower limbs and reproductive organs, but also the human soul, and: whereas pants are known to be an affront to all forms of life but Man:\n\nTherefore I, [From.GetTitledName], command that the use of pants be outlawed throughout the realm under penalty of death. All existing variants of this garment are to be immediately burned, and the ashes distributed evenly over the graves of our forefathers.""";;;;;;;;;;;"Âàø ýêñöåíòðè÷íûé ñþçåðåí ïðîâîçãëàøàåò íîâûé çàêîí, êîòîðûé äîëæåí áûòü ïðèíÿò ïî âñåé ñòðàíå. Â í¸ì ãîâîðèòñÿ:\n""Áðþêè ñóæàþò íå òîëüêî íîãè è ïîëîâûå îðãàíû, íî è ÷åëîâå÷åñêóþ äóøó. Îíè, êàê èçâåñòíî, ÿâëÿþòñÿ îñêîðáëåíèåì äëÿ âñåõ ëþäåé.\nÏîñåìó ÿ, [From.GetTitledFirstName], îáúÿâëÿþ, ÷òî èñïîëüçîâàíèå áðþê âíå çàêîíà ïî âñåé ñòðàíå ïîä ñòðàõîì ñìåðòíîé êàçíè. Âñå ñóùåñòâóþùèå âàðèàíòû ýòîé îäåæäû äîëæíû áûòü íåìåäëåííî ñîææåíû, à ïåïåë ðàâíîìåðíî ðàçâåÿí íàä ìîãèëàìè íàøèõ ïðåäêîâ.""";;x
EVTDESC6303;"Your slightly eccentric liege has proclaimed a new law that is to be upheld throughout the realm. It reads:\n\n""Whereas the positive effects of fresh air is known to all, and: whereas the movement of the wind must not be obstructed by man-made structures:\n\nTherefore I, [From.GetTitledName], decree that all homesteads throughout the realm are to have two holes, each no smaller than a grown peasant standing with arms outstretched, in opposite walls facing each other to allow free passage of the wind. These holes are not to be covered by planks, windows, doors or cattle. If any member of the household is known to exhibit severe flatulence, the holes shall number three and no less.""";;;;;;;;;;;"Âàø ýêñöåíòðè÷íûé ñþçåðåí ïðîâîçãëàøàåò íîâûé çàêîí, êîòîðûé äîëæåí áûòü ïðèíÿò ïî âñåé ñòðàíå. Â í¸ì ãîâîðèòñÿ:\n""Ïðèíèìàÿ âî âíèìàíèå èçâåñòíûé âñåì ïîëîæèòåëüíûé ýôôåêò ñâåæåãî âîçäóõà, äâèæåíèå âåòðà íå äîëæíî ïðåðûâàòüñÿ èñêóññòâåííûìè ñîîðóæåíèÿìè.\nÏîñåìó ÿ, [From.GetTitledFirstName], îáúÿâëÿþ, ÷òî âî âñåõ äâîðàõ ñòðàíû äîëæíû áûòü äâà îòâåðñòèÿ, êàæäîå íå ìåíüøå, ÷åì âçðîñëûé êðåñòüÿíèí ñòîÿùèé ñ âûòÿíóòûìè ðóêàìè îò îäíîé ïðîòèâîïîëîæíîé ñòåíû ê äðóãîé, ÷òîáû äàòü âîçäóõó ñâîáîäíûé ïðîõîä. Ýòè îòâåðñòèÿ íå äîëæíû áûòü ïðèêðûòû äîñêàìè, îêíàìè, äâåðÿìè èëè êðóïíûì ðîãàòûì ñêîòîì. Åñëè ÷ëåí ñåìüè, ñòðàäàåò ìåòåîðèçìîì, îòâåðñòèé äîëæíî áûòü íå ìåíåå òð¸õ.""";;x
EVTDESC6304;"Your slightly eccentric liege has proclaimed a new law that is to be upheld throughout the realm. It reads:\n\n""Whereas the children of the realm have become desensitised to violence, and: whereas the general populace seems to have lost all regard for the sanctity of human life:\n\nTherefore I, [From.GetTitledName], decree that all forms of violence directed at other human beings be outlawed, including both capital and corporal punishment as well as the torture of criminals, heathens and foreigners. These vulnerable social groups are instead to be rehabilitated and eventually released back into society as productive citizens.""";;;;;;;;;;;"Âàø ýêñöåíòðè÷íûé ñþçåðåí ïðîâîçãëàøàåò íîâûé çàêîí, êîòîðûé äîëæåí áûòü ïðèíÿò ïî âñåé ñòðàíå. Â í¸ì ãîâîðèòñÿ:\n""Äåòè ñòàëè ñêëîííû ê íàñèëèþ, à íàñåëåíèå ïîòåðÿëî âñ¸ óâàæåíèå ê ñâÿòîñòè ÷åëîâå÷åñêîé æèçíè.\nÏîñåìó ÿ, [From.GetTitledFirstName], îáúÿâëÿþ çàêîí î òîì, ÷òî âñå ôîðìû íàñèëèÿ, íàïðàâëåííûå íà äðóãèõ ëþäåé îáúÿâëåíû âíå çàêîíà, â òîì ÷èñëå è ìàðîä¸ðñòâî, òåëåñíûå íàêàçàíèÿ, à òàêæå ïûòêè ïðåñòóïíèêîâ, ÿçû÷íèêîâ è èíîñòðàíöåâ. Ýòè óÿçâèìûå ñîöèàëüíûå ãðóïïû äîëæíû áûòü ðåàáèëèòèðîâàíû, îñâîáîæäåíû è èíòåãðèðîâàíû â îáùåñòâî, êàê äîáðîïîðÿäî÷íûå ãðàæäàíå.""";;x
EVTDESC6305;"The new law has been written and couriers are even now distributing it to all of your vassals. You admire your handiwork:\n\n""Whereas the turnip represents the very best qualities to be found in society, and: whereas it is of fine texture, particularly when boiled, and has been proven to remedy all ailments known to Man when consumed:\n\nTherefore I, [Root.GetTitledName], decree that the turnip shall henceforth be used as currency throughout the realm, taking the place of gold, silver or any other precious metal. These shall instead be turned over to the Crown for immediate disposal.""";;;;;;;;;;;"Íîâûé çàêîí íàïèñàí, è ãîíöû ñîîáùàþò î í¸ì âñåì Âàøèì âàññàëàì. Âû ëþáóåòåñü ñâîåé ðàáîòîé:\n""Ðåïà èìååò ñàìûå ëó÷øèå êà÷åñòâà, êîòîðûå ìîæåò íàéòè îáùåñòâî, à òàêæå ÿâëÿåòñÿ ïðåêðàñíîé åäîé, åñëè å¸ ñâàðèòü, è äîêàçàíî - óñòðàíÿåò âñå áîëåçíè èçâåñòíûå ÷åëîâåêó.\nÏîñåìó ÿ, [From.GetTitledFirstName], îáúÿâëÿþ î òîì, ÷òî ðåïà îòíûíå áóäåò èñïîëüçîâàòüñÿ â êà÷åñòâå âàëþòû â ãîñóäàðñòâå, çàíÿâ ìåñòî çîëîòà, ñåðåáðà èëè äðóãîãî äðàãîöåííîãî ìåòàëëà. Äðàãîöåííûå ìåòàëëû áóäóò ïåðåäàíû Êîðîíå äëÿ íåìåäëåííîãî ðàñïîðÿæåíèÿ.""";;x
EVTDESC6306;"The new law has been written and couriers are even now distributing it to all of your vassals. You admire your handiwork:\n\n""Whereas pants constrict not only the lower limbs and reproductive organs, but also the human soul, and: whereas pants are known to be an affront to all forms of life but Man:\n\nTherefore I, [From.GetTitledName], command that the use of pants be outlawed throughout the realm under penalty of death. All existing variants of this garment are to be immediately burned, and the ashes distributed evenly over the graves of our forefathers.""";;;;;;;;;;;"Íîâûé çàêîí íàïèñàí è ãîíöû ñîîáùàþò î í¸ì âñåì Âàøèì âàññàëàì. Âû ëþáóåòåñü ñâîåé ðàáîòîé:\n""Áðþêè ñóæàþò íå òîëüêî íîãè è ïîëîâûå îðãàíû, íî è ÷åëîâå÷åñêóþ äóøó. Îíè, êàê èçâåñòíî, ÿâëÿþòñÿ îñêîðáëåíèåì äëÿ âñåõ ëþäåé.\nÏîñåìó ÿ, [From.GetTitledFirstName], îáúÿâëÿþ, ÷òî èñïîëüçîâàíèå áðþê âíå çàêîíà ïî âñåé ñòðàíå ïîä ñòðàõîì ñìåðòíîé êàçíè. Âñå ñóùåñòâóþùèå âàðèàíòû ýòîé îäåæäû äîëæíû áûòü íåìåäëåííî ñîææåíû, à ïåïåë ðàâíîìåðíî ðàçâåÿí íàä ìîãèëàìè íàøèõ ïðåäêîâ.""";;x
EVTDESC6307;"The new law has been written and couriers are even now distributing it to all of your vassals. You admire your handiwork:\n\n""Whereas the positive effects of fresh air is known to all, and: whereas the movement of the wind must not be obstructed by man-made structures:\n\nTherefore I, [From.GetTitledName], decree that all homesteads throughout the realm are to have two holes, each no smaller than a grown peasant standing with arms outstretched, in opposite walls facing each other to allow free passage of the wind. These holes are not to be covered by planks, windows, doors or cattle. If any member of the household is known to exhibit severe flatulence, the holes shall number three and no less.""";;;;;;;;;;;"Íîâûé çàêîí íàïèñàí è ãîíöû ñîîáùàþò î í¸ì âñåì Âàøèì âàññàëàì. Âû ëþáóåòåñü ñâîåé ðàáîòîé:\n""Ïðèíèìàÿ âî âíèìàíèå èçâåñòíûé âñåì ïîëîæèòåëüíûé ýôôåêò ñâåæåãî âîçäóõà, äâèæåíèå âåòðà íå äîëæíî ïðåðûâàòüñÿ èñêóññòâåííûìè ñîîðóæåíèÿìè.\nÏîñåìó ÿ, [From.GetTitledFirstName], îáúÿâëÿþ, ÷òî âî âñåõ äâîðàõ ñòðàíû äîëæíû áûòü äâà îòâåðñòèÿ, êàæäîå íå ìåíüøå, ÷åì âçðîñëûé êðåñòüÿíèí ñòîÿùèé ñ âûòÿíóòûìè ðóêàìè îò îäíîé ïðîòèâîïîëîæíîé ñòåíû ê äðóãîé, ÷òîáû äàòü âîçäóõó ñâîáîäíûé ïðîõîä. Ýòè îòâåðñòèÿ íå äîëæíû áûòü ïðèêðûòû äîñêàìè, îêíàìè, äâåðÿìè èëè êðóïíûì ðîãàòûì ñêîòîì. Åñëè ÷ëåí ñåìüè, ñòðàäàåò ìåòåîðèçìîì, îòâåðñòèé äîëæíî áûòü íå ìåíåå òð¸õ.""";;x
EVTDESC6308;"The new law has been written and couriers are even now distributing it to all of your vassals. You admire your handiwork:\n\n""Whereas the children of the realm have become desensitised to violence, and: whereas the general populace seems to have lost all regard for the sanctity of human life:\n\nTherefore I, [From.GetTitledName], decree that all forms of violence directed at other human beings be outlawed, including both capital and corporal punishment as well as the torture of criminals, heathens and foreigners. These vulnerable social groups are instead to be rehabilitated and eventually released back into society as productive citizens.""";;;;;;;;;;;"Íîâûé çàêîí íàïèñàí è ãîíöû ñîîáùàþò î í¸ì âñåì Âàøèì âàññàëàì. Âû ëþáóåòåñü ñâîåé ðàáîòîé:\n""Äåòè ñòàëè ñêëîííû ê íàñèëèþ, à íàñåëåíèå ïîòåðÿëî âñ¸ óâàæåíèå ê ñâÿòîñòè ÷åëîâå÷åñêîé æèçíè.\nÏîñåìó ÿ, [From.GetTitledFirstName], îáúÿâëÿþ çàêîí î òîì, ÷òî âñå ôîðìû íàñèëèÿ, íàïðàâëåííûå íà äðóãèõ ëþäåé îáúÿâëåíû âíå çàêîíà, â òîì ÷èñëå è ìàðîä¸ðñòâî, òåëåñíûå íàêàçàíèÿ, à òàêæå ïûòêè ïðåñòóïíèêîâ, ÿçû÷íèêîâ è èíîñòðàíöåâ. Ýòè óÿçâèìûå ñîöèàëüíûå ãðóïïû äîëæíû áûòü ðåàáèëèòèðîâàíû, îñâîáîæäåíû è èíòåãðèðîâàíû â îáùåñòâî, êàê äîáðîïîðÿäî÷íûå ãðàæäàíå.""";;x
EVTDESC6315;You are sitting on the floor of your bedchamber, wearing one of your shoes as a hat, when suddenly a man-sized gopher enters the room. It is dressed as a maid and when you shout in alarm, the rodent squeaks and skitters away in panic. You chase it down the hall but find only a terrified maid cowering on the floor.;;;;;;;;;;;Âû ñèäèòå íà ïîëó â ñâîåé êîìíàòå, íàäåâ íà ãîëîâó îáóâü, êàê âäðóã ïåðåä Âàìè ïîÿâëÿåòñÿ ñóñëèê ÷åëîâå÷åñêîãî ðîñòà. Ñóñëèê îäåò â êîñòþì ãîðíè÷íîé. Âû êðè÷èòå â óæàñå, îò ÷åãî ãðûçóí ïèùèò è óáåãàåò ïðî÷ü. Âû ïîãíàëèñü çà íèì, íî íàøëè òîëüêî èñïóãàííóþ ãîðíè÷íóþ íà ïîëó.;;x
EVTDESC6316;You are hosting a dinner for some local dignitaries when the full moon comes into view in one of the windows. Trembling, you excuse yourself and hurry up the stairs to your bedchamber while stripping off your clothes. You are completely naked when the guards find you crouched on your balcony, howling at the moon.;;;;;;;;;;;Âû ïðîâîäèòå ó ñåáÿ îáåä ñ ìåñòíîé çíàòüþ, êàê âäðóã â îêíå ïîêàçûâàåòñÿ ïîëíàÿ ëóíà. Äðîæà, Âû ïðîñèòå ïðîùåíèÿ è óáåãàåòå ââåðõ ïî ëåñòíèöå ê Âàøåé êîìíàòå, ñêèäûâàÿ íà õîäó îäåæäó. Âàø îõðàííèê âèäèò, êàê ïîëíîñòüþ îãîëèâøèñü Âû âîåòå íà ëóíó.;;x
EVTDESC6317;Your horse has always struck you as being of a dependable sort, a quality you feel is sorely lacking in your councillors. Time to shake things up a bit. You will appoint him as your new [Root.GetChancellorName].;;;;;;;;;;;Âàø êîíü âñåãäà ïîðàæàë ñâîåé íàä¸æíîñòüþ, ÷åãî íå ñêàæåøü î Âàøèõ ñîâåòíèêàõ. Íå ïîðà ëè íàçíà÷èòü åãî â ñâîé ñîâåò?;;x
EVTDESC6318;Your mad [Root.Liege.GetTitle] has decided, in [Root.Liege.GetHerHis] infinite wisdom, to relieve you of your post as [Root.Liege.GetChancellorName]. Glitterhoof, [Root.Liege.GetHerHis] beloved horse, will be taking your place.;;;;;;;;;;;"[Root.Liege.GetTitle] â ñâî¸ì áåçóìèè è áåñêîíå÷íîé ìóäðîñòè ðåøàåò ëèøèòü Âàñ äîëæíîñòè ""[Root.Liege.GetChancellorName]"". Ãëèòòåðãîô, [Root.Liege.GetHersHis] ëþáèìûé êîíü, çàéì¸ò Âàøå ìåñòî.";;x
EVTDESC6350;As I was lying in my bed at night I was suddenly woken by the hissing and growling of my favorite cat. The bedchamber was alive with scratching, scurrying noises, coming from the very walls themselves. I sprang from the bed, but the noises suddenly disappeared and a subsquent investigation of the chamber revealed nothing but patched stone walls.;;;;;;;;;;;Ïðîñíóâøèñü ñðåäè íî÷è îò øèïåíèÿ è ðû÷àíèÿ ìîå[Root.GetPetCatYGo] ëþáèìî[Root.GetPetCatYGo] [Root.GetPetCatGEN], ìíå ïîñëûøàëîñü, êàê ñïàëüíþ íàïîëíÿëè ñêðåæåò è øîðîõ, èñõîäÿùèå îò ñòåí. Ñòîèëî ìíå âñêî÷èòü ñ ïîñòåëè, è øóì âíåçàïíî ïðåêðàòèëñÿ, à ïîñëåäóþùèé îñìîòð íå âûÿâèë íè÷åãî, êðîìå êàìåííûõ ñòåí.;;x
EVTDESC6351;The servant I had sent to fetch water never returned and when I went to investigate I noticed a strange light emanating from the well. I peered inside and saw a color like no color I had ever seen before. It was like smoke, cold and wet but burning my skin where it touched.;;;;;;;;;;;Ïîñëàííûé çà âîäîé ñëóãà íå âåðíóëñÿ. Ïðîãóëêà ðàäè ïðîâåðêè ïðèâåëà ìåíÿ ê ñòðàííîìó ñâåòó, èñõîäÿùåìó èç êîëîäöà. Òàì áûëî íå÷òî íåâèäàííîãî ìíîé öâåòà. Îíî áûëî ïîõîæå íà äûì, õîëîäíûé è âëàæíûé, íî æãëî ìîþ êîæó ïðè ñîïðèêîñíîâåíèè.;;x
EVTDESC6352;I had repeatedly questioned my servant about the locked mausoleum beneath the castle but it wasn't until today that I found the key, hidden inside a rotting chest in the oldest castle tower. Inside the tomb's dusty passageways I found an empty stone coffin which bore the inscription '[Root.GetFirstName] [Root.GetOnlyDynastyName]'.;;;;;;;;;;;"ß ÷àñòî ðàññïðàøèâàþ ìîåãî ñëóãó î çàêðûòîì ñêëåïå. Íî ñåãîäíÿ ìíå ïîïàëñÿ êëþ÷, ñïðÿòàííûé â ñãíèâøåì ÿùèêå â ñàìîé ñòàðîé áàøíå. Â ïûëüíûõ êîðèäîðàìè îêàçàëñÿ ïóñòîé êàìåííûé ãðîá ñ íàäïèñüþ ""[Root.GetFirstName] [Root.GetOnlyDynastyName]"".";;x
EVTDESC6353;An old cottar and his wife who were known for their cruelty to cats were found dead in their home this morning, their bones picked clean of meat. My steward tells me that the local townspeople had their cats go missing the day before, but all the missing cats returned today looking fat and happy...;;;;;;;;;;;Ñòàðûé êðåñòüÿíèí è åãî æåíà, èçâåñòíûå ñâîåé æåñòîêîñòüþ ê êîøêàì, áûëè íàéäåíû ñåãîäíÿ â ñâî¸ì äîìå ì¸ðòâûìè, à ìåñòàìè îáãëîäàííûìè äî êîñòåé. Ìîé [Root.GetTreasurerName] ãîâîðèò, ÷òî âñå êîøêè íàøåãî ãîðîäà íàêàíóíå èñ÷åçëè, à ñåãîäíÿ âåðíóëèñü ñûòûå è äîâîëüíûå;;x
EVTDESC6354;Since the incident some weeks ago I have felt uneasy. I took a walk along the coast to clear my mind and found a small village where the people claimed to worship the 'Old Ones', Gods older than even those of the [Root.Religion.GetName] faith. They invited me to join in their rituals and showed me a dusty old grimoire written by a mad Saracen.;;;;;;;;;;;"Ïîñëå ïðîèçîøåäøåãî ñî ìíîé, ÿ îòïðàâè[Root.GetLasLsya] íà ïðîãóëêó âäîëü ïîáåðåæüÿ, î÷èñòèòü ñâîé ðàçóì. È îáíàðóæèë[Root.GetEndA] íåáîëüøóþ äåðåâíþ, å¸ æèòåëè ïîêëîíÿþòñÿ êàêèì-òî ""äðåâíèì"" áîãàì. Îíè ïðåäëîæèëè ó÷àñòèå â èõ ðèòóàëàõ è ïîêàçàëè ìíå ïûëüíûé ãðèìóàð, íàïèñàííûé áåçóìíûì ñàðàöèíîì.";;x
EVTDESC6355;Intense study of the grimoire has gained me much knowledge. I have devised a ritual to awaken the most powerful of the Old Ones where he sleeps, dead but dreaming, in his watery tomb beneath the ocean. The cult has prepared the ritual attire and is gathering the necessary sacrifices.;;;;;;;;;;;"Èíòåíñèâíîå èçó÷åíèå ãðèìóàðà äàëî ìíå ìíîãî çíàíèé, â òîì ÷èñëå è äëÿ ïðîáóæäåíèÿ ñàìîãî ñèëüíîãî èç ""äðåâíèõ"", êîòîðûé ñïèò, ì¸ðòâûé, íî âèäÿùèé ñíû, â ñâîåé âîäÿíîé ãðîáíèöå ïîä îêåàíîì. Êóëüòèñòû ïîäãîòîâèëè ðèòóàëüíûå îäåæäû è ñîáèðàþò íåîáõîäèìîå äëÿ æåðòâîïðèíîøåíèÿ.";;x
EVTDESC6356;The cult has gathered for the ritual on the shore of a black and stormy sea. The chanting begins, Ph'nglui mglw'nafh..., and in the depths of the dark waters something stirs...;;;;;;;;;;;Êóëüòèñòû ñîáðàëèñü íà ðèòóàë íà áåðåãó ÷¸ðíîãî îò øòîðìà ìîðÿ. Íà÷èíàåòñÿ ïåíèå: Ô'íãëóè ìãëâ'íàôõ... è â ãëóáèíå ò¸ìíûõ âîä ÷òî-òî âîðî÷àåòñÿ...;;x
