EVTOPTFUS_FROM_TRUTH_BOMB_TT;§Y[From.GetFirstName]§! might be pleased with you.;;;;;;;;;;;Âîçìîæíî, §Y[This.GetFirstName]§! áóäåò äîâîë[This.GetSoftNaEn] Âàìè.;;x
EVTDESCA_ZE_12114;[From.GetFirstName] was very happy for my gesture. [From.GetSheHeCap] agreed that [From.GetHerHis] exceptional personality and skill is worthy of songs and praise. Now the others could see [From.GetHerHim] for what [From.GetSheHe] is.;;;;;;;;;;;[From.GetFirstName] âûñîêî îöåíèë[From.GetEndA] ìîé æåñò è ñîãëàñè[From.GetLasLsya] ñ òåì, ÷òî [From.GetHersHis] âûäàþùàÿñÿ ëè÷íîñòü çàñëóæèâàåò ýòîé ïåñíè, à òåïåðü è äðóãèå ñìîãóò îá ýòîì óçíàòü.;;x
EVTDESCA_ZE_12116;[From.GetFirstName] is no less impressed by me now. It seems I'm quite the idol for [From.GetHerHim].;;;;;;;;;;;[From.GetFirstName] ïðîäîëæàåò áîãîòâîðèòü ìåíÿ.;;x
EVTDESCA_ZE_12211;Recently, you notice that there is something wrong with Flipper. [Root.GetSheHeCap] doesn't scurry around and play like [Root.GetSheHe] used to, [Root.GetSheHe] just lies down and moans pitifully, peering at you with [Root.GetHerHis] little beady eyes. [Root.GetSheHeCap] is obviously sick and starving.;;;;;;;;;;;Íåäàâíî Âû çàìåòèëè, ÷òî ñ Ïðîíûðîé ÷òî-òî íå òàê. Îí áîëüøå íå áåãàåò âîêðóã, à ïðîñòî ëåæèò, æàëîáíîãî ïîïèñêèâàÿ. Ïîõîæå, îí çàáîëåë èëè ãîëîäàåò.;;x
EVTDESCA_ZE_12219;As the guards release you from the dungeon, you take one last look back. You see Flipper staring at you intently for a moment, [Root.GetHerHis] little eyes shining strangely in the half-darkness. Then [Root.GetSheHe] scurries away into a corner and out of sight.;;;;;;;;;;;Êîãäà ñòðàæíèêè âûïóñòèëè Âàñ èç ïîäçåìåëüÿ, Âû â ïîñëåäíèé ðàç âçãëÿíóëè íà òî, ÷òî îñòàëîñü ïîçàäè. Ïðîíûðà ïîñìîòðåë íà Âàñ ñâîèìè ìàëåíüêèìè ñèÿþùèìè ãëàçêàìè, à ïîòîì ñêðûëñÿ èç âèäó â ò¸ìíîì óãëó êàìåðû.;;x
EVTDESCA_ZE_12232;Languishing in the dungeon, I suddenly one day hear a small voice calling to me. It seems there is a young child in the cell next to mine...;;;;;;;;;;;Òîìÿñü â ñâîåé êàìåðå, îäíàæäû ÿ óñëûøàë[Root.GetEndA] êàêîé-òî òèõèé ãîëîñ, êîòîðûé çîâ¸ò ìåíÿ. Ïîõîæå, ýòî ðåá¸íîê, çäåñü, â ñîñåäíåé êàìåðå...;;x
EVTDESCB_ZE_12000;Walking across the yard, I see [haughty_events_char_1.GetTitledFirstName] angrily beating a dog with a heavy stick.;;;;;;;;;;;Ãóëÿÿ ïî äâîðó ÿ óâèäåë[Root.GetEndA], êàê [haughty_events_char_1.GetTitledFirstName] áü¸ò ñîáàêó áîëüøîé ïàëêîé.;;x
EVTDESCB_ZE_12002;As I'm spending a pleasant moment alone with the attractive cook, young [From.GetFirstName] comes upon us. However, [From.GetSheHe] only winks in complicity and sneaks away.;;;;;;;;;;;Ñåãîäíÿ, íàñëàæäàÿñü ïðåêðàñíûì ïîöåëóåì, ÿ çàìåòèë[Root.GetEndA], êàê þí[From.GetAyaYy] [From.GetFirstName] ïîäñìàòðèâàë[From.GetEndA] çà íàìè. Çàòåì, ïîäìèãíóâ ìíå, [From.GetSheHe] ðàçâåðíó[From.GetLasLsya] è óø[From.GetLaYol], äåëàÿ âèä, ÷òî íè÷åãî íå ïðîèçîøëî.;;x
EVTDESCB_ZE_12004;As I hit [From.GetHerHim], [From.GetTitledFirstName] turned [From.GetHerHis] anger on me but I managed to escape as the dog bit [From.GetHerHim] in the ankle.;;;;;;;;;;;Êîãäà ÿ óäàðèë[Root.GetEndA] [From.GetHersHis], [From.GetSheHe] ëèøü çàñìåÿ[From.GetLasLsya]. Íî ñîáàêà óêóñèëà [From.GetHersHis] çà íîãó, è ÿ óáåæàë[Root.GetEndA].;;x
EVTDESCB_ZE_12006;As I turned, the dog bit me in the ankle and [From.GetFirstName] managed to get away, but has since been skulking around eyeing me with hatred.;;;;;;;;;;;Êîãäà ÿ ïîâåðíó[Root.GetLasLsya], ñîáàêà óêóñèëà ìåíÿ çà íîãó, à [From.GetFirstName] óáåæàë[From.GetEndA] ïðî÷ü. Íî ñ òåõ ïîð [From.GetSheHe] âå÷íî îøèâàåòñÿ âîêðóã è çëîáíî ïÿëèòñÿ.;;x
EVTDESCB_ZE_12010;My nannies are away and as I roam around the grounds I come upon [affectionate_events_char_1.GetTitledFirstName]. [affectionate_events_char_1.GetSheHeCap] looks up and seems interested in conversation.;;;;;;;;;;;Íÿíåê íåò ïîáëèçîñòè, è ÿ øàòà[Root.GetLasLsya] ïî îêðåñòíîñòÿì, ïîêà [affectionate_events_char_1.GetTitledFirstName] íå âñòðåòèë[affectionate_events_char_1.GetEndA] ìåíÿ. [affectionate_events_char_1.GetSheHeCap] çàãîâîðèë[affectionate_events_char_1.GetEndA] ñî ìíîé ïåðâ[affectionate_events_char_1.GetOyYm].;;x
EVTDESCB_ZE_12012;[From.GetFirstName] has really nice toys but [From.GetSheHe] won't share them with me.;;;;;;;;;;;[From.GetFirstName] ñåãîäíÿ èãðàë[From.GetEndA] ñî ñâîèìè íîâûìè èãðóøêàìè. Îíè òàêèå êëàññíûå, ÿ òîæå òàêèå õî÷ó, íî [From.GetSheHe] ñêàçàë[From.GetEndA], ÷òî íè çà ÷òî íå äàñò ìíå ïîèãðàòüñ íèìè.;;x
EVTDESCB_ZE_12014;I talked for a long while with [From.GetTitledFirstName]. [From.GetSheHeCap] had many funny things to tell me and we had a really good time.;;;;;;;;;;;[From.GetTitledFirstName] è ÿ äîëãî ðàçãîâàðèâàëè. [From.GetSheHeCap] ðàññêàçàë[From.GetEndA] ìíå ìíîãî èíòåðåñíîãî, áûëî âåñåëî, ìû îòëè÷íî ïðîâåëè âðåìÿ.;;x
EVTDESCB_ZE_12016;I spoke at length with [From.GetFirstName] about a great many things. We laughed a lot, and it seems I have made a new friend.;;;;;;;;;;;[From.GetFirstName] è ÿ äîëãî ðàçãîâàðèâàëè î ðàçíûõ âåùàõ. Áûëî âåñåëî. Ïîõîæå, ìû ñòàëè äðóçüÿìè.;;x
EVTDESCB_ZE_12020;[timid_events_char_1.GetFirstName] seems very nice. Maybe I should ask if [timid_events_char_1.GetSheHe] wants to play?;;;;;;;;;;;Ìíå íðàâèòñÿ [timid_events_char_1.GetFirstName], [timid_events_char_1.GetSheHe] êëàññí[timid_events_char_1.GetAyaYy]. Ìîæåò ïîçâàòü [timid_events_char_1.GetHersHis] ïîèãðàòü?;;x
EVTDESCB_ZE_12022;I was strangely and wrongfully accused of stealing fine foods from the personal stores of the [Root.Liege.GetTitle]. However, young [From.GetFirstName] stepped forward to confirm that I was elsewhere at the time and so the suspicions against me were lifted.;;;;;;;;;;;Ìíå îáâèíèëè â êðàæå åäû èç ëè÷íûõ çàïàñîâ íàøåãî ñþçåðåíà, íî þí[From.GetAyaYy] [From.GetFirstName] óñëûøàë[From.GetEndA] ýòî è âûñòóïèë[From.GetEndA] â ìîþ çàùèòó, ðàññêàçàâ, ÷òî âèäåë[From.GetEndA] ìåíÿ â ýòî âðåìÿ â äðóãîì ìåñòå.;;x
EVTDESCB_ZE_12024;[From.GetFirstName] came over and talked to me, asking if I wanted to be friends.;;;;;;;;;;;[From.GetFirstName] ïîäîø[From.GetLaYol] êî ìíå è ñêàçàë[From.GetEndA], ÷òî õî÷åò ïîäðóæèòüñÿ.;;x
EVTDESCB_ZE_12026;[From.GetFirstName] eventually stepped forward to defend my honor.;;;;;;;;;;;[From.GetFirstName] âñ¸-òàêè â ïîñëåäíèé ìîìåíò âìåøà[From.GetLasLsya] â ðàçãîâîð è ðàññêàçàë[From.GetEndA] âñ¸, ÷òî âèäåë[From.GetEndA], òåì ñàìûì çàùèòèâ ìîþ ÷åñòü.;;x
EVTDESCB_ZE_12030;There are so many fun things to do, so many forbidden things. I wonder if [rowdy_events_char_1.GetFirstName] would like to join me in some fun pranks?;;;;;;;;;;;Åñòü ñòîëüêî âåñ¸ëûõ âåùåé, êîòîðûå ìîæíî ïîïðîáîâàòü. Çàõî÷åò ëè [rowdy_events_char_1.GetFirstName] ïîøàëèòü ñî ìíîé?;;x
EVTDESCB_ZE_12032;[From.GetFirstName] seems content to let me win when we play games.;;;;;;;;;;;Ïîõîæå, [From.GetFirstName] ðåøèë[From.GetEndA] ñìèðèòüñÿ ñ òåì, ÷òî ÿ ïîáåæäàþ â èãðàõ.;;x
EVTDESCB_ZE_12034;[From.GetFirstName] joined me and we did all kinds of pranks and tricks, everything except summoning [Root.Religion.GetRandomEvilGodName]!;;;;;;;;;;;[From.GetFirstName] ñîãëàñè[From.GetLasLsya], è ìû âìåñòå äåëàëè âñÿêèå çàáàâíûå øòóêè, âåñåëèëèñü ïî ïîëíîé ïðîãðàììå.;;x
EVTDESCB2_ZE_12034;[From.GetFirstName] didn't want to play.;;;;;;;;;;;[From.GetFirstName] íå õî÷åò èãðàòü.;;x
EVTDESCB_ZE_12036;Me and [From.GetFirstName] did all kinds of crazy and forbidden things. It was fun!;;;;;;;;;;;ß è [From.GetFirstName] âìåñòå äåëàëè âñÿêèå çàïðåù¸ííûå è ñóìàñøåäøèå øòóêè, áûëî âåñåëî!;;x
EVTDESCB_ZE_12040;I'm out playing with [willful_events_char_2.GetFirstName] and we're close to the abandoned haunted house, we're not supposed to go there and [willful_events_char_2.GetFirstName] is looking frightened.;;;;;;;;;;;[willful_events_char_2.GetFirstName] è ÿ ñ ñàìîãî óòðà óæå èãðàåì âìåñòå. Íî ñòîèëî íàì ïîäîéòè ê ñòàðîìó çàáðîøåííîìó äîìó, êàê [willful_events_char_2.GetFirstName] ñðàçó çàâîëíîâà[willful_events_char_2.GetLasLsya], [willful_events_char_2.GetSheHe] âûãëÿäèò íàïóãàíí[willful_events_char_2.GetOyYm].;;x
EVTDESCB_ZE_12042;[From.GetFirstName] really wants to go inside the scary haunted house. It looks like it's dangerous and we have been told not to go near it.;;;;;;;;;;;[From.GetFirstName] äåéñòâèòåëüíî õî÷åò ïîéòè â ýòîò æóòêèé äîì. Ýòî î÷åíü îïàñíî è íàì ãîâîðèëè ìíîãî ðàç äåðæàòüñÿ îò íåãî ïîäàëüøå.;;x
EVTDESCB_ZE_12044;[From.GetFirstName] says we have to go back now, and if we don't [From.GetSheHe] will tell on me.;;;;;;;;;;;[From.GetFirstName] ñêàçàë[From.GetEndA], ÷òî íàì ïîðà âîçâðàùàòüñÿ ñåé÷àñ æå, èíà÷å [From.GetSheHe] ðàññêàæåò âçðîñëûì îá ýòîì.;;x
EVTDESCB_ZE_12046;[From.GetFirstName] says [From.GetSheHe] will get someone else to help [From.GetHerHim].;;;;;;;;;;;[From.GetFirstName] ñêàçàë[From.GetEndA], ÷òî ïîïðîñèòü êîãî-íèáóäü äðóãîãî ïîìî÷ü [From.GetHerHim] ñî øëÿïîé.;;x
EVTDESCB_ZE_12050;'Try it again,' [brooding_events_char_2.GetFirstName] says. But I can't do it! I can't whistle.;;;;;;;;;;;" ""Ïîïðîáóé åù¸ ðàç"", — ñêàçàë[brooding_events_char_2.GetEndA] [brooding_events_char_2.GetFirstName].\n""Íî ó ìåíÿ íå âûõîäèò! ß íå óìåþ ñâèñòåòü"", — íàñòàèâàë[Root.GetEndA] ÿ.";;x
EVTDESCB_ZE_12052;I woke up feeling a bit hung over, and it's already evening. I vaguely recall [From.GetFirstName] looking at me before I fell asleep. I think I had plans with [From.GetHerHim].;;;;;;;;;;;ß ïðîñíó[Root.GetLasLsya] ñ æóòêèì ïîõìåëüåì, è óæå ïî÷òè âå÷åð. Ïîìíþ, ïåðåä òåì êàê ÿ çàñíóë[Root.GetEndA], [From.GetFirstName] èñêàë[From.GetEndA] ìåíÿ. Ó íàñ áûëè êàêèå-òî ïëàíû íà â÷åðàøíèé äåíü, íî... êàêèå?;;x
EVTDESCB_ZE_12054;[From.GetFirstName] is quietly mumbling some words and rubbing [From.GetHerHis] face. 'Sorry, I'm sorry' [From.GetSheHe] says..;;;;;;;;;;;"[From.GetFirstName] ïðîáóáíèë[From.GetEndA] ÷òî-òî íåïîíÿòíîå íåñêîëüêî ðàç, íî ÿ ñìîã[Root.GetNoneE] ðàçîáðàòü ""ïðîñòè ìåíÿ""...";;x
EVTDESCB_ZE_12056;Waking up in my room, I seem to be missing some money. I vaguely remember [From.GetFirstName] being here. Wasn't [From.GetSheHe]?;;;;;;;;;;;Ïðèäÿ â ñåáÿ ïîñëå òÿæ¸ëîãî ïîõìåëüÿ, ÿ çàìåòèë[Root.GetEndA], ÷òî ìîè äåíüãè ïðîïàëè. Êàæåòñÿ, [From.GetFirstName] áûë[From.GetEndA] çäåñü. Äà... òî÷íî.;;x
EVTDESCB_ZE_12060;I've been asked to go fetch some supplies at the market but it's a long walk. [indolent_events_char_2.GetFirstName] is already going to get other things.;;;;;;;;;;;Ìåíÿ ïîïðîñèëè ñõîäèòü íà ðûíîê, êóïèòü êîå-÷òî, íî ýòî òàê äàëåêî. [indolent_events_char_2.GetFirstName] âñ¸ ðàâíî òóäà ïîéä¸ò. Ìîæåò [indolent_events_char_2.GetSheHe] êóïèò ýòî äëÿ ìåíÿ?;;x
EVTDESCB_ZE_12062;Today me and [From.GetFirstName] spent some time outside cutting down trees, no complaints from the young [From.GetBoyGirl] and work was finished early.;;;;;;;;;;;Ñåãîäíÿ [From.GetFirstName] è ÿ âìåñòå çàíèìàëèñü âûðóáêîé äåðåâüåâ â ñàäó. Óäèâèòåëüíî, íî [From.GetLadLass] íè ðàçó äàæå íå ïîæàëîâà[From.GetLasLsya], è ìû áûñòðî óïðàâèëèñü ñ ðàáîòîé.;;x
EVTDESCB_ZE_12064;[From.GetFirstName] seemed worried and brought me some tea. I have to drink it to get better. I also got some freshly baked bread for when I feel better.;;;;;;;;;;;[From.GetFirstName] çàáåñïîêîè[From.GetLasLsya] î ìî¸ì çäîðîâüå, êîãäà ÿ ñêàçàë[Root.GetEndA], ÷òî ó ìåíÿ áîëèò æèâîò. [From.GetSheHeCap] ïðèíåñ[From.GetNoneE] ìíå ÷àþ è äàæå ñâåæèå áóëî÷êè, ÷òîáû ÿ ìîã[Root.GetNoneE] ïîåñòü èõ, êîãäà ìíå ñòàíåò ëó÷øå.;;x
EVTDESCB_ZE_12066;[From.GetFirstName] was happy when I brought [From.GetHerHim] some tea and bread. [From.GetSheHe] should recover soon.;;;;;;;;;;;[From.GetFirstName] áûë[From.GetEndA] òàê ðàä[From.GetEndA], êîãäà ÿ ïðèíåñ[Root.GetNoneE] [From.GetHerHim] íåìíîãî ÷àÿ è ñâåæèõ áóëî÷åê. Íàäåþñü, [From.GetSheHe] ñêîðî ïîïðàâèòñÿ.;;x
EVTDESCB_ZE_12070;It's late at night and I get out of bed to use the chamberpot. [playful_events_char_2.GetFirstName] starts calling my name and I see a man hiding under the dining table. He notices me and whispers 'psst, come over here'. ;;;;;;;;;;;"Ïîçíåé íî÷üþ ÿ âñòàë[Root.GetEndA] ñ ïîñòåëè, ÷òîáû âîñïîëüçîâàòüñÿ íî÷íûì ãîðøêîì. [playful_events_char_2.GetFirstName] óæå ïîçâàë[playful_events_char_2.GetEndA] ìåíÿ îáðàòíî, íî âäðóã ÿ óâèäåë[Root.GetEndA], ÷òî êàêîé-òî ìóæ÷èíà ïðÿ÷åòñÿ ïîä ñòîëîì. Îí çàìåòèë ìåíÿ è ïðîøåïòàë ""ýé, [Root.GetLadLass], ïîäîéäè ñþäà"".";;x
EVTDESCB_ZE_12072;After some hours running errands I was heading back home with [From.GetFirstName]. Just as I told [From.GetHerHim] we were going home [From.GetSheHe] took one of the bags to help carry it without me even asking.;;;;;;;;;;;ß è [From.GetFirstName] óæå çàêàí÷èâàëè ïðîãóëêó, è ïðèøëî âðåìÿ âîçâðàùàòüñÿ äîìîé. Êîãäà ÿ ñêàçàë[Root.GetEndA] [From.GetHerHim] îá ýòîì, [From.GetSheHe] âçÿë ó ìåíÿ îäíó èç ñóìîê è ïîìîã ìíå, õîòÿ ÿ äàæå íå ïðîñèë [From.GetHersHis] îá ýòîì.;;x
EVTDESCB_ZE_12074;[From.GetFirstName] was not happy that I ran away from [From.GetHerHim] without helping. Now I have to stay indoors all day tomorrow.;;;;;;;;;;;[From.GetFirstName] ðàññåðäè[From.GetLasLsya] èç-çà òîãî, ÷òî ÿ óáåæàë[From.GetEndA]. Òåïåðü ÿ íàêàçàí[Root.GetEndA] è ïîä äîìàøíèì àðåñòîì íà âåñü ñëåäóþùèé äåíü.;;x
EVTDESCB_ZE_12076;[From.GetFirstName] was a little bit let down that I caught up with [From.GetHerHim] and even called me a cheater. Not always winning is a good thing for children to learn.;;;;;;;;;;;[From.GetFirstName] áûë[From.GetEndA] íåìíîãî ðàññòðîåí[From.GetEndA], êîãäà ÿ äîãíàë[Root.GetEndA] è ïîéìàë[Root.GetEndA] [From.GetHersHis], è äàæå íàçâàë[From.GetEndA] ìåíÿ ìîøåííèêîì. Óìåíèå ïðîèãðûâàòü - âàæíûé óðîê äëÿ ðåá¸íêà.;;x
EVTDESCB_ZE_12080;After supper, me and [conscientious_events_char_2.GetFirstName] were supposed to help do the dishes. But [conscientious_events_char_2.GetFirstName] hid the dirty dishes and wants to go play instead.;;;;;;;;;;;[conscientious_events_char_2.GetFirstName] âåä¸ò ñåáÿ êðàéíå ëåãêîìûñëåííî. Ïîñëå óæèíà ìû âìåñòå ïîìîãàëè óáèðàòü ñî ñòîëà, íî êîãäà ïðèøëî âðåìÿ ìûòü ïîñóäó, [conscientious_events_char_2.GetSheHe] áðîñèë[conscientious_events_char_2.GetEndA] âñ¸, ÷òîáû ïîéòè èãðàòü.;;x
EVTDESCB_ZE_12082;After supper, me and [From.GetFirstName] were forced to do dishes. But I was clever and hid them, until [From.GetFirstName] told on me and now I have to do all of it.;;;;;;;;;;;Íåâåðîÿòíî, íî [From.GetFirstName] íàÿáåäíè÷àë[From.GetEndA] íà ìåíÿ! Ïîñëå óæèíà ìû âìåñòå ïîìîãàëè óáèðàòü ñî ñòîëà è, êîãäà âñå óøëè, äîëæíû áûëè ïîìûòü ïîñóäó. ß íå ñòàë[Root.GetEndA] ýòî äåëàòü è óø[Root.GetLaYol] èãðàòü, íî [From.GetSheHe] ðàññêàçàë âçðîñëûì, è òåïåðü âñþ ðàáîòó ïîâåñèëè íà ìåíÿ!;;x
EVTDESCB_ZE_12084;[From.GetFirstName] ran away when I told on him. The others said I don't have to do all the work alone. But I was a good [Root.GetBoyGirl] for telling them.;;;;;;;;;;;[From.GetFirstName] íå ñòàë[From.GetEndA] ìûòü ïîñóäó è ïðîñòî ñáåæàë[From.GetEndA]. Ìíå ñêàçàëè, ÷òî ÿ íå äîëæ[Root.GetNaEn] äåëàòü ÷òî-ëèáî âìåñòî í[From.GetHersHis], íî ïðàâèëüíî ñäåëàë[Root.GetEndA], ÷òî ðàññêàçàë[Root.GetEndA].;;x
EVTDESCB_ZE_12086;[From.GetFirstName] was very upset with me and told everyone what I did.;;;;;;;;;;;Ïîõîæå, [From.GetFirstName] ñåðü¸çíî îáèäå[From.GetLasLsya] íà ìåíÿ. [From.GetSheHeCap] ðàññêàçàë[From.GetEndA] âñåì, ÷òî ÿ ñäåëàë[Root.GetEndA].;;x
EVTDESCB_ZE_12090;Food is on my plate, but steam is coming out of it. I wonder if it's safe to eat? [fussy_events_char_2.GetTitledName] is looking at me.;;;;;;;;;;;Ìèñêà ñ ïîõë¸áêîé äàâíî ó ìåíÿ íà òàðåëêå, íî âñ¸ åù¸ èä¸ò ïàð. Íå îáîæãóñü ëè ÿ? [fussy_events_char_2.GetTitledName] ñìîòðèò íà ìåíÿ è æä¸ò, êîãäà æå ÿ íàêîíåö íà÷íó åñòü.;;x
EVTDESCB_ZE_12092;[From.GetFirstName] was a bit worried about not finding [From.GetHerHis] favorite toy, but seems to have settled down and is now sound asleep. ;;;;;;;;;;;[From.GetFirstName] ïîíà÷àëó áåñïîêîè[From.GetLasLsya], ÷òî íå ìîæåò íàéòè ñâîþ ëþáèìóþ èãðóøêó, íî ïîòîì ñìèðè[From.GetLasLsya] è ïîø[From.GetLaYol] ñïàòü.;;x
EVTDESCB_ZE_12094;[From.GetFirstName] finally found my toy after looking for it everywhere. It was in the trash.;;;;;;;;;;;Ñïóñòÿ êàêîå-òî âðåìÿ [From.GetFirstName] âñ¸-òàêè íàø[From.GetLaYol] ìîþ èãðóøêó, ñðåäè ìóñîðà...;;x
EVTDESCB_ZE_12096;[From.GetFirstName] agreed to go get a new toy the next day and finally settled down.;;;;;;;;;;;[From.GetFirstName] ñîãëàñè[From.GetLasLsya] ñõîäèòü ñî ìíîé è êóïèòü íîâóþ èãðóøêó.;;x
EVTDESCB_ZE_12100;I woke up early and found a sealed letter addressed to [curious_events_char_2.GetTitledName]. I wonder what it could say?;;;;;;;;;;;"Ñåãîäíÿ óòðîì ÿ ïðîñíó[Root.GetLasLsya] ðàíî è íàø[Root.GetLaYol] êàêîå-òî ïèñüìî. Îíî áûëî çàïå÷àòàíî, à â ãðàôå ""Êîìó"" áûëî íàïèñàíî ""[curious_events_char_2.GetTitledName]"". Èíòåðåñíî, ÷òî æå òàì?";;x
EVTDESCB_ZE_12102;I come back after a day out fetching some things at the market and see [From.GetFirstName] patiently waiting for me like I asked.;;;;;;;;;;;Âåðíóâøèñü âå÷åðîì ñ ðûíî÷íîé ïëîùàäè, ÿ óâèäåë[Root.GetEndA], ÷òî [From.GetFirstName] òåðïåëèâî îæèäàåò ìåíÿ äîìà, êàê ÿ [From.GetHersHis] è ïðîñèë[Root.GetEndA].;;x
EVTDESCB_ZE_12104;I followed [From.GetTitledName] to the market, but then [From.GetSheHe] caught me. [From.GetSheHeCap] laughed and said I was hopeless.;;;;;;;;;;;[From.GetTitledName] âåëåë[From.GetEndA] ìíå îñòàâàòüñÿ äîìà è æäàòü [From.GetHersHis], íî ÿ íå óäåðæà[Root.GetLasLsya] è ïîø[Root.GetLaYol] çà í[From.GetEyIm]. Îêàçàëîñü, [From.GetSheHe] îòïðàâè[From.GetLasLsya] íà ðûíîê, ÷òîáû êóïèòü ìíå ïîäàðîê, íî çàìåòèë[From.GetEndA] ìåíÿ òàì. Ðàñõîõîòàâøèñü, [From.GetSheHe] ñêàçàë[From.GetEndA], ÷òî ÿ áåçíàä¸æ[Root.GetNaEn].;;x
EVTDESCB_ZE_12106;[From.GetFirstName] Seems regretful that [From.GetSheHe] disobeyed me. Hopefully It won't happen again.;;;;;;;;;;;Ïîõîæå, [From.GetFirstName] ñîæàëååò î ñâî¸ì ïîâåäåíèè. Íàäåþñü, áîëüøå ýòî íå ïîâòîðèòñÿ.;;x
EVTDESCB_ZE_12110;Spending time with [idolizer_events_char_2.GetFirstName] is great. We get along so well. Even when we do chores together time goes by so fast.;;;;;;;;;;;[idolizer_events_char_2.GetFirstName] ïðîñòî íåâåðîÿò[idolizer_events_char_2.GetNaEn], è íàì òàê õîðîøî âìåñòå. Äàæå êîãäà ìû äåëàåì êàêóþ-òî íåïðèÿòíóþ ðàáîòó, âðåìÿ ïðîõîäèò íàìíîãî áûñòðåå.;;x
EVTDESCB_ZE_12112;[From.GetFirstName] told me that everyone is so kind here. [From.GetSheHeCap] would make sure everyone knew how grateful [From.GetSheHe] is.;;;;;;;;;;;[From.GetFirstName] ñêàçàë[From.GetEndA], ÷òî çäåñü âñå òàê äîáðû ê í[From.GetHersHis], è [From.GetSheHe] õîòåë[From.GetEndA] áû âûðàçèòü ñâîþ áëàãîäàðíîñòü.;;x
EVTDESCB_ZE_12114;[From.GetFirstName] was humbled by the song I had written. But [From.GetSheHeCap] wanted to make a point of being just an ordinary person, and that I shouldn't give [From.GetHerHim] more credit than [From.GetSheHe] deserves.;;;;;;;;;;;"[From.GetFirstName] áûë[From.GetEndA] òðîíóò[From.GetEndA] ìîåé ïåñíåé â ñâîþ ÷åñòü, íî ñêàçàë[From.GetEndA], ÷òî ÿ ïðåóâåëè÷èâàþ, [From.GetSheHe] - ñàìûé îáû÷íûé ÷åëîâåê, è ìíå íå ñëåäóåò ""òâîðèòü ñåáå êóìèðîâ"".";;x
EVTDESCB_ZE_12116;[From.GetFirstName] seems to have lost [From.GetHerHis] overwhelming affection for me. For better or worse, it's good to learn moderation. I might not be that special after all.;;;;;;;;;;;Ïîõîæå, [From.GetFirstName] ðàçî÷àðîâà[From.GetLasLsya] âî ìíå. Òàê èëè èíà÷å âî âñ¸ì íàäî çíàòü ìåðó, ÿ âåäü íå òàêîé óæ îñîáåíí[Root.GetAyaYy] â êîíöå êîíöîâ.;;x
EVTDESCB_ZE_12211;Recently, you notice that there is something wrong with Cuddles. [Root.GetSheHeCap] doesn't scurry around and play like [Root.GetSheHe] used to, [Root.GetSheHe] just lies down and moans pitifully, peering at you with [Root.GetHerHis] little beady eyes. [Root.GetSheHeCap] is obviously sick and starving.;;;;;;;;;;;Íåäàâíî Âû çàìåòèëè, ÷òî ñ Ïóøèñòèêîì ÷òî-òî íå òàê. Îí áîëüøå íå áåãàåò âîêðóã, à ïðîñòî ëåæèò, æàëîáíîãî ïîïèñêèâàÿ. Ïîõîæå, îí çàáîëåë èëè ãîëîäàåò.;;x
EVTDESCB_ZE_12219;As the guards release you from the dungeon, you take one last look back. You see Cuddles staring at you intently for a moment, [Root.GetHerHis] little eyes shining strangely in the half-darkness. Then [Root.GetSheHe] scurries away into a corner and out of sight.;;;;;;;;;;;Êîãäà ñòðàæíèêè âûïóñòèëè Âàñ èç ïîäçåìåëüÿ, Âû â ïîñëåäíèé ðàç âçãëÿíóëè íà òî, ÷òî îñòàëîñü ïîçàäè. Ïóøèñòèê ïîñìîòðåë íà Âàñ ñâîèìè ìàëåíüêèìè ñèÿþùèìè ãëàçêàìè, à ïîòîì ñêðûëñÿ èç âèäó â ò¸ìíîì óãëó êàìåðû.;;x
EVTDESCB_ZE_12232;Languishing in the dungeon, I suddenly one day hear a voice calling out. It seems there is another child in these dungeons, in the cell next to mine...;;;;;;;;;;;Òîìÿñü â ñâîåé êàìåðå, îäíàæäû ÿ óñëûøàë[Root.GetEndA] êàêîé-òî òèõèé ãîëîñ, êîòîðûé çîâ¸ò ìåíÿ. Íåóæåëè çäåñü åñòü åù¸ äåòè, êðîìå ìåíÿ?;;x
EVTDESCC_ZE_12000;Walking outside, I come upon some commoners along the road. One of them calls out, saying I look lovely today.;;;;;;;;;;;Ãóëÿÿ âäîëü äîðîãè, ÿ ïðîø[Root.GetLaYol] ìèìî ïðîñòîëþäèíîâ. Îäèí èç íèõ ïîçâàë ìåíÿ è ñêàçàë, ÷òî ÿ îòëè÷íî âûãëÿæó ñåãîäíÿ.;;x
EVTDESCC_ZE_12002;As I'm beating a rabid dog in the yard, the little cur [From.GetFirstName] runs up and starts hitting me with a stick.;;;;;;;;;;;Êîãäà ÿ áèë[Root.GetEndA] ýòó áåøåíóþ ïñèíó âî äâîðå, ýòà ìåëêàÿ ïàäëþãà [From.GetFirstName] ñõâàòèë[From.GetEndA] ïàëêó è íà÷àë[From.GetEndA] áèòü ìåíÿ!;;x
EVTDESCC_ZE_12004;My treatment of that uppity peasant had the unfortunate effect of making more of them angry.;;;;;;;;;;;Òî, êàê ÿ ïîñòóïèë[Root.GetEndA] ñ ýòèì íàõàëüíûì äåðåâåíùèíîé, ïîõîæå ñèëüíî ðàçîçëèëî åãî îäíîñåëü÷àí.;;x
