ABANDON_AMBITION_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetBestName]§! ended [Recipient.GetPossPronoun] plot to [Recipient.GetPlot].;;;;;;;;;;;§Y[Recipient.GetBestName]§W ïðåêðàòèë[Recipient.GetEndA] ñâîé çàãîâîð: §Y[Recipient.GetPlot]§W.;;x
ASSIGN_VOTER_TITLE_INTERACTION_LONG_DESC;You can hand out honorary titles that come with a seat on your council attached to it to your vassals to appease them and prevent them from joining factions against you.;;;;;;;;;;;Âû ìîæåòå æàëîâàòü ïî÷¸òíûå òèòóëû âìåñòå ñ ïîñòàìè â ñîâåòå ñâîèì âàññàëàì, ÷òîáû óáëàæèòü èõ è îòäàëèòü îò âðàæäåáíûõ ê Âàì ôðàêöèé.;;x
ASSIGN_VOTER_TITLE_INTERACTION_TITLE;Appoint Councillor;;;;;;;;;;;Íàçíà÷èòü ñîâåòíèêîì;;x
AWARD_HONORARY_TITLE_INTERACTION_0;Select an honorary title to grant to §Y[Recipient.GetTitledFirstName]§!.;;;;;;;;;;;Âûáåðèòå ïî÷¸òíóþ äîëæíîñòü, êîòîðóþ õîòèòå ïîæàëîâàòü. Å¸ ïîëó÷èò §Y[Recipient.GetTitledFirstName]§W.;;x
AWARD_HONORARY_TITLE_INTERACTION_1;Grant the title of §Y[ThirdPartyTitle.GetFullName]§! to §Y[Recipient.GetTitledFirstName]§!. This will increase [Recipient.GetPossPronoun] opinion of you by $OPINION$.;;;;;;;;;;;Ïîæàëîâàòü äîëæíîñòü §Y[ThirdPartyTitle.GetFullName]§W, å¸ ïîëó÷èò §Y[Recipient.GetTitledFirstName]§W. È ýòî óëó÷øèò [Recipient.GetHersHis] ìíåíèå î Âàñ íà $OPINION$.;;x
AWARD_HONORARY_TITLE_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! made §Y[Recipient.GetBestName]§! §Y[ThirdPartyTitle.GetFullName]§!;;;;;;;;;;;§Y[Actor.GetBestName]§W ïîñòàíîâèë[Actor.GetEndA], ÷òî §Y[Recipient.GetBestName]§W - òåïåðü [Actor.GetHersHis] §Y[ThirdPartyTitle.GetFullName]§W;;x
AWARD_HONORARY_TITLE_INTERACTION_ACCEPT_SETUP;Honorary Title Awarded;;;;;;;;;;;Ïî÷¸òíàÿ äîëæíîñòü ïîæàëîâàíà;;x
AWARD_HONORARY_TITLE_INTERACTION_DESC;Award an honorary title to a character;;;;;;;;;;;Ïîæàëîâàòü ïî÷¸òíóþ äîëæíîñòü.;;x
AWARD_HONORARY_TITLE_INTERACTION_LONG_DESC;You can hand out honorary titles to your courtiers, which will raise their opinion of you. Some honorary titles also come with minor estates (a source of income) and monthly prestige gain.;;;;;;;;;;;Âû ìîæåòå æàëîâàòü ïî÷¸òíûå äîëæíîñòè ñâîèì ïðèäâîðíûì. Ýòî ïîâûñèò èõ ìíåíèå î Âàñ. Íåêîòîðûå äîëæíîñòè äàþò íåáîëüøîé äîõîä è ïðèðîñò ïðåñòèæà.;;x
AWARD_HONORARY_TITLE_INTERACTION_TITLE;Award Honorary Title;;;;;;;;;;;Ïîæàëîâàòü ïî÷¸òíûé òèòóë;;x
BREAK_BETROTHAL_INTERACTION_0;Break the Betrothal between §Y[Recipient.GetBestName]§! and §Y[Recipient.Betrothed.GetBestName]§!.;;;;;;;;;;;§Y[Recipient.GetBestName]§W è §Y[Recipient.Betrothed.GetBestName]§W íå âñòóïÿò â áðàê.;;x
BREAK_BETROTHAL_INTERACTION_1;This will lower §Y$OTHER$§!'s opinion of you by §R$VALUE$§!.;;;;;;;;;;;§Y$OTHER$§W óõóäøèò ñâî¸ ìíåíèå î Âàñ íà §R$VALUE$§W.;;x
BREAK_BETROTHAL_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! has broken the betrothal between §Y[Recipient.GetBestName]§! and §Y[Recipient.Betrothed.GetBestName]§!.;;;;;;;;;;;§Y[Actor.GetBestName]§W ðàñòîðã[Actor.GetNoneE] ïîìîëâêó, ðåøèâ, ÷òî §Y[Recipient.GetBestName]§W è §Y[Recipient.Betrothed.GetBestName]§W íå ïîäõîäÿò äðóã äðóãó.;;x
BREAK_BETROTHAL_INTERACTION_ACCEPT_SETUP;Betrothal Broken;;;;;;;;;;;Ïîìîëâêà ðàñòîðãíóòà;;x
BREAK_BETROTHAL_INTERACTION_DESC;Break a Betrothal with a character;;;;;;;;;;;Ðàñòîðãíóòü ñóùåñòâóþùóþ ïîìîëâêó.;;x
BREAK_BETROTHAL_INTERACTION_LETTER;We have decided to end the betrothal between [Recipient.GetBestName] and [Recipient.Betrothed.GetBestName].;;;;;;;;;;;Ìû ðåøèëè ðàñòîðãíóòü ïîìîëâêó, [Recipient.GetBestName] è [Recipient.Betrothed.GetBestName] íå ïîäõîäÿò äðóã äðóãó.;;x
BREAK_BETROTHAL_INTERACTION_LONG_DESC;A Betrothal can be broken at any time, though the other party will not be pleased...;;;;;;;;;;;Ïîìîëâêà ìîæåò áûòü ðàñòîðãíóòà â ëþáîå âðåìÿ â îäíîñòîðîííåì ïîðÿäêå, íî äðóãàÿ ñòîðîíà áóäåò íå â âîñòîðãå îò ýòîãî.;;x
BREAK_BETROTHAL_INTERACTION_TITLE;Break Betrothal;;;;;;;;;;;Ðàñòîðãíóòü ïîìîëâêó;;x
BUY_FAVOR_INTERACTION_ACCEPT_LOG;§Y[Actor.GetDynName]§! bought a favor from §Y[Recipient.GetDynName]§!;;;;;;;;;;;§Y[Recipient.GetDynName]§! ïðèíÿë[Recipient.GetEndA] âçÿòêó, êîòîðóþ ïðåäëîæèë[Actor.GetEndA] [Recipient.GetHerHim] §Y[Actor.GetDynName]§!;;x
BUY_FAVOR_INTERACTION_ACCEPT_SETUP;Favor Bought;;;;;;;;;;;Âçÿòêà ïðèíÿòà;;x
BUY_FAVOR_INTERACTION_DECLINE_LOG;§Y[Recipient.GetDynName]§! refused to sell a favor to §Y[Actor.GetDynName]§!;;;;;;;;;;;§Y[Recipient.GetDynName]§! îòêàçà[Recipient.GetLasLsya] áðàòü âçÿòêó, êîòîðóþ [Recipient.GetHerHim] ïðåäëîæèë[Actor.GetEndA] §Y[Actor.GetDynName]§!;;x
BUY_FAVOR_INTERACTION_DECLINE_SETUP;Favor not for sale;;;;;;;;;;;Âçÿòêà íå ïðèíÿòà;;x
BUY_FAVOR_INTERACTION_DESC;Pay §Y[Recipient.GetBestName]§! $GOLD|0Y$¤ to $EFFECT$ [Recipient.GetHerHim].;;;;;;;;;;;Åñëè §Y[Recipient.GetBestName]§! ïðèìåò $GOLD|0Y$¤ îò ìåíÿ, [Recipient.GetSheHe] $EFFECT$.;;x
BUY_FAVOR_INTERACTION_LETTER;\nI offer you a gift of $GOLD|0Y$¤ to repay the Favor I owe you.;;;;;;;;;;;\nß â äîëãó ïåðåä Âàìè, è íàäåþñü, $GOLD$§W¤§! ïîìîãóò Âàì çàáûòü îá ýòîì.;;x
BUY_FAVOR_INTERACTION_LETTER_GET;\nI offer you a gift of $GOLD|0Y$¤and in return you will owe me a Favor.;;;;;;;;;;;\nß ïðåäëàãàþ Âàì $GOLD$§W¤§!, à ó Âàñ ïðîøó ñóùóþ ìåëî÷ü - ñäåëàòü ìíå îäîëæåíèå â áóäóùåì.;;x
BUY_FAVOR_INTERACTION_LONG_DESC;Give a gift of gold to return a Favor or to receive a Favor later on.;;;;;;;;;;;Èíîãäà, ÷òîáû ñäåëàòü êîìó-òî îäîëæåíèå èëè ïîïðîñèòü î í¸ì â áóäóùåì, äîñòàòî÷íî ïðåäëîæèòü çà íåãî çîëîòî.;;x
BUY_FAVOR_INTERACTION_TITLE;Buy Favor;;;;;;;;;;;Äàòü âçÿòêó;;x
CALL_ALLY_BLOOD_BROTHERS;\n§YSince you are blood brothers, they cannot refuse.§!;;;;;;;;;;;\n§YÂû - êðîâíûå áðàòüÿ, îí íå ñìîæåò íàì îòêàçàòü.§!;;x
CALL_ALLY_INTERACTION_0;Request that §Y[Recipient.GetBestName]§! join us in §Y$WAR$§!.;;;;;;;;;;;§Y[Recipient.GetBestName]§! ïîëó÷èò îò íàñ ïðîñüáó ïðèñîåäèíèòüñÿ ê íàì â âîéíå (§Y$WAR$§!).;;x
CALL_ALLY_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetBestName]§! accepted §Y[Actor.GetBestName]'s§! call to arms for §Y$ACTOR_WARS$§!;;;;;;;;;;;§Y[Recipient.GetBestName]§W ïðèíÿë[Recipient.GetEndA] ïðèçûâ, êîòîðûé îòïðàâèë[Actor.GetEndA] [Recipient.GetHerHim] §Y[Actor.GetBestName]§W, î ïðèñîåäèíåíèè ê §Y$ACTOR_WARS$§!;;x
CALL_ALLY_INTERACTION_ACCEPT_SETUP;Call to Arms Accepted;;;;;;;;;;;Ïðèçûâ ê îðóæèþ ïðèíÿò;;x
CALL_ALLY_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§! declined §Y[Actor.GetBestName]'s§! call to arms for §Y$ACTOR_WARS$§!;;;;;;;;;;;§Y[Recipient.GetBestName]§W îòêëîíèë[Recipient.GetEndA] ïðèçûâ, êîòîðûé îòïðàâèë[Actor.GetEndA] [Recipient.GetHerHim] §Y[Actor.GetBestName]§W, î ïðèñîåäèíåíèè ê §Y$ACTOR_WARS$§!;;x
CALL_ALLY_INTERACTION_DECLINE_SETUP;Call to Arms Declined;;;;;;;;;;;Ïðèçûâ ê îðóæèþ îòêëîí¸í;;x
CALL_ALLY_INTERACTION_DESC;Request that §Y[Recipient.GetBestName]§! join us in our current war efforts.;;;;;;;;;;;§Y[Recipient.GetBestName]§! ïîëó÷èò îò íàñ ïðîñüáó ïðèñîåäèíèòüñÿ ê íàì â òåêóùèõ âîéíàõ.;;x
CALL_ALLY_INTERACTION_LETTER;We request that you honor your obligation and answer this call to arms against;;;;;;;;;;;Ìû ïðèçûâàåì Âàñ âñïîìíèòü î Âàøèõ îáÿçàòåëüñòâàõ è ÷åñòè, îòâåòèâ íà ýòîò ïðèçûâ ê îðóæèþ. Íàø îáùèé ïðîòèâíèê -;;x
CALL_ALLY_INTERACTION_LETTER_1;$ENEMYLIST$.\n\nDeclining would cost us §R$PRESTIGE$§! Prestige.;;;;;;;;;;;$ENEMYLIST$.\nÎòêàç ïîíèçèò íàø ïðåñòèæ íà §R$PRESTIGE$§!.;;x
CALL_ALLY_INTERACTION_LETTER_2;If we accept, we will be part of $WARLIST$;;;;;;;;;;;Â ñëó÷àå ñîãëàñèÿ, ìû ââÿæåìñÿ â ñëåäóþùèå âîéíû: $WARLIST$;;x
CALL_ALLY_INTERACTION_LETTER_ALLIANCE_3;\n§RWe WILL BREAK the following Alliances§! as they are on the other side of the war: $ALLIES$.;;;;;;;;;;;\nÈç-çà ó÷àñòèÿ íà äðóãîé ñòîðîíå â âîéíå §Rìû ðàñòîðãíåì ñëåäóþùèå àëüÿíñû§!: $ALLIES$.;;x
CALL_ALLY_INTERACTION_LETTER_ALLY_1;$ENEMYLIST$.\n\nDeclining would cost us §R$PRESTIGE$§! Prestige, §RWILL break our Alliance§! with $ACTOR|Y$ and §RWILL make us an Alliance Breaker§! in the eyes of the world.;;;;;;;;;;;$ENEMYLIST$.\n\nÎòêàç ïîíèçèò íàø ïðåñòèæ íà §R$PRESTIGE$§!, $ACTOR|Y$ §Rðàñòîðãíåò íàø àëüÿíñ§!, è ìû ñòàíåì §Ríàðóøèòåëÿìè ñîþçà§! â ãëàçàõ âñåãî ìèðà.;;x
CALL_ALLY_INTERACTION_LETTER_ALLY_CONFLICT_1;$ENEMYLIST$.\n\nDeclining would cost us §R$PRESTIGE$§! Prestige, and §RWILL break our Alliance§! with $ACTOR|Y$.;;;;;;;;;;;$ENEMYLIST$.\n\nÎòêàç ïîíèçèò íàø ïðåñòèæ íà §R$PRESTIGE$§!, è $ACTOR|Y$ §Rðàñòîðãíåò íàø àëüÿíñ§!;;x
CALL_ALLY_INTERACTION_LETTER_SUZERAIN_1;$ENEMYLIST$.\n\nDeclining would cost us §R$PRESTIGE$§! Prestige, and our Tributary $ACTOR|Y$ §RWILL break free§!.;;;;;;;;;;;$ENEMYLIST$.\n\nÎòêàç ïîíèçèò íàø ïðåñòèæ íà §R$PRESTIGE$§!, è íàø äàííèê $ACTOR|Y$ §Rîñâîáîäèòñÿ§!.;;x
CALL_ALLY_INTERACTION_LETTER_SUZERAIN_3;\n§RWe WILL LOSE the following Tributaries§!, as they are on the other side of the war: $TRIBUTARIES$.;;;;;;;;;;;\nÈç-çà ó÷àñòèÿ íà äðóãîé ñòîðîíå â âîéíå §Rìû ëèøèìñÿ ñëåäóþùèõ äàííèêîâ§!: $TRIBUTARIES$.;;x
CALL_ALLY_INTERACTION_LONG_DESC;Characters can be called into wars only if they are of the same dynasty or have close marital ties.;;;;;;;;;;;Ïðèçâàòü ïåðñîíàæà âñòóïèòü â âîéíó íà Âàøåé ñòîðîíå âîçìîæíî òîëüêî, åñëè îí ÷ëåí Âàøåé äèíàñòèè, ëèáî ïðè íàëè÷èè òåñíûõ áðà÷íûõ ñâÿçåé Âàøèõ ñåìåé.;;x
CALL_ALLY_INTERACTION_OFFER;[Actor.GetBestName] wants us to join §Y$ACTOR_WARS$§!;;;;;;;;;;;[Actor.GetBestName] ïðîñèò, ÷òîáû ìû ïðèñîåäèíèëèñü ê §Y$ACTOR_WARS$§!;;x
CALL_ALLY_INTERACTION_TITLE;Call to Arms;;;;;;;;;;;Ïðèçûâ ê îðóæèþ;;x
CALL_ALLY_REL_DESC;$CHAR$'s $REL_1$ $NAME$'s $REL_2$;;;;;;;;;;;$REL_2$ ïåðñîíàæà $NAME$ > $REL_1$ ïåðñîíàæà $CHAR$;;x
CALL_ALLY_REL_SHORT_DESC;$NAME$'s $REL$;;;;;;;;;;;$REL$ ïåðñîíàæà $NAME$;;x
CALL_IN_FAVOR_INTERACTION_0;By calling in a Favor [Recipient.GetBestName] will vote as you do on the council for $MONTHS$ months.;;;;;;;;;;;[Recipient.GetBestName] áóäåò ãîëîñîâàòü, êàê Âû â ñîâåòå â ñëåäóþùèå $MONTHS|Y$ ìåñÿöåâ, ïîñêîëüêó [Recipient.GetSheHe] â äîëãó ïåðåä Âàìè;;x
CALL_IN_FAVOR_INTERACTION_ACCEPT_LOG;$ACTOR|Y$ has called in a favor on $RECIPIENT|Y$.;;;;;;;;;;;$RECIPIENT|Y$ íàïîìíèë[Recipient.GetEndA] îá §Yîäîëæåíèè§!, è $ACTOR|Y$ âûïîëíèë[Actor.GetEndA] ñâîþ ÷àñòü ñäåëêè.;;x
CALL_IN_FAVOR_INTERACTION_ACCEPT_SETUP;Call in favor;;;;;;;;;;;Óñïåøíîå íàïîìèíàíèå îá îäîëæåíèè;;x
CALL_IN_FAVOR_INTERACTION_DESC;Call in the Favor that [Recipient.GetBestName] owes you.;;;;;;;;;;;Íàïîìíèòü, ÷òî [Recipient.GetBestName] â äîëãó ïåðåä Âàìè.;;x
CALL_IN_FAVOR_INTERACTION_LONG_DESC;Call in the Favor that [Recipient.GetBestName] owes you.;;;;;;;;;;;Íàïîìíèòü, ÷òî [Recipient.GetBestName] â äîëãó ïåðåä Âàìè.;;x
CALL_IN_FAVOR_INTERACTION_TITLE;Call in Council Support;;;;;;;;;;;Ïîïðîñèòü ïîääåðæêó â ñîâåòå;;x
CALL_IN_FAVOR_SUCCESSION_VOTE_0;By calling in a Favor [Recipient.GetBestName] will vote as you do in the succession for $MONTHS$ months.;;;;;;;;;;;[Recipient.GetTitledFirstNameWithNick] ïåðåä Âàìè â äîëãó, ïîýòîìó Âû ïîòðåáóåòå îò íåãî ãîëîñîâàòü çà Âàøåãî êàíäèäàòà â êà÷åñòâå îòâåòíîé óñëóãè â òå÷åíèå $MONTHS$ ìåñÿöåâ.;;x
CALL_IN_FAVOR_SUCCESSION_VOTE_DESC;Call in the Favor that [Recipient.GetBestName] owes you.;;;;;;;;;;;Íàïîìíèòü î òîì, ÷òî [Recipient.GetTitledFirstNameWithNick] ïåðåä Âàìè â äîëãó.;;x
CALL_IN_FAVOR_SUCCESSION_VOTE_LONG_DESC;Call in the Favor that [Recipient.GetBestName] owes you.;;;;;;;;;;;Íàïîìíèòü î òîì, ÷òî [Recipient.GetTitledFirstNameWithNick] ïåðåä Âàìè â äîëãó.;;x
CALL_IN_FAVOR_SUCCESSION_VOTE_TITLE;Call in Succession Support;;;;;;;;;;;Çàðó÷èòüñÿ ïîääåðæêîé íàñëåäíèêà;;x
CHANGE_CRUSADE_TARGET_INTERACTION_DESC;§Y[Actor.GetTitledFirstName]§! requests a change to the destination for the upcoming Crusade, to focus on conquering the lands of §Y[ThirdPartyCharacter.GetTitledFirstName]§!.;;;;;;;;;;;§Y[Actor.GetTitledFirstName]§! òðåáóåò èçìåíèòü öåëü ãðÿäóùåãî êðåñòîâîãî ïîõîäà, ÷òîáû ñîñðåäîòî÷èòüñÿ íà çàâîåâàíè çåìåëü, êîòîðûìè ïðàâèò §Y[ThirdPartyCharacter.GetTitledFirstName]§!.;;x
CHANGE_CRUSADE_TARGET_INTERACTION_LONG_DESC;It is possible to request a change of objective for the upcoming Crusade. This will become progressively more difficult to achieve, the more times a character asks for a change before a Crusade starts.;;;;;;;;;;;Öåëü ãðÿäóùåãî êðåñòîâîãî ïîõîäà ìîæíî èçìåíèòü. ×åì ÷àùå Âû ïðîñèòå îá ýòîì ïåðåä íà÷àëîì ïîõîäà, òåì òðóäíåå ýòî ñäåëàòü.;;x
CHANGE_CRUSADE_TARGET_INTERACTION_TITLE;New Crusade Objective;;;;;;;;;;;Íîâàÿ öåëü êðåñòîâîãî ïîõîäà;;x
CLAIM_TITLE_INTERACTION_0;Select a title to claim. Claiming a title costs Prestige and will lower §Y[Recipient.GetTitledFirstName]§!'s opinion of you.;;;;;;;;;;;Âûáåðèòå òèòóë äëÿ çàÿâëåíèÿ ïðåòåíçèé íà íåãî. Ïðåòåíçèÿ íà òèòóë ñòîèò íåêîòîðîãî êîëè÷åñòâà ïðåñòèæà, è §Y[Recipient.GetTitledFirstName]§W óõóäøèò ñâî¸ ìíåíèå î Âàñ.;;x
CLAIM_TITLE_INTERACTION_1;Claim the §Y[ThirdPartyTitle.GetFullName]§! for §R$PRESTIGE$§! Prestige. This will lower §Y[Recipient.GetTitledFirstName]§!'s opinion of you by §R$OPINION$§!.;;;;;;;;;;;"Çàÿâèòü ïðåòåíçèþ íà òèòóë è çåìëè îáëàñòè ""§Y[ThirdPartyTitle.GetFullName]§W"" çà §R$PRESTIGE$§W ïðåñòèæà. §Y[Recipient.GetTitledFirstName]§W óõóäøèò ñâî¸ ìíåíèå î Âàñ íà §R$OPINION$§W.";;x
CLAIM_TITLE_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! claimed the title §Y[ThirdPartyTitle.GetFullName]§!, held by §Y[Recipient.GetBestName]§!;;;;;;;;;;;"§Y[Actor.GetBestName]§W çàÿâèë[Actor.GetEndA] ïðåòåíçèè íà òèòóë è çåìëè îáëàñòè ""§Y[ThirdPartyTitle.GetFullName]§W"", êîòîðûìè ñåé÷àñ âëàäååò §Y[Recipient.GetBestName]§W";;x
CLAIM_TITLE_INTERACTION_ACCEPT_SETUP;Title Claimed;;;;;;;;;;;Ïðèòÿçàíèÿ íà òèòóë çàÿâëåíû;;x
CLAIM_TITLE_INTERACTION_DESC;Claim title from a character;;;;;;;;;;;Çàÿâèòü ïðåòåíçèè íà òèòóë.;;x
CLAIM_TITLE_INTERACTION_LONG_DESC;Invent a reason for why a certain title should belong to you. It will cost Prestige to make people accept this (though less if you have a de jure claim to it, or if your [Player.Religion.GetPietyName] is high.) The current title holder will not be pleased...;;;;;;;;;;;Ïðèäóìàòü ïðè÷èíó, ïî êîòîðîé òèòóë äîëæåí ïðèíàäëåæàòü Âàì. Âàì ïðèä¸òñÿ ïîòðàòèòü íåìíîãî ïðåñòèæà, ÷òîáû ëþäè ñîãëàñèëèñü ñ Âàøèì ïðèòÿçàíèåì (ïîòðåáóåòñÿ ÷óòü ìåíüøå ïðåñòèæà, åñëè Âû î÷åíü áëàãî÷åñòèâû, èëè ýòîò òèòóë äå-þðå âàññàëüíûé ïî îòíîøåíèþ ê Âàì). Íûíåøíèé îáëàäàòåëü òèòóëà áóäåò íå ðàä.;;x
CLAIM_TITLE_INTERACTION_TITLE;Claim Title;;;;;;;;;;;Ïîòðåáîâàòü òèòóë;;x
DECLARE_WAR_INTERACTION_0;Breaking the Truce (ends on §Y$DATE$§!) would cost you §R$PRESTIGE$§! Prestige. You would be considered a '§YTruce Breaker§!', lowering all §Y[Recipient.Religion.GetGroupName]§! rulers' opinion of you by §R$OPINION$§!.;;;;;;;;;;;"Íàðóøåíèå ïåðåìèðèÿ (îêîí÷àíèå: §Y$DATE$§!) áóäåò ñòîèòü Âàì §R$PRESTIGE$§! ïðåñòèæà è óõóäøèò ìíåíèå ïðàâèòåëåé, ïðèíàäëåæàùèõ ê ðåëèãèè §Y[Recipient.GetReligionGroupFullName]§!, î Âàñ íà §R$OPINION$§!. Âàñ ìîãóò ïðèçíàòü ""§YÍàðóøèòåëåì ïåðåìèðèÿ§!"", ÷òî óõóäøèò ìíåíèå î Âàñ âñåõ ïðàâèòåëåé, èñïîâåäóþùèõ §Y[Recipient.GetReligionGroupFullName]§! íà §R$OPINION$§!.";;x
DECLARE_WAR_INTERACTION_1;You have subjects in §Y[Recipient.GetFirstName]'s§! court. [Recipient.GetSubjectPronounCap] might execute them!;;;;;;;;;;;Íåêîòîðûå Âàøè ïîääàííûå ñåé÷àñ ïðè äâîðå âðàãà. §Y[Recipient.GetFirstName]§! ìîæåò êàçíèòü èõ!;;x
DECLARE_WAR_INTERACTION_2;Attacking an ally would cost us §R$PRESTIGE$§! prestige;;;;;;;;;;;Íàïàäåíèå íà ñîþçíèêà áóäåò ñòîèòü §R$PRESTIGE$§! ïðåñòèæà.;;x
DECLARE_WAR_INTERACTION_3;§R[Recipient.GetTitledFirstName] is currently revolting against [Recipient.GetPossPronoun] liege. If that conflict ends, our war will end too! The forces of the liege and any other revolters will be hostile to our armies.§!;;;;;;;;;;;§R[Recipient.GetTitledFirstName] â íàñòîÿùåå âðåìÿ âåä¸ò âîññòàíèå ïðîòèâ ñâîåãî ïðàâèòåëÿ. Åñëè ýòîò êîíôëèêò çàêîí÷èòñÿ, íàøà âîéíà òàê æå áóäåò îêîí÷åíà! Âîéñêà [Recipient.GetHersHis] ñþçåðåíà è âîññòàâøèõ áóäóò âðàæäåáíû íàì§!;;x
DECLARE_WAR_INTERACTION_4;§RNearby [Recipient.Religion.GetName] rulers might ask to join [Recipient.GetTitledName] in defense of their faith.§!;;;;;;;;;;;§R[Recipient.GetTitledName] ìîæåò ïðèçâàòü áëèæàéøèõ, èñïîâåäóþùèõ [Recipient.GetReligionFullName], ïðàâèòåëåé íà çàùèòó âåðû.§!;;x
DECLARE_WAR_INTERACTION_5;§RWhile attacking a fellow [Recipient.Religion.GetName] [Recipient.Religion.GetGroupName], we will lose §Y$PIETY$§R Piety per month!§!;;;;;;;;;;;§RÀòàêóÿ ñîáðàòüåâ ïî âåðå, ìû áóäåì òåðÿòü §Y$PIETY$ §Ráëàãî÷åñòèÿ â ìåñÿö!§!;;x
DECLARE_WAR_INTERACTION_6;§RIf we become independent now, we will become a lesser republic and the game will end!§!;;;;;;;;;;;§RÅñëè ìû îáðåò¸ì íåçàâèñèìîñòü, òî ñòàíåì ìåíüøåé ðåñïóáëèêîé, è èãðà çàêîí÷èòñÿ!§!;;x
DECLARE_WAR_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! has declared $WAR$ on §Y[Recipient.GetBestName]§!;;;;;;;;;;;§Y[Actor.GetTitledFirstName]§! îáúÿâèë[Actor.GetEndA] âîéíó ($WAR$), ïðîòèâíèê - §Y[Recipient.GetBestName]§W ;;x
DECLARE_WAR_INTERACTION_ACCEPT_SETUP;Declaration of War;;;;;;;;;;;Îáúÿâëåíèå âîéíû;;x
DECLARE_WAR_INTERACTION_DESC;Declare War on a character.;;;;;;;;;;;Îáúÿâèòü âîéíó ïðàâèòåëþ.;;x
DECLARE_WAR_INTERACTION_DISCONTENT_REASON;the declaration of the $WAR$ on [Recipient.GetBestName];;;;;;;;;;;îáúÿâëåíèå âîéíû ($WAR$) ïðîòèâ ïðàâèòåëÿ, èçâåñòíîãî êàê [Recipient.GetBestName];;x
DECLARE_WAR_INTERACTION_LONG_DESC;War is where men prove their mettle! Just make sure you are ready...;;;;;;;;;;;Âîéíà - ýòî ìåñòî, ãäå ìóæ÷èíû äîêàçûâàþò ñâîþ õðàáðîñòü! Òîëüêî íå çàáóäüòå õîðîøåíüêî ê íåé ïîäãîòîâèòüñÿ...;;x
DECLARE_WAR_INTERACTION_REL_HEAD_DEFENSE;§RNearby [Recipient.Religion.GetName] rulers are likely to ask to join [Recipient.GetTitledName] in defense of their religious head.§!;;;;;;;;;;;§RÁëèæàéøèå ïðàâèòåëè, èñïîâåäóþùèå [Recipient.GetReligionFullName], ñêîðåå âñåãî ïðèñîåäèíÿòñÿ ê í[Recipient.GetHerHim] äëÿ çàùèòû ãëàâû ðåëèãèè.§!;;x
DECLARE_WAR_INTERACTION_SHORT_DESC;Declare war on §Y[Recipient.GetBestName]§!;;;;;;;;;;;Îáúÿâèòü âîéíó ïðàâèòåëþ ïî èìåíè §Y[Recipient.GetBestName]§!;;x
DECLARE_WAR_INTERACTION_TITLE;Declare War;;;;;;;;;;;Îáúÿâèòü âîéíó;;x
DECLARE_WAR_INTERACTION_VOTE;§Y[Actor.GetTitledName]§! declared war on §Y[Recipient.GetTitledName]§!;;;;;;;;;;;§Y[Actor.GetTitledName]§! îáúÿâëÿåò âîéíó (ïðîòèâíèê - §Y[Recipient.GetTitledName]§!));;x
DEMAND_RELIGIOUS_CONVERSION_INTERACTION_0;§Y[Recipient.GetFirstName] will be released from prison if [Recipient.GetSubjectPronoun] accepts.§!;;;;;;;;;;;§Y[Recipient.GetFirstName] âûéäåò èç òåìíèöû, åñëè ïðèìåò ïðåäëîæåíèå.§!;;x
DEMAND_RELIGIOUS_CONVERSION_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetBestName]§! agreed to the demand from §Y[Actor.GetBestName]§! and converted to [Actor.Religion.GetName];;;;;;;;;;;§Y[Recipient.GetBestName]§W ñîãëàñè[Recipient.GetLasLsya] ñ òðåáîâàíèåì, êîòîðîå âûäâèíóë[Actor.GetEndA] [Recipient.GetHerHim] §Y[Actor.GetBestName]§W, è ïðèíÿë[Recipient.GetEndA] [Actor.GetReligionFullName];;x
DEMAND_RELIGIOUS_CONVERSION_INTERACTION_ACCEPT_SETUP;Conversion Accepted;;;;;;;;;;;Ïðåäëîæåíèå ñìåíèòü âåðó ïðèíÿòî;;x
DEMAND_RELIGIOUS_CONVERSION_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§! declined the demand from §Y[Actor.GetBestName]§! to convert to [Actor.Religion.GetName];;;;;;;;;;;§Y[Recipient.GetBestName]§W îòâåòèë[Recipient.GetEndA] îòêàçîì íà òðåáîâàíèå, êîòîðîå âûäâèíóë[Actor.GetEndA] §Y[Actor.GetBestName]§W, è íå ïðèíÿë[Recipient.GetEndA] [Actor.GetReligionFullName];;x
DEMAND_RELIGIOUS_CONVERSION_INTERACTION_DECLINE_SETUP;Conversion Refused;;;;;;;;;;;Ïðåäëîæåíèå ñìåíèòü âåðó îòâåðãíóòî;;x
DEMAND_RELIGIOUS_CONVERSION_INTERACTION_DESC;Demand that [Recipient.GetBestName] embrace the [Actor.Religion.GetName] faith.;;;;;;;;;;;[Recipient.GetBestName] ïîëó÷èò òðåáîâàíèå ïðèíÿòü [Actor.GetReligionFullName];;x
