EVTTITLE23212;The Legend of [Root.GetFirstNameWithNick];;;;;;;;;;;Ëåãåíäà î [Root.GetFirstNameWithNick];;x
EVTDESCAHF23451;Unfortunately, the gods did not have the patience to wait for [From.GetTitledFirstName]'s Blood Games, and decided to instead reap [From.GetHerHis] very soul last night. Without [From.GetHerHis] patronage, it would appear that the entire tournament has been canceled.;;;;;;;;;;;Ê ñîæàëåíèþ, ó áîãîâ íå õâàòèëî òåðïåíèÿ äîæäàòüñÿ Êðîâàâûõ Èãð [From.GetTitledFirstName], è âìåñòî ýòîãî ïðîøëîé íî÷üþ îíè ðåøèëè çàáðàòü [From.GetHerHis] äóøó. Áåç [From.GetHerHis] ïîêðîâèòåëüñòâà âåñü òóðíèð, ïîõîæå áóäåò îòìåí¸í.;;x
EVTDESCAHF23452;Scores of criminals, slaves and desperate souls have gathered in the arena of [Root.Capital.GetName], hoping to earn the blessing of the gods by becoming the champion of the tournament. I take my place of honor, alongside the rest of the [Root.Religion.GetName] nobility and wait as the priests finish consecrating the ground before the beginning of the games.;;;;;;;;;;;Äåñÿòêè ïðåñòóïíèêîâ, ðàáîâ è îò÷àÿâøèõñÿ äóø ñîáðàëèñü íà àðåíå [Root.Capital.GetName], íàäåÿñü çàñëóæèòü áëàãîñëîâåíèå áîãîâ, ñòàâ ÷åìïèîíîì òóðíèðà. ß çàíèìàþ ñâî¸ ïî÷¸òíîå ìåñòî ðÿäîì ñ îñòàëüíîé çíàòüþ, èñïîâåäóþùåé [Root.Religion.GetName] è æäó, ïîêà æðåöû çàêîí÷àò îñâÿùàòü çåìëþ ïåðåä íà÷àëîì èãð.;;x
EVTDESCAHF23453;Scores of criminals, slaves and desperate souls have gathered in the arena of [From.Capital.GetName], hoping to earn the blessing of the gods by becoming the champion of the tournament. I take my place of honor, alongside the rest of the [Root.Religion.GetName] nobility and wait as the priests finish consecrating the ground before the beginning of the games.;;;;;;;;;;;Äåñÿòêè ïðåñòóïíèêîâ, ðàáîâ è îò÷àÿâøèõñÿ äóø ñîáðàëèñü íà àðåíå [From.Capital.GetName], íàäåÿñü çàñëóæèòü áëàãîñëîâåíèå áîãîâ, ñòàâ ÷åìïèîíîì òóðíèðà. ß çàíèìàþ ñâî¸ ïî÷¸òíîå ìåñòî âìåñòå ñ îñòàëüíîé çíàòüþ, èñïîâåäóþùåé [Root.Religion.GetName] è æäó, ïîêà æðåöû çàêîí÷àò îñâÿùåíèå çåìëè ïåðåä íà÷àëîì èãð.;;x
EVTDESCAHF23454;The crowd roars in approval as another warrior falls to the ground, defeated. The weakest contenders have been quickly disposed of, leaving space for the more experienced fighters, and blessing the ground of the arena with their blood. Soon, their remains will be burned to honor the gods.;;;;;;;;;;;Òîëïà îäîáðèòåëüíî ðåâ¸ò, êîãäà åù¸ îäèí âîèí ïàäàåò íà çåìëþ, ïîòåðïåâ ïîðàæåíèå. Îò ñàìûõ ñëàáûõ ñîïåðíèêîâ áûñòðî èçáàâèëèñü, îñòàâèâ ìåñòî äëÿ áîëåå îïûòíûõ áîéöîâ è îñâÿòèâøèõ çåìëþ àðåíû ñâîåé êðîâüþ. Âñêîðå èõ îñòàíêè áóäóò ñîææåíû âî ñëàâó áîãîâ.;;x
EVTDESCAHF23455;It was a gruesome trial to say the least, but, as I look up from the mangled remains of my last opponent and bask in the cheering of the crowd, my heart is filled with relief. I have emerged victorious from the Blood Games, proving my worth to the murderous gods of [From.Capital.GetName] and earning eternal glory.;;;;;;;;;;;Ýòî áûëî óæàñíîå èñïûòàíèå, åñëè íå ñêàçàòü áîëüøå, íî, êîãäà ÿ ïîäíèìàþ ãëàçà îò èçóâå÷åííûõ îñòàíêîâ ìîåãî ïîñëåäíåãî ïðîòèâíèêà è íàñëàæäàþñü ðàäîñòíûìè âîçãëàñàìè òîëïû, ìî¸ ñåðäöå íàïîëíÿåòñÿ îáëåã÷åíèåì. ß âûõîæó ïîáåäèòåë[Root.GetSoftNitseyEm] èç Êðîâàâûõ èãð, äîêàçàâ ñâîþ öåííîñòü äëÿ êðîâîæàäíûõ áîãîâ [From.Capital.GetName] è çàñëóæèâ âå÷íóþ ñëàâó.;;x
EVTDESCAHF23456;As my opponent pushes me on the ground and stomps on my wrist, a flash of pain courses through my body, making me lose my weapon. The crowd cheers and my opponent leaves. Then, the priests come, dragging me away from the arena and towards the bloodied altar.;;;;;;;;;;;Êîãäà ïðîòèâíèê øâûðÿåò ìåíÿ íà çåìëþ è íàñòóïàåò ìíå íà çàïÿñòüå, âñïûøêà áîëè ïðîíçàåò ìî¸ òåëî, çàñòàâëÿÿ ìåíÿ ïîòåðÿòü îðóæèå. Òîëïà ëèêóåò, è ìîé ïðîòèâíèê óõîäèò. Çàòåì ïîÿâëÿþòñÿ æðåöû è òàùàò ìåíÿ ñ àðåíû ê îêðîâàâëåííîìó àëòàðþ.;;x
EVTDESCAHF23457;As the dust settles and the crowd cheers dissipate, the priests escort [FromFrom.GetTitledFirstName] up to the arena's main balcony in order to congratulate [FromFrom.GetHerHim] for [FromFrom.GetHerHis] victory. Even though [FromFrom.GetSheHe] was not my offering, through [FromFrom.GetHerHis] actions, many souls have been delivered to the gods today, placating their ire.;;;;;;;;;;;Êîãäà ïûëü îñåäàåò è àïëîäèñìåíòû òîëïû ñòèõàþò, æðåöû ñîïðîâîäèëè [FromFrom.GetTitledFirstName] íà ãëàâíûé áàëêîí àðåíû, ÷òîáû ïîçäðàâèòü [FromFrom.GetHerHis] ñ ïîáåäîé. Íåñìîòðÿ íà òî, ÷òî [FromFrom.GetSheHe] íå áûë[FromFrom.GetEndA] ìîèì ïîäíîøåíèåì, áëàãîäàðÿ [FromFrom.GetHerHis] äåéñòâèÿì ñåãîäíÿ ìíîãèå äóøè áûëè ïðèíåñåíû â äàð áîãàì, óìèðîòâîðèâ èõ ãíåâ.;;x
EVTDESCAHF23458;Now that I have abandoned the murderous cult of the [From.GetName] followers, I can finally see how horrible the idea of a blood tournament really is, and I have therefore decided to cancel the event immediately.;;;;;;;;;;;Òåïåðü, êîãäà ÿ ïîêèíóë[Root.GetEndA] êðîâîæàäíûé êóëüò ïîñëåäîâàòåëåé [From.GetName], ÿ íàêîíåö-òî âèæó, íàñêîëüêî óæàñíà ñàìà èäåÿ êðîâàâîãî òóðíèðà, è ïîýòîìó ÿ ðåøèë[Root.GetEndA] íåìåäëåííî îòìåíèòü ýòî ìåðîïðèÿòèå.;;x
EVTDESCAHF23459;With [From.GetHerHis] recent conversion, [From.GetTitledFirstName] has decided that the Blood Games are a barbarous and terrible practice and has therefore decided to cancel the tournament [From.GetSheHe] had been organizing.;;;;;;;;;;;Ïîñëå ñâîåãî íåäàâíåãî îáðàùåíèÿ [From.GetTitledFirstName] ðåøèë[From.GetEndA], ÷òî Êðîâàâûå Èãðû - ýòî âàðâàðñêàÿ è óæàñíàÿ ïðàêòèêà, è ïîýòîìó ïðèêàçûâàåò îòìåíèòü òóðíèð, êîòîðûé [From.GetSheHe] îðãàíèçîâûâàë[From.GetEndA].;;x
EVTDESCAHF23460;As the dust settles and the crowd cheers dissipate, the priests escort [From.GetTitledFirstName] up to the arena's main balcony in order to congratulate [From.GetHerHim] for [From.GetHerHis] victory. Through [From.GetHerHis] actions, many souls have been delivered to the gods today, and by [From.GetHerHis] victory, [From.GetSheHe] has undoubtedly blessed the name of my dynasty.;;;;;;;;;;;Êîãäà ïûëü îñåäàåò, à àïëîäèñìåíòû ñòèõëè, æðåöû ñîïðîâîæäàþò [From.GetTitledFirstName] íà ãëàâíûé áàëêîí àðåíû, ÷òîáû ïîçäðàâèòü [From.GetHerHis] ñ ïîáåäîé. Áëàãîäàðÿ [From.GetHerHis] äåéñòâèÿì ñåãîäíÿ ìíîãèå äóøè áûëè ïðèíåñåíû â äàð áîãàì, è ñâîåé ïîáåäîé [From.GetSheHe], íåñîìíåííî, áëàãîñëîâèë[From.GetEndA] èìÿ ìîåé äèíàñòèè.;;x
EVTDESCAHF23462;Victory cannot be achieved without the protection of the gods. If we wish to prevail against our enemies, we must be willing to make the required sacrifices. Once the gods have been appeased, they will unleash their terrible power against our foes.;;;;;;;;;;;Ïîáåäà íå ìîæåò áûòü äîñòèãíóòà áåç çàùèòû ñî ñòîðîíû áîãîâ. Åñëè ìû õîòèì ïîáåäèòü íàøèõ âðàãîâ, òî äîëæíû áûòü ãîòîâû ïîéòè íà íåîáõîäèìûå æåðòâû. Êàê òîëüêî áîãè áóäóò óìèðîòâîðåíû, îíè îáðóøàò ñâîþ óæàñíóþ ñèëó íà íàøèõ âðàãîâ.;;x
EVTDESCAHF23463;[From.GetTitledFirstName] has performed a great sacrifice, slaughtering hundreds of our own people to garner the favor of the gods during this war. With such a large offering, we are sure to prevail against our foes.;;;;;;;;;;;[From.GetTitledFirstName] ïðèíåñ[From.GetNoneE] âåëèêóþ æåðòâó, èñòðåáèâ ñîòíè íàøèõ ëþäåé, ÷òîáû ñíèñêàòü áëàãîñêëîííîñòü áîãîâ âî âðåìÿ ýòîé âîéíû. Ñ òàêèì áîëüøèì ïîäíîøåíèåì ìû îáÿçàòåëüíî ïîáåäèì ñâîèõ âðàãîâ.;;x
EVTDESCAHF23464;[From.GetTitledFirstName] has performed a great sacrifice, slaughtering hundreds of our own people to garner the favor of the gods during this war. [From.GetHerHisCap] fanatic obsession with human sacrifice will doom us all.;;;;;;;;;;;[From.GetTitledFirstName] ñîâåðøèë[From.GetEndA] âåëèêóþ æåðòâó, èñòðåáèâ ñîòíè íàøèõ ëþäåé, ÷òîáû ñíèñêàòü áëàãîñêëîííîñòü áîãîâ âî âðåìÿ ýòîé âîéíû. [From.GetHerHisCap] ôàíàòè÷íàÿ îäåðæèìîñòü ÷åëîâå÷åñêèìè æåðòâîïðèíîøåíèÿìè îáðå÷¸ò âñåõ íàñ íà ãèáåëü.;;x
EVTDESCAHF23465;[From.GetTitledFirstName] has performed a great sacrifice, slaughtering hundreds of our own people to garner the favor of the gods during this war. [From.GetSheHeCap] hopes that the gods will now grant [From.GetHerHis] armies the strength necessary to defeat my warriors.;;;;;;;;;;;[From.GetTitledFirstName] ñîâåðøèë[From.GetEndA] âåëèêóþ æåðòâó, èñòðåáèâ ñîòíè ñâîèõ ëþäåé, ÷òîáû ñíèñêàòü áëàãîñêëîííîñòü áîãîâ âî âðåìÿ ýòîé âîéíû. [From.GetSheHeCap] íàäååòñÿ, ÷òî òåïåðü áîãè äàðóþò [From.GetHerHis] àðìèÿì ñèëó, íåîáõîäèìóþ äëÿ ïîáåäû íàä ìîèìè âîèíàìè.;;x
EVTDESCAHF23466;With my champion dead, I have been left without a fighter to represent my dynasty's faith to the gods in the upcoming blood games. Still, there is a little time left, if I wish to find somebody else to rise up to the challenge.;;;;;;;;;;;Ïîñëå ñìåðòè ìîåãî ÷åìïèîíà ÿ îñòà[Root.GetLasLsya] áåç áîéöà, êîòîðûé áû ïðåäñòàâëÿë âåðó ìîåé äèíàñòèè ïåðåä áîãàìè â ïðåäñòîÿùèõ êðîâàâûõ èãðàõ. Òåì íå ìåíåå, ó ìåíÿ åù¸ åñòü íåìíîãî âðåìåíè, åñëè ÿ õî÷ó íàéòè êîãî-òî äðóãîãî, êòî ñìîæåò ïðèíÿòü âûçîâ.;;x
EVTDESCAHF23470;By carving this imposing Irminsul Tree, the fires of the [Root.Religion.GetName] faith have been stoked, bringing a bit of life to the spirits of our old and fierce gods. The first offerings are already being presented at the feet of the new sacred monument of [From.GetName].;;;;;;;;;;;Âûðåçàâ èç ýòîãî âíóøèòåëüíîãî äåðåâà Èðìèíñóëü, ìû ðàçîæãëè îãîíü âåðû [Root.Religion.GetName], âäîõíóâ íåìíîãî æèçíè â äóõîâ íàøèõ ñòàðûõ è ñâèðåïûõ áîãîâ. Ïåðâûå ïîäíîøåíèÿ óæå ïðèíîñÿòñÿ ê ïîäíîæèþ íîâîãî ñâÿùåííîãî ïàìÿòíèêà [From.GetName].;;x
EVTDESCAHF23471;[From.GetTitledFirstName] has ordered the construction of a great monument to worship the old gods and garner their favor. This magnificent shrine has been erected in [From.Capital.GetName], where many shamans, fortunetellers and petitioners have already started to gather, hoping to receive a divine vision.;;;;;;;;;;;[From.GetTitledFirstName] ïðèêàçàë[From.GetEndA] ïîñòðîèòü âåëèêèé ìîíóìåíò, ÷òîáû ïîêëîíÿòüñÿ ñòàðûì áîãàì è ñíèñêàòü èõ áëàãîñêëîííîñòü. Ýòî âåëè÷åñòâåííîå ñâÿòèëèùå áûëî âîçâåäåíî â [From.Capital.GetName], ãäå óæå íà÷àëè ñîáèðàòüñÿ ìíîãî÷èñëåííûå øàìàíû, ãàäàòåëè è ïðîñèòåëè. Â íàäåæäå ïîëó÷èòü áîæåñòâåííîå âèäåíèå.;;x
EVTDESCAHF23473;As my soldiers overrun the province, I receive a report regarding a curious shrine built at the center of [From.GetName]. Apparently, the local tribes have erected it to garner the favor of their gods, and consider it to be a most sacred symbol.;;;;;;;;;;;Êîãäà ìîè ñîëäàòû çàõâàòûâàþò ïðîâèíöèþ, ÿ ïîëó÷àþ ñîîáùåíèå î ëþáîïûòíîì ñâÿòèëèùå, ïîñòðîåííîì â öåíòðå [From.GetName]. Ñóäÿ ïî âñåìó, ìåñòíûå ïëåìåíà âîçäâèãëè åãî, ÷òîáû ñíèñêàòü áëàãîñêëîííîñòü ñâîèõ áîãîâ, è ñ÷èòàþò åãî ñàìûì ñâÿùåííûì ñèìâîëîì.;;x
EVTDESCAHF23474;[From.GetTitledFirstName] has laid waste of the Great Pillar of [From.GetName]. [From.GetHerHisCap] soldiers have torn down this sacred monument to the old gods. Having proved unable to protect their holy shrine, we have proven ourselves unworthy of the favor of the gods, who have surely turned their backs on us after this ignominious event.;;;;;;;;;;;[From.GetTitledFirstName] ðàçðóøèë[From.GetEndA] Âåëèêèé Ñòîëï [From.GetName]. Ñîëäàòû [From.GetHerHisCap] ñíåñëè ýòîò ñâÿùåííûé ïàìÿòíèê äðåâíèì áîãàì. Áóäó÷è íå â ñîñòîÿíèè çàùèòèòü ñâîþ ñâÿòûíþ, ìû îêàçàëèñü íåäîñòîéíûìè áëàãîñêëîííîñòè áîãîâ, êîòîðûå íàâåðíÿêà îòâåðíóëèñü îò íàñ ïîñëå ýòîãî ïîçîðíîãî ñîáûòèÿ.;;x
EVTDESCAHF23476;For too long I have allowed this old, blasphemous relic to pollute my lands and cast its grotesque shadow upon the good people of [From.GetName]. The wailing of the few stubborn old believers fill the air as my soldiers tear down the pillar and scatter its remains to the open fields, never to be found ever again.;;;;;;;;;;;ß ñëèøêîì äîëãî ïîçâîëÿþ ýòîìó ñòàðîìó áîãîõóëüíîìó èçâàÿíèþ çàãðÿçíÿòü ìîè çåìëè è áðîñàòü ñâîþ ãðîòåñêíóþ òåíü íà äîáðûõ ëþäåé [From.GetName]. Âîïëè íåìíîãèõ óïðÿìûõ ïîñëåäîâàòåëåé ñòàðîé âåðû íàïîëíÿþò âîçäóõ, êîãäà ìîè ñîëäàòû ñíîñÿò ñòîëá è ðàçáðàñûâàþò åãî îñòàíêè ïî îòêðûòûì ïîëÿì, ÷òîáû èõ áîëüøå íèêîãäà íåëüçÿ áûëî íàéòè.;;x
EVTDESCAHF23477;It was only a matter of time before the [From.Religion.GetName] followers torn down the old idol of [FromFrom.GetName]. [From.GetTitledFirstName]'s guards have come today, in the early afternoon, announcing that the great pillar was a blasphemous remnant of a dead cult and needed to be removed forever.;;;;;;;;;;;Ýòî áûë ëèøü âîïðîñ âðåìåíè, êîãäà ïîñëåäîâàòåëè [From.Religion.GetName] ñíåñóò ñòàðîãî èäîëà [FromFrom.GetName]. Âîèíû [From.GetTitledFirstName] ïðèøëè ñåãîäíÿ, ðàíî óòðîì, è îáúÿâèëè, ÷òî âåëèêèé ñòîëá ÿâëÿåòñÿ êîùóíñòâåííûì îñòàòêîì ì¸ðòâîãî êóëüòà è äîëæåí áûòü óáðàí íàâñåãäà.;;x
EVTDESCAHF23751;I am concerned about the health of poor [From.GetFirstName]. This realm requires a strong and healthy heir in order to prosper, yet my my child was not born under the best stars. It is my duty as a responsible [Root.Religion.GetName] [Root.GetTitle] to take all possible precautions in order to ensure a smooth succession.;;;;;;;;;;;Ìåíÿ áåñïîêîèò çäîðîâüå áåäí[From.GetOyOgo] [From.GetFirstName]. Ýòèì âëàäåíèÿì äëÿ ïðîöâåòàíèÿ íóæåí ñèëüíûé è çäîðîâûé íàñëåäíèê, íî ìî¸ äèòÿ ðîäèëîñü íå ïîä ñàìûìè ëó÷øèìè çâ¸çäàìè. ß êàê îòâåòñòâåíí[Root.GetAyaYy] [Root.Religion.GetName] [Root.GetTitle] îáÿçàí[Root.GetEndA] ïðèíÿòü âñå âîçìîæíûå ìåðû ïðåäîñòîðîæíîñòè, ÷òîáû îáåñïå÷èòü áåñïðîáëåìíóþ ïðååìñòâåííîñòü.;;x
EVTDESCAHF23752;Despite [FromFrom.GetHerHis] sickly birth, the horoscope guarantees an almost certain recovery for little [FromFrom.GetFirstName]. And not only that! The child has clearly been born under very auspicious stars and is likely to become a great leader!;;;;;;;;;;;Íåñìîòðÿ íà [FromFrom.GetHerHis] áîëåçíåííîå ðîæäåíèå, ãîðîñêîï, ïî÷òè íàâåðíÿêà, ãàðàíòèðóåò âûçäîðîâëåíèå ìàëåíüê[FromFrom.GetOyOgo] [FromFrom.GetFirstName]. È ýòî åù¸ íå âñ¸! Ðåá¸íîê ÿâíî ðîäèëñÿ ïîä î÷åíü áëàãîïðèÿòíûìè çâ¸çäàìè è, âåðîÿòíî, ñòàíåò âåëèêèì ëèäåðîì!;;x
EVTDESCAHF23753;Inspecting the child's horoscope has revealed that, despite [FromFrom.GetHerHis] sickly birth, [FromFrom.GetFirstName] will likely grow into a healthy and strong [FromFrom.GetManWoman], fully capable of ruling over my realm after I have moved to the next world.;;;;;;;;;;;Èçó÷åíèå ãîðîñêîïà ðåá¸íêà ïîêàçàëî, ÷òî, íåñìîòðÿ íà [FromFrom.GetHerHis] áîëåçíåííîå ðîæäåíèå, [FromFrom.GetFirstName], ñêîðåå âñåãî, âûðàñòåò çäîðîâ[FromFrom.GetOyYm] è ñèëüí[FromFrom.GetOyYm] [FromFrom.GetManWoman]îé, ÷òî áóäåò ïîëíîñòüþ ñïîñîá[FromFrom.GetNaEn] ïðàâèòü ìîèìè âëàäåíèÿìè ïîñëå òîãî, êàê ÿ îòîéäó â ìèð èíîé.;;x
EVTDESCAHF23754;Unfortunately, a closer inspection of [FromFrom.GetFirstName]'s horoscope has revealed that my concern was fully warranted. [FromFrom.GetFirstName] was born under ominous signs. [FromFrom.GetSheHeCap] will be plagued by bad luck and waning health for [FromFrom.GetHerHis] entire life, dooming [FromFrom.GetHerHis] reign to be a short one.;;;;;;;;;;;Ê ñîæàëåíèþ, áîëåå âíèìàòåëüíîå èçó÷åíèå ãîðîñêîïà [FromFrom.GetFirstName] ïîêàçàëî, ÷òî ìîè îïàñåíèÿ áûëè ïîëíîñòüþ îïðàâäàíû. [FromFrom.GetFirstName] ðîäè[FromFrom.GetLasLsya] ïîä çëîâåùèì çíàêîì. [FromFrom.GetSheHeCap] âñþ ñâîþ æèçíü áóäåò ñòðàäàòü îò íåóäà÷ è óõóäøåíèÿ çäîðîâüÿ, îáðåêàÿ [FromFrom.GetHerHis] íà êîðîòêîå ïðàâëåíèå.;;x
EVTDESCAHF23755;Unfortunately, a closer inspection of [FromFrom.GetFirstName]'s horoscope has revealed that my concern was fully warranted. [FromFrom.GetFirstName] was born under ominous signs. [FromFrom.GetSheHeCap] will be plagued by bad luck and waning health for [FromFrom.GetHerHis] entire life, dooming [FromFrom.GetHerHis] reign to be a short one, bereft with famine and strife.;;;;;;;;;;;Ê ñîæàëåíèþ, áîëåå âíèìàòåëüíîå èçó÷åíèå ãîðîñêîïà [FromFrom.GetFirstName] ïîêàçàëî, ÷òî ìîè îïàñåíèÿ áûëè ïîëíîñòüþ îïðàâäàíû. [FromFrom.GetFirstName] ðîäè[FromFrom.GetLasLsya] ïîä çëîâåùèì çíàêîì. [FromFrom.GetSheHeCap] âñþ [FromFrom.GetHerHis] æèçíü áóäóò ïðåñëåäîâàòü íåóäà÷è è óõóäøåíèå çäîðîâüÿ, îáðåêàÿ [FromFrom.GetHerHis] íà êîðîòêîå ïðàâëåíèå, ïîëíîå ãîëîäà è ðàçäîðîâ.;;x
EVTDESCAHF23760;Being a good [Root.Religion.GetName] [Root.GetTitle] is no easy task. The people of [Root.PrimaryTitle.GetName] expect me to be a just and competent ruler. By neglecting my duties, I would only betray the loyalty of my subjects, and jeopardize the longterm stability of this great realm of ours.;;;;;;;;;;;Áûòü õîðîø[Root.GetEyIm] [Root.Religion.GetName] [Root.GetTitle] - íåïðîñòàÿ çàäà÷à. Æèòåëè [Root.PrimaryTitle.GetName] îæèäàþò, ÷òî ÿ áóäó ñïðàâåäëèâ[Root.GetOyYm] è êîìïåòåíòí[Root.GetOyYm] ïðàâèòåë[Root.GetSoftNitseyEm]. Ïðåíåáðåãàÿ ñâîèìè îáÿçàííîñòÿìè, ÿ òîëüêî ïðåäàë[Root.GetEndA] áû ëîÿëüíîñòü ñâîèõ ïîääàííûõ è ïîñòàâèë[Root.GetEndA] áû ïîä óãðîçó äîëãîâðåìåííóþ ñòàáèëüíîñòü íàøåãî âåëèêîãî ãîñóäàðñòâà.;;x
EVTDESCAHF23761;Thanks to my relentless efforts, I have achieved a greater understanding of politics than I ever thought possible. With these newfound diplomatic skills I will ensure peace and prosperity throughout [Root.PrimaryTitle.GetName] for years to come!;;;;;;;;;;;Áëàãîäàðÿ ìîèì íåóñòàííûì óñèëèÿì ÿ äîñòèã[Root.GetNoneE] áîëüøåãî ïîíèìàíèÿ ïîëèòèêè, ÷åì êîãäà-ëèáî ñ÷èòàë[Root.GetEndA] âîçìîæíûì. Ñ ýòèìè âíîâü îáðåò¸ííûìè äèïëîìàòè÷åñêèìè íàâûêàìè ÿ îáåñïå÷ó ìèð è ïðîöâåòàíèå âî âñåõ çåìëÿõ [Root.PrimaryTitle.GetName] íà äîëãèå ãîäû!;;x
EVTDESCAHF23762;Dynastic names, family ties, political agreements, proper court manners... I hastily excuse myself from my council, my mind feverishly tormented by all the new information I am trying to assimilate. I really wished to learn more about ruling a realm, but all these rules and social cues are simply too intricate, too contradicting, too many!;;;;;;;;;;;Äèíàñòè÷åñêèå èìåíà, ñåìåéíûå óçû, ïîëèòè÷åñêèå ñîãëàøåíèÿ, íàäëåæàùèå ïðèäâîðíûå ìàíåðû... ß ïîñïåøíî ïîêèäàþ ñâîé ñîâåò, ìîé ðàçóì ëèõîðàäî÷íî òåðçàþò âñ¸ íîâûå ñâåäåíèÿ, êîòîðûå ÿ ïûòàþñü óñâîèòü. ß äåéñòâèòåëüíî õîòåë[Root.GetEndA] áû óçíàòü áîëüøå î òîì, êàê óïðàâëÿòü ãîñóäàðñòâîì, íî âñå ýòè ïðàâèëà è ñîöèàëüíûå ñèãíàëû ïðîñòî ñëèøêîì çàïóòàíû, ñëèøêîì ïðîòèâîðå÷èâû, ñëèøêîì ìíîãî÷èñëåííû!;;x
EVTDESCAHF23763;Ever since I started helping [From.GetHerHim], [From.GetFirstName] has not quite been the same. Drawn by a newly-awakened desire for knowledge, [From.GetSheHe] has increasingly neglected [From.GetHerHis] appearance. The more vacuous elements of the court have started maligning [From.GetHerHim] for [From.GetHerHis] stench and slobby demeanor, yet [From.GetSheHe] has found a steadfast supporter in me.;;;;;;;;;;;Ñ òåõ ïîð, êàê ÿ íà÷àë[Root.GetEndA] ïîìîãàòü [From.GetHerHim], [From.GetFirstName] èçìåíè[From.GetLasLsya]. Âäîõíîâëåíí[From.GetAyaYy] íåäàâíî ïðîñíóâøèìñÿ ñòðåìëåíèåì ê çíàíèÿì, [From.GetSheHe] âñ¸ áîëüøå ïðåíåáðåãàåò [From.GetHerHis] âíåøíîñòüþ. Áîëåå áåñòîëêîâûå ÷ëåíû äâîðà íà÷àëè êëåâåòàòü íà í[From.GetHerHim] çà [From.GetHerHis] çëîâîíèå è íåðÿøëèâîå ïîâåäåíèå, îäíàêî [From.GetSheHe] íàõîäèò âî ìíå íåïîêîëåáèìóþ ïîääåðæêó.;;x
EVTDESCAHF23764;Ever since I had to abandon some of my more frivolous habits in order to focus on my responsibilities as [Root.GetTitle], I have noticed that several courtiers have begun to avoid me. Most turn their nose up at my unwashed hair and worn-out clothes, yet I have found a kindred spirit in [scoped_kindred.GetTitledFirstName]. [scoped_kindred.GetSheHeCap] truly understands me.;;;;;;;;;;;Ñ òåõ ïîð, êàê ìíå ïðèøëîñü îòêàçàòüñÿ îò íåêîòîðûõ ëåãêîìûñëåííûõ ïðèâû÷åê, ÷òîáû ñîñðåäîòî÷èòüñÿ íà ñâîèõ îáÿçàííîñòÿõ [Root.GetTitle], ÿ çàìåòèë[Root.GetEndA], ÷òî ÷àñòü ïðèäâîðíûõ òåïåðü èçáåãàþò ìåíÿ. Áîëüøèíñòâî âîðîòèò íîñ îò ìîèõ íåìûòûõ âîëîñ è ïîíîøåííîé îäåæäû, íî ìíå óäàëîñü íàéòè ðîäñòâåííóþ äóøó â [scoped_kindred.GetTitledFirstName]. [scoped_kindred.GetSheHeCap] äåéñòâèòåëüíî ïîíèìàåò ìåíÿ.;;x
EVTDESCAHF23765;I glimpse at [From.GetFirstName] from my place at the table, looking as my [GetFromRelation] hoards as much food as [From.GetSheHe] can on [From.GetHerHis] plate before hastily excuses [From.GetHerselfHimself] to return to [From.GetHerHis] study. A more frivolous person than I might judge [From.GetHerHim] for [From.GetHerHis] recent changes, but I understand all too well the burdens of duty.;;;;;;;;;;;ß ñìîòðþ íà [From.GetFirstName] ñî ñâîåãî ìåñòà çà ñòîëîì, íàáëþäàÿ, êàê ì[From.GetOyaOy] [From.GetRootRelation] íàáèðàåò ñòîëüêî åäû, ñêîëüêî [From.GetSheHe] ìîæåò íàëîæèòü â ñâîþ òàðåëêó, ïðåæäå ÷åì [From.GetSheHe] ïîñïåøíî èçâèíÿåòñÿ, ÷òîáû âåðíóòüñÿ ê [From.GetHerHis] ó÷¸áå. Áîëåå ëåãêîìûñëåííûé ÷åëîâåê, ÷åì ÿ, ìîã áû îñóäèòü [From.GetHerHis] íåäàâíèå èçìåíåíèÿ, íî ÿ ñëèøêîì õîðîøî ïîíèìàþ áðåìÿ äîëãà.;;x
EVTDESCAHF23766;Noting my sour expression as the weaver tightens the string around my gut in order to measure my size for a new clothes I have ordered, [scoped_kindred.GetFirstName] hastily assures me that it is perfectly understandable, and laudable even, for a [Root.GetTitle] to focus on [Root.GetHerHis] duties to the realm, even when it comes at the expense of private concerns.;;;;;;;;;;;Çàìåòèâ ìî¸ êèñëîå âûðàæåíèå ëèöà, êîãäà òêà÷èõà íàòÿãèâàåò âåð¸âêó âîêðóã ìîåãî æèâîòà, ÷òîáû èçìåðèòü ìîé ðàçìåð äëÿ íîâîé îäåæäû, êîòîðóþ ÿ çàêàçàë[Root.GetEndA], [scoped_kindred.GetFirstName] ïîñïåøèë[scoped_kindred.GetEndA] çàâåðèòü ìåíÿ, ÷òî äëÿ [Root.GetTitle] ñîâåðøåííî ïîíÿòíî è äàæå ïîõâàëüíî ñîñðåäîòî÷èòüñÿ íà [Root.GetHerHis] îáÿçàííîñòÿõ ïåðåä ãîñóäàðñòâîì, äàæå åñëè ýòî ïðîèñõîäèò çà ñ÷¸ò ëè÷íûõ èíòåðåñîâ.;;x
