EVTDESC_SoA_5000;I shall go on a pilgrimage to seek God's grace at one of the holy places of Christianity.;;;;;;;;;;;ß îòïðàâëÿþñü â ïàëîìíè÷åñòâî èñêàòü Áîæüþ áëàãîäàòü â îäíîì èç ñâÿòûõ ìåñò õðèñòèàíñòâà.;;x
EVTDESC_SoA_5063;This holy place is bustling with pilgrims from all over the world, and a myriad of accents and languages mingle in the parks and plazas. In this great cultural melting pot, should there not also be room for me to express who I really am?;;;;;;;;;;;Ýòî ñâÿòîå ìåñòî êèøèò ïàëîìíèêàìè ñî âñåãî ìèðà, ìíîæåñòâî ÿçûêîâ è êóëüòóð ñìåøèâàþòñÿ â ïàðêàõ è íà ïëîùàäÿõ. Ðàçâå íå íàéä¸òñÿ â ýòîì ïëàâèëüíîì êîòëå ìåñòî äëÿ ìåíÿ, ÷òîáû âûðàçèòü, êòî ÿ íà ñàìîì äåëå?;;x
EVTDESC_SoA_5064;Near the holy sites, you hear rumors of a group of monks with strange cures for diseases. Eagerly, you seek them out, hoping against hope that they may aid you. Once in their care you are fed strange potions, foods and herbs. You are unconscious or delirious during most of the process and remember few details, but at last you wake up to find that you have been miraculously healed of your ills.;;;;;;;;;;;Íåäàëåêî îò ñâÿòûõ ìåñò, Âû ñëûøàëè î ãðóïïå ìîíàõîâ è èõ ñòðàííîì ñïîñîáå ëå÷åíèÿ áîëåçíåé. Ñ íåòåðïåíèåì, Âû èñêàëè èõ, íàäåÿñü, ÷òî îíè ñìîãóò ïîìî÷ü Âàì. È âîò îäíàæäû, êîãäà Âàì óäàëîñü èõ íàêîíåö ðàçûñêàòü, îíè ñòàëè ïðèìåíÿòü ñòðàííûå çåëüÿ è òðàâû. Âû æå áîëüøóþ ÷àñòü ïðîöåññà áûëè áåç ñîçíàíèÿ èëè â áðåäó è çàïîìíèëè ëèøü íåêîòîðûå äåòàëè, íî â êîíöå êîíöîâ, ïðîñíóâøèñü, îáíàðóæèëè, ÷òî ÷óäåñíûì îáðàçîì èñöåëèëèñü.;;x
EVTDESC_SoA_5065;All these magnificent temples built in your honor! Oh the glory! And all these pilgrims - finally you may revel in their adulation. Perhaps you should reveal yourself to the masses who have come to worship you?;;;;;;;;;;;Âñå ýòè âåëèêîëåïíûå õðàìû âîçäâèãëè â ìîþ ÷åñòü! Î ñëàâà! È âñå ýòè ïàëîìíèêè - íàêîíåö-òî, ÿ ìîãó íàñëàæäàòüñÿ èõ ïîêëîíåíèåì. Âîçìîæíî, ñëåäóåò ðàñêðûòü ñåáÿ ìàññàì, êîòîðûå ïðèøëè êî ìíå?;;x
EVTDESC_SoA_5066;You have come to visit the holy sites and show your devotion. But surely, there is no harm in having a little fun first?;;;;;;;;;;;Âû ïðèøëè, ÷òîáû ïîñåòèòü ñâÿòûå ìåñòà è ïîêàçàòü ñâîþ íàáîæíîñòü. Íî âåäü íåò íèêàêîãî âðåäà â òîì, ÷òîáû ñíà÷àëà íåìíîãî ðàçâëå÷üñÿ?;;x
EVTDESC_SoA_5067;Jerusalem, what a fascinating place! A holy place for three great religions, and the city and surrounding area are full of monuments giving tribute to God. Somehow when you look closer, they don't seem all that different. It rather makes you think, doesn't it?;;;;;;;;;;;Èåðóñàëèì, êàêîå î÷àðîâàòåëüíîå ìåñòî! Ýòîò ãîðîä ñâÿùåíåí äëÿ òðåõ âåëèêèõ ðåëèãèé, îí ïîëîí ïàìÿòíèêîâ, ïðîñëàâëÿþùèõ Áîãà. Ïðèñìîòðåâøèñü ïîáëèæå, Âû ïîíèìàåòå, ÷òî âñå îíè ìàëî ÷åì îòëè÷àþòñÿ äðóã îò äðóãà, è ñêîðåå òàê ïðîñòî çàñòàâëÿþò äóìàòü.;;x
EVTDESC_SoA_5080;Blasphemous fools! Do they not know their Lord? How dare they throw you out of your own temple?;;;;;;;;;;;Áîãîõóëüíèêè! Ãëóïöû! Íåóæåëè îíè íå óçíàþò ñâîåãî Ãîñïîäà? Êàê ñìåþò îíè âûøâûðèâàòü ìåíÿ èç ñîáñòâåííîãî õðàìà?;;x
EVTDESC_SoA_5087;You have made friends with [target_friend.GetTitledName].;;;;;;;;;;;Âû è [From.GetTitledName] ñòàëè äðóçüÿìè.;;x
EVTDESC_SoA_5091;You have finally returned from your pilgrimage. It was a rewarding and interesting journey, and you'd do it all again if you could. Still, it's good to be back home.;;;;;;;;;;;Íàêîíåö, Âû âåðíóëèñü èç ïàëîìíè÷åñòâà. Ýòî áûëî ïîëåçíîå è óâëåêàòåëüíîå ïóòåøåñòâèå, è Âû ìîãëè áû ñîâåðøèòü åãî ñíîâà, åñëè áû ìîãëè. Íî âñ¸ ðàâíî ïðèÿòíî âåðíóòüñÿ äîìîé.;;x
EVTDESC_SoA_5092;You have finally returned from your pilgrimage. It didn't turn out quite as expected, and perhaps you shouldn't have gone there in the first place. But there's no changing it now, at least you're home again and can start forgetting about it.;;;;;;;;;;;Íàêîíåö, Âû âåðíóëèñü èç ïàëîìíè÷åñòâà. Âñ¸ íå òàê, êàê îæèäàëîñü, è, âîçìîæíî, Âàì íå ñëåäîâàëî âîîáùå ñîâåðøàòü ýòî ïóòåøåñòâèå, íî ñåé÷àñ ýòîãî óæå íå èçìåíèòü. Ïî êðàéíåé ìåðå, Âû ñíîâà äîìà è ìîæåòå çàáûòü îá ýòîì.;;x
EVTDESC_SoA_5093;You have finally returned from your pilgrimage. Though the insolent rats did not recognize you or pay you proper homage, it was still an enlightening experience. Now there is plenty of time to prepare the day of reckoning.;;;;;;;;;;;Íàêîíåö, Âû âåðíóëèñü èç ïàëîìíè÷åñòâà. Õîòÿ íàãëûå êðûñû íå óçíàëè Âàñ è íå îêàçàëè äîëæíîãî óâàæåíèÿ, ýòî âñ¸ æå áûë ïîó÷èòåëüíûé îïûò. È òåïåðü ó Âàñ ïîëíî âðåìåíè, ÷òîáû ïîäãîòîâèòüñÿ ê ÷àñó ðàñïëàòû.;;x
EVTDESC_SoA_5094;My things are packed, everything is in order. Soon I will stand at the Bosphorus and see the marvels of Constantinople.;;;;;;;;;;;Âåùè ñîáðàíû, âñ¸ ãîòîâî ê ïóòåøåñòâèþ. Ìåíÿ æäóò Áîñôîð è ÷óäåñà Êîíñòàíòèíîïîëÿ.;;x
EVTDESC_SoA_5095;My things are packed, everything is in order. Soon I will see old Aksum, the holiest place in Christian Africa.;;;;;;;;;;;Âåùè ñîáðàíû, âñ¸ ãîòîâî ê ïóòåøåñòâèþ. Ñêîðî ÿ óâèæó Àêñóì, ñàìîå ñâÿòîå ìåñòî õðèñòèàíñêîé Àôðèêè.;;x
EVTDESC_SoA_5096;My things are packed, everything is in order. Ancient Antioch awaits.;;;;;;;;;;;Âåùè ñîáðàíû, âñ¸ ãîòîâî ê ïóòåøåñòâèþ. Äðåâíÿÿ Àíòèîõèÿ æä¸ò ìåíÿ.;;x
EVTDESC_SoA_5097;You have finally arrived at Constantinople! The city is enormous, dwarfing all other cities that you've seen. There is a bustle of people, commerce, sounds and smells that overpower your senses and leave you quite dizzy. As you make your way through the streets in order to find a place to stay, you are impressed by scale and number of the ancient churches and monuments that appear everywhere along your path.\n\nYou press on through the crowds, eager to finally look upon such fabled churches as the Hagia Sofia and the Saint George.;;;;;;;;;;;Íàêîíåö-òî Âû â Êîíñòàíòèíîïîëå! Ýòîò îãðîìíûé ãîðîä çàòìåâàåò âñå ïðî÷èå, êîòîðûå Âû êîãäà-ëèáî âèäåëè. Ìíîæåñòâî ëþäåé, òîðãîâëÿ, çâóêè è çàïàõè çàïîëíÿþò Âàøè ÷óâñòâà, âûçûâàÿ ãîëîâîêðóæåíèå. Ïðîäâèãàÿñü ïî óëèöàì, ÷òîáû íàéòè ìåñòî äëÿ íî÷ëåãà, Âû âïå÷àòëåíû ìàñøòàáîì äðåâíèõ õðàìîâ è ïàìÿòíèêîâ, êîòîðûå âñòðå÷àþòñÿ âäîëü âñåãî ïóòè.\nÂû ïðîòèñêèâàåòåñü ñêâîçü òîëïó, æåëàÿ, íàêîíåö, âçãëÿíóòü íà ëåãåíäàðíûå ñîáîðû Ñâÿòîé Ñîôèè è Ñâÿòîãî Ãåîðãèÿ.;;x
EVTDESC_SoA_5098;You have finally arrived at Aksum! This is one of the oldest centers of the Christian faith, and it is here that the Ark of the Covenant is kept, guarded by monks inside the Church of Our Lady Mary of Zion. Though no longer the great city it once was, Aksum is still an important center of pilgrimage, and you can see many travellers in the streets.;;;;;;;;;;;Âû íàêîíåö-òî ïðèáûëè â Àêñóì! Îäèí èç äðåâíåéøèõ öåíòðîâ õðèñòèàíñêîé âåðû, èìåííî çäåñü õðàíèòñÿ Êîâ÷åã Çàâåòà, îõðàíÿåìûé ìîíàõàìè öåðêâè Ìàðèè Ñèîíñêîé. Ýòî óæå íå òîò âåëèêèé ãîðîä, êàêèì îí áûë ðàíüøå, íî ïî-ïðåæíåìó âàæíûé öåíòð ïàëîìíè÷åñòâà, è Âû âèäèòå, êàê ìíîãî ïóòåøåñòâåííèêîâ ñîáèðàåòñÿ íà óëèöàõ.;;x
EVTDESC_SoA_5099;You have finally arrived at Antioch! This is the oldest city of Christianity, the first place where people actually began to call themselves 'Christian'. Saint Peter and Saint Paul both worked here, as did Saint Ignatius. It is a place where early Christendom was formed and defined, and it later expanded from here, westwards, to Rome and beyond.\n\nAs your feet tread the ancient streets of Antioch, you can feel the history and tradition in the air around you.;;;;;;;;;;;"Íàêîíåö-òî Àíòèîõèÿ! Äðåâíåéøèé ãîðîä õðèñòèàíñòâà, ïåðâûé, â êîòîðîì ëþäè íà÷àëè íàçûâàòü ñåáÿ ""õðèñòèàíàìè"". Ñâÿòûå Ï¸òð è Ïàâåë ðàáîòàëè çäåñü, êàê è ñâÿòîé Èãíàòèé. Ýòî òî ìåñòî, ãäå ðàííåå õðèñòèàíñòâî ñôîðìèðîâàëîñü, îïðåäåëèëîñü è ïîçæå ðàñïðîñòðàíèëîñü íà çàïàä, â Ðèì è çà åãî ïðåäåëû.\nÏðîõîäÿ ïî äðåâíèì óëèöàì Àíòèîõèè, Âû ÷óâñòâóåòå, êàê èñòîðèÿ è òðàäèöèè âèòàþò â âîçäóõå.";;x
EVTNAME_SoA_5028;Deep in the night...;;;;;;;;;;;Ãëóáîêîé íî÷üþ...;;x
EVTNAME_SoA_5033;The flood;;;;;;;;;;;Båëèêèé Ïîòîï;;x
EVTNAME_SoA_5045;Riders approach...;;;;;;;;;;;Bñàäíèêè ïðèáëèæàþòñÿ...;;x
EVTNAME_SoA_5050;Canterbury;;;;;;;;;;;Kåíòåðáåðè;;x
EVTNAME_SoA_5051;Jerusalem;;;;;;;;;;;Èåðóñàëèì;;x
EVTNAME_SoA_5052;Köln;;;;;;;;;;;K¸ëüí;;x
EVTNAME_SoA_5053;Rome;;;;;;;;;;;Pèì;;x
EVTNAME_SoA_5054;Santiago;;;;;;;;;;;Càíòüÿãî;;x
EVTNAME_SoA_5064;The healers;;;;;;;;;;;Ëåêàðè;;x
EVTNAME_SoA_5097;Constantinople;;;;;;;;;;;Kîíñòàíòèíîïîëü;;x
EVTNAME_SoA_5098;Aksum;;;;;;;;;;;Aêñóì;;x
EVTNAME_SoA_5099;Antioch;;;;;;;;;;;Aíòèîõèÿ;;x
EVTOPTA_SoA_5000;I will start making travel plans.;;;;;;;;;;;Ñîñòàâëþ ïëàí ïóòåøåñòâèÿ.;;x
EVTOPTA_SoA_5011;I will go to Jerusalem and see the wonders of the Holy Land.;;;;;;;;;;;Îòïðàâëþñü â Èåðóñàëèì ïîñìîòðåòü íà ÷óäåñà Ñâÿòîé Çåìëè.;;x
EVTOPTA_SoA_5016;I will start making travel plans.;;;;;;;;;;;Ïîðà îáäóìàòü ïëàíû ïóòåøåñòâèÿ.;;x
EVTOPTA_SoA_5017;I will start making travel plans.;;;;;;;;;;;Ïîðà ñîñòàâèòü ïëàí ïóòåøåñòâèÿ.;;x
EVTOPTA_SoA_5018;I shall visit a holy site in the West.;;;;;;;;;;;ß ïîñåùó ñâÿòîå ìåñòî íà Çàïàäå.;;x
EVTOPTA_SoA_5019;I will visit the tomb of Thomas Becket in Canterbury.;;;;;;;;;;;ß ïîñåùó ìîãèëó Òîìàñà Áåêåòà â Êåíòåðáåðè.;;x
EVTOPTA_SoA_5020;I will travel to the Holy Land.;;;;;;;;;;;ß îòïðàâëþñü â Ñâÿòûå Çåìëè.;;x
EVTOPTA_SoA_5021;My journey begins!;;;;;;;;;;;Ïóòåøåñòâèå íà÷àëîñü!;;x
EVTOPTA_SoA_5022;My journey begins!;;;;;;;;;;;Ïóòåøåñòâèå íà÷àëîñü!;;x
EVTOPTA_SoA_5023;My journey begins!;;;;;;;;;;;Ïóòåøåñòâèå íà÷àëîñü!;;x
EVTOPTA_SoA_5024;My journey begins!;;;;;;;;;;;Ïóòåøåñòâèå íà÷àëîñü!;;x
EVTOPTA_SoA_5025;My journey begins!;;;;;;;;;;;Ïóòåøåñòâèå íà÷àëîñü!;;x
EVTOPTA_SoA_5026;Blessed is [Root.GetSheHe] who perseveres under trial. ;;;;;;;;;;;Áëàæåí òîò, êòî ïåðåíîñèò âñå èñïûòàíèÿ.;;x
EVTOPTA_SoA_5027;If only I hadn't listened to those useless peasants that gave me directions.;;;;;;;;;;;Íå íàäî áûëî ñëóøàòü òåõ êðåñòüÿí.;;x
EVTOPTA_SoA_5028;Help put it out!;;;;;;;;;;;Ñêîðåå, íóæíî âñ¸ ïîòóøèòü!;;x
EVTOPTA_SoA_5029;Pay up.;;;;;;;;;;;Çàïëàòèòå èì.;;x
EVTOPTA_SoA_5030;No time to stop, I'm sure it'll hold.;;;;;;;;;;;Íåò âðåìåíè îñòàíàâëèâàòüñÿ, îí âûäåðæèò.;;x
EVTOPTA_SoA_5031;The mind wanders where it will.;;;;;;;;;;;Ðàçóì áëóæäàåò, ãäå ïîæåëàåò.;;x
EVTOPTA_SoA_5032;Bind up his wounds, help him to an inn and pay for his recovery.;;;;;;;;;;;Ïåðåâÿæèòå åãî ðàíû è äîñòàâüòå â òðàêòèð, ÿ âñ¸ îïëà÷ó.;;x
EVTOPTA_SoA_5033;I'm not sharing my raft with anyone, man or beast.;;;;;;;;;;;ß íå ñòàíó äåëèòü ñâîé ïëîò ñ êåì áû òî íè áûëî.;;x
EVTOPTA_SoA_5034;Share it around, it's more filling than it looks.;;;;;;;;;;;Ðàçäåëèòå ýòî ìåæäó âñåìè, çäåñü áîëüøå ÷åì êàæåòñÿ.;;x
EVTOPTA_SoA_5035;This is fascinating. I must take the opportunity to learn.;;;;;;;;;;;Ýòî òàê èíòåðåñíî! Ïðåêðàñíàÿ âîçìîæíîñòü íàó÷èòüñÿ íîâîìó.;;x
EVTOPTA_SoA_5036;Yes, tell me more about this.;;;;;;;;;;;Äà, ðàññêàæèòå îá ýòîì ïîäðîáíåå.;;x
EVTOPTA_SoA_5037;My faith will see me through.;;;;;;;;;;;Âåðà ïîääåðæèò ìåíÿ.;;x
EVTOPTA_SoA_5038;Of course I will help you.;;;;;;;;;;;Êîíå÷íî, ÿ ïîìîãó Âàì.;;x
EVTOPTA_SoA_5039;The Lord is showing me the way.;;;;;;;;;;;Ãîñïîäü óêàçûâàåò ìíå ïóòü.;;x
EVTOPTA_SoA_5045;Praised be [Root.Religion.GetRandomGodName]! A most welcome escort!;;;;;;;;;;;Ñëàâà Áîãó! Ìû Âàì òàê ðàäû!;;x
EVTOPTA_SoA_5046;Discuss theology with the knights.;;;;;;;;;;;Ïîãîâîðèòü ñ íèìè î áîãîñëîâèè;;x
EVTOPTA_SoA_5047;How unexpected, to make a new friend this far from home.;;;;;;;;;;;Êàê íåîæèäàííî, íàéòè äðóãà òàê äàëåêî îò äîìà.;;x
EVTOPTA_SoA_5050;A green and pleasant land!;;;;;;;;;;;Ïðåêðàñíàÿ öâåòóùàÿ çåìëÿ!;;x
EVTOPTA_SoA_5051;O Jerusalem, Jerusalem!;;;;;;;;;;;Î, Èåðóñàëèì!;;x
EVTOPTA_SoA_5052;I will pray at the Shrine of the Three Kings!;;;;;;;;;;;ß ïîìîëþñü â õðàìå Òð¸õ Êîðîëåé!;;x
EVTOPTA_SoA_5053;A thousand roads lead men forever to Rome!;;;;;;;;;;;Âñå äîðîãè âåäóò â Ðèì!;;x
EVTOPTA_SoA_5054;I must remember to bring a seashell home with me!;;;;;;;;;;;Íàäî ïðèâåçòè äîìîé îäíó èç ðàêóøåê!;;x
EVTOPTA_SoA_5056;The way to Heaven is through study.;;;;;;;;;;;Ïóòü ê Íåáåñàì ëåæèò ÷åðåç èññëåäîâàíèå.;;x
EVTOPTA_SoA_5057;Praise [Root.Religion.GetRandomGodName]!;;;;;;;;;;;Ñëàâà Ãîñïîäó!;;x
EVTOPTA_SoA_5058;That's it?;;;;;;;;;;;È ýòî âñ¸?;;x
EVTOPTA_SoA_5059;I will be most pleased to share my knowledge.;;;;;;;;;;;Ñ ðàäîñòüþ ïîäåëþñü ñâîèìè çíàíèÿìè.;;x
EVTOPTA_SoA_5060;Take the opportunity to observe different languages and customs.;;;;;;;;;;;Õîðîøàÿ âîçìîæíîñòü èçó÷èòü ÷óæèå ÿçûêè è îáû÷àè.;;x
EVTOPTA_SoA_5061;It was well worth the journey!;;;;;;;;;;;Ïóòåøåñòâèå òîãî ñòîèëî!;;x
EVTOPTA_SoA_5062;What's the harm?;;;;;;;;;;;×òî â ýòîì ïëîõîãî?;;x
EVTOPTA_SoA_5063;The folks at home will never know.;;;;;;;;;;;Äîìà âñ¸ ðàâíî íèêòî íå óçíàåò.;;x
EVTOPTA_SoA_5064;God's hand touched me and healed me.;;;;;;;;;;;Áîã êîñíóëñÿ ìåíÿ è èñöåëèë.;;x
EVTOPTA_SoA_5065;Speak to them!;;;;;;;;;;;Âûñòóïèòü ñ ðå÷üþ;;x
EVTOPTA_SoA_5066;To the tavern!;;;;;;;;;;;Â òàâåðíó!;;x
EVTOPTA_SoA_5067;Muhammad was a great thinker.;;;;;;;;;;;Ìàãîìåò áûë âåëèêèì ìûñëèòåëåì.;;x
EVTOPTA_SoA_5080;I shall have my vengeance.;;;;;;;;;;;ß îòîìùó.;;x
EVTOPTA_SoA_5087;Great!;;;;;;;;;;;Ïðåêðàñíî!;;x
EVTOPTA_SoA_5091;A great experience!;;;;;;;;;;;Ýòî ïðåêðàñíûé îïûò!;;x
EVTOPTA_SoA_5092;I won't tell my family what really happened out there.;;;;;;;;;;;ß íå ñòàíó ãîâîðèòü ñåìüå, ÷òî íà ñàìîì äåëå òàì ïðîèçîøëî.;;x
EVTOPTA_SoA_5093;They will pay for worshipping false idols.;;;;;;;;;;;Îíè çàïëàòÿò çà ïî÷èòàíèå ëîæíûõ èäîëîâ!;;x
EVTOPTA_SoA_5094;My journey begins!;;;;;;;;;;;Ïóòåøåñòâèå íà÷àëîñü!;;x
EVTOPTA_SoA_5095;My journey begins!;;;;;;;;;;;Ïóòåøåñòâèå íà÷àëîñü!;;x
EVTOPTA_SoA_5096;My journey begins!;;;;;;;;;;;Ïóòåøåñòâèå íà÷àëîñü!;;x
EVTOPTA_SoA_5097;Ah, the City of Constantine!;;;;;;;;;;;Àõ, Êîíñòàíòèíîïîëü!;;x
EVTOPTA_SoA_5098;It is beautiful, ancient Aksum!;;;;;;;;;;;Ïðåêðàñíûé äðåâíèé Àêñóì!;;x
EVTOPTA_SoA_5099;A great and ancient city!;;;;;;;;;;;Âåëèêèé äðåâíèé ãîðîä!;;x
EVTOPTB_SoA_5011;I will go to Constantinople and see its great cathedrals.;;;;;;;;;;;Êîíñòàíòèíîïîëü - ýòî âåëèêèå ñîáîðû.;;x
EVTOPTB_SoA_5018;I will go to one of the ancient sites, Jerusalem or Rome.;;;;;;;;;;;ß îòïðàâëþñü â Èåðóñàëèì èëè Ðèì.;;x
EVTOPTB_SoA_5019;I will visit Köln to see the relics of the Three Kings.;;;;;;;;;;;ß ïîñìîòðþ íà ìîùè Òð¸õ Êîðîëåé â Ê¸ëüíå.;;x
EVTOPTB_SoA_5020;I will go to Rome and see the tombs of the apostles.;;;;;;;;;;;ß ïîéäó â Ðèì ïîñìîòðåòü ãðîáíèöû àïîñòîëîâ.;;x
EVTOPTB_SoA_5026;This is absurd - I should have stayed home!;;;;;;;;;;;Àáñóðä - íóæíî áûëî îñòàâàòüñÿ äîìà!;;x
EVTOPTB_SoA_5027;If only I'd listened more to those peasants that gave me directions.;;;;;;;;;;;Íàäî áûëî âíèìàòåëüíåå ñëóøàòü òåõ êðåñòüÿí.;;x
EVTOPTB_SoA_5028;Save yourself and let others handle it.;;;;;;;;;;;Ñïàñàéòåñü, áûñòðåå!.;;x
EVTOPTB_SoA_5029;Give these scoundrels the only thing they deserve – steel!;;;;;;;;;;;Ýòè ïîäîíêè ïîëó÷àò ëèøü òî, ÷òî çàñëóæèâàþò - ñòàëü!;;x
EVTOPTB_SoA_5030;Stop and help repair it.;;;;;;;;;;;Ñòîéòå! Ïîìîãèòå ïî÷èíèòü åãî.;;x
EVTOPTB_SoA_5031;It's all right there on the map. Time to get some sleep!;;;;;;;;;;;Âñ¸ çäåñü - íà êàðòå. À òåïåðü ïîðà ñïàòü!;;x
EVTOPTB_SoA_5032;Leave him, he's probably dead anyway.;;;;;;;;;;;Îñòàâüòå åãî, îí íàâåðíÿêà óæå ì¸ðòâ.;;x
EVTOPTB_SoA_5033;Bring the farmers with all their animals.;;;;;;;;;;;Õîðîøî, ïîïëûâóò ñ íàìè.;;x
EVTOPTB_SoA_5034;Sorry, there's not enough for everyone.;;;;;;;;;;;Ê ñîæàëåíèþ íà âñåõ òóò íå õâàòèò.;;x
EVTOPTB_SoA_5035;This does not concern me. I will spend my time in prayer.;;;;;;;;;;;Ýòî ìåíÿ íå êàñàåòñÿ. Ëó÷øå ïîìîëþñü.;;x
EVTOPTB_SoA_5036;Nobles build castles. This is for peasants.;;;;;;;;;;;Ýòî äëÿ êðåñòüÿí, à çíàòü ñòðîèò çàìêè.;;x
EVTOPTB_SoA_5037;Maybe this was a bad idea. I'll stay and rest for a while.;;;;;;;;;;;Âîçìîæíî, ýòî áûëà ïëîõàÿ èäåÿ. ß îñòàíîâëþñü è îòäîõíó.;;x
EVTOPTB_SoA_5038;Of course I will help you (secretly add some money of your own).;;;;;;;;;;;Êîíå÷íî, ÿ ïîìîãó Âàì (òàéíî äîáàâèòü â íåãî ñâîè äåíüãè).;;x
EVTOPTB_SoA_5039;It's a bright star, so what?;;;;;;;;;;;ßðêàÿ çâåçäà, íó è ÷òî?;;x
EVTOPTB_SoA_5045;Never trust armed men who appear out of nowhere.;;;;;;;;;;;Íå äîâåðÿþ ÿ âîîðóæ¸ííûì ëþäÿì, ïîÿâèâøèìñÿ èç íèîòêóäà.;;x
EVTOPTB_SoA_5046;Trade stories of war.;;;;;;;;;;;Îáìåíÿòüñÿ èñòîðèÿìè î âîéíå;;x
EVTOPTB_SoA_5047;I have no need for friends.;;;;;;;;;;;Ìíå íå íóæíû äðóçüÿ.;;x
EVTOPTB_SoA_5056;No, I shall spend my time praying.;;;;;;;;;;;ß ïðåäïî÷òó ïðîâåñòè âðåìÿ â ìîëèòâàõ.;;x
EVTOPTB_SoA_5060;Take the opportunity to meet new people.;;;;;;;;;;;Ìîæíî âñòðåòèòü íîâûõ ëþäåé.;;x
EVTOPTB_SoA_5062;That's not what I'm here for.;;;;;;;;;;;ß çäåñü íå äëÿ ýòîãî.;;x
EVTOPTB_SoA_5063;No, it's a sin!;;;;;;;;;;;Íåò, ýòî ãðåõ!;;x
EVTOPTB_SoA_5064;These monks really know their stuff.;;;;;;;;;;;Ýòè ìîíàõè õîðîøî çíàþò ñâî¸ äåëî.;;x
EVTOPTB_SoA_5065;No, I shall enjoy this glorious time in silence.;;;;;;;;;;;Íåò, ÿ áóäó íàñëàæäàòüñÿ ýòèì ìîìåíòîì â òèøèíå.;;x
EVTOPTB_SoA_5066;No... must control... myself...;;;;;;;;;;;Íåò... Íàäî ñäåðæèâàòü... ñåáÿ...;;x
EVTOPTB_SoA_5067;Jesus was a Jew, wasn't he?;;;;;;;;;;;Èèñóñ âåäü áûë åâðååì, íå òàê ëè?;;x
EVTOPTC_SoA_5011;I will go to Antioch, like the apostles.;;;;;;;;;;;Â Àíòèîõèþ, ïî ñëåäàì àïîñòîëîâ.;;x
EVTOPTC_SOA_5018;I will seek out a saintly burial site.;;;;;;;;;;;ß îòïðàâëþñü ïîñìîòðåòü ìåñòî ïîãðåáåíèÿ ñâÿòîãî.;;x
EVTOPTC_SoA_5019;I will visit the tomb of Saint James in Santiago.;;;;;;;;;;;ß ïîñåùó ìîãèëó ñâÿòîãî Èàêîâà â Ñàíòüÿãî.;;x
EVTOPTC_SoA_5030;These people deserve a stone bridge. I shall pay for it.;;;;;;;;;;;Ýòè ëþäè çàñëóæèâàþò êàìåííûé ìîñò. ß îïëà÷ó åãî.;;x
EVTOPTC_SoA_5033;Only let them bring the cats and dogs.;;;;;;;;;;;Ïóñòü âîçüìóò òîëüêî êîøåê è ñîáàê.;;x
EVTOPTC_SoA_5038;Of course I will help you (lie and keep the money for yourself).;;;;;;;;;;;Êîíå÷íî, ÿ ïîìîãó Âàì (ñîëãàòü è îñòàâèòü äåíüãè ñåáå).;;x
EVTOPTC_SoA_5064;I must learn more of this secret magic.;;;;;;;;;;;Íàäî ïîáîëüøå óçíàòü îá ýòîé òàéíîé ìàãèè.;;x
EVTOPTD_SoA_5011;I will travel to Aksum, where the Ark of the Covenant lies.;;;;;;;;;;;Â Àêñóì - èñêàòü Êîâ÷åã Çàâåòà.;;x
EVTOPTD_SoA_5038;This is not my business, old crone.;;;;;;;;;;;Ýòî íå ìî¸ äåëî, ñòàðàÿ êàðãà.;;x
