EVTTITLEHF25800;The Children's Crusade;;;;;;;;;;;Kðåñòîâûé ïîõîä äåòåé;;x
EVTDESCAHF25828;Against all odds, the children of Christ have succeeded in their unlikely quest to reconquer Jerusalem! \nHosts of archangels with shining armor and flaming swords have been reported to have descended upon the walls of the holy city during the final battle, smiting the infidels, turning the defenders' weapons into rust and melting their eyes out.\n[From.GetFirstName] now rules over the Kingdom of Heaven, and few doubt that it was through divine intervention that [From.GetSheHe] was put there.;;;;;;;;;;;Âîïðåêè âñåìó, äåòè [GetChristNameGEN] ïðåóñïåëè â ñâî¸ì ìàëîâåðîÿòíîì ñòðåìëåíèè îòâîåâàòü Èåðóñàëèì! Ñîãëàñíî ñîîáùåíèÿì, âî âðåìÿ ïîñëåäíåé áèòâû íà ñòåíû ñâÿòîãî ãîðîäà ñïóñòèëèñü àðõàíãåëû â ñâåðêàþùèõ äîñïåõàõ ñ ïûëàþùèìè ìå÷àìè, ïîðàçèëè íåâåðíûõ, ïðåâðàòèëè èõ îðóæèå â ðæàâ÷èíó è âûæãëè èì ãëàçà.\n[From.GetFirstName] òåïåðü ïðàâèò çåìëÿìè ó ïîäíîæèÿ Öàðñòâà Íåáåñíîãî, è ìàëî êòî ñîìíåâàåòñÿ, ÷òî [From.GetSheHe] áûë[From.GetEndA] ïîñòàâëåí[From.GetEndA] òóäà áëàãîäàðÿ áîæåñòâåííîìó âìåøàòåëüñòâó.;;x
EVTDESCBHF25802;I feared that my [GetFromRelation]'s desire to free the Holy Land would lead [From.GetHerHim] to an unfortunate end.\n[From.GetFirstName] is gone. All the children and peasants who had flocked to [From.GetHerHis] banner have scattered to the four winds. They lament the loss of their beloved leader, still unable to grasp why would God allow [From.GetHerHim] to be killed before accomplishing [From.GetHerHis] divine task.\nYet, I can at least take the solace in the fact that, as unfortunate as [From.GetFirstName]'s death was, it has undoubtedly saved the lives of countless people, who would have otherwise followed the child into the maws of certain doom at the hands of the infidels.;;;;;;;;;;;ß áîÿ[From.GetLasLsya], ÷òî æåëàíèå [From.GetRootRelation] îñâîáîäèòü Ñâÿòóþ Çåìëþ ïðèâåä¸ò [From.GetHerHis] ê ïå÷àëüíîìó êîíöó.\n[From.GetFirstName] áîëüøå íåò. Âñå äåòè è êðåñòüÿíå, ñòåêàâøèåñÿ ïîä [From.GetHerHis] çíàìÿ, ðàçáåæàëèñü íà ÷åòûðå ñòîðîíû. Îíè îïëàêèâàþò ïîòåðþ ñâîåãî ëþáèìîãî ëèäåðà, âñ¸ åù¸ íå â ñèëàõ ïîíÿòü, ïî÷åìó Áîã äîïóñòèë, ÷òîáû [From.GetFirstName] áûë[From.GetEndA] óáèò[From.GetEndA], íå óñïåâ âûïîëíèòü ñâîþ áîæåñòâåííóþ çàäà÷ó.\nÒåì íå ìåíåå, ÿ ìîãó ïî êðàéíåé ìåðå íàéòè óòåøåíèå â òîì, ÷òî, êàêîé áû ïðèñêîðáíîé íè áûëà ñìåðòü [From.GetFirstName], îíà, íåñîìíåííî, ñïàñëà æèçíè áåñ÷èñëåííîìó êîëè÷åñòâó ëþäåé, êîòîðûå, â ïðîòèâíîì ñëó÷àå, ïîñëåäîâàëè áû çà ðåá¸íêîì íà âåðíóþ ãèáåëü îò ðóê íåâåðíûõ.;;x
EVTDESCBHF25806;[From.GetFirstName], a child from [Root.Capital.GetName] has caused quite the commotion today, when [From.GetSheHe] demanded an audience with me, claiming that the Holy Ghost appeared to [From.GetHerHim] in dream last night, ordering [From.GetHerHim] to take up arms, gather all the true followers of Christ and lead a Crusade to free the Holy Land.\n\n[From.GetSheHeCap] concluded [From.GetHerHis] sermon by commanding me to provide [From.GetHerHim] with money, weapons and men to help [From.GetHerHim] fight against the infidels in the name of Our Lord.;;;;;;;;;;;[From.GetFirstName], ðåá¸íîê èç [Root.Capital.GetName] âûçâàë[From.GetEndA] ñåãîäíÿ íàñòîÿùèé ïåðåïîëîõ, êîãäà [From.GetSheHe] ïîòðåáîâàë[From.GetEndA] àóäèåíöèè ñî ìíîé, óòâåðæäàÿ, ÷òî Ñâÿòîé Äóõ ÿâèëñÿ ê í[From.GetHerHim] â ïîñëåäíåì ñíå. Íî÷üþ, ïðèêàçàâ [From.GetHerHim] âçÿòüñÿ çà îðóæèå, ñîáðàòü âñåõ èñòèííûõ ïîñëåäîâàòåëåé Õðèñòà è âîçãëàâèòü Êðåñòîâûé ïîõîä, ÷òîáû îñâîáîäèòü Ñâÿòóþ Çåìëþ.\n\n[From.GetSheHeCap] çàâåðøèë[From.GetEndA] ñâîþ ïðîïîâåäü, ïðèêàçàâ ìíå ïðåäîñòàâèòü [From.GetHerHim] äåíüãè, îðóæèå è ëþäåé, ÷òîáû ïîìî÷ü [From.GetHerHim] áîðîòüñÿ ñ íåâåðíûìè âî èìÿ Ãîñïîäà íàøåãî.;;x
EVTDESCBHF25817;Despite all adversities and many attempts to undermine [From.GetHerHis] divinely-inspired leadership, [From.GetFirstName] has been able to march [From.GetHerHis] army all the way to Nikaea. \nWith the Holy Land finally within reach, the Crusaders' resolve has been strengthened. \n[From.GetFirstName] has sent me a message, thanking me for my continued support during the campaign, and asking me any further help I am able to provide [From.GetHerHim] with in order to prevail against the infidels. With my help and God's blessing, [From.GetSheHe] is certain of victory against the abominable heathens.;;;;;;;;;;;Íåñìîòðÿ íà âñå [From.GetHerHis] íåâçãîäû è ìíîãî÷èñëåííûå ïîïûòêè ïîäîðâàòü âäîõíîâë¸ííîå Áîãîì ëèäåðñòâî, [From.GetFirstName] óäàëîñü ïðîâåñòè ñâîþ àðìèþ äî ñàìîé Íèêåè.\nÏîñêîëüêó Ñâÿòàÿ Çåìëÿ íàêîíåö-òî îêàçàëàñü â ïðåäåëàõ äîñÿãàåìîñòè, ðåøèìîñòü Êðåñòîíîñöåâ óêðåïèëàñü. \n[From.GetFirstName] ïðèñëàë[From.GetEndA] ìíå ñîîáùåíèå, ïîáëàãîäàðèâ ìåíÿ çà ïîñòîÿííóþ ïîääåðæêó âî âðåìÿ êàìïàíèè è ïîïðîñèë[From.GetEndA] ìåíÿ î ëþáîé äàëüíåéøåé ïîìîùè, êîòîðóþ ÿ ìîãó ïðåäîñòàâèòü [From.GetHerHim] äëÿ ïîáåäû íàä íåâåðíûìè. Áëàãîäàðÿ ìîåé ïîìîùè è Áîæüåìó áëàãîñëîâåíèþ, [From.GetSheHe] óâåðåí[From.GetEndA] â ñâîåé ïîáåäå íàä îòâðàòèòåëüíûìè ÿçû÷íèêàìè.;;x
EVTDESCBHF25818;After receiving a vision of the Archangel Gabriel, who helped [From.GetHerHim] lead [From.GetHerHis] army through the treacherous path leading to Outremer, the children of [From.GetFirstName] have miraculously managed to reach Antioch before being spotted by the infidels.\nIn spite of the [From.GetBoyGirl]'s claim that the infidels would forsake the Devil upon their very arrival without the need for a fight, the heathens occupying Jerusalem have begun mobilizing their army, ready and eager to slaughter the innocent souls marching against them.\nThe world will soon see whether [From.GetFirstName] was truly blessed by the Lord, or if I was unwise to put my trust in this child.;;;;;;;;;;;Ïîëó÷èâ âèäåíèå Àðõàíãåëà Ãàâðèèëà, êîòîðûé ïîìîã [From.GetHerHim] ïðîâåñòè ñâîþ àðìèþ ïî êîâàðíîìó ïóòè, âåäóùåìó â Óòðåìåð, äåòè [From.GetFirstName] ÷óäåñíûì îáðàçîì ñóìåëè äîáðàòüñÿ äî Àíòèîõèè, ïðåæäå ÷åì èõ çàìåòèëè íåâåðíûå.\nÍåñìîòðÿ íà çàÿâëåíèå [From.GetBoyGirl] î òîì, ÷òî íåâåðíûå îòêàæóòñÿ îò Äüÿâîëà ñðàçó ïîñëå ïðèáûòèÿ âîéñê, è íå áóäåò íåîáõîäèìîñòè ñðàæàòüñÿ, ÿçû÷íèêè, îêêóïèðîâàâøèå Èåðóñàëèì, íà÷àëè ìîáèëèçàöèþ ñâîåé àðìèè, ãîòîâîé è æàæäóùåé óáèâàòü íåâèííûå äóøè, èäóùèå ïðîòèâ íèõ.\nÑêîðî ìèð óâèäèò, äåéñòâèòåëüíî ëè [From.GetFirstName] áûë[From.GetEndA] áëàãîñëîâëåí[From.GetEndA] Ãîñïîäîì, èëè ÿ ïîñòóïèë[Root.GetEndA] íåðàçóìíî, äîâåðèâøèñü ýòîìó ðåá¸íêó.;;x
EVTDESCCHF25802;With the death of [From.GetFirstName], [From.GetHerHis] misguided attempt to lead a Crusade to the Holy Land will never come to pass. All the children and peasants who had flocked to the banner of this [From.GetBoyGirl] have scattered to the four winds. They lament the loss of their beloved leader, still unable to grasp why would God allow [From.GetHerHim] to be killed before accomplishing [From.GetHerHis] divine task.\nAs unfortunate as [From.GetFirstName]'s death was, it has undoubtedly saved the lives of countless people, who would have otherwise followed the child into the maws of certain doom at the hands of the infidels.;;;;;;;;;;;Ñî ñìåðòüþ [From.GetFirstName], [From.GetHerHis] îøèáî÷íàÿ ïîïûòêà âîçãëàâèòü êðåñòîâûé ïîõîä â Ñâÿòóþ çåìëþ íèêîãäà íå îñóùåñòâèòñÿ. Âñå äåòè è êðåñòüÿíå, ïðèøåäøèå ïîä çíàì¸íà ýò[From.GetOyOgo] [From.GetBoyGirl], ðàçëåòåëèñü, ñëîâíî ÷åòûðå âåòðà. Îíè îïëàêèâàþò ïîòåðþ ñâîåãî ëþáèìîãî ëèäåðà, âñ¸ åù¸ íå ïîíèìàÿ, ïî÷åìó Áîã ïîçâîëèë [From.GetHerHim] ïîãèáíóòü äî âûïîëíåíèÿ [From.GetHerHis] áîæåñòâåííîé ìèññèè.\nÊàê áû íè áûëà ïðèñêîðáíà ñìåðòü [From.GetFirstName], îíà, íåñîìíåííî, ñïàñëà æèçíè áåñ÷èñëåííûõ ëþäåé, êîòîðûå â ïðîòèâíîì ñëó÷àå ïîñëåäîâàëè áû çà ðåá¸íêîì â ïàñòü âåðíîé ãèáåëè îò ðóê èíîâåðöåâ.;;x
EVTOPTFHF25806_A;If this is what you desire, I will not hold you.;;;;;;;;;;;Åñëè ýòî òî, ÷åãî òû õî÷åøü, ÿ íå ñòàíó òåáÿ óäåðæèâàòü.;;x
EVTOPTFHF25806_B;Do whatever you wish, it is of no concern to me.;;;;;;;;;;;Äåëàé, ÷òî õî÷åøü, ìåíÿ ýòî íå êàñàåòñÿ.;;x
EVTOPTFHF25811;I am afraid we have no men to spare on hopeless quests.;;;;;;;;;;;Áîþñü, ó íàñ íåò ëþäåé, êîòîðûõ ìîæíî áûëî áû îòïðàâèòü íà áåçíàä¸æíûå àâàíòþðû.;;x
EVTOPTFHF25812;Let us not concern ourselves with them, shall we?;;;;;;;;;;;Âîçìîæíî, íàì íå ñòîèò èõ òðîãàòü. Âîçìîæíî, òàê áóäåò ëó÷øå?;;x
EVTOPTAHF25800;I must depart at once!;;;;;;;;;;;ß äîëæ[Root.GetNaEn] íåìåäëåííî óåõàòü!;;x
EVTOPTAHF25802;Such a violent end, for such a young [From.GetBoyGirl]...;;;;;;;;;;;Òàêîé æåñòîêèé êîíåö, äëÿ ñòîëü ìîëîä[From.GetOyOgo] [From.GetBoyGirl]...;;x
EVTOPTAHF25804;[From.GetSheHeCap] will stay locked until [From.GetSheHe] has learned [From.GetHerHis] lesson.;;;;;;;;;;;[From.GetSheHeCap] îñòàíåòñÿ â çàòî÷åíèè, ïîêà [From.GetSheHe] íå óñâîèò [From.GetHerHis] óðîê.;;x
EVTOPTAHF25805;Maybe it's for the best...;;;;;;;;;;;Ìîæåò áûòü, ýòî è ê ëó÷øåìó...;;x
EVTOPTAHF25806;You will have my full support!;;;;;;;;;;;Âû ïîëó÷èòå ìîþ ïîëíóþ ïîääåðæêó!;;x
EVTOPTAHF25807;Such a wild imagination, even for a child...;;;;;;;;;;;Ñëèøêîì áóðíîå âîîáðàæåíèå, äàæå äëÿ ðåá¸íêà...;;x
EVTOPTAHF25810;Your words have moved me! I will support you.;;;;;;;;;;;Âàøè ñëîâà òðîíóëè ìåíÿ! ß áóäó ïîääåðæèâàòü âàñ.;;x
EVTOPTAHF25811;I will do much more than that!;;;;;;;;;;;ß ñäåëàþ íàìíîãî áîëüøå!;;x
EVTOPTAHF25812;But [childrens_crusade_leader.GetSheHe] is the chosen of Our Lord!;;;;;;;;;;;Íî [childrens_crusade_leader.GetSheHe] - èçáðàííè[childrens_crusade_leader.GetTsaK] Ãîñïîäà Íàøåãî!;;x
EVTOPTAHF25813;I must join [From.GetHerHim]!;;;;;;;;;;;Ìîé äîëã â òîì, ÷òîáû ïðèñîåäèíèòüñÿ ê [From.GetFirstName]!;;x
EVTOPTAHF25814;I must follow them to protect my [GetFromRelation]!;;;;;;;;;;;ß äîëæ[Root.GetNaEn] ñëåäîâàòü çà íèìè, ÷òîáû çàùèòèòü ñâî[From.GetYuEgo] [From.GetRootRelation]!;;x
EVTOPTAHF25814_A;Will I ever seem [From.GetHerHim] again?;;;;;;;;;;;Ñìîãó ëè ÿ êîãäà-íèáóäü ñíîâà óâèäåòü [From.GetHerHis]?;;x
EVTOPTAHF25814_B;How could [From.GetSheHe] do this to me!;;;;;;;;;;;Êàê ìîã[From.GetNoneE] [From.GetSheHe] òàê ïîñòóïèòü ñî ìíîé!;;x
EVTOPTAHF25814_C;I have a [GetFromRelation]?;;;;;;;;;;;Åñòü ëè ó ìåíÿ [From.GetRootRelation]?;;x
EVTOPTAHF25815;They could use more troops for protection.;;;;;;;;;;;Îíè ìîãëè áû èñïîëüçîâàòü áîëüøå âîéñê äëÿ çàùèòû.;;x
EVTOPTAHF25816;They are surely in need of more supplies!;;;;;;;;;;;Èì íàâåðíÿêà íóæíî áîëüøå ïðèïàñîâ!;;x
EVTOPTAHF25817;When the time comes, I will join in battle with you!;;;;;;;;;;;Êîãäà ïðèä¸ò âðåìÿ, ÿ âñòóïëþ â áîé âìåñòå ñ âàìè.!;;x
EVTOPTAHF25818;[From.GetSheHeCap] does not stand alone!;;;;;;;;;;;[From.GetSheHeCap] íå âûñòîèò â îäèíî÷êó!;;x
EVTOPTAHF25819;And [From.GetSheHe] showed such promise...;;;;;;;;;;;È [From.GetSheHe] ïîäàâàë[From.GetEndA] òàêèå íàäåæäû...;;x
EVTOPTAHF25823;A sad yet inevitable fate.;;;;;;;;;;;Ïå÷àëüíàÿ, íî íåèçáåæíàÿ ñóäüáà.;;x
EVTOPTAHF25824;We will slaughter them like lambs.;;;;;;;;;;;Ìû çàðåæåì èõ, êàê ÿãíÿò.;;x
EVTOPTAHF25825;Such a tragic yet predictable end...;;;;;;;;;;;Òàêîé òðàãè÷åñêèé, íî ïðåäñêàçóåìûé êîíåö...;;x
EVTOPTAHF25826;There could be no other end to this war.;;;;;;;;;;;Ó ýòîé âîéíû íå ìîãëî áûòü äðóãîãî êîíöà.;;x
EVTOPTAHF25827;I can no longer deny it! God is with [From.GetHerHim]!;;;;;;;;;;;ß áîëüøå íå ìîãó ýòîãî îòðèöàòü! Ñ í[From.GetEyuIm] Áîã!;;x
EVTOPTAHF25828;I wish for [From.GetHerHis] reign to be long and prosperous!;;;;;;;;;;;Äà áóäåò [From.GetHersHis] ïðàâëåíèå äîëãèì è ïðîöâåòàþùèì!;;x
EVTOPTBHF25806;I will dispatch some men to protect you.;;;;;;;;;;;ß îòïðàâëþ íåñêîëüêî ÷åëîâåê, ÷òîáû çàùèòèòü Âàñ.;;x
EVTOPTBHF25807;May [Root.Religion.GetHighGodName] show [childrens_crusade_leader.GetHerHim] the way to victory!;;;;;;;;;;;Ïóñòü [Root.Religion.GetHighGodName] óêàæåò [childrens_crusade_leader.GetHerHim] ïóòü ê ïîáåäå!;;x
EVTOPTBHF25810;Take some food and leave.;;;;;;;;;;;Âîçüìèòå íåìíîãî åäû è óõîäèòå.;;x
EVTOPTBHF25811;Very well, I will grant you some of my men.;;;;;;;;;;;Î÷åíü õîðîøî, ÿ äàì âàì íåêîòîðûõ èç ìîèõ ëþäåé.;;x
EVTOPTBHF25813;But wars are too scary!;;;;;;;;;;;Íî âîéíû - ýòî ñëèøêîì ñòðàøíî!;;x
EVTOPTBHF25815;I will allocate some resources to help them buy a passage.;;;;;;;;;;;ß âûäåëþ íåêîòîðûå ñðåäñòâà, ÷òîáû ïîìî÷ü èì îïëàòèòü ïóòåøåñòâèå.;;x
EVTOPTBHF25816;I must reiterate my support to strengthen [From.GetFirstName]'s authority.;;;;;;;;;;;Ìîé äîëã â òîì, ÷òîáû âíîâü çàÿâèòü î ñâîåé ïîääåðæêå óêðåïëåíèÿ àâòîðèòåòà [From.GetFirstName].;;x
EVTOPTBHF25817;I will allocate more resources to support your fight.;;;;;;;;;;;ß âûäåëþ áîëüøå ðåñóðñîâ äëÿ ïîääåðæêè âàøåé áîðüáû.;;x
EVTOPTBHF25818;[From.GetFirstName] will not fight this Crusade alone!;;;;;;;;;;;[From.GetFirstName] íå áóäåò ñðàæàòüñÿ â ýòîì Êðåñòîâîì ïîõîäå â îäèíî÷êó!;;x
EVTOPTBHF25819;It was bound to happen sooner or later.;;;;;;;;;;;Ðàíî èëè ïîçäíî ýòî äîëæíî áûëî ñëó÷èòüñÿ.;;x
EVTOPTBHF25827;This is impossible!;;;;;;;;;;;Ýòî íåâîçìîæíî!;;x
EVTOPTBHF25828;I always believed in [From.GetHerHim]!;;;;;;;;;;;ß âñåãäà âåðèë[Root.GetEndA] â í[From.GetHersHis]!;;x
EVTOPTCHF25806;I will give you some food for the travel.;;;;;;;;;;;ß äàì Âàì íåìíîãî åäû â äîðîãó.;;x
EVTOPTCHF25807;Could this child be a messenger of the Lord?;;;;;;;;;;;Ìîæåò ëè ýòîò ðåá¸íîê áûòü ïîñëàííèêîì Ãîñïîäà?;;x
EVTOPTCHF25810;Oh, I will find you a place to stay...;;;;;;;;;;;Îõ, ÿ íàéäó âàì ìåñòî, ãäå ìîæíî îñòàíîâèòüñÿ...;;x
EVTOPTCHF25811;You can see if any of my subjects are interested in your cause.;;;;;;;;;;;Âû ìîæåòå óâèäåòü, çàèíòåðåñîâàí ëè êòî-ëèáî èç ìîèõ ïîääàííûõ â âàøåì äåëå.;;x
EVTOPTCHF25815;I can spare some money to send them some food.;;;;;;;;;;;ß ìîãó âûäåëèòü íåìíîãî äåíåã, ÷òîáû îòïðàâèòü èì íåìíîãî åäû.;;x
EVTOPTCHF25816;I will dispatch letters to the local authorities to send them on the correct path.;;;;;;;;;;;ß îòïðàâëþ ïèñüìà ìåñòíûì ëèäåðàì, ÷òîáû íàïðàâèòü èõ ïî ïðàâèëüíîìó ïóòè.;;x
EVTOPTCHF25817;I can only offer you my most sincere prayers.;;;;;;;;;;;ß ìîãó âàì ïðåäëîæèòü òîëüêî ìîè ñàìûå èñêðåííèå ìîëèòâû.;;x
EVTOPTCHF25818;My prayers go with [From.GetHerHim]!;;;;;;;;;;;Ìîè ìîëèòâû ñîïðîâîæäàþò [From.GetHerHim]!;;x
EVTOPTCHF25828;God was with [From.GetHerHim].;;;;;;;;;;;Áîã áûë ñ í[From.GetEyuIm].;;x
EVTOPTDHF25806;Oh, absolutely! I will ship you to the holy land myself!;;;;;;;;;;;Î, êîíå÷íî! ß ñàì[Root.GetEndA] îòïðàâëþ Âàñ â Ñâÿòóþ çåìëþ!;;x
EVTOPTDHF25810;Guards! Remove these urchins from the premises!;;;;;;;;;;;Ñòðàæà! Óáåðèòå ýòèõ áåñïðèçîðíèêîâ èç ïîìåùåíèÿ!;;x
EVTOPTDHF25811;Do not worry, I know just who to call...;;;;;;;;;;;Íå âîëíóéòåñü, ÿ çíàþ, ê êîìó ìîæíî îáðàòèòüñÿ...;;x
EVTOPTDHF25812;Worry not, [child_outraged_priest.GetFirstName]. I will make these pesky children disappear.;;;;;;;;;;;Íå âîëíóéòåñü, [child_outraged_priest.GetFirstName]. ß çàñòàâëþ ýòèõ íàäîåäëèâûõ äåòåé èñ÷åçíóòü.;;x
EVTOPTDHF25815;I will pray that they soon find a passage.;;;;;;;;;;;ß áóäó ìîëèòüñÿ, ÷òîáû îíè ïîñêîðåå íàøëè ïóòü.;;x
EVTOPTDHF25816;I can only hope they will persevere.;;;;;;;;;;;ß ìîãó òîëüêî íàäåÿòüñÿ, ÷òî îíè âûñòîÿò.;;x
EVTOPTDHF25817;There is not much else I can do, I fear.;;;;;;;;;;;Áîþñü, ÿ áîëüøå íè÷åãî íå ìîãó ñäåëàòü.;;x
EVTOPTDHF25818;Those poor, foolish souls...;;;;;;;;;;;Ýòè áåäíûå, ãëóïûå äóøè...;;x
EVTOPTDHF25828;Wha-? How..?;;;;;;;;;;;×òî? Êàê..?;;x
EVTOPTEHF25806_A;You are dead to me. Leave and never return!;;;;;;;;;;;Òû ìåðòâ[From.GetEndA] äëÿ ìåíÿ. Óõîäè è íèêîãäà íå âîçâðàùàéñÿ!;;x
EVTOPTEHF25806_B;Guards! Throw this blithering fools out!;;;;;;;;;;;Ñòðàæà! Âûøâûðíèòå îòñþäà ýòèõ ãëóïöîâ!;;x
EVTOPTEHF25810;I am afraid we have no food to spare.;;;;;;;;;;;Áîþñü, ó íàñ íåò ëèøíåé åäû.;;x
EVTOPTEHF25811;What sort of joke is this? Guards!;;;;;;;;;;;Ýòî ÷òî çà øóòêà? Ñòðàæà!;;x
EVTOPTEHF25812;I will have my guards beat them out of [Root.Capital.GetName].;;;;;;;;;;;ß ïðèêàæó ñâîèì ñòðàæíèêàì âûáèòü èõ èç [Root.Capital.GetName].;;x
EVTOPTEHF25815;They are still in time to return home.;;;;;;;;;;;Îíè åù¸ óñïåþò âåðíóòüñÿ äîìîé.;;x
EVTOPTEHF25816;Perhaps the Lord does not wish them to reach the Holy Land...;;;;;;;;;;;Âîçìîæíî, Ãîñïîäü íå æåëàåò, ÷òîáû îíè äîñòèãëè Ñâÿòîé Çåìëè...;;x
EVTOPTEHF25817;How are they still going?;;;;;;;;;;;Êàê îíè åù¸ èäóò?;;x
EVTOPTEHF25828;I guess I should have trusted [From.GetHerHim]...;;;;;;;;;;;Äóìàþ, ìíå ñëåäîâàëî äîâåðÿòü [From.GetHerHim]...;;x
TT_EVTOPTAHF25806;Sponsor [childrens_crusade_leader.GetFirstName]'s §YCrusade§!, providing [childrens_crusade_leader.GetHerHim] with as much help as you can afford to increase [childrens_crusade_leader.GetHerHis] chances of success.;;;;;;;;;;;[childrens_crusade_leader.GetFirstName] ïîëó÷èò îò Âàñ ìàêñèìàëüíóþ ïîääåðæêó â §Yêðåñòîâîì ïîõîäå§!. Âû íàäååòåñü, ÷òî ýòî ïîâûñèò [childrens_crusade_leader.GetHersHis] øàíñû íà óñïåõ.;;x
TT_EVTOPTDHF25806;Trick [childrens_crusade_leader.GetFirstName] and [childrens_crusade_leader.GetHerHis] supporters and have them sold into slavery to the heathens.;;;;;;;;;;;Îáìàíóòü èõ. [childrens_crusade_leader.GetFirstName] è [childrens_crusade_leader.GetHersHis] ñîðàòíèêè áóäóò ïðîäàíû â ðàáñòâî ÿçû÷íèêàì.;;x
TT_EVTOPTBHF25806;Pledge some troops to join [childrens_crusade_leader.GetFirstName]'s Crusade and protect the child during [childrens_crusade_leader.GetHerHis] perilous journey.;;;;;;;;;;;[childrens_crusade_leader.GetFirstName] ïîëó÷èò îò Âàñ íåêîòîðóþ ïîääåðæêó â §Yêðåñòîâîì ïîõîäå§!. Âû íàäååòåñü, ÷òî ýòî çàùèòèò [childrens_crusade_leader.GetHersHis] â ýòîì îïàñíîì ïóòåøåñòâèè.;;x
player_character_TT_HF25828;You will now play as §Y[From.GetTitledName]§! instead of §Y[Root.GetTitledName]§!.;;;;;;;;;;;Âû áóäåòå èãðàòü êàê §Y[From.GetTitledFirstName]§!, à §Y[Root.GetTitledFirstName]§! ïåðåéä¸ò ïîä êîíòðîëü ÈÈ.;;x
