#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
# job_spymaster.txt
#########################
#
#	Spymaster events
#
#########################
# Plot Uncovered
evt_spymaster_001_title;Plot Uncovered;;;;;;;;;;;Pàñêðûò çàãîâîð.;;x
evt_spymaster_401_desc_a;The people of [Root.Location.GetName] have progressed beyond our own technological level. But I have managed to study their advancements and I will gladly share this information with my liege [Root.Liege.GetTitledName].;;;;;;;;;;;[Root.Location.County.GetAdjective]ñêèå æèòåëè ïðîäâèíóëèñü äàëüøå íàñ â óðîâíå òåõíîëîãèé. Íî ìíå óäàëîñü èçó÷èòü èõ äîñòèæåíèÿ, è ÿ ñ óäîâîëüñòâèåì ïðåäñòàâëÿþ ýòè ñâåäåíèÿ Bàøåìó âíèìàíèþ, [Root.Liege.GetTitledName].;;x
evt_spymaster_401_option_a;This should please [Root.Liege.GetHerHim]!;;;;;;;;;;;[Root.Liege.GetHerHim] ýòî ïîíðàâèòñÿ!;;x
evt_spymaster_401_option_a_tooltip;Send a letter to [Root.Liege.GetTitledName]!;;;;;;;;;;;Îòïðàâèòü ïèñüìî. Àäðåñàò — [Root.Liege.GetTitledName];;x
# The Spymaster informs his liege of the success
evt_spymaster_402_desc_a;My liege, the people of [From.Location.GetName] have progressed beyond our own technological level. I have managed to study their advancements and the documents enclosed here should help us reach their level. I hope you will find this to your satisfaction.\n\nYour humble Spymaster,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], [From.Location.County.GetAdjective]ñêèå æèòåëè ïðåâçîøëè íàñ â óðîâíå ðàçâèòèÿ òåõíîëîãèé. Ìíå óäàëîñü èçó÷èòü èõ äîñòèæåíèÿ. Äîêóìåíòû, êîòîðûå ÿ ïðèëàãàþ ê ýòîìó ïèñüìó, ïîçâîëÿò íàì äîñòè÷ü èõ óðîâíÿ. Íàäåþñü, Âû íàéä¸òå ìîþ ðàáîòó óäîâëåòâîðèòåëüíîé.\nÂàø [Root.GetMySpymasterName],\n[From.GetTitledName];;x
evt_spymaster_402_option_a;Wonderful!;;;;;;;;;;;×óäåñíî!;;x
# The Spymaster is discovered by the local count - chance of imprisonment
evt_spymaster_501_title;Spymaster Discovered!;;;;;;;;;;;Bàøåãî òàéíîãî ñîâåòíèêà ïîéìàëè!;;x
evt_spymaster_501_desc_a;A noble in [Root.Location.GetName] caught me while I was spying there!;;;;;;;;;;;Ïðåäñòàâèòåëü çíàòè ïîéìàë ìåíÿ â [Root.Location.County.GetAdjective]ñêèõ çåìëÿõ çà ïîïûòêîé øïèîíàæà!;;x
evt_spymaster_501_option_a;This will not be good...;;;;;;;;;;;Íåõîðîøî ïîëó÷èëîñü...;;x
evt_spymaster_501_option_a_tooltip;The noble takes action;;;;;;;;;;;Äâîðÿíèí äåéñòâóåò.;;x
# Local noble reacts
evt_spymaster_502_desc_a;[From.Liege.GetTitledName]'s spymaster [From.GetTitledName] was found spying in [From.Location.GetName]!;;;;;;;;;;;[From.GetTitledFirstName] áûë[From.GetEndA] ïîéìàí[From.GetEndA] çà ïîïûòêîé øïèîíàæà â îêðóãå [From.Location.GetName]! Èçâåñòíî, ÷òî [From.GetSheHe] - òàéíûé ñîâåòíèê ïðàâèòåëÿ, èçâåñòíîãî êàê [From.Liege.GetTitledFirstName].;;x
evt_spymaster_502_option_a;Let [From.GetHerHim] rot in jail!;;;;;;;;;;;Ïóñòü [From.GetHerHim] ãíè¸ò â òþðüìå çà ýòî!;;x
evt_spymaster_502_option_a_tooltip;A letter is sent to [From.Liege.GetTitledName];;;;;;;;;;;Ïèñüìî [From.Liege.GetTitledName] îòïðàâëåíî.;;x
evt_spymaster_502_option_b;What is done is done. Let [From.GetHerHim] go.;;;;;;;;;;;×òî ñäåëàíî, òî ñäåëàíî. Îòïóñòèòå [From.GetHerHim].;;x
evt_spymaster_502_option_b_tooltip;A letter is sent to [From.GetTitledName];;;;;;;;;;;Ïèñüìî [From.GetTitledName] îòïðàâëåíî.;;x
# Liege get the news - Chancellor Imprisoned
evt_spymaster_503_desc_a;I received word that your spymaster [FromFrom.GetTitledName] has been spying in one of my counties. This is intolerable and as to stop further interference I have arrested [FromFrom.GetHerHim]!\n\nSigned \n[From.GetTitledName];;;;;;;;;;;Äî ìåíÿ äîøëà âåñòü, ÷òî Âàø òàéíûé ñîâåòíèê [FromFrom.GetTitledFirstName] ïûòà[FromFrom.GetLasLsya] óêðàñòü íàøè òåõíîëîãèè â îäíîì èç ìîèõ îêðóãîâ. Ýòî íåäîïóñòèìî è, âî èçáåæàíèå äàëüíåéøèõ ïîïûòîê, ÿ áðîñèë[From.GetEndA] [FromFrom.GetHersHis] â òåìíèöó.\n [From.GetTitledFirstName];;x
evt_spymaster_503_option_a;Most unfortunate...;;;;;;;;;;;Íó íàäî æå, êàê íå ïîâåçëî...;;x
# Unused
EVTOPTB20331;How dare [From.GetSheHe] arrest my spymaster!;;;;;;;;;;;Äà êàê [From.GetSheHe] ñìååò àðåñòîâûâàòü ìîåãî òàéíîãî ñîâåòíèêà!;;x
# Spymaster get the news: is free to go
evt_spymaster_504_desc_a;I received word that you have been spying in one of my counties. I will let it pass. This time.\n\nSigned \n[From.GetTitledName];;;;;;;;;;;Äî ìåíÿ äîøëà âåñòü, ÷òî Âû ïûòàëèñü óêðàñòü íàøè òåõíè÷åñêèå äîñòèæåíèÿ. Íî ÿ ïðîùàþ Âàñ. Íà ýòîò ðàç.\n [From.GetTitledFirstName];;x
evt_spymaster_504_option_a;Thank you!;;;;;;;;;;;Áëàãîäàðþ Âàñ!;;x
# Vicious Rumors Spread
evt_spymaster_601_title;Vicious Rumors Spread;;;;;;;;;;;Cëóõè ðàñïîëçàþòñÿ...;;x
evt_spymaster_601_desc_a;My network of spies in [Root.Location.GetName] have investigated a local noble and it turns out that he prefers the company of men... By threating to spread this rumor, my liege might be able to extort the favours or money from him.;;;;;;;;;;;Ìîè ñîãëÿäàòàè â [Root.Location.GetName] îáíàðóæèëè, ÷òî ìåñòíûé ëîðä ïðåäïî÷èòàåò ìóæ÷èí. Åñëè ïðèãðîçèòü åìó îãëàñêîé, ìîæíî äîáèòüñÿ îò íåãî óñëóã èëè äåíåã.;;x
evt_spymaster_601_option_a;I will pass this on.;;;;;;;;;;;ß ïåðåäàì ýòî.;;x
# Liege is informed
evt_spymaster_602_desc_a;My liege, my network of spies here in [From.Location.GetName] have found out that a local noble is a homosexual. What should I do with this information?\n\nYour humble Spymaster,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ìîè ñîãëÿäàòàè â [From.Location.GetName] îáíàðóæèëè, ÷òî ìåñòíûé ëîðä — ìóæåëîæíèê. Êàê íàì èñïîëüçîâàòü ýòó èíôîðìàöèþ?\nÂàø [Root.GetSpymasterName],\n[From.GetTitledName];;x
evt_spymaster_602_option_a;Blackmail him!;;;;;;;;;;;Øàíòàæèðóéòå åãî!;;x
evt_spymaster_602_option_b;Spread rumors about him.;;;;;;;;;;;Äàéòå õîä ñëóõàì î í¸ì.;;x
evt_spymaster_602_option_c;Nothing, let it be;;;;;;;;;;;Îñòàâüòå åãî â ïîêîå.;;x
# Unused
EVTTOOLTIP20353;The rumor reaches the Noble's ears;;;;;;;;;;;Ñëóõè äîñòèãàþò óøåé ëîðäà.;;x
# Blackmail him
evt_spymaster_603_desc_a;My liege's instructions are clear. I should blackmail the noble and extort some money for my silence.;;;;;;;;;;;Èíñòðóêöèè ìîåãî ãîñóäàðÿ ÿñíû ìíå. ß áóäó øàíòàæèðîâàòü ëîðäà è ïîòðåáóþ äåíåã çà ìîë÷àíèå.;;x
evt_spymaster_603_option_a;It will cost him dearly...;;;;;;;;;;;Ýòî åìó äîðîãî îáîéä¸òñÿ.;;x
# The noble responds to blackmail
evt_spymaster_604_desc_a;[From.GetTitledName], the spymaster of [From.Liege.GetTitledName], has somehow found out about my sexual preferences and demands a large sum of money to not spread this rumor and destroy my reputation among my vassals.;;;;;;;;;;;[From.GetTitledName], [From.Liege.GetSpymasterName] [From.Liege.GetTitledName], êàê-òî ïðîçíàë î ìîèõ ñåêñóàëüíûõ ïðåäïî÷òåíèÿõ è òðåáóåò íåìàëóþ ñóììó äåíåã çà ñâî¸ ìîë÷àíèå, èëè óãðîæàåò ðàçðóøèòü ìîþ ðåïóòàöèþ ñðåäè âàññàëîâ.;;x
evt_spymaster_604_option_a;Then I will have to pay...;;;;;;;;;;;Ïðèä¸òñÿ çàïëàòèòü...;;x
evt_spymaster_604_option_b;Try to have [From.GetTitledName] killed!;;;;;;;;;;;Ïîïðîáóþ-êà ÿ óáèòü [From.GetTitledName]!;;x
evt_spymaster_604_option_b_attacked;[This.GetTitledName] getting away.;;;;;;;;;;;[This.GetTitledName] óöåëåë.;;x
evt_spymaster_604_option_b_killed;[This.GetTitledName] getting killed.;;;;;;;;;;;[This.GetTitledName] óáèò.;;x
evt_spymaster_604_option_c;Let them spread their rumor;;;;;;;;;;;Ïîçâîëèòü ðàñïðîñòðàíèòü ïðî ñåáÿ ñëóõè.;;x
# Blackmail succeeds
evt_spymaster_605_desc_a;[From.GetTitledName] accepted my demands and was willing to pay to keep me silent.;;;;;;;;;;;[From.GetTitledName] ñîãëàñèëñÿ íà ìîè òðåáîâàíèÿ è ãîòîâ çàïëàòèòü.;;x
evt_spymaster_605_option_a;This should please my liege;;;;;;;;;;;Ýòî ïðèä¸òñÿ ïî äóøå ìîåìó ãîñóäàðþ;;x
# Liege is informed that blackmail succeeded
evt_spymaster_606_desc_a;My liege, I have good news! I have succeeded in extorting a large sum of money from [FromFrom.GetTitledName] by promising not to spread the rumor about his alleged homosexuality.\n\nYour humble Spymaster,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ó ìåíÿ äëÿ Âàñ õîðîøèå íîâîñòè. Ìíå óäàëîñü âûòðÿñòè íåìàëî äåíüæàò èç [FromFrom.GetTitledName] çà ìîë÷àíèå î åãî ïîëîâîé îðèåíòàöèè.\nÂàø [Root.GetSpymasterName],\n[From.GetTitledName];;x
# Spymaster is attacked
evt_spymaster_607_desc_a;The local noble, [From.GetTitledName], tried to assure that I couldn't spread any rumors about him by sending some thugs to attack me!;;;;;;;;;;;Ìåñòíûé ëîðä, [From.GetTitledName], ïîïûòàëñÿ çàñòàâèòü ìåíÿ çàìîë÷àòü íàâñåãäà, ïîñëàâ ñâîèõ ãîëîâîðåçîâ óáèòü ìåíÿ!;;x
evt_spymaster_607_option_a;Luckily I got away!;;;;;;;;;;;Ñëàâà Áîãó, ÿ æèâ!;;x
evt_spymaster_607_option_b;They killed me?!;;;;;;;;;;;Îíè ÷òî, óáèëè ìåíÿ?!;;x
# Inform the Liege about attack
evt_spymaster_608_desc_a;My liege, the local noble here in [From.Location.GetName], [FromFrom.GetTitledName], tried to silence me by sending some thugs to kill me! Luckily I managed to get away. I will go ahead and spread the rumor about his sexual preferences and destroy his reputation among his vassals.\n\nYour humble Spymaster,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ìåñòíûé ëîðä îêðóãà [From.Location.GetName], [FromFrom.GetTitledName], ïîïûòàëñÿ ãàðàíòèðîâàòü ìî¸ ìîë÷àíèå, ïîäîñëàâ êî ìíå óáèéö! Ñëàâà Áîãó, ìíå óäàëîñü óéòè îò íèõ. ß ïðîäîëæó ðàñïðîñòðàíÿòü ïðî íåãî ñëóõè è óíè÷òîæó åãî äîáðîå èìÿ ñðåäè åãî âàññàëîâ.\nÂàø [Root.GetSpymasterName],\n[From.GetTitledName];;x
evt_spymaster_608_option_a;You have my blessing!;;;;;;;;;;;Áëàãîñëîâëÿþ òåáÿ!;;x
# The noble is informed that the rumor has been spread
evt_spymaster_609_desc_a;[From.GetTitledName] and [From.GetHerHis] spymaster went ahead and spread the rumors about me being a homosexual. Those of my vassals who did not like me before seem to like me even less after this incident...;;;;;;;;;;;[From.GetTitledName] è [From.GetHersHis] [From.GetSpymasterName] ïóñòèëè ñëóõ î ìîåé ãîìîñåêñóàëüíîñòè. Òå èç âàññàëîâ, êòî íå ëþáèë ìåíÿ ðàíüøå, ïîõîæå, íåâçëþáèëè ìåíÿ åù¸ ñèëüíåå.;;x
evt_spymaster_609_option_a;A most unfortunate incident;;;;;;;;;;;Íåïðèÿòíî...;;x
# Inform the Liege about death
evt_spymaster_610_desc_a;My spymaster, [From.GetTitledName] has been murdered! That noble he was investigating, [FromFrom.GetTitledName], seems reasonable to be behind this, but I have no proof...;;;;;;;;;;;Ìîé [Root.GetSpymasterName], [From.GetTitledName], áûë óáèò! Ïîõîæå, çà ýòèì ñòîèò òîò ëîðä, [FromFrom.GetTitledName], íî ó ìåíÿ íåò íèêàêèõ äîêàçàòåëüñòâ...;;x
evt_spymaster_610_option_a;Damn him anyway!;;;;;;;;;;;Ïðîêëÿòüå!;;x
# Spread rumors
evt_spymaster_611_desc_a;My liege's instructions are clear. I will put my spy network to work spreading the rumor about the local noble.;;;;;;;;;;;Èíñòðóêöèè ìîåãî ãîñóäàðÿ ÿñíû ìíå. Ìû ðàñïðîñòðàíèì ïðî íåãî ïîðî÷àùèå ñëóõè.;;x
evt_spymaster_611_option_a;It will be my pleasure;;;;;;;;;;;Ñ óäîâîëüñòâèåì.;;x
# The noble responds to rumor
evt_spymaster_612_desc_a;[From.GetTitledName], the spymaster of [From.Liege.GetTitledName], has somehow found out about my sexual preferences and is now trying to spread a rumor about this to destroy my reputation among my vassals.;;;;;;;;;;;[From.GetTitledName], [From.Liege.GetSpymasterName] [From.Liege.GetTitledName], êàê-òî ïðîçíàë î ìîèõ ñåêñóàëüíûõ ïðåäïî÷òåíèÿõ è ïûòàåòñÿ ñ ïîìîùüþ ñëóõîâ îá ýòîì ðàçðóøèòü ìîþ ðåïóòàöèþ.;;x
evt_spymaster_612_option_a;Try to have [From.GetTitledName] killed!;;;;;;;;;;;Ïîïðîáóþ-êà ÿ óáèòü [From.GetTitledName]!;;x
evt_spymaster_612_option_b;Let them spread their rumor;;;;;;;;;;;Ïîçâîëèòü ðàñïðîñòðàíèòü ïðî ñåáÿ ñëóõè.;;x
# Spymaster gets away
evt_spymaster_613_desc_a;[FromFrom.GetTitledName] managed to get away...;;;;;;;;;;;[FromFrom.GetTitledName] óäàëîñü ñïàñòèñü...;;x
evt_spymaster_613_option_a;Damn [FromFrom.GetHerHim]!;;;;;;;;;;;×¸ðò [FromFrom.GetHerHis] ïîäåðè!;;x
# Spymaster is killed
evt_spymaster_614_desc_a;The men I sent to deal with [FromFrom.GetTitledName] succeeded. [From.GetSheHeCap] will not bother me again...;;;;;;;;;;;Ëþäè, êîòîðûõ ÿ ïîñëàë ðàçîáðàòüñÿ ñ [FromFrom.GetTitledName], ïðåóñïåëè. Áîëüøå [From.GetSheHeCap] ìåíÿ íå ïîáåñïîêîèò.;;x
# Do nothing
evt_spymaster_615_desc_a;My liege [From.GetTitledFirstName] seems to have lost interest in this noble and wants me to forget the whole thing.;;;;;;;;;;;Ïîõîæå, ÷òî [From.GetTitledFirstName] - ìîé ñþçåðåí - áîëüøå íå ïðîÿâëÿåò èíòåðåñà ê ýòîìó äâîðÿíèíó è íàäååòñÿ, ÷òî ÿ çàáóäó îá ýòîì.;;x
evt_spymaster_615_option_a;As [From.GetSheHe] wish.;;;;;;;;;;;Êàê [From.GetSheHe] ïîæåëàåò.;;x
# The noble does not care about the rumor
evt_spymaster_616_desc_a;It seems [From.GetTitledName] does not care if I spread the rumor or not. I think [From.GetSheHe] will regret [From.GetHerHis] choice.;;;;;;;;;;;Êàæåòñÿ, [From.GetTitledName] íå îñîáî çàáîòèòñÿ, ðàçáîëòàþ ëè ÿ âñåì ñëóõè. ß äóìàþ, [From.GetSheHe] åù¸ ïîæàëååò î ñâî¸ì âûáîðå.;;x
evt_spymaster_616_option_a;I will inform my liege;;;;;;;;;;;ß ñîîáùó ìîåìó ãîñóäàðþ.;;x
# Inform the liege that the noble does not care about the rumor
evt_spymaster_617_desc_a;My liege, it seems that [FromFrom.GetTitledName] does not care if I spread the rumor or not about his alleged homosexuality. But I think he will regret his choice once I have informed his vassals.\n\nYour humble Spymaster,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ïîõîæå, ÷òî [FromFrom.GetTitledName] íå âîëíóåò âîçìîæíîñòü ðàñïðîñòðàíåíèå ñëóõîâ î åãî ãîìîñåêñóàëüíîñòè. Íî äóìàþ, ÷òî îí ïîæàëååò îá ýòîì, êîãäà åãî âàññàëû óçíàþò ïðî íåãî òàêîé íåëèöåïðèÿòíûé ôàêò.\nÂàø [Root.GetSpymasterName],\n[From.GetTitledName];;x
evt_spymaster_617_option_a;So do I;;;;;;;;;;;È ÿ òîæå.;;x
# Corruption Uncovered
evt_spymaster_701_title;Corruption Uncovered;;;;;;;;;;;Pàñêðûò ôàêò êîððóïöèè.;;x
evt_spymaster_701_desc_a;My network of spies have encountered vague rumors that a local noble might be corrupt. Used wisely this might be enough to implicate one of my liege's enemies here in [Root.Location.GetName].;;;;;;;;;;;Ìîè ñîãëÿäàòàè äîíåñëè, ÷òî ìåñòíûé ëîðä ìîæåò áûòü êîððóïöèîíåðîì. Ýòà èíôîðìàöèÿ, åñëè å¸ âåðíî èñïîëüçîâàòü, ìîæåò ïîìî÷ü óñòðàíèòü âðàãà ìîåãî ãîñóäàðÿ â [Root.Location.GetName].;;x
evt_spymaster_701_option_a;My liege will know what to do;;;;;;;;;;;Ãîñóäàðü çíàåò, ÷òî äåëàòü.;;x
# Liege is informed
evt_spymaster_702_desc_a;My liege, there is a rumor here in [From.Location.GetName] that one of the local nobles might be corrupt. Handled wisely this information might be used to implicate one of your enemies here.\n\nYour humble Spymaster,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], õîäÿò ñëóõè, ÷òî îäèí èç [From.Location.County.GetAdjective]ñêèõ ëîðäîâ ìîæåò áûòü êîððóïöèîíåðîì. Åñëè ïðàâèëüíî èñïîëüçîâàòü ýòè ñâåäåíèÿ, ìîæíî ðàñïðàâèòüñÿ ñ îäíèì èç Âàøèõ âðàãîâ â ýòîì îêðóãå.\nÂàø [Root.GetSpymasterName],\n[From.GetTitledName];;x
evt_spymaster_702_option_a;Then use it as you see fit;;;;;;;;;;;Òîãäà èñïîëüçóéòå ýòî ïî ñâîåìó óñìîòðåíèþ.;;x
evt_spymaster_702_option_b;It is just a rumor, let it be;;;;;;;;;;;Ýòî âñåãî ëèøü ñëóõ, íå îáðàùàéòå âíèìàíèÿ.;;x
# Accuse him
evt_spymaster_703_desc_a;My liege's instructions are clear. I should use the rumor about corruption to try and implicate one of [From.GetHerHis] enemies here in [Root.Location.GetName].;;;;;;;;;;;Èíñòðóêöèè ìîåãî ãîñóäàðÿ ÿñíû ìíå. ß äîëæåí èñïîëüçîâàòü ñëóõè î êîððóïöèè, ÷òîáû íàâðåäèòü îäíîìó èç åãî âðàãîâ çäåñü, â [Root.Location.GetName].;;x
evt_spymaster_703_option_a;It will be my pleasure;;;;;;;;;;;Ñ ïðåâåëèêèì óäîâîëüñòâèåì.;;x
# The noble responds to accusation
evt_spymaster_704_desc_a;[From.GetTitledName], the spymaster of [From.Liege.GetTitledName], has somehow connected a rumor about corruption here in [From.Location.GetName] with me. It seems they try to hurt my reputation with my vassals and wants me to confess.;;;;;;;;;;;Äî [From.GetTitledName], òàéíîãî ñîâåòíèêà [From.Liege.GetTitledName], êàê-òî äîø¸ë ñëóõ î êîððóïöèè, çäåñü, â îêðóãå [From.Location.GetName], è î ìî¸ì â íåé ó÷àñòèè. Ïîõîæå, îíè ïûòàþòñÿ íàâðåäèòü ìîåé ðåïóòàöèè ñðåäè âàññàëîâ è õîòÿò, ÷òîáû ÿ ïðèçíàëñÿ.;;x
evt_spymaster_704_option_a;Try to have [From.GetTitledName] killed!;;;;;;;;;;;Ïîïðîáóþ-êà ÿ óáèòü [From.GetTitledName]!;;x
evt_spymaster_704_option_b;I guess I do not have a choice;;;;;;;;;;;Ïîõîæå, ó ìåíÿ íåò âûáîðà;;x
# Spymaster is attacked
evt_spymaster_705_desc_a;The local noble, [From.GetTitledName], tried to assure that I couldn't spread any rumors about him by sending some thugs to attack me!;;;;;;;;;;;Ìåñòíûé ëîðä, [From.GetTitledName], ïûòàëñÿ ïðåäîòâðàòèòü ðàñïðîñòðàíåíèå ñëóõîâ, çàñòàâèâ ìåíÿ çàìîë÷àòü íàâñåãäà. Îí ïîäîñëàë ñâîèõ ãîëîâîðåçîâ, ÷òîáû îíè óáèëè ìåíÿ!;;x
evt_spymaster_705_option_a;Luckily I got away!;;;;;;;;;;;Ñëàâà Áîãó, ÿ æèâ!;;x
evt_spymaster_705_option_b;They killed me?!;;;;;;;;;;;Îíè ÷òî, óáèëè ìåíÿ?!;;x
# Inform the Liege about attack
evt_spymaster_706_desc_a;My liege, the local noble here in [From.Location.GetName], [FromFrom.GetTitledName], tried to silence me by sending some thugs to kill me! Luckily I managed to get away. I will go ahead and spread the rumor about [FromFrom.GetHerHis] corruption and destroy [FromFrom.GetHerHis] reputation among [FromFrom.GetHerHis] vassals.\n\nYour humble Spymaster,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ïðàâèòåëü îêðóãà [From.Location.GetName], [FromFrom.GetTitledName], õîòåë[FromFrom.GetEndA] îáåñïå÷èòü ìî¸ ìîë÷àíèå, ïîäîñëàâ êî ìíå óáèéö! Ê ñ÷àñòüþ, ìíå óäàëîñü óéòè îò íèõ. ß ïðîäîëæó ðàñïðîñòðàíÿòü ñëóõè î [FromFrom.GetHersHis] êîððóìïèðîâàííîñòè è óíè÷òîæó [FromFrom.GetHersHis] äîáðîå èìÿ ñðåäè [FromFrom.GetHersHis] âàññàëîâ.\nÂàø [Root.GetSpymasterName],\n [From.GetTitledName];;x
evt_spymaster_706_option_a;You have my blessing!;;;;;;;;;;;Áëàãîñëîâëÿþ òåáÿ!;;x
# Inform the Liege about death
evt_spymaster_707_desc_a;My spymaster, [From.GetTitledName] has been murdered! That noble he was investigating, [FromFrom.GetTitledName], seems reasonable to be behind this, but I have no proof...;;;;;;;;;;;Ìîé [Root.GetSpymasterName], [From.GetTitledName], áûë óáèò! Ïîõîæå, çà ýòèì ñòîèò òîò ëîðä, [FromFrom.GetTitledName], íî ó ìåíÿ íåò íèêàêèõ äîêàçàòåëüñòâ…;;x
evt_spymaster_707_option_a;Damn him anyway!;;;;;;;;;;;Ïðîêëÿòüå!;;x
# Spymaster gets away
evt_spymaster_708_desc_a;[FromFrom.GetTitledName] managed to get away...;;;;;;;;;;;[FromFrom.GetTitledName] óäàëîñü ñïàñòèñü...;;x
evt_spymaster_708_option_a;Damn [FromFrom.GetHerHim]!;;;;;;;;;;;×¸ðò [FromFrom.GetHerHis] ïîäåðè!;;x
# Spymaster is killed
evt_spymaster_709_desc_a;The men I sent to deal with [FromFrom.GetTitledName] succeeded. [From.GetSheHeCap] will not bother me again...;;;;;;;;;;;Ëþäè, êîòîðûõ ÿ ïîñëàë ðàçîáðàòüñÿ ñ [FromFrom.GetTitledName], ïðåóñïåëè. Áîëüøå [From.GetSheHeCap] ìåíÿ íå ïîáåñïîêîèò.;;x
# Noble confess to spymaster
evt_spymaster_710_desc_a;The rumors about me being corrupt is of course false, but I realize that you already know this and that I do not have much of a choice. So it is with regret that I have to 'confess' to this crime...;;;;;;;;;;;"Ñëóõè î ìîåé êîððóìïèðîâàííîñòè, ðàçóìååòñÿ, ëæèâû, íî ÿ äóìàþ, ÷òî Âû è ñàìè îá ýòîì çíàåòå. Âû íå îñòàâèëè ìíå âûáîðà, ïðèä¸òñÿ ""ïðèçíàòüñÿ"" â ýòîì ïðåñòóïëåíèè...";;x
evt_spymaster_710_option_a;This should satisfy my liege!;;;;;;;;;;;Ýòî óäîâëåòâîðèò ìîåãî ãîñóäàðÿ.;;x
# Spymaster report to liege about confession
evt_spymaster_711_desc_a;My liege, [FromFrom.GetTitledName] decided to not risk upsetting his vassals and confessed to the allegations of corruption. It will take some time before [FromFrom.GetHerHis] prestige recovers and I have with me the fine I collected.\n\nYour humble Spymaster,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], [FromFrom.GetTitledName] íå áóäåò ðèñêîâàòü îòíîøåíèÿìè ñî ñâîèìè âàññàëàìè è ïðèçíà¸ò îáâèíåíèÿ â êîððóïöèè. Âîññòàíîâëåíèå [FromFrom.GetHersHis] ïðåñòèæà çàéì¸ò íåêîòîðîå âðåìÿ. Ñîáðàííûå øòðàôû íàõîäÿòñÿ ó ìåíÿ.\n [From.GetTitledName];;x
# Do nothing
evt_spymaster_712_desc_a;My liege seems to have lost interest in this noble and wants me to forget the whole thing.;;;;;;;;;;;Ìîé ñþçåðåí, êàæåòñÿ, áîëüøå íå ïèòàåò èíòåðåñ ê ýòîìó äâîðÿíèíó è íàäååòñÿ, ÷òî ÿ çàáóäó îá ýòîì.;;x
evt_spymaster_712_option_a;As [From.GetSheHe] wish;;;;;;;;;;;Êàê [From.GetSheHe] ïîæåëàåò.;;x
# Unused
EVTOPTH9002;It's nothing but a bluff.;;;;;;;;;;;Ýòî íå ÷òî èíîå, êàê áëåô.;;x
